Sacred Heart,2217,Fairfield,2529
time,team_id,description,h_score,a_score
19:46,2529,De'von Barnett made Jumper. Assisted by Sean Hoehn.,2,0
19:20,2217,Jonathan Kasibabu missed Layup.,2,0
19:20,2529,Joseph Lopez Defensive Rebound.,2,0
19:06,2529,De'von Barnett Turnover.,2,0
18:48,2217,Curtis Cobb made Layup.,2,2
18:20,2529,Quincy McKnight missed Three Point Jumper.,2,2
18:20,2217,Jerome Segura Defensive Rebound.,2,2
18:15,2217,Curtis Cobb made Layup. Assisted by Jerome Segura.,2,4
17:41,2529,Sean Hoehn made Three Point Jumper.,5,4
17:31,2529,Foul on Sean Hoehn.,5,4
17:29,2217,Curtis Cobb made Three Point Jumper. Assisted by Tyler Nelson.,5,7
17:16,2529,Joseph Lopez made Jumper.,7,7
17:06,2529,Foul on Quincy McKnight.,7,7
17:01,2217,Curtis Cobb made Jumper.,7,9
16:45,2529,De'von Barnett missed Jumper.,7,9
16:45,2529,Charles Tucker Jr. Offensive Rebound.,7,9
16:37,2529,De'von Barnett missed Jumper.,7,9
16:37,2217,Jonathan Kasibabu Defensive Rebound.,7,9
16:28,2217,Jerome Segura missed Layup.,7,9
16:28,2529,De'von Barnett Defensive Rebound.,7,9
16:23,2529,De'von Barnett Turnover.,7,9
16:22,2217,Curtis Cobb Steal.,7,9
16:02,2217,Curtis Cobb made Jumper. Assisted by Tyler Nelson.,7,11
15:41,2529,Sean Hoehn Turnover.,7,11
15:41,2529,Foul on Sean Hoehn.,7,11
15:41,2217,Official TV Timeout,7,11
15:23,2217,Curtis Cobb made Layup.,7,13
15:09,2529,Charles Tucker Jr. missed Three Point Jumper.,7,13
15:09,2217,Amadou Sidibe Defensive Rebound.,7,13
15:00,2217,Matija Milin missed Three Point Jumper.,7,13
15:00,2529,Joseph Lopez Defensive Rebound.,7,13
14:42,2529,Quincy McKnight missed Layup.,7,13
14:42,2217,Jerome Segura Defensive Rebound.,7,13
14:36,2217,Curtis Cobb made Three Point Jumper. Assisted by Jerome Segura.,7,16
14:12,2529,De'von Barnett missed Layup.,7,16
14:12,2217,Amadou Sidibe Defensive Rebound.,7,16
14:04,2217,Matija Milin Turnover.,7,16
14:04,2217,Foul on Matija Milin.,7,16
13:53,2217,Foul on Amadou Sidibe.,7,16
13:53,2529,Joseph Lopez made Free Throw.,8,16
13:53,2529,Joseph Lopez missed Free Throw.,8,16
13:53,2217,Matija Milin Defensive Rebound.,8,16
13:40,2217,Tyler Nelson made Layup. Assisted by Jerome Segura.,8,18
13:24,2529,Chris Robinson missed Three Point Jumper.,8,18
13:24,2529,Joseph Lopez Offensive Rebound.,8,18
13:14,2529,Quincy McKnight missed Jumper.,8,18
13:14,2217,Amadou Sidibe Defensive Rebound.,8,18
13:00,2217,Amadou Sidibe Turnover.,8,18
13:00,2217,Foul on Amadou Sidibe.,8,18
12:44,2529,Chris Robinson missed Three Point Jumper.,8,18
12:44,2217,Matija Milin Defensive Rebound.,8,18
12:37,2217,Jerome Segura missed Layup.,8,18
12:37,2217,Jerome Segura Offensive Rebound.,8,18
12:36,2529,Foul on Chris Robinson.,8,18
12:36,2217,Jerome Segura missed Free Throw.,8,18
12:36,2217,Fairfield Deadball Team Rebound.,8,18
12:36,2217,Jerome Segura made Free Throw.,8,19
12:24,2529,Chris Robinson made Layup.,10,19
12:24,2217,Foul on Curtis Cobb.,10,19
