South Carolina State,2724,Wichita State,2569
time,team_id,description,h_score,a_score
19:48,2569,Foul on Ian Kinard.,0,0
19:48,2724,Shaquille Morris made Free Throw.,0,1
19:48,2724,Shaquille Morris made Free Throw.,0,2
19:30,2569,Tashombe Riley Turnover.,0,2
19:18,2724,Landry Shamet made Three Point Jumper. Assisted by Conner Frankamp.,0,5
18:52,2569,Tashombe Riley missed Jumper.,0,5
18:52,2569,Ian Kinard Offensive Rebound.,0,5
18:31,2569,"""Ej"" Eric Eaves missed Three Point Jumper.",0,5
18:31,2724,Rashard Kelly Defensive Rebound.,0,5
18:17,2724,Shaquille Morris Turnover.,0,5
18:06,2724,Foul on Landry Shamet.,0,5
17:50,2569,Greg Mortimer made Jumper.,2,5
17:30,2724,Shaquille Morris made Jumper. Assisted by Zach Brown.,2,7
17:16,2569,Greg Mortimer missed Layup.,2,7
17:16,2724,Shaquille Morris Block.,2,7
17:15,2569,South Carolina St Offensive Rebound.,2,7
17:12,2569,Ed Stephens Turnover.,2,7
17:10,2724,Shaquille Morris Steal.,2,7
16:56,2724,Rashard Kelly made Jumper. Assisted by Conner Frankamp.,2,9
16:34,2569,Foul on Tashombe Riley.,2,9
16:24,2724,Markis McDuffie missed Three Point Jumper.,2,9
16:24,2724,Zach Brown Offensive Rebound.,2,9
16:17,2569,Foul on Ian Kinard.,2,9
16:17,2724,Zach Brown made Free Throw.,2,10
16:17,2724,Zach Brown made Free Throw.,2,11
16:08,2569,"""Ej"" Eric Eaves missed Jumper.",2,11
16:08,2724,Zach Brown Defensive Rebound.,2,11
15:42,2724,Markis McDuffie missed Jumper.,2,11
15:42,2569,Ed Stephens Defensive Rebound.,2,11
15:30,2569,Ed Stephens missed Three Point Jumper.,2,11
15:30,2724,Markis McDuffie Defensive Rebound.,2,11
15:22,2724,Daishon Smith missed Layup.,2,11
15:22,2569,Ozante Fields Defensive Rebound.,2,11
15:15,2569,"""Ej"" Eric Eaves made Jumper. Assisted by Ed Stephens.",4,11
15:05,2569,Foul on Ozante Fields.,4,11
15:05,2724,Markis McDuffie missed Free Throw.,4,11
15:05,2724,Wichita St Deadball Team Rebound.,4,11
15:05,2724,Markis McDuffie made Free Throw.,4,12
14:50,2569,"""Jj"" Jam Richardson missed Three Point Jumper.",4,12
14:50,2724,Conner Frankamp Defensive Rebound.,4,12
14:42,2724,Conner Frankamp missed Three Point Jumper.,4,12
14:42,2724,Wichita St Offensive Rebound.,4,12
14:36,2724,Rauno Nurger made Layup. Assisted by Daishon Smith.,4,14
14:23,2569,Foul on Jaylen Reid.,4,14
14:23,2569,Jaylen Reid Turnover.,4,14
14:03,2569,Foul on Ozante Fields.,4,14
14:03,2724,Darral Willis Jr. made Free Throw.,4,15
14:03,2724,Darral Willis Jr. made Free Throw.,4,16
13:47,2569,"""Jj"" Jam Richardson made Jumper.",6,16
13:37,2724,Rauno Nurger missed Three Point Jumper.,6,16
13:37,2569,Raynor Janai Powell Defensive Rebound.,6,16
13:29,2724,Foul on Markis McDuffie.,6,16
13:26,2569,"""Ej"" Eric Eaves missed Jumper.",6,16
13:26,2724,Daishon Smith Defensive Rebound.,6,16
13:18,2724,Daishon Smith missed Three Point Jumper.,6,16
13:18,2569,"""Jj"" Jam Richardson Defensive Rebound.",6,16
13:06,2569,Raynor Janai Powell missed Layup.,6,16
13:06,2724,Rauno Nurger Block.,6,16
13:05,2724,Daishon Smith Defensive Rebound.,6,16
13:02,2724,Markis McDuffie made Layup. Assisted by Rauno Nurger.,6,18
12:44,2569,Tashombe Riley missed Jumper.,6,18
12:44,2724,Darral Willis Jr. Defensive Rebound.,6,18
12:33,2724,Foul on Rauno Nurger.,6,18
12:33,2569,"""Jj"" Jam Richardson missed Three Point Jumper.",6,18
12:33,2724,Shaquille Morris Defensive Rebound.,6,18
12:26,2569,"Foul on ""Jj"" Jam Richardson.",6,18
12:12,2724,Darral Willis Jr. missed Free Throw.,6,18
12:12,2569,South Carolina St Defensive Rebound.,6,18
11:56,2724,Foul on Austin Reaves.,6,18
11:56,2569,Greg Mortimer made Free Throw.,7,18
11:56,2569,Greg Mortimer made Free Throw.,8,18
11:29,2724,Rashard Kelly missed Jumper.,8,18
11:29,2569,Greg Mortimer Defensive Rebound.,8,18
11:10,2569,Tashombe Riley missed Three Point Jumper.,8,18
11:10,2724,Zach Brown Defensive Rebound.,8,18
10:50,2724,Zach Brown missed Three Point Jumper.,8,18
10:50,2569,Greg Mortimer Defensive Rebound.,8,18
10:44,2724,Foul on Zach Brown.,8,18
10:36,2569,Damani Applewhite missed Jumper.,8,18
10:36,2724,Zach Brown Defensive Rebound.,8,18
10:18,2724,Rashard Kelly missed Three Point Jumper.,8,18
