Fairleigh Dickinson,2550,Seton Hall,161
time,team_id,description,h_score,a_score
19:36,161,Mike Holloway missed Layup.,0,0
19:36,2550,Angel Delgado Defensive Rebound.,0,0
19:21,2550,Khadeen Carrington missed Jumper.,0,0
19:21,161,Tyrone O'Garro Defensive Rebound.,0,0
18:52,161,Stephan Jiggets missed Layup.,0,0
18:52,161,Fairleigh Dickinson Offensive Rebound.,0,0
18:36,161,Tyrone O'Garro missed Three Point Jumper.,0,0
18:36,2550,Angel Delgado Defensive Rebound.,0,0
18:34,161,Foul on Mike Holloway.,0,0
18:20,2550,Angel Delgado made Layup. Assisted by Madison Jones.,0,2
18:06,161,Darian Anderson made Three Point Jumper. Assisted by Mike Holloway.,3,2
17:52,2550,Angel Delgado made Layup. Assisted by Madison Jones.,3,4
17:32,161,Mike Holloway missed Jumper.,3,4
17:32,2550,Angel Delgado Defensive Rebound.,3,4
17:24,161,Foul on Stephan Jiggets.,3,4
17:18,2550,Desi Rodriguez missed Three Point Jumper.,3,4
17:18,2550,Angel Delgado Offensive Rebound.,3,4
17:12,2550,Angel Delgado Turnover.,3,4
17:11,161,Mike Holloway Steal.,3,4
17:06,161,Stephan Jiggets missed Three Point Jumper.,3,4
17:06,2550,Desi Rodriguez Defensive Rebound.,3,4
16:59,2550,Khadeen Carrington missed Layup.,3,4
16:59,2550,Ismael Sanogo Offensive Rebound.,3,4
16:56,2550,Ismael Sanogo missed Layup.,3,4
16:56,2550,Desi Rodriguez Offensive Rebound.,3,4
16:53,161,Foul on Tyrone O'Garro.,3,4
16:53,2550,Desi Rodriguez made Free Throw.,3,5
16:53,2550,Desi Rodriguez made Free Throw.,3,6
16:32,161,Darian Anderson missed Three Point Jumper.,3,6
16:32,161,Tyrone O'Garro Offensive Rebound.,3,6
16:28,161,Tyrone O'Garro made Layup.,5,6
16:08,2550,Myles Powell missed Three Point Jumper.,5,6
16:08,161,Tyrone O'Garro Defensive Rebound.,5,6
16:05,2550,Foul on Veer Singh.,5,6
15:50,161,Mike Holloway made Layup.,7,6
15:50,2550,Foul on Rashed Anthony.,7,6
15:50,2550,Official TV Timeout,7,6
15:50,161,Mike Holloway made Free Throw.,8,6
15:42,2550,Veer Singh made Three Point Jumper. Assisted by Khadeen Carrington.,8,9
15:24,161,Darnell Edge missed Jumper.,8,9
15:24,161,Malik Miller Offensive Rebound.,8,9
15:05,161,Malik Miller missed Three Point Jumper.,8,9
15:05,2550,Veer Singh Defensive Rebound.,8,9
14:49,2550,Veer Singh Turnover.,8,9
14:49,161,Darian Anderson Steal.,8,9
14:49,2550,Foul on Veer Singh.,8,9
14:39,161,Malik Miller missed Three Point Jumper.,8,9
14:39,2550,Desi Rodriguez Defensive Rebound.,8,9
14:32,2550,Khadeen Carrington missed Three Point Jumper.,8,9
14:32,2550,Angel Delgado Offensive Rebound.,8,9
14:28,2550,Angel Delgado made Two Point Tip Shot.,8,11
14:09,161,Darnell Edge made Jumper.,10,11
13:41,2550,Khadeen Carrington made Layup.,10,13
13:23,161,Tyrone O'Garro missed Jumper.,10,13
13:23,161,Tyrone O'Garro Offensive Rebound.,10,13
13:05,161,Darian Anderson missed Three Point Jumper.,10,13
13:05,2550,Desi Rodriguez Defensive Rebound.,10,13
12:44,2550,Desi Rodriguez made Layup.,10,15
12:34,161,Stephan Jiggets missed Jumper.,10,15
12:34,161,Stephan Jiggets Offensive Rebound.,10,15
12:29,161,Mike Holloway missed Jumper.,10,15
12:29,2550,Myles Powell Defensive Rebound.,10,15
12:22,161,Foul on DaRon Curry.,10,15
12:15,2550,Khadeen Carrington made Layup.,10,17
12:15,161,Foul on Malik Miller.,10,17
12:15,2550,Khadeen Carrington made Free Throw.,10,18
11:49,161,Kaleb Bishop missed Three Point Jumper.,10,18
11:49,2550,Desi Rodriguez Defensive Rebound.,10,18
11:39,2550,Desi Rodriguez missed Jumper.,10,18
11:39,161,DaRon Curry Defensive Rebound.,10,18
11:36,161,DaRon Curry Turnover.,10,18
11:36,2550,Official TV Timeout,10,18
11:33,2550,Madison Jones Turnover.,10,18
11:32,161,Stephan Jiggets Steal.,10,18
11:32,161,Stephan Jiggets Turnover.,10,18
11:18,2550,Khadeen Carrington missed Jumper.,10,18
11:18,161,Kaleb Bishop Defensive Rebound.,10,18
11:16,2550,Foul on Ismael Sanogo.,10,18
11:02,161,Mike Holloway missed Layup.,10,18
11:02,2550,Desi Rodriguez Defensive Rebound.,10,18
10:52,2550,Angel Delgado made Layup. Assisted by Madison Jones.,10,20
10:29,161,Stephan Jiggets missed Three Point Jumper.,10,20
10:29,2550,Angel Delgado Defensive Rebound.,10,20
10:09,2550,Angel Delgado missed Layup.,10,20
10:09,161,Kaleb Bishop Defensive Rebound.,10,20
10:06,2550,Foul on Desi Rodriguez.,10,20
9:57,161,Mike Holloway missed Jumper.,10,20
9:57,2550,Madison Jones Defensive Rebound.,10,20
9:50,2550,Myles Powell missed Three Point Jumper.,10,20
9:50,161,Kaleb Bishop Defensive Rebound.,10,20
9:40,161,Mike Holloway made Layup. Assisted by DaRon Curry.,12,20
9:23,161,Foul on Mike Holloway.,12,20
9:23,2550,Myles Powell made Free Throw.,12,21
9:23,2550,Myles Powell made Free Throw.,12,22
9:10,161,Tyrone O'Garro missed Layup.,12,22
9:10,2550,Angel Delgado Defensive Rebound.,12,22
9:06,2550,Angel Delgado Turnover.,12,22
9:05,161,Darian Anderson Steal.,12,22
9:03,161,Darian Anderson made Jumper.,14,22
8:44,2550,Angel Delgado Turnover.,14,22
8:44,2550,Foul on Angel Delgado.,14,22
8:22,161,Darian Anderson made Jumper. Assisted by Darnell Edge.,16,22
7:56,2550,Myles Powell missed Three Point Jumper.,16,22
7:56,161,Malik Miller Defensive Rebound.,16,22
7:30,161,Darnell Edge missed Three Point Jumper.,16,22
7:30,2550,Ismael Sanogo Defensive Rebound.,16,22
7:06,2550,Khadeen Carrington Turnover.,16,22
7:06,2550,Official TV Timeout,16,22
6:53,161,Stephan Jiggets missed Three Point Jumper.,16,22
6:53,2550,Madison Jones Defensive Rebound.,16,22
6:42,161,Foul on Nadi Beciri.,16,22
6:42,2550,Angel Delgado missed Free Throw.,16,22
6:42,2550,Desi Rodriguez Offensive Rebound.,16,22
6:37,2550,Angel Delgado missed Layup.,16,22
6:37,161,Nadi Beciri Block.,16,22
6:37,2550,Seton Hall Offensive Rebound.,16,22
6:23,2550,Desi Rodriguez made Layup.,16,24
6:04,161,Nadi Beciri missed Jumper.,16,24
6:04,2550,Michael Nzei Defensive Rebound.,16,24
5:54,2550,Khadeen Carrington made Three Point Jumper. Assisted by Madison Jones.,16,27
5:51,161,Fairleigh Dickinson  Timeout,16,27
5:37,161,Mike Holloway Turnover.,16,27
5:35,2550,Khadeen Carrington Steal.,16,27
5:32,2550,Madison Jones made Layup. Assisted by Desi Rodriguez.,16,29
5:18,2550,Foul on Michael Nzei.,16,29
5:18,161,Darnell Edge made Free Throw.,17,29
5:18,161,Darnell Edge missed Free Throw.,17,29
5:18,2550,Desi Rodriguez Defensive Rebound.,17,29
4:50,2550,Madison Jones missed Jumper.,17,29
4:50,161,Tyrone O'Garro Defensive Rebound.,17,29
4:49,2550,Foul on Michael Nzei.,17,29
4:49,161,Tyrone O'Garro missed Free Throw.,17,29
4:49,2550,Desi Rodriguez Defensive Rebound.,17,29
4:32,161,Foul on Malik Miller.,17,29
4:32,2550,Angel Delgado missed Free Throw.,17,29
4:32,161,Tyrone O'Garro Defensive Rebound.,17,29
4:11,161,Malik Miller made Three Point Jumper.,20,29
3:45,2550,Desi Rodriguez Turnover.,20,29
3:44,161,Darian Anderson Steal.,20,29
3:42,161,Stephan Jiggets made Three Point Jumper. Assisted by Darian Anderson.,23,29
3:38,2550,Seton Hall  Timeout,23,29
3:38,2550,Official TV Timeout,23,29
3:15,2550,Angel Delgado missed Layup.,23,29
3:15,2550,Angel Delgado Offensive Rebound.,23,29
3:13,2550,Angel Delgado made Two Point Tip Shot.,23,31
2:48,161,Darian Anderson missed Three Point Jumper.,23,31
2:48,2550,Khadeen Carrington Defensive Rebound.,23,31
2:22,2550,Angel Delgado made Layup. Assisted by Myles Powell.,23,33
1:54,161,Stephan Jiggets Turnover.,23,33
1:54,161,Foul on Stephan Jiggets.,23,33
1:47,2550,Myles Powell missed Three Point Jumper.,23,33
1:47,161,Tyrone O'Garro Defensive Rebound.,23,33
1:37,161,DaRon Curry missed Three Point Jumper.,23,33
1:37,2550,Khadeen Carrington Defensive Rebound.,23,33
1:30,161,Foul on Darnell Edge.,23,33
1:30,2550,Khadeen Carrington missed Free Throw.,23,33
1:30,2550,Seton Hall Deadball Team Rebound.,23,33
1:30,2550,Khadeen Carrington missed Free Throw.,23,33
1:30,161,Tyrone O'Garro Defensive Rebound.,23,33
1:19,2550,Foul on Madison Jones.,23,33
1:19,161,Darnell Edge made Free Throw.,24,33
1:19,161,Darnell Edge made Free Throw.,25,33
1:04,2550,Myles Powell Turnover.,25,33
1:02,161,Darnell Edge Steal.,25,33
0:39,161,Malik Miller made Three Point Jumper. Assisted by Darnell Edge.,28,33
0:27,2550,Madison Jones missed Layup.,28,33
0:27,161,Tyrone O'Garro Block.,28,33
0:25,2550,Angel Delgado Offensive Rebound.,28,33
0:20,2550,Angel Delgado Turnover.,28,33
0:20,2550,Foul on Angel Delgado.,28,33
0:08,161,Darian Anderson missed Layup.,28,33
0:08,2550,Michael Nzei Defensive Rebound.,28,33
0:00,2550,End of 1st half,28,33
19:44,161,Darnell Edge made Layup. Assisted by Mike Holloway.,30,33
19:25,2550,Angel Delgado made Layup.,30,35
18:59,161,Stephan Jiggets Turnover.,30,35
18:58,2550,Desi Rodriguez Steal.,30,35
18:52,2550,Khadeen Carrington made Three Point Jumper. Assisted by Desi Rodriguez.,30,38
18:28,161,Mike Holloway Turnover.,30,38
18:27,2550,Ismael Sanogo Steal.,30,38
18:23,2550,Khadeen Carrington made Layup. Assisted by Desi Rodriguez.,30,40
17:58,161,Darnell Edge missed Three Point Jumper.,30,40
17:58,2550,Angel Delgado Defensive Rebound.,30,40
17:51,2550,Desi Rodriguez missed Three Point Jumper.,30,40
17:51,161,Darnell Edge Defensive Rebound.,30,40
17:30,161,Darian Anderson made Three Point Jumper. Assisted by Mike Holloway.,33,40
17:10,2550,Ismael Sanogo made Jumper. Assisted by Khadeen Carrington.,33,42
16:45,161,Darian Anderson missed Jumper.,33,42
16:45,2550,Angel Delgado Defensive Rebound.,33,42
16:38,161,Foul on Tyrone O'Garro.,33,42
16:38,2550,Desi Rodriguez made Free Throw.,33,43
16:38,2550,Desi Rodriguez missed Free Throw.,33,43
16:38,161,Tyrone O'Garro Defensive Rebound.,33,43
16:20,2550,Foul on Ismael Sanogo.,33,43
16:20,161,Tyrone O'Garro made Free Throw.,34,43
16:20,161,Tyrone O'Garro made Free Throw.,35,43
16:14,2550,Veer Singh made Three Point Jumper. Assisted by Madison Jones.,35,46
15:50,161,Stephan Jiggets Turnover.,35,46
15:50,2550,Official TV Timeout,35,46
15:32,2550,Angel Delgado made Layup.,35,48
15:11,161,Stephan Jiggets made Three Point Jumper. Assisted by Tyrone O'Garro.,38,48
14:53,2550,Ismael Sanogo made Layup. Assisted by Madison Jones.,38,50
14:37,161,Stephan Jiggets missed Layup.,38,50
14:37,161,Mike Holloway Offensive Rebound.,38,50
14:34,161,Mike Holloway missed Layup.,38,50
14:34,2550,Angel Delgado Defensive Rebound.,38,50
14:20,161,Foul on Mike Holloway.,38,50
13:49,2550,Seton Hall  Turnover.,38,50
13:28,161,Malik Miller missed Three Point Jumper.,38,50
13:28,2550,Seton Hall Defensive Rebound.,38,50
13:13,2550,Angel Delgado missed Layup.,38,50
13:13,161,Darnell Edge Defensive Rebound.,38,50
13:03,161,Kaleb Bishop missed Three Point Jumper.,38,50
13:03,2550,Khadeen Carrington Defensive Rebound.,38,50
12:53,2550,Khadeen Carrington missed Layup.,38,50
12:53,161,Malik Miller Block.,38,50
12:51,161,Kaleb Bishop Defensive Rebound.,38,50
12:47,161,Stephan Jiggets made Three Point Jumper. Assisted by Darian Anderson.,41,50
12:22,161,Foul on Darian Anderson.,41,50
12:17,2550,Myles Powell made Jumper.,41,52
11:58,161,Darian Anderson made Layup.,43,52
11:37,2550,Angel Delgado Turnover.,43,52
11:36,161,Stephan Jiggets Steal.,43,52
11:32,161,Darian Anderson missed Three Point Jumper.,43,52
11:32,2550,Angel Delgado Defensive Rebound.,43,52
11:08,2550,Myles Powell made Three Point Jumper. Assisted by Angel Delgado.,43,55
10:52,161,Stephan Jiggets missed Three Point Jumper.,43,55
10:52,2550,Veer Singh Defensive Rebound.,43,55
10:32,2550,Official TV Timeout,43,55
10:28,2550,Desi Rodriguez missed Layup.,43,55
10:28,2550,Michael Nzei Offensive Rebound.,43,55
10:27,161,Foul on Kaleb Bishop.,43,55
10:27,2550,Michael Nzei made Free Throw.,43,56
10:27,2550,Michael Nzei missed Free Throw.,43,56
10:27,161,Darian Anderson Defensive Rebound.,43,56
10:14,2550,Foul on Michael Nzei.,43,56
10:14,161,Darnell Edge made Free Throw.,44,56
10:14,161,Darnell Edge made Free Throw.,45,56
9:47,2550,Myles Powell missed Jumper.,45,56
9:47,2550,Angel Delgado Offensive Rebound.,45,56
9:43,2550,Angel Delgado made Layup.,45,58
9:42,161,Foul on Malik Miller.,45,58
9:42,2550,Angel Delgado missed Free Throw.,45,58
9:42,161,Stephan Jiggets Defensive Rebound.,45,58
9:21,2550,Foul on Angel Delgado.,45,58
9:20,161,Darian Anderson made Jumper. Assisted by Stephan Jiggets.,47,58
9:05,2550,Ismael Sanogo missed Three Point Jumper.,47,58
9:05,161,Tyrone O'Garro Defensive Rebound.,47,58
8:55,2550,Foul on Madison Jones.,47,58
8:46,161,Darian Anderson made Jumper.,49,58
8:26,2550,Desi Rodriguez made Layup.,49,60
8:26,161,Foul on Mike Holloway.,49,60
8:26,2550,Desi Rodriguez made Free Throw.,49,61
8:17,161,Stephan Jiggets Turnover.,49,61
8:16,2550,Madison Jones Steal.,49,61
8:11,2550,Khadeen Carrington made Free Throw.,49,62
8:11,161,Foul on Darian Anderson.,49,62
8:11,2550,Khadeen Carrington made Free Throw.,49,63
7:59,161,Darian Anderson made Layup.,51,63
7:39,161,Foul on Tyrone O'Garro.,51,63
7:39,2550,Official TV Timeout,51,63
7:39,2550,Ismael Sanogo missed Free Throw.,51,63
