Duquesne,213,Penn State,2184
time,team_id,description,h_score,a_score
19:38,213,Lamar Stevens missed Layup.,0,0
19:38,213,Mike Watkins Offensive Rebound.,0,0
19:34,213,Mike Watkins made Layup.,0,2
19:16,2184,Tarin Smith made Jumper.,2,2
18:56,213,Payton Banks missed Three Point Jumper.,2,2
18:56,2184,Tarin Smith Defensive Rebound.,2,2
18:51,2184,Emile Blackman missed Three Point Jumper.,2,2
18:51,213,Payton Banks Defensive Rebound.,2,2
18:33,213,Mike Watkins made Jumper. Assisted by Tony Carr.,2,4
18:13,2184,Mike Lewis II missed Three Point Jumper.,2,4
18:13,213,Tony Carr Defensive Rebound.,2,4
18:01,213,Mike Watkins made Layup. Assisted by Payton Banks.,2,6
17:43,2184,Mike Lewis II made Jumper. Assisted by Darius Lewis.,4,6
17:32,213,Tony Carr missed Three Point Jumper.,4,6
17:32,2184,Isiaha Mike Defensive Rebound.,4,6
17:29,213,Foul on Lamar Stevens.,4,6
17:20,2184,Isiaha Mike made Three Point Jumper. Assisted by Emile Blackman.,7,6
17:00,213,Shep Garner missed Three Point Jumper.,7,6
17:00,213,Tony Carr Offensive Rebound.,7,6
16:55,2184,Foul on Emile Blackman.,7,6
16:50,213,Payton Banks missed Three Point Jumper.,7,6
16:50,2184,Duquesne Defensive Rebound.,7,6
16:32,213,Foul on Payton Banks.,7,6
16:26,2184,Tarin Smith missed Jumper.,7,6
16:26,2184,Tarin Smith Offensive Rebound.,7,6
16:18,2184,Tarin Smith missed Two Point Tip Shot.,7,6
16:18,213,Julian Moore Defensive Rebound.,7,6
16:14,213,Terrence Samuel missed Layup.,7,6
16:14,2184,Duquesne Defensive Rebound.,7,6
15:48,2184,Mike Lewis II Turnover.,7,6
15:47,213,Terrence Samuel Steal.,7,6
15:43,213,Tony Carr Turnover.,7,6
15:41,2184,Emile Blackman Steal.,7,6
15:39,2184,Foul on Emile Blackman.,7,6
15:39,2184,Emile Blackman Turnover.,7,6
15:39,213,Official TV Timeout,7,6
15:28,213,Tony Carr made Layup.,7,8
15:11,2184,Eric James Turnover.,7,8
15:10,213,Deividas Zemgulis Steal.,7,8
