Omaha,30,USC,2437
time,team_id,description,h_score,a_score
19:47,30,Elijah Stewart made Three Point Jumper. Assisted by Nick Rakocevic.,0,3
19:23,2437,Tre'Shawn Thurman missed Jumper.,0,3
19:23,2437,Daniel Meyer Offensive Rebound.,0,3
19:15,2437,Marcus Tyus made Three Point Jumper. Assisted by Daniel Meyer.,3,3
18:51,30,Jordan McLaughlin Turnover.,3,3
18:42,2437,Marcus Tyus made Three Point Jumper. Assisted by Tra-Deon Hollins.,6,3
18:17,30,Nick Rakocevic missed Jumper.,6,3
18:17,2437,Tre'Shawn Thurman Block.,6,3
18:14,2437,Tra-Deon Hollins Defensive Rebound.,6,3
18:05,2437,Zach Jackson Turnover.,6,3
18:05,30,Jordan McLaughlin Steal.,6,3
18:01,30,Elijah Stewart made Jumper. Assisted by Jordan McLaughlin.,6,5
17:33,2437,Daniel Meyer made Layup. Assisted by Tre'Shawn Thurman.,8,5
17:15,30,Chimezie Metu made Jumper.,8,7
17:05,2437,Tra-Deon Hollins missed Layup.,8,7
17:05,30,Chimezie Metu Block.,8,7
17:05,2437,Omaha Offensive Rebound.,8,7
17:02,2437,Marcus Tyus made Layup.,10,7
17:02,30,Foul on Jordan McLaughlin.,10,7
17:02,2437,Marcus Tyus made Free Throw.,11,7
16:48,30,Jordan McLaughlin Turnover.,11,7
16:47,2437,Marcus Tyus Steal.,11,7
16:36,2437,Tre'Shawn Thurman made Jumper.,13,7
16:24,30,Elijah Stewart missed Three Point Jumper.,13,7
16:24,2437,Tre'Shawn Thurman Defensive Rebound.,13,7
16:12,2437,Marcus Tyus made Three Point Jumper. Assisted by Tra-Deon Hollins.,16,7
16:12,30,USC  Timeout,16,7
16:12,30,USC  Timeout,16,7
15:54,30,Chimezie Metu missed Jumper.,16,7
15:54,30,Jordan McLaughlin Offensive Rebound.,16,7
15:49,30,Jordan McLaughlin made Jumper.,16,9
15:29,2437,Tre'Shawn Thurman missed Jumper.,16,9
15:29,30,Chimezie Metu Defensive Rebound.,16,9
15:18,30,Shaqquan Aaron missed Three Point Jumper.,16,9
15:18,2437,Marcus Tyus Defensive Rebound.,16,9
14:56,2437,Tre'Shawn Thurman missed Jumper.,16,9
14:56,2437,Tre'Shawn Thurman Offensive Rebound.,16,9
14:52,2437,Tre'Shawn Thurman missed Jumper.,16,9
14:52,30,Chimezie Metu Block.,16,9
14:50,30,Charles Buggs Defensive Rebound.,16,9
14:39,30,Jordan McLaughlin made Layup.,16,11
14:14,2437,Marcus Tyus missed Three Point Jumper.,16,11
14:14,2437,Mitchell Hahn Offensive Rebound.,16,11
14:10,30,Foul on Elijah Stewart.,16,11
14:06,2437,JT Gibson made Three Point Jumper. Assisted by Tra-Deon Hollins.,19,11
13:33,30,Jonah Mathews made Three Point Jumper. Assisted by Elijah Stewart.,19,14
13:10,2437,Mitchell Hahn missed Three Point Jumper.,19,14
13:10,30,Jonah Mathews Defensive Rebound.,19,14
12:55,30,Jonah Mathews missed Jumper.,19,14
12:55,30,Elijah Stewart Offensive Rebound.,19,14
12:42,30,Jordan McLaughlin missed Three Point Jumper.,19,14
12:42,2437,Mitchell Hahn Defensive Rebound.,19,14
12:25,2437,Daniel Norl made Jumper.,21,14
12:01,30,Nick Rakocevic made Layup. Assisted by Jordan McLaughlin.,21,16
12:01,2437,Foul on Daniel Norl.,21,16
12:01,30,Nick Rakocevic missed Free Throw.,21,16
12:01,2437,Tre'Shawn Thurman Defensive Rebound.,21,16
11:50,2437,Daniel Norl missed Three Point Jumper.,21,16
11:50,30,Chimezie Metu Block.,21,16
11:47,30,Jonah Mathews Defensive Rebound.,21,16
11:29,30,Chimezie Metu made Jumper.,21,18
11:09,2437,JT Gibson missed Jumper.,21,18
11:09,30,Nick Rakocevic Defensive Rebound.,21,18
10:58,30,Jonah Mathews missed Three Point Jumper.,21,18
10:58,2437,JT Gibson Defensive Rebound.,21,18
10:50,2437,Omaha  Timeout,21,18
10:50,30,Official TV Timeout,21,18
10:34,2437,Tre'Shawn Thurman missed Jumper.,21,18
