Furman,5,UAB,231
time,team_id,description,h_score,a_score
19:43,231,Kris Acox missed Layup.,0,0
19:43,5,UAB Defensive Rebound.,0,0
19:31,5,Hakeem Baxter made Layup.,0,2
19:21,5,Foul on Dirk Williams.,0,2
19:11,231,Daniel Fowler made Three Point Jumper. Assisted by Geoff Beans.,3,2
18:52,231,Foul on John Davis III.,3,2
18:47,5,William Lee missed Jumper.,3,2
18:47,231,Daniel Fowler Defensive Rebound.,3,2
18:46,5,Foul on Chris Cokley.,3,2
18:27,231,Kris Acox missed Layup.,3,2
18:27,5,William Lee Defensive Rebound.,3,2
18:19,5,Dirk Williams missed Jumper.,3,2
18:19,231,Devin Sibley Defensive Rebound.,3,2
18:14,231,John Davis III made Three Point Jumper. Assisted by Devin Sibley.,6,2
17:53,5,Chris Cokley made Jumper.,6,4
17:31,231,John Davis III missed Three Point Jumper.,6,4
17:31,231,Daniel Fowler Offensive Rebound.,6,4
17:27,231,Geoff Beans made Three Point Jumper. Assisted by Daniel Fowler.,9,4
17:08,5,Chris Cokley made Jumper. Assisted by Dirk Williams.,9,6
16:40,231,Kris Acox made Layup.,11,6
16:24,5,William Lee made Three Point Jumper. Assisted by Deion Lavender.,11,9
16:05,231,Kris Acox made Layup. Assisted by Geoff Beans.,13,9
16:05,5,UAB  Timeout,13,9
16:05,5,Official TV Timeout,13,9
15:46,231,Foul on Daniel Fowler.,13,9
15:46,5,William Lee made Free Throw.,13,10
15:46,5,William Lee made Free Throw.,13,11
15:36,231,John Davis III Turnover.,13,11
15:22,5,William Lee missed Layup.,13,11
15:22,5,UAB Offensive Rebound.,13,11
15:13,5,Javien Williams missed Layup.,13,11
15:13,231,Daniel Fowler Defensive Rebound.,13,11
15:06,231,Devin Sibley made Three Point Jumper. Assisted by Daniel Fowler.,16,11
14:46,5,Deion Lavender missed Three Point Jumper.,16,11
14:46,5,Deion Lavender Offensive Rebound.,16,11
14:41,5,Hakeem Baxter made Three Point Jumper. Assisted by Deion Lavender.,16,14
14:11,5,Foul on Javien Williams.,16,14
14:11,231,Daniel Fowler made Free Throw.,17,14
14:11,231,Daniel Fowler made Free Throw.,18,14
14:03,231,Foul on Jalen Williams.,18,14
13:59,5,Dirk Williams Turnover.,18,14
13:45,231,Andrew Brown made Three Point Jumper. Assisted by John Davis III.,21,14
13:23,5,Dirk Williams made Three Point Jumper.,21,17
13:01,5,Foul on Javien Williams.,21,17
12:44,231,Andrew Brown missed Three Point Jumper.,21,17
12:44,231,Furman Offensive Rebound.,21,17
12:37,231,Devin Sibley made Three Point Jumper.,24,17
12:20,5,Hakeem Baxter missed Three Point Jumper.,24,17
12:20,5,Tyler Madison Offensive Rebound.,24,17
12:19,5,Tyler Madison made Layup.,24,19
12:19,231,Foul on Andrew Brown.,24,19
12:19,5,Tyler Madison made Free Throw.,24,20
11:57,231,Devin Sibley missed Layup.,24,20
11:57,5,Tyler Madison Block.,24,20
11:56,5,Tosin Mehinti Defensive Rebound.,24,20
11:55,231,Foul on Jalen Williams.,24,20
11:55,5,Official TV Timeout,24,20
11:44,5,Dirk Williams Turnover.,24,20
11:23,231,Kris Acox missed Jumper.,24,20
11:23,5,Deion Lavender Defensive Rebound.,24,20
11:15,5,Tyler Madison made Layup. Assisted by Deion Lavender.,24,22
11:15,231,Foul on Geoff Beans.,24,22
11:15,5,Tyler Madison made Free Throw.,24,23
10:50,231,Devin Sibley Turnover.,24,23
10:49,5,Deion Lavender Steal.,24,23
10:45,5,Dirk Williams made Layup. Assisted by Deion Lavender.,24,25
10:32,231,Foul on Devin Sibley.,24,25
10:32,231,Devin Sibley Turnover.,24,25
10:21,5,Dirk Williams made Three Point Jumper. Assisted by Tyler Madison.,24,28
9:52,231,Kris Acox made Layup. Assisted by Daniel Fowler.,26,28
9:35,5,Deion Lavender missed Layup.,26,28
9:35,231,Kris Acox Defensive Rebound.,26,28
9:27,231,Geoff Beans made Three Point Jumper. Assisted by Daniel Fowler.,29,28
9:03,5,Tosin Mehinti made Layup. Assisted by William Lee.,29,30
8:45,5,Foul on Tosin Mehinti.,29,30
8:32,5,Foul on Chris Cokley.,29,30
8:28,231,Kris Acox missed Jumper.,29,30
8:28,5,Chris Cokley Defensive Rebound.,29,30
8:28,231,Foul on Kris Acox.,29,30
8:28,5,Chris Cokley missed Free Throw.,29,30
8:28,231,Kris Acox Defensive Rebound.,29,30
8:00,231,Kris Acox Turnover.,29,30
