Columbia Internatl,Error,Charleston Southern,2127
time,team_id,description,h_score,a_score
19:39,-1,Foul on Jc Cavin.,0,0
19:39,2127,Armel Potter made Free Throw.,0,1
19:39,2127,Armel Potter missed Free Throw.,0,1
19:39,-1,Damian Hurta Defensive Rebound.,0,1
19:17,-1,Damian Hurta missed Three Point Jumper.,0,1
19:17,2127,Armel Potter Defensive Rebound.,0,1
18:56,2127,Javis Howard made Jumper.,0,3
18:23,-1,Ryan Gibson missed Layup.,0,3
18:23,2127,Javis Howard Defensive Rebound.,0,3
18:17,2127,Christian Keeling missed Layup.,0,3
18:17,-1,Gabe Kirk Defensive Rebound.,0,3
18:04,-1,Jc Cavin missed Layup.,0,3
18:04,-1,Columbia International Offensive Rebound.,0,3
17:58,-1,Foul on Jordan Dillingham.,0,3
17:58,-1,Jordan Dillingham Turnover.,0,3
17:42,2127,Javis Howard made Jumper.,0,5
17:22,-1,Jordan Dillingham made Layup.,2,5
17:13,2127,Armel Potter Turnover.,2,5
16:57,-1,Ryan Gibson made Layup.,4,5
16:40,2127,Christian Keeling missed Jumper.,4,5
16:40,-1,Jc Cavin Defensive Rebound.,4,5
16:25,-1,Jc Cavin Turnover.,4,5
16:23,2127,Javis Howard Steal.,4,5
16:23,2127,Javis Howard Turnover.,4,5
15:52,-1,Columbia International  Turnover.,4,5
15:52,2127,Official TV Timeout,4,5
15:40,2127,Raemond Robinson missed Three Point Jumper.,4,5
15:40,2127,Javis Howard Offensive Rebound.,4,5
15:27,2127,Jamal Thomas missed Three Point Jumper.,4,5
15:27,-1,Damian Hurta Defensive Rebound.,4,5
15:02,-1,Jordan Dillingham Turnover.,4,5
14:46,2127,Javis Howard made Jumper.,4,7
14:28,-1,Damian Hurta made Three Point Jumper. Assisted by Jc Cavin.,7,7
14:20,-1,Foul on Jc Cavin.,7,7
14:06,2127,Raemond Robinson missed Jumper.,7,7
14:06,2127,Antwan Maxwell Offensive Rebound.,7,7
14:02,2127,Antwan Maxwell missed Jumper.,7,7
14:02,2127,Antwan Maxwell Offensive Rebound.,7,7
14:00,2127,Antwan Maxwell made Two Point Tip Shot.,7,9
13:47,2127,Foul on Raemond Robinson.,7,9
13:35,-1,Ryan Gibson missed Jumper.,7,9
13:35,2127,Jamal Thomas Defensive Rebound.,7,9
13:23,2127,Raemond Robinson Turnover.,7,9
13:22,-1,Dylan Smith Steal.,7,9
13:16,-1,Juraj Rovis missed Three Point Jumper.,7,9
13:16,2127,Antwan Maxwell Defensive Rebound.,7,9
13:00,2127,Jamar Martin made Three Point Jumper. Assisted by Cortez Mitchell.,7,12
12:31,-1,Caleb Gwynn missed Three Point Jumper.,7,12
12:31,2127,Cortez Mitchell Defensive Rebound.,7,12
12:23,2127,Cortez Mitchell missed Three Point Jumper.,7,12
12:23,2127,Jamar Martin Offensive Rebound.,7,12
12:18,2127,Jamar Martin missed Three Point Jumper.,7,12
12:18,-1,Caleb Gwynn Defensive Rebound.,7,12
11:47,-1,Nayquan Wilson missed Three Point Jumper.,7,12
11:47,2127,Jamal Thomas Defensive Rebound.,7,12
11:44,2127,Official TV Timeout,7,12
11:35,2127,Christian Keeling missed Jumper.,7,12
