FDU-Florham,Error,Fairleigh Dickinson,161
time,team_id,description,h_score,a_score
19:38,161,Darian Anderson made Jumper.,0,2
19:15,161,Foul on Stephan Jiggetts.,0,2
19:01,-1,Darren Davy missed Jumper.,0,2
19:01,161,Tyrone O'Garro Defensive Rebound.,0,2
18:54,161,Mike Holloway made Dunk. Assisted by Tyrone O'Garro.,0,4
18:38,-1,Darren Davy made Layup.,2,4
18:24,161,Stephan Jiggetts missed Layup.,2,4
18:24,161,Stephan Jiggetts Offensive Rebound.,2,4
18:21,161,Stephan Jiggetts missed Layup.,2,4
18:21,161,Mike Holloway Offensive Rebound.,2,4
18:19,161,Mike Holloway made Layup.,2,6
18:01,-1,Derek Leohner missed Three Point Jumper.,2,6
18:01,161,Mike Holloway Defensive Rebound.,2,6
17:43,161,Mike Holloway made Layup.,2,8
17:21,-1,Steve Herdman missed Jumper.,2,8
17:21,161,Tyrone O'Garro Defensive Rebound.,2,8
17:19,161,Tyrone O'Garro Turnover.,2,8
17:07,-1,Steve Herdman Turnover.,2,8
17:06,161,Darnell Edge Steal.,2,8
17:00,161,Darian Anderson made Jumper. Assisted by Stephan Jiggetts.,2,10
16:30,-1,Darren Davy missed Layup.,2,10
16:30,161,Tyrone O'Garro Defensive Rebound.,2,10
16:23,161,Stephan Jiggetts missed Three Point Jumper.,2,10
16:23,161,Mike Holloway Offensive Rebound.,2,10
16:20,161,Mike Holloway made Layup.,2,12
16:19,-1,FDU Florham  Timeout,2,12
16:11,-1,James Moran Turnover.,2,12
16:04,161,Mike Holloway made Dunk. Assisted by Darian Anderson.,2,14
15:43,-1,Darren Davy missed Layup.,2,14
15:43,161,Tyrone O'Garro Block.,2,14
15:41,-1,Donte Ali Offensive Rebound.,2,14
15:36,-1,Donte Ali made Layup.,4,14
15:35,161,Stephan Jiggetts Turnover.,4,14
15:23,161,Foul on Darian Anderson.,4,14
15:10,-1,Donte Ali missed Jumper.,4,14
15:10,161,Malik Miller Defensive Rebound.,4,14
14:50,161,Stephan Jiggetts missed Jumper.,4,14
14:50,161,Malik Miller Offensive Rebound.,4,14
14:47,161,Malik Miller made Layup.,4,16
14:21,-1,Darren Davy Turnover.,4,16
14:12,161,Kaleb Bishop Turnover.,4,16
14:11,-1,Veon Lassiter Steal.,4,16
14:08,161,Foul on Kaleb Bishop.,4,16
13:58,-1,Donte Ali missed Layup.,4,16
13:58,161,DaRon Curry Defensive Rebound.,4,16
13:51,161,DaRon Curry Turnover.,4,16
13:24,-1,Veon Lassiter missed Layup.,4,16
13:24,161,Malik Miller Defensive Rebound.,4,16
13:09,161,Darian Anderson made Layup.,4,18
13:08,-1,Foul on Anthony Mitchell.,4,18
13:08,161,Darian Anderson made Free Throw.,4,19
13:08,-1,Foul on Steve Herdman.,4,19
13:08,-1,Steve Herdman Turnover.,4,19
13:08,161,Foul on Kaleb Bishop.,4,19
