Tulane,201,Oklahoma,2655
time,team_id,description,h_score,a_score
20:00,201,Jump Ball won by Oklahoma,0,0
19:49,201,Khadeem Lattin Turnover.,0,0
19:31,2655,Colin Slater Turnover.,0,0
19:31,201,Rashard Odomes Steal.,0,0
19:22,201,Foul on Khadeem Lattin.,0,0
19:22,201,Khadeem Lattin Turnover.,0,0
19:14,2655,Colin Slater Turnover.,0,0
19:14,201,Jordan Woodard Steal.,0,0
19:04,201,Jordan Woodard made Three Point Jumper. Assisted by Khadeem Lattin.,0,3
18:44,2655,Colin Slater made Three Point Jumper.,3,3
18:35,201,Jordan Woodard missed Three Point Jumper.,3,3
18:35,2655,Melvin Frazier Defensive Rebound.,3,3
18:29,2655,Melvin Frazier Turnover.,3,3
18:29,201,Jordan Woodard Steal.,3,3
18:25,201,Rashard Odomes made Layup. Assisted by Jordan Woodard.,3,5
18:01,2655,Melvin Frazier missed Three Point Jumper.,3,5
18:01,201,Khadeem Lattin Defensive Rebound.,3,5
17:53,201,Christian James missed Three Point Jumper.,3,5
17:53,2655,Melvin Frazier Defensive Rebound.,3,5
17:42,2655,Cameron Reynolds missed Jumper.,3,5
17:42,2655,Melvin Frazier Offensive Rebound.,3,5
17:42,2655,Melvin Frazier missed Two Point Tip Shot.,3,5
17:42,201,Jordan Woodard Defensive Rebound.,3,5
17:34,2655,Foul on Cameron Reynolds.,3,5
17:29,201,Khadeem Lattin made Jumper. Assisted by Jordan Woodard.,3,7
17:17,2655,Colin Slater missed Jumper.,3,7
17:17,2655,Ryan Smith Offensive Rebound.,3,7
17:17,2655,Ryan Smith missed Two Point Tip Shot.,3,7
17:17,201,Jordan Woodard Defensive Rebound.,3,7
17:08,2655,Foul on Colin Slater.,3,7
17:00,201,Kristian Doolittle missed Jumper.,3,7
17:00,2655,Malik Morgan Block.,3,7
17:00,2655,Melvin Frazier Defensive Rebound.,3,7
16:50,2655,Cameron Reynolds missed Three Point Jumper.,3,7
16:50,201,Christian James Defensive Rebound.,3,7
16:41,201,Christian James missed Layup.,3,7
16:41,201,Kristian Doolittle Offensive Rebound.,3,7
16:33,201,Kristian Doolittle missed Layup.,3,7
16:33,2655,Cameron Reynolds Block.,3,7
16:33,201,Jamuni McNeace Offensive Rebound.,3,7
16:33,2655,Foul on Colin Slater.,3,7
16:33,201,Rashard Odomes made Free Throw.,3,8
16:33,201,Rashard Odomes missed Free Throw.,3,8
16:33,2655,Tulane Defensive Rebound.,3,8
16:26,201,Foul on Jamuni McNeace.,3,8
16:11,2655,Ryan Smith made Layup.,5,8
16:01,201,Christian James missed Jumper.,5,8
16:01,2655,Ryan Smith Defensive Rebound.,5,8
15:53,2655,Melvin Frazier missed Layup.,5,8
15:53,201,Jamuni McNeace Defensive Rebound.,5,8
15:42,201,Christian James made Three Point Jumper. Assisted by Jordan Woodard.,5,11
15:23,201,Foul on Christian James.,5,11
15:21,201,Official TV Timeout,5,11
