NJIT,322,Lafayette,2885
time,team_id,description,h_score,a_score
19:49,2885,Damon Lynn Turnover.,0,0
19:38,322,Eric Stafford Turnover.,0,0
19:38,322,Foul on Eric Stafford.,0,0
19:26,2885,Osa Izevbuwa made Three Point Jumper. Assisted by Tim Coleman.,3,0
19:13,322,Nick Lindner missed Three Point Jumper.,3,0
19:13,2885,Abdul Lewis Defensive Rebound.,3,0
19:02,2885,Tim Coleman missed Jumper.,3,0
19:02,322,Auston Evans Defensive Rebound.,3,0
18:38,322,Paulius Zalys missed Three Point Jumper.,3,0
18:38,2885,Damon Lynn Defensive Rebound.,3,0
18:30,322,Foul on Paulius Zalys.,3,0
18:30,2885,Rob Ukawuba made Free Throw.,4,0
18:30,2885,Rob Ukawuba made Free Throw.,5,0
18:17,322,Matt Klinewski missed Jumper.,5,0
18:17,2885,Tim Coleman Defensive Rebound.,5,0
18:07,2885,Abdul Lewis missed Jumper.,5,0
18:07,322,Paulius Zalys Defensive Rebound.,5,0
17:59,322,Paulius Zalys Turnover.,5,0
17:57,2885,Damon Lynn Steal.,5,0
17:54,2885,Damon Lynn missed Three Point Jumper.,5,0
17:54,2885,Rob Ukawuba Offensive Rebound.,5,0
17:51,2885,Rob Ukawuba Turnover.,5,0
17:51,2885,Foul on Rob Ukawuba.,5,0
17:37,2885,Foul on Osa Izevbuwa.,5,0
17:28,322,Paulius Zalys made Jumper. Assisted by Eric Stafford.,5,2
17:10,2885,Osa Izevbuwa made Jumper.,7,2
16:54,322,Matt Klinewski missed Layup.,7,2
16:54,2885,Abdul Lewis Defensive Rebound.,7,2
16:46,2885,Shyquan Gibbs missed Three Point Jumper.,7,2
16:46,322,Auston Evans Defensive Rebound.,7,2
16:40,322,Eric Stafford made Layup.,7,4
16:22,2885,Abdul Lewis made Jumper. Assisted by Damon Lynn.,9,4
16:22,322,Foul on Nick Lindner.,9,4
16:22,2885,Abdul Lewis missed Free Throw.,9,4
16:22,322,Paulius Zalys Defensive Rebound.,9,4
16:00,322,Eric Stafford Turnover.,9,4
15:58,2885,Damon Lynn Steal.,9,4
15:55,2885,Damon Lynn missed Layup.,9,4
15:55,322,Paulius Zalys Defensive Rebound.,9,4
15:49,322,Nick Lindner missed Three Point Jumper.,9,4
15:49,2885,Tim Coleman Defensive Rebound.,9,4
15:40,2885,Tim Coleman Turnover.,9,4
15:40,322,Official TV Timeout,9,4
15:30,2885,Foul on Abdul Lewis.,9,4
15:24,322,Matt Klinewski missed Jumper.,9,4
15:24,2885,Abdul Lewis Defensive Rebound.,9,4
15:09,2885,Shyquan Gibbs made Jumper. Assisted by Tim Coleman.,11,4
14:47,322,Matt Klinewski made Layup. Assisted by Eric Stafford.,11,6
14:25,2885,Abdul Lewis made Jumper. Assisted by Damon Lynn.,13,6
14:13,322,Nick Lindner missed Three Point Jumper.,13,6
14:13,2885,Rob Ukawuba Defensive Rebound.,13,6
14:07,2885,Damon Lynn made Three Point Jumper.,16,6
13:51,322,Auston Evans missed Three Point Jumper.,16,6
13:51,2885,Abdul Lewis Defensive Rebound.,16,6
13:43,2885,Ron Alston missed Three Point Jumper.,16,6
13:43,322,Auston Evans Defensive Rebound.,16,6
13:13,322,Nick Lindner missed Three Point Jumper.,16,6
13:13,2885,Abdul Lewis Defensive Rebound.,16,6
13:05,322,Foul on Lukas Jarrett.,16,6
13:05,2885,Damon Lynn made Free Throw.,17,6
13:05,2885,Damon Lynn made Free Throw.,18,6
12:54,322,Matt Klinewski made Jumper. Assisted by Kyle Stout.,18,8
12:40,2885,Damon Lynn missed Layup.,18,8
12:40,2885,Mohamed Bendary Offensive Rebound.,18,8
12:37,2885,Mohamed Bendary missed Jumper.,18,8
12:37,2885,NJIT Offensive Rebound.,18,8
12:24,2885,Rob Ukawuba missed Layup.,18,8
12:24,322,Nick Lindner Defensive Rebound.,18,8
12:13,322,Hunter Janacek missed Three Point Jumper.,18,8
12:13,322,Matt Klinewski Offensive Rebound.,18,8
12:10,322,Matt Klinewski missed Jumper.,18,8
12:10,2885,Rob Ukawuba Defensive Rebound.,18,8
12:02,2885,Shyquan Gibbs missed Layup.,18,8
12:02,322,Myles Cherry Defensive Rebound.,18,8
11:50,322,Nick Lindner made Three Point Jumper.,18,11
11:36,2885,Shyquan Gibbs Turnover.,18,11
11:36,322,Official TV Timeout,18,11
11:19,322,Myles Cherry made Jumper.,18,13
11:00,2885,Tim Coleman missed Three Point Jumper.,18,13
11:00,2885,Anthony Tarke Offensive Rebound.,18,13
10:57,2885,Anthony Tarke Turnover.,18,13
10:57,322,Hunter Janacek Steal.,18,13
10:44,322,Hunter Janacek missed Three Point Jumper.,18,13
10:44,2885,Abdul Lewis Defensive Rebound.,18,13
10:37,2885,Damon Lynn missed Three Point Jumper.,18,13
10:37,2885,Tim Coleman Offensive Rebound.,18,13
10:31,2885,Tim Coleman made Jumper.,20,13
10:13,322,Matt Klinewski missed Jumper.,20,13
10:13,322,Kyle Stout Offensive Rebound.,20,13
10:07,322,Matt Klinewski missed Jumper.,20,13
10:07,2885,Anthony Tarke Defensive Rebound.,20,13
9:58,2885,Anthony Tarke missed Three Point Jumper.,20,13
9:58,2885,Abdul Lewis Offensive Rebound.,20,13
9:54,2885,Abdul Lewis Turnover.,20,13
9:52,322,Kyle Stout Steal.,20,13
9:43,322,Hunter Janacek missed Jumper.,20,13
9:43,322,Matt Klinewski Offensive Rebound.,20,13
9:40,322,Matt Klinewski made Jumper.,20,15
9:16,2885,Anthony Tarke Turnover.,20,15
9:15,322,Myles Cherry Steal.,20,15
9:10,322,Kyle Stout missed Three Point Jumper.,20,15
9:10,2885,Abdul Lewis Defensive Rebound.,20,15
8:54,2885,Anthony Tarke made Three Point Jumper. Assisted by Abdul Lewis.,23,15
8:41,322,Hunter Janacek missed Three Point Jumper.,23,15
8:41,2885,Anthony Tarke Defensive Rebound.,23,15
8:25,2885,Abdul Lewis Turnover.,23,15
8:25,322,Nick Lindner Turnover.,23,15
8:25,322,Nick Lindner Turnover.,23,15
8:18,2885,Foul on Abdul Lewis.,23,15
8:05,322,Auston Evans missed Layup.,23,15
8:05,2885,Mohamed Bendary Block.,23,15
8:03,2885,Tim Coleman Defensive Rebound.,23,15
7:50,2885,Rob Ukawuba made Three Point Jumper. Assisted by Tim Coleman.,26,15
7:27,322,Matt Klinewski made Jumper. Assisted by Nick Lindner.,26,17
7:18,322,Foul on Nick Lindner.,26,17
7:18,322,Official TV Timeout,26,17
7:12,322,Foul on Eric Stafford.,26,17
7:12,2885,Tim Coleman made Free Throw.,27,17
7:12,2885,Tim Coleman made Free Throw.,28,17
6:44,322,Matt Klinewski missed Jumper.,28,17
6:44,2885,Tim Coleman Defensive Rebound.,28,17
6:44,2885,Tim Coleman Turnover.,28,17
