Boise State,232,Charleston,68
time,team_id,description,h_score,a_score
19:39,68,David Wacker Turnover.,0,0
19:38,232,Payton Hulsey Steal.,0,0
19:30,232,Joe Chealey missed Jumper.,0,0
19:30,68,Chandler Hutchison Defensive Rebound.,0,0
19:23,68,Nick Duncan made Three Point Jumper. Assisted by Chandler Hutchison.,3,0
18:56,232,Jarrell Brantley missed Jumper.,3,0
18:56,68,James Reid Defensive Rebound.,3,0
18:48,68,James Reid missed Three Point Jumper.,3,0
18:48,232,Jarrell Brantley Defensive Rebound.,3,0
18:38,232,Jarrell Brantley Turnover.,3,0
18:38,232,Foul on Nick Harris.,3,0
18:27,68,David Wacker made Dunk. Assisted by Chandler Hutchison.,5,0
18:12,232,Cameron Johnson missed Three Point Jumper.,5,0
18:12,68,James Reid Defensive Rebound.,5,0
17:59,68,James Reid Turnover.,5,0
17:37,232,Jarrell Brantley missed Layup.,5,0
17:37,232,Chevez Goodwin Offensive Rebound.,5,0
17:34,68,Foul on Chandler Hutchison.,5,0
17:34,232,Chevez Goodwin made Free Throw.,5,1
17:34,232,Chevez Goodwin missed Free Throw.,5,1
17:34,68,Chandler Hutchison Defensive Rebound.,5,1
17:17,68,David Wacker missed Layup.,5,1
17:17,232,Chevez Goodwin Block.,5,1
17:16,232,Payton Hulsey Defensive Rebound.,5,1
17:10,232,Jarrell Brantley missed Three Point Jumper.,5,1
17:10,68,David Wacker Defensive Rebound.,5,1
16:42,68,James Reid missed Three Point Jumper.,5,1
16:42,232,Jarrell Brantley Defensive Rebound.,5,1
16:17,232,Cameron Johnson missed Layup.,5,1
16:17,232,Jarrell Brantley Offensive Rebound.,5,1
16:13,232,Jarrell Brantley made Two Point Tip Shot.,5,3
16:05,68,Chandler Hutchison made Layup.,7,3
16:05,232,Foul on Payton Hulsey.,7,3
16:05,68,Chandler Hutchison made Free Throw.,8,3
15:50,232,Cameron Johnson missed Jumper.,8,3
15:50,68,James Reid Defensive Rebound.,8,3
15:46,68,Nick Duncan missed Three Point Jumper.,8,3
15:46,232,Jarrell Brantley Defensive Rebound.,8,3
15:30,232,Payton Hulsey missed Jumper.,8,3
15:30,68,David Wacker Defensive Rebound.,8,3
15:16,68,Nick Duncan missed Three Point Jumper.,8,3
15:16,232,Charleston Defensive Rebound.,8,3
15:12,68,Foul on David Wacker.,8,3
