Nazareth,2084,Buffalo,110426
time,team_id,description,h_score,a_score
19:31,-1,Foul on Tyler Stenglein.,0,0
19:13,2084,Quate McKinzie Turnover.,0,0
19:01,-1,Tyler Stenglein missed Jumper.,0,0
19:01,2084,Nick Perkins Defensive Rebound.,0,0
18:43,2084,Nick Perkins missed Jumper.,0,0
18:43,-1,Brendan Wind Defensive Rebound.,0,0
18:31,-1,Mitch Keniston missed Jumper.,0,0
18:31,2084,Nick Perkins Defensive Rebound.,0,0
18:23,2084,Quate McKinzie made Three Point Jumper. Assisted by Dontay Caruthers.,0,3
17:55,-1,Denzell Jackson missed Jumper.,0,3
17:55,2084,Nick Perkins Block.,0,3
17:54,2084,Dontay Caruthers Defensive Rebound.,0,3
17:48,2084,Willie Conner made Layup. Assisted by Dontay Caruthers.,0,5
17:17,-1,Tyler Stenglein missed Jumper.,0,5
17:17,2084,Quate McKinzie Defensive Rebound.,0,5
17:10,2084,Dontay Caruthers Turnover.,0,5
16:59,2084,Foul on Willie Conner.,0,5
16:52,-1,Brendan Wind missed Three Point Jumper.,0,5
16:52,-1,Josh Gillard Offensive Rebound.,0,5
16:36,-1,Brendan Wind made Layup.,2,5
16:09,2084,Willie Conner missed Layup.,2,5
16:09,2084,Ikenna Smart Offensive Rebound.,2,5
15:54,2084,Nick Perkins missed Layup.,2,5
15:54,-1,Brendan Wind Defensive Rebound.,2,5
15:43,-1,Jake Burgio made Jumper. Assisted by Brendan Wind.,4,5
15:31,-1,Foul on Chris Jones.,4,5
15:31,2084,Official TV Timeout,4,5
15:31,2084,Nick Perkins made Free Throw.,4,6
15:31,2084,Nick Perkins made Free Throw.,4,7
15:12,-1,Tyler Stenglein made Jumper.,6,7
15:12,2084,Foul on Willie Conner.,6,7
15:12,-1,Tyler Stenglein missed Free Throw.,6,7
15:12,-1,Jake Burgio Offensive Rebound.,6,7
14:58,-1,Tyler Stenglein missed Jumper.,6,7
14:58,-1,Chris Jones Offensive Rebound.,6,7
14:52,-1,Chris Jones made Layup.,8,7
14:31,-1,Foul on Chris Jones.,8,7
14:31,2084,Dontay Caruthers made Free Throw.,8,8
14:31,2084,Dontay Caruthers made Free Throw.,8,9
14:08,-1,Tyler Stenglein missed Jumper.,8,9
14:08,2084,David Kadiri Defensive Rebound.,8,9
13:42,2084,Davonta Jordan missed Layup.,8,9
13:42,-1,Mitch Keniston Block.,8,9
13:40,2084,Davonta Jordan Offensive Rebound.,8,9
13:37,2084,Buffalo  Turnover.,8,9
13:12,2084,Foul on Davonta Jordan.,8,9
13:00,-1,Tyler Stenglein missed Jumper.,8,9
13:00,2084,Quate McKinzie Defensive Rebound.,8,9
12:43,2084,Blake Hamilton missed Three Point Jumper.,8,9
12:43,-1,Daniel Jacob Defensive Rebound.,8,9
12:11,-1,Brendan Wind Turnover.,8,9
11:52,2084,Nick Perkins made Three Point Jumper. Assisted by Blake Hamilton.,8,12
11:19,-1,Jake Burgio made Layup.,10,12
11:03,2084,Nick Perkins made Three Point Jumper. Assisted by Davonta Jordan.,10,15
10:38,-1,Brendan Wind missed Jumper.,10,15
10:38,2084,Davonta Jordan Defensive Rebound.,10,15
10:33,2084,Blake Hamilton Turnover.,10,15
10:33,2084,Official TV Timeout,10,15
10:05,-1,Josh Gillard made Three Point Jumper. Assisted by Brendan Wind.,13,15
9:54,2084,Willie Conner made Three Point Jumper. Assisted by Blake Hamilton.,13,18
9:28,-1,Josh Gillard missed Three Point Jumper.,13,18
9:28,2084,Blake Hamilton Defensive Rebound.,13,18
9:19,2084,Quate McKinzie made Three Point Jumper. Assisted by Blake Hamilton.,13,21
8:47,-1,Chris Jones missed Jumper.,13,21
8:47,-1,Josh Gillard Offensive Rebound.,13,21
8:16,-1,Brendan Wind Turnover.,13,21
8:08,2084,Willie Conner missed Three Point Jumper.,13,21
8:08,2084,Buffalo Offensive Rebound.,13,21
