Bethesda,Error,Southern Utah,253
time,team_id,description,h_score,a_score
19:52,253,Ivan Madunic missed Three Point Jumper.,0,0
19:52,-1,Mario Winfrey Defensive Rebound.,0,0
19:23,-1,Michael Walker missed Jumper.,0,0
19:23,253,Christian Musoko Defensive Rebound.,0,0
19:18,253,Christian Musoko Turnover.,0,0
19:15,253,Foul on James McGee.,0,0
19:13,-1,Alex Smith missed Three Point Jumper.,0,0
19:13,253,Randy Onwuasor Defensive Rebound.,0,0
19:07,253,Race Parsons made Layup.,0,2
18:55,-1,Jarrell Tat made Jumper.,2,2
18:44,253,Randy Onwuasor missed Three Point Jumper.,2,2
18:44,-1,Mario Winfrey Defensive Rebound.,2,2
18:30,-1,Jarrell Tat Turnover.,2,2
18:28,253,Randy Onwuasor Steal.,2,2
18:26,253,Race Parsons Turnover.,2,2
18:25,-1,Mario Winfrey Steal.,2,2
18:23,-1,Jarrell Tat made Three Point Jumper. Assisted by Michael Walker.,5,2
18:11,-1,Foul on Michael Walker.,5,2
18:08,253,Ivan Madunic made Three Point Jumper. Assisted by Randy Onwuasor.,5,5
17:52,-1,Cj Johnson missed Three Point Jumper.,5,5
17:52,253,Ivan Madunic Defensive Rebound.,5,5
17:45,-1,Foul on Alex Smith.,5,5
17:37,253,Randy Onwuasor Turnover.,5,5
17:36,-1,Mario Winfrey Steal.,5,5
17:29,-1,Jarrell Tat Turnover.,5,5
17:28,253,Race Parsons Steal.,5,5
17:25,-1,Foul on Jarrell Tat.,5,5
17:25,-1,Bethesda University  Timeout,5,5
17:13,253,Race Parsons made Three Point Jumper. Assisted by James McGee.,5,8
16:56,-1,Mario Winfrey missed Jumper.,5,8
16:56,253,Christian Musoko Defensive Rebound.,5,8
16:51,-1,Foul on Cj Johnson.,5,8
16:46,253,Christian Musoko Turnover.,5,8
16:19,-1,Alex Smith missed Jumper.,5,8
16:19,-1,Alex Smith Offensive Rebound.,5,8
16:16,253,Foul on James McGee.,5,8
16:12,-1,Alex Smith made Free Throw.,6,8
16:12,-1,Alex Smith missed Free Throw.,6,8
16:12,253,Ivan Madunic Defensive Rebound.,6,8
16:08,253,Ivan Madunic missed Three Point Jumper.,6,8
16:08,-1,Cj Johnson Defensive Rebound.,6,8
15:50,-1,Cj Johnson missed Jumper.,6,8
15:50,253,Randy Onwuasor Defensive Rebound.,6,8
15:38,253,John Marshall missed Three Point Jumper.,6,8
15:38,253,Ivan Madunic Offensive Rebound.,6,8
15:35,253,Ivan Madunic made Layup.,6,10
15:18,-1,Mario Winfrey missed Jumper.,6,10
15:18,-1,Bethesda University Deadball Team Rebound.,6,10
14:59,-1,Foul on Alex Smith.,6,10
14:41,253,Randy Onwuasor missed Three Point Jumper.,6,10
14:41,-1,Jarrell Tat Defensive Rebound.,6,10
14:27,-1,Jarrell Tat Turnover.,6,10
14:27,-1,Foul on Jarrell Tat.,6,10
14:16,253,John Marshall missed Layup.,6,10
14:16,-1,Cj Johnson Block.,6,10
14:16,253,Southern Utah Offensive Rebound.,6,10
14:11,-1,Foul on Alex Smith.,6,10
14:11,253,Brayden Holker made Free Throw.,6,11
14:11,253,Brayden Holker missed Free Throw.,6,11
14:11,-1,Eddie Latorre Defensive Rebound.,6,11
13:43,-1,Jarrell Tat missed Three Point Jumper.,6,11
