Hiram,Error,Kent State,2309
time,team_id,description,h_score,a_score
19:44,-1,Kelvin Jones Turnover.,0,0
19:44,-1,Foul on Kelvin Jones.,0,0
19:29,2309,Jimmy Hall made Layup. Assisted by Mitch Peterson.,0,2
19:08,-1,Isaiah Matthews Turnover.,0,2
19:01,2309,Mitch Peterson made Three Point Jumper. Assisted by Jimmy Hall.,0,5
18:49,-1,Isaiah Matthews missed Three Point Jumper.,0,5
18:49,2309,Kent State Defensive Rebound.,0,5
18:36,2309,Mitch Peterson made Jumper.,0,7
18:25,-1,Paul Ortiz missed Layup.,0,7
18:25,2309,Danny Pippen Block.,0,7
18:25,-1,Hiram Offensive Rebound.,0,7
18:09,-1,Isaiah Matthews Turnover.,0,7
18:09,2309,Mitch Peterson Steal.,0,7
18:01,2309,Jalen Avery Turnover.,0,7
17:59,-1,Terrence Warren Steal.,0,7
17:58,-1,Paul Ortiz made Layup. Assisted by Terrence Warren.,2,7
17:46,2309,Jalen Avery missed Three Point Jumper.,2,7
17:46,-1,Terrence Warren Defensive Rebound.,2,7
17:29,-1,Isaiah Matthews Turnover.,2,7
17:29,-1,Foul on Isaiah Matthews.,2,7
17:21,-1,Foul on Terrence Warren.,2,7
17:01,2309,Deon Edwin made Jumper.,2,9
16:47,-1,Paul Ortiz missed Three Point Jumper.,2,9
16:47,2309,Deon Edwin Defensive Rebound.,2,9
16:38,2309,Deon Edwin Turnover.,2,9
16:18,-1,Marcel Rice missed Layup.,2,9
16:18,2309,Danny Pippen Defensive Rebound.,2,9
16:06,2309,Danny Pippen made Three Point Jumper. Assisted by Jimmy Hall.,2,12
15:40,2309,Official TV Timeout,2,12
15:32,-1,Kyle Deckerd made Three Point Jumper.,5,12
15:16,2309,Adonis De La Rosa made Layup.,5,14
15:16,-1,Foul on Joe Caspio.,5,14
15:16,2309,Adonis De La Rosa missed Free Throw.,5,14
15:16,-1,Kyle Deckerd Defensive Rebound.,5,14
15:04,-1,Kyle Deckerd Turnover.,5,14
