Union (TN),Error,Southern Miss,2572
time,team_id,description,h_score,a_score
19:40,2572,Michael Ramey missed Three Point Jumper.,0,0
19:40,-1,Tray Boyd Iii Block.,0,0
19:36,-1,Ashanti Day Defensive Rebound.,0,0
19:28,-1,Jarad Scott Turnover.,0,0
19:05,2572,Michael Ramey made Three Point Jumper. Assisted by Eddie Davis III.,0,3
18:45,-1,KC Goodwin Turnover.,0,3
18:27,2572,Raheem Watts missed Three Point Jumper.,0,3
18:27,2572,Eddie Davis III Offensive Rebound.,0,3
18:22,2572,Eddie Davis III Turnover.,0,3
18:21,-1,Jarad Scott Steal.,0,3
18:02,-1,Felipe Rocha missed Jumper.,0,3
18:02,2572,Quinton Campbell Defensive Rebound.,0,3
17:43,-1,Foul on Felipe Rocha.,0,3
17:38,2572,Quinton Campbell made Three Point Jumper. Assisted by Michael Ramey.,0,6
17:16,2572,Foul on Raheem Watts.,0,6
17:16,-1,Ashanti Day missed Free Throw.,0,6
17:16,-1,Union University Deadball Team Rebound.,0,6
17:16,-1,Ashanti Day made Free Throw.,1,6
16:51,2572,Raheem Watts missed Jumper.,1,6
16:51,2572,Eddie Davis III Offensive Rebound.,1,6
16:44,2572,Michael Ramey missed Three Point Jumper.,1,6
16:44,-1,Union University Defensive Rebound.,1,6
16:20,-1,Ashanti Day made Jumper. Assisted by Felipe Rocha.,3,6
16:02,2572,Quinton Campbell made Three Point Jumper. Assisted by Eddie Davis III.,3,9
15:41,-1,KC Goodwin made Three Point Jumper. Assisted by Jarad Scott.,6,9
15:18,2572,Eddie Davis III missed Jumper.,6,9
15:18,-1,Jarad Scott Block.,6,9
15:16,2572,Southern Miss Offensive Rebound.,6,9
15:16,2572,Official TV Timeout,6,9
15:07,2572,Raheem Watts Turnover.,6,9
14:53,-1,KC Goodwin missed Jumper.,6,9
14:53,2572,Southern Miss Defensive Rebound.,6,9
14:36,2572,Cortez Edwards Turnover.,6,9
14:20,-1,Bennett Fuzak missed Three Point Jumper.,6,9
14:20,2572,Raheem Watts Defensive Rebound.,6,9
14:00,2572,Kevin Holland made Three Point Jumper. Assisted by Cortez Edwards.,6,12
13:39,-1,Ashanti Day made Jumper.,8,12
13:24,2572,Eddie Davis III Turnover.,8,12
13:24,-1,Union University  Turnover.,8,12
13:10,2572,Cortez Edwards missed Jumper.,8,12
13:10,-1,Jarad Scott Defensive Rebound.,8,12
13:07,2572,Foul on Cortez Edwards.,8,12
12:55,-1,Jarad Scott missed Layup.,8,12
12:55,2572,Eddie Davis III Block.,8,12
12:52,2572,Eddie Davis III Defensive Rebound.,8,12
12:43,2572,Cortez Edwards missed Three Point Jumper.,8,12
12:43,-1,Alex Keel Defensive Rebound.,8,12
12:23,-1,Alex Keel missed Three Point Jumper.,8,12
12:23,2572,Raheem Watts Defensive Rebound.,8,12
12:16,2572,Foul on Eddie Davis III.,8,12
12:16,2572,Eddie Davis III Turnover.,8,12
11:56,-1,Nick Velasquez missed Jumper.,8,12
11:56,2572,Cortez Edwards Defensive Rebound.,8,12
11:36,2572,Robert Thomas III missed Jumper.,8,12
11:36,-1,Tray Boyd Iii Block.,8,12
11:33,-1,Alex Keel Defensive Rebound.,8,12
11:09,-1,Nick Velasquez Turnover.,8,12
11:08,2572,D'Angelo Richardson Steal.,8,12
10:51,2572,Cortez Edwards missed Jumper.,8,12
10:51,-1,Ashanti Day Block.,8,12
10:51,2572,Cortez Edwards Offensive Rebound.,8,12
10:49,-1,Foul on Ashanti Day.,8,12
10:48,2572,Official TV Timeout,8,12
10:48,2572,Cortez Edwards missed Free Throw.,8,12
10:48,2572,Southern Miss Deadball Team Rebound.,8,12
10:48,2572,Cortez Edwards missed Free Throw.,8,12
10:48,-1,Bennett Fuzak Defensive Rebound.,8,12
10:24,-1,Tray Boyd Iii missed Three Point Jumper.,8,12
10:24,2572,Robert Thomas III Defensive Rebound.,8,12
10:13,2572,Foul on Tim Rowe.,8,12
10:13,2572,Tim Rowe Turnover.,8,12
10:00,-1,Bennett Fuzak missed Three Point Jumper.,8,12
10:00,2572,Michael Ramey Defensive Rebound.,8,12
9:39,2572,Tim Rowe Turnover.,8,12
9:27,-1,Tray Boyd Iii missed Jumper.,8,12
9:27,2572,Raheem Watts Defensive Rebound.,8,12
9:05,2572,Kevin Holland Turnover.,8,12
9:04,-1,Alex Keel Steal.,8,12
9:00,-1,Alex Keel missed Three Point Jumper.,8,12
9:00,-1,Ashanti Day Offensive Rebound.,8,12
8:55,-1,Ashanti Day made Jumper.,10,12
8:37,2572,Kevin Holland made Jumper.,10,14
8:22,-1,Tray Boyd Iii Turnover.,10,14
7:52,2572,D'Angelo Richardson Turnover.,10,14
7:51,-1,KC Goodwin Steal.,10,14
7:50,2572,Foul on D'Angelo Richardson.,10,14
7:50,2572,Official TV Timeout,10,14
7:50,-1,KC Goodwin made Free Throw.,11,14
7:50,-1,KC Goodwin made Free Throw.,12,14
7:25,2572,Quinton Campbell made Jumper.,12,16
6:57,-1,Ashanti Day missed Layup.,12,16
6:57,2572,Tim Rowe Block.,12,16
6:55,2572,Eddie Davis III Defensive Rebound.,12,16
6:51,2572,Kevin Holland missed Jumper.,12,16
6:51,-1,Tray Boyd Iii Defensive Rebound.,12,16
6:44,-1,Tray Boyd Iii missed Layup.,12,16
6:44,2572,Quinton Campbell Defensive Rebound.,12,16
6:35,2572,Tim Rowe made Layup. Assisted by D'Angelo Richardson.,12,18
6:18,-1,Jarad Scott Turnover.,12,18
5:53,2572,D'Angelo Richardson missed Jumper.,12,18
5:53,-1,Nick Velasquez Defensive Rebound.,12,18
5:44,-1,Ashanti Day missed Three Point Jumper.,12,18
5:44,2572,Tim Rowe Defensive Rebound.,12,18
5:20,2572,Quinton Campbell Turnover.,12,18
5:10,-1,KC Goodwin missed Three Point Jumper.,12,18
5:10,2572,Raheem Watts Defensive Rebound.,12,18
5:02,2572,Tim Rowe missed Jumper.,12,18
5:02,2572,Tim Rowe Offensive Rebound.,12,18
4:57,-1,Foul on Ashanti Day.,12,18
4:57,2572,Tim Rowe made Free Throw.,12,19
4:57,2572,Tim Rowe made Free Throw.,12,20
4:44,-1,Jarad Scott missed Jumper.,12,20
4:44,2572,Tim Rowe Block.,12,20
4:40,2572,Tim Rowe Defensive Rebound.,12,20
4:35,2572,Michael Ramey missed Jumper.,12,20
4:35,-1,Jarad Scott Defensive Rebound.,12,20
4:25,-1,Bennett Fuzak missed Three Point Jumper.,12,20
4:25,2572,Tim Rowe Defensive Rebound.,12,20
4:16,2572,Bilal Abdur-Rahim made Jumper.,12,22
4:11,-1,Union University  Timeout,12,22
3:54,-1,Nick Velasquez missed Jumper.,12,22
3:54,-1,KC Goodwin Offensive Rebound.,12,22
3:51,-1,Tray Boyd Iii missed Three Point Jumper.,12,22
3:51,2572,Tim Rowe Defensive Rebound.,12,22
3:27,2572,Quinton Campbell missed Jumper.,12,22
3:27,-1,Bennett Fuzak Block.,12,22
3:26,-1,Jarad Scott Defensive Rebound.,12,22
3:18,-1,Tray Boyd Iii missed Three Point Jumper.,12,22
3:18,-1,Jarad Scott Offensive Rebound.,12,22
3:15,-1,Nick Velasquez made Three Point Jumper. Assisted by Jarad Scott.,15,22
2:54,2572,Foul on Tim Rowe.,15,22
2:54,2572,Tim Rowe Turnover.,15,22
2:40,-1,Foul on Jarad Scott.,15,22
2:40,-1,Jarad Scott Turnover.,15,22
2:26,2572,Eddie Davis III made Jumper. Assisted by Michael Ramey.,15,24
2:26,-1,Foul on KC Goodwin.,15,24
2:26,2572,Eddie Davis III missed Free Throw.,15,24
2:26,-1,Jarad Scott Defensive Rebound.,15,24
2:07,-1,Bennett Fuzak missed Three Point Jumper.,15,24
2:07,2572,D'Angelo Richardson Defensive Rebound.,15,24
1:56,2572,Michael Ramey missed Three Point Jumper.,15,24
1:56,-1,Union University Defensive Rebound.,15,24
1:37,-1,Jarad Scott made Three Point Jumper. Assisted by Nick Velasquez.,18,24
1:24,2572,Bilal Abdur-Rahim Turnover.,18,24
1:13,2572,Foul on Eddie Davis III.,18,24
1:13,-1,KC Goodwin made Free Throw.,19,24
1:13,-1,KC Goodwin made Free Throw.,20,24
0:57,2572,Robert Thomas III made Three Point Jumper. Assisted by Kevin Holland.,20,27
0:39,-1,Nick Velasquez missed Three Point Jumper.,20,27
0:39,2572,Southern Miss Defensive Rebound.,20,27
0:37,2572,Southern Miss  Timeout,20,27
0:12,2572,Raheem Watts Turnover.,20,27
0:00,2572,End of 1st half,20,27
19:40,-1,Tray Boyd Iii Turnover.,20,27
19:20,2572,Raheem Watts missed Jumper.,20,27
19:20,-1,Jarad Scott Defensive Rebound.,20,27
19:10,-1,Jarad Scott made Layup. Assisted by KC Goodwin.,22,27
18:49,-1,Foul on Ashanti Day.,22,27
18:49,2572,Quinton Campbell made Free Throw.,22,28
18:49,2572,Quinton Campbell made Free Throw.,22,29
18:25,-1,Jarad Scott made Three Point Jumper. Assisted by KC Goodwin.,25,29
