Idaho State,328,Utah State,304
time,team_id,description,h_score,a_score
19:34,304,Novak Topalovic missed Layup.,0,0
19:34,328,Koby McEwen Defensive Rebound.,0,0
19:28,328,Jalen Moore made Layup. Assisted by Koby McEwen.,0,2
19:23,304,Idaho State  Timeout,0,2
19:08,304,Stephen Lennox Turnover.,0,2
18:55,328,Shane Rector made Three Point Jumper. Assisted by Koby McEwen.,0,5
18:34,304,Ethan Telfair Turnover.,0,5
18:33,328,Norbert Janicek Steal.,0,5
18:20,328,Ngor Barnaba missed Three Point Jumper.,0,5
18:20,304,Ethan Telfair Defensive Rebound.,0,5
18:06,304,Balint Mocsan made Three Point Jumper. Assisted by Novak Topalovic.,3,5
17:46,328,Jalen Moore missed Three Point Jumper.,3,5
17:46,304,Novak Topalovic Defensive Rebound.,3,5
17:34,304,Ethan Telfair missed Jumper.,3,5
17:34,328,Norbert Janicek Defensive Rebound.,3,5
17:21,328,Norbert Janicek made Layup. Assisted by Shane Rector.,3,7
17:04,304,Novak Topalovic Turnover.,3,7
16:54,328,Norbert Janicek Turnover.,3,7
16:32,304,Stephen Lennox made Three Point Jumper. Assisted by Ethan Telfair.,6,7
16:12,328,Ngor Barnaba missed Jumper.,6,7
16:12,328,Norbert Janicek Offensive Rebound.,6,7
16:10,304,Foul on Geno Luzcando.,6,7
16:03,328,Norbert Janicek made Jumper. Assisted by Shane Rector.,6,9
15:49,304,Balint Mocsan missed Three Point Jumper.,6,9
15:49,328,Jalen Moore Defensive Rebound.,6,9
15:41,328,Shane Rector missed Layup.,6,9
15:41,304,Novak Topalovic Defensive Rebound.,6,9
15:35,304,Balint Mocsan missed Three Point Jumper.,6,9
15:35,304,Novak Topalovic Offensive Rebound.,6,9
15:33,304,Novak Topalovic made Two Point Tip Shot.,8,9
15:12,328,Shane Rector missed Three Point Jumper.,8,9
15:12,304,Idaho State Defensive Rebound.,8,9
15:10,328,Official TV Timeout,8,9
14:53,304,Geno Luzcando Turnover.,8,9
14:34,328,Koby McEwen made Three Point Jumper. Assisted by Shane Rector.,8,12
14:11,328,Foul on Alexis Dargenton.,8,12
13:56,304,Geno Luzcando made Layup. Assisted by Balint Mocsan.,10,12
13:38,328,Shane Rector missed Three Point Jumper.,10,12
13:38,328,Utah State Offensive Rebound.,10,12
13:16,328,Jalen Moore made Jumper. Assisted by Julion Pearre.,10,14
12:55,304,Ethan Telfair made Jumper.,12,14
12:33,328,Jalen Moore Turnover.,12,14
12:33,304,Ethan Telfair Steal.,12,14
12:29,304,Balint Mocsan missed Layup.,12,14
12:29,328,Jalen Moore Block.,12,14
12:27,304,Geno Luzcando Offensive Rebound.,12,14
12:20,304,Balint Mocsan missed Three Point Jumper.,12,14
12:20,328,Quinn Taylor Defensive Rebound.,12,14
12:11,328,Quinn Taylor missed Jumper.,12,14
12:11,328,Alexis Dargenton Offensive Rebound.,12,14
12:07,328,Alexis Dargenton made Dunk. Assisted by Shane Rector.,12,16
11:57,304,Ethan Telfair Turnover.,12,16
11:57,328,Shane Rector Steal.,12,16
11:57,328,Official TV Timeout,12,16
11:37,328,Julion Pearre made Three Point Jumper. Assisted by Jalen Moore.,12,19
11:17,304,Gary Chivichyan made Three Point Jumper.,15,19
11:01,328,Shane Rector Turnover.,15,19
10:49,304,Geno Luzcando missed Jumper.,15,19
10:49,328,Quinn Taylor Block.,15,19
10:47,304,Geno Luzcando Offensive Rebound.,15,19
10:46,304,Geno Luzcando made Layup.,17,19
10:35,328,Quinn Taylor Turnover.,17,19
10:34,304,Balint Mocsan Steal.,17,19
10:16,304,Gary Chivichyan missed Three Point Jumper.,17,19
10:16,328,Koby McEwen Defensive Rebound.,17,19
10:03,328,Jalen Moore missed Three Point Jumper.,17,19
10:03,304,Balint Mocsan Defensive Rebound.,17,19
9:53,304,Ethan Telfair missed Jumper.,17,19
9:53,328,Koby McEwen Block.,17,19
9:51,328,Koby McEwen Defensive Rebound.,17,19
9:48,328,Koby McEwen Turnover.,17,19
9:47,304,Balint Mocsan Steal.,17,19
9:35,304,Geno Luzcando Turnover.,17,19
9:34,328,Quinn Taylor Steal.,17,19
9:28,328,Sam Merrill missed Jumper.,17,19
9:28,304,Gary Chivichyan Defensive Rebound.,17,19
9:06,304,Ethan Telfair missed Jumper.,17,19
9:06,328,Julion Pearre Defensive Rebound.,17,19
8:58,328,Sam Merrill made Three Point Jumper. Assisted by Jalen Moore.,17,22
8:28,328,Foul on Jalen Moore.,17,22
8:28,304,Geno Luzcando made Free Throw.,18,22
8:28,304,Geno Luzcando missed Free Throw.,18,22
8:28,328,Julion Pearre Defensive Rebound.,18,22
8:12,328,Koby McEwen missed Three Point Jumper.,18,22
8:12,304,Brandon Boyd Defensive Rebound.,18,22
7:46,304,Gary Chivichyan missed Three Point Jumper.,18,22
7:46,328,Koby McEwen Defensive Rebound.,18,22
7:36,328,Julion Pearre missed Three Point Jumper.,18,22
7:36,328,Ngor Barnaba Offensive Rebound.,18,22
7:32,304,Foul on Ethan Telfair.,18,22
7:32,328,Official TV Timeout,18,22
7:32,328,Ngor Barnaba made Free Throw.,18,23
7:32,328,Ngor Barnaba made Free Throw.,18,24
7:18,304,Geno Luzcando missed Three Point Jumper.,18,24
7:18,328,Sam Merrill Defensive Rebound.,18,24
7:03,328,Ngor Barnaba made Layup. Assisted by Sam Merrill.,18,26
6:44,304,Brandon Boyd Turnover.,18,26
6:13,328,Jalen Moore missed Jumper.,18,26
6:13,304,Idaho State Defensive Rebound.,18,26
5:55,304,Ethan Telfair missed Three Point Jumper.,18,26
5:55,328,Ngor Barnaba Defensive Rebound.,18,26
5:49,304,Foul on Robert Jones III.,18,26
5:34,328,Koby McEwen Turnover.,18,26
5:22,304,Robert Jones III missed Jumper.,18,26
5:22,328,Ngor Barnaba Defensive Rebound.,18,26
5:11,328,Norbert Janicek made Layup. Assisted by Shane Rector.,18,28
5:00,304,Robert Jones III missed Layup.,18,28
5:00,328,Norbert Janicek Defensive Rebound.,18,28
4:52,328,Shane Rector made Jumper.,18,30
4:34,304,Gary Chivichyan missed Three Point Jumper.,18,30
4:34,328,Ngor Barnaba Defensive Rebound.,18,30
4:20,328,Ngor Barnaba made Layup. Assisted by Koby McEwen.,18,32
4:17,304,Idaho State  Timeout,18,32
4:17,328,Official TV Timeout,18,32
3:53,304,Ethan Telfair missed Three Point Jumper.,18,32
3:53,328,Koby McEwen Defensive Rebound.,18,32
3:50,304,Foul on Geno Luzcando.,18,32
3:28,328,Shane Rector missed Three Point Jumper.,18,32
3:28,304,Stephen Lennox Defensive Rebound.,18,32
3:27,328,Foul on Jalen Moore.,18,32
3:08,304,Balint Mocsan missed Three Point Jumper.,18,32
3:08,328,Koby McEwen Defensive Rebound.,18,32
3:02,328,Koby McEwen Turnover.,18,32
2:45,304,Novak Topalovic Turnover.,18,32
2:44,328,Shane Rector Steal.,18,32
2:34,328,Koby McEwen made Three Point Jumper.,18,35
2:25,328,Foul on Norbert Janicek.,18,35
2:24,304,Ethan Telfair made Free Throw.,19,35
2:24,304,Ethan Telfair made Free Throw.,20,35
2:15,328,Ngor Barnaba made Jumper. Assisted by Shane Rector.,20,37
1:54,304,Balint Mocsan made Layup.,22,37
1:39,328,Ngor Barnaba missed Three Point Jumper.,22,37
1:39,304,Balint Mocsan Defensive Rebound.,22,37
1:30,304,Stephen Lennox missed Three Point Jumper.,22,37
1:30,328,Ngor Barnaba Defensive Rebound.,22,37
1:17,328,Sam Merrill made Jumper. Assisted by Shane Rector.,22,39
1:04,304,Gary Chivichyan made Three Point Jumper. Assisted by Ethan Telfair.,25,39
0:38,304,Foul on Ethan Telfair.,25,39
0:38,328,Shane Rector made Free Throw.,25,40
0:38,328,Shane Rector missed Free Throw.,25,40
0:38,304,Ethan Telfair Defensive Rebound.,25,40
0:15,304,Ethan Telfair made Layup.,27,40
0:00,328,Sam Merrill missed Three Point Jumper.,27,40
0:00,304,Novak Topalovic Defensive Rebound.,27,40
0:00,328,End of 1st half,27,40
19:36,304,Geno Luzcando missed Three Point Jumper.,27,40
19:36,328,Utah State Defensive Rebound.,27,40
19:11,328,Norbert Janicek made Jumper. Assisted by Koby McEwen.,27,42
18:59,304,Geno Luzcando missed Layup.,27,42
18:59,328,Norbert Janicek Block.,27,42
18:57,328,Ngor Barnaba Defensive Rebound.,27,42
18:52,328,Koby McEwen made Layup.,27,44
18:31,304,Ethan Telfair Turnover.,27,44
18:30,328,Shane Rector Steal.,27,44
18:25,328,Shane Rector made Layup.,27,46
18:11,304,Brandon Boyd Turnover.,27,46
18:10,328,Shane Rector Steal.,27,46
18:06,328,Shane Rector made Jumper.,27,48
18:04,304,Idaho State  Timeout,27,48
17:46,304,Gary Chivichyan made Three Point Jumper. Assisted by Novak Topalovic.,30,48
17:28,328,Norbert Janicek Turnover.,30,48
17:27,304,Ethan Telfair Steal.,30,48
17:19,304,Ethan Telfair made Jumper.,32,48
