Toledo,2750,Wright State,2649
time,team_id,description,h_score,a_score
19:41,2649,Foul on Jaelan Sanford.,0,0
19:41,2750,Mike La Tulip missed Three Point Jumper.,0,0
19:41,2649,Steve Taylor Jr. Defensive Rebound.,0,0
19:41,2649,Steve Taylor Jr. missed Jumper.,0,0
19:41,2649,Zach Garber Offensive Rebound.,0,0
19:41,2649,Jonathan Williams missed Three Point Jumper.,0,0
19:41,2750,Grant Benzinger Defensive Rebound.,0,0
19:40,2750,Mark Alstork Turnover.,0,0
19:27,2649,Steve Taylor Jr. made Layup. Assisted by Jonathan Williams.,2,0
19:27,2750,Justin Mitchell Turnover.,2,0
19:27,2649,Jaelan Sanford made Jumper. Assisted by Jonathan Williams.,4,0
17:45,2750,Mark Alstork missed Jumper.,4,0
17:45,2649,Steve Taylor Jr. Defensive Rebound.,4,0
17:37,2649,Jonathan Williams Turnover.,4,0
17:36,2750,Grant Benzinger Steal.,4,0
17:26,2750,Justin Mitchell made Jumper.,4,2
17:09,2649,Jonathan Williams made Three Point Jumper. Assisted by Jaelan Sanford.,7,2
16:55,2750,Mark Alstork made Three Point Jumper. Assisted by Justin Mitchell.,7,5
16:32,2649,Steve Taylor Jr. Turnover.,7,5
16:15,2750,Steven Davis made Three Point Jumper. Assisted by Mark Alstork.,7,8
15:59,2649,Jonathan Williams made Layup. Assisted by Steve Taylor Jr..,9,8
15:49,2750,Justin Mitchell made Layup.,9,10
15:28,2649,Jaelan Sanford made Three Point Jumper. Assisted by Jordan Lauf.,12,10
15:11,2750,Mike La Tulip missed Three Point Jumper.,12,10
15:11,2750,Grant Benzinger Offensive Rebound.,12,10
15:01,2649,Foul on Zach Garber.,12,10
15:01,2750,Official TV Timeout,12,10
15:01,2750,Steven Davis missed Free Throw.,12,10
15:01,2750,Wright St Deadball Team Rebound.,12,10
15:01,2750,Steven Davis missed Free Throw.,12,10
15:01,2649,Steve Taylor Jr. Defensive Rebound.,12,10
14:46,2649,Daniel Dzierzawski Turnover.,12,10
14:39,2750,Foul on Grant Benzinger.,12,10
14:39,2750,Grant Benzinger Turnover.,12,10
14:25,2649,Steve Taylor Jr. made Jumper. Assisted by Luke Knapke.,14,10
14:06,2750,Mark Hughes missed Layup.,14,10
14:06,2750,Parker Ernsthausen Offensive Rebound.,14,10
14:02,2750,Grant Benzinger Turnover.,14,10
13:47,2649,Steve Taylor Jr. missed Three Point Jumper.,14,10
13:47,2750,Mark Alstork Defensive Rebound.,14,10
13:41,2750,Steven Davis made Jumper. Assisted by Mark Alstork.,14,12
13:17,2649,Nate Navigato missed Jumper.,14,12
13:17,2649,Luke Knapke Offensive Rebound.,14,12
13:09,2649,Steve Taylor Jr. missed Jumper.,14,12
13:09,2649,Steve Taylor Jr. Offensive Rebound.,14,12
13:06,2649,Steve Taylor Jr. made Two Point Tip Shot.,16,12
12:46,2750,Mark Alstork Turnover.,16,12
12:32,2649,Daniel Dzierzawski Turnover.,16,12
12:32,2750,Justin Mitchell Steal.,16,12
12:32,2649,Foul on Daniel Dzierzawski.,16,12
12:25,2750,Justin Mitchell missed Layup.,16,12
12:25,2649,Jaelan Sanford Block.,16,12
12:20,2649,Luke Knapke Defensive Rebound.,16,12
12:16,2649,Daniel Dzierzawski made Layup.,18,12
12:00,2750,Steven Davis missed Three Point Jumper.,18,12
12:00,2649,Luke Knapke Defensive Rebound.,18,12
11:58,2750,Foul on Parker Ernsthausen.,18,12
11:58,2750,Official TV Timeout,18,12
11:45,2649,Jaelan Sanford missed Three Point Jumper.,18,12
11:45,2750,Wright St Defensive Rebound.,18,12
11:20,2750,Justin Mitchell missed Jumper.,18,12
11:20,2750,Ryan Custer Offensive Rebound.,18,12
11:09,2750,Ryan Custer made Layup.,18,14
10:52,2750,Foul on Justin Mitchell.,18,14
10:37,2649,Daniel Dzierzawski made Jumper.,20,14
10:12,2750,Mark Alstork missed Three Point Jumper.,20,14
10:12,2750,Grant Benzinger Offensive Rebound.,20,14
10:07,2750,Grant Benzinger missed Jumper.,20,14
10:07,2649,Daniel Dzierzawski Defensive Rebound.,20,14
9:58,2649,Nate Navigato made Layup.,22,14
9:58,2750,Foul on Grant Benzinger.,22,14
9:58,2649,Nate Navigato missed Free Throw.,22,14
9:58,2750,Mark Alstork Defensive Rebound.,22,14
9:37,2649,Foul on Taylor Adway.,22,14
9:37,2750,Steven Davis made Free Throw.,22,15
9:37,2750,Steven Davis made Free Throw.,22,16
9:26,2649,Jaelan Sanford missed Three Point Jumper.,22,16
9:26,2649,Jaelan Sanford Offensive Rebound.,22,16
9:18,2649,Jaelan Sanford made Layup.,24,16
9:09,2649,Foul on Nate Navigato.,24,16
9:00,2750,Mark Alstork made Three Point Jumper. Assisted by Ryan Custer.,24,19
8:38,2649,Jaelan Sanford made Jumper.,26,19
8:30,2750,Mike La Tulip Turnover.,26,19
8:22,2649,Jaelan Sanford missed Three Point Jumper.,26,19
8:22,2750,Justin Mitchell Defensive Rebound.,26,19
8:15,2750,Justin Mitchell missed Layup.,26,19
8:15,2750,Steven Davis Offensive Rebound.,26,19
8:11,2750,Steven Davis made Dunk.,26,21
7:58,2649,Daniel Dzierzawski made Jumper.,28,21
7:41,2750,Mark Alstork made Layup.,28,23
7:18,2649,Daniel Dzierzawski missed Jumper.,28,23
7:18,2750,Steven Davis Defensive Rebound.,28,23
7:01,2750,Steven Davis missed Jumper.,28,23
7:01,2649,Zach Garber Defensive Rebound.,28,23
6:36,2649,Daniel Dzierzawski made Layup.,30,23
6:19,2750,Mark Alstork missed Jumper.,30,23
6:19,2750,Mark Alstork Offensive Rebound.,30,23
6:16,2750,Mark Alstork made Jumper.,30,25
6:00,2649,Daniel Dzierzawski Turnover.,30,25
5:59,2750,Mike La Tulip Steal.,30,25
5:50,2750,Justin Mitchell made Layup. Assisted by Mark Alstork.,30,27
5:50,2649,Foul on Jordan Lauf.,30,27
5:50,2750,Official TV Timeout,30,27
5:50,2750,Justin Mitchell made Free Throw.,30,28
5:37,2649,Jonathan Williams Turnover.,30,28
5:23,2649,Foul on Jonathan Williams.,30,28
5:23,2750,Mark Alstork made Free Throw.,30,29
5:23,2750,Mark Alstork made Free Throw.,30,30
5:09,2649,Foul on Zach Garber.,30,30
5:09,2649,Zach Garber Turnover.,30,30
5:06,2750,Parker Ernsthausen Turnover.,30,30
4:58,2649,Jonathan Williams missed Three Point Jumper.,30,30
4:58,2750,Justin Mitchell Defensive Rebound.,30,30
4:58,2750,Mark Alstork made Three Point Jumper.,30,33
4:58,2649,Jonathan Williams missed Three Point Jumper.,30,33
4:58,2750,Steven Davis Defensive Rebound.,30,33
4:58,2750,Mark Alstork missed Three Point Jumper.,30,33
4:58,2649,Jonathan Williams Defensive Rebound.,30,33
4:58,2649,Jonathan Williams missed Jumper.,30,33
4:58,2649,Jonathan Williams Offensive Rebound.,30,33
3:50,2649,Jonathan Williams Turnover.,30,33
3:50,2750,Mark Alstork Steal.,30,33
3:45,2750,Justin Mitchell made Jumper. Assisted by Mark Alstork.,30,35
3:45,2649,Toledo  Timeout,30,35
3:35,2649,Jaelan Sanford Turnover.,30,35
3:32,2750,Justin Mitchell Steal.,30,35
3:28,2750,Justin Mitchell made Layup.,30,37
3:07,2649,Steve Taylor Jr. made Layup.,32,37
2:48,2750,Mark Alstork made Layup.,32,39
2:27,2750,Foul on Steven Davis.,32,39
2:13,2649,Jordan Lauf made Layup.,34,39
2:04,2750,Steven Davis missed Three Point Jumper.,34,39
2:04,2649,Daniel Dzierzawski Defensive Rebound.,34,39
1:59,2649,Daniel Dzierzawski missed Jumper.,34,39
1:59,2649,Nate Navigato Offensive Rebound.,34,39
1:55,2649,Nate Navigato missed Layup.,34,39
1:55,2750,Justin Mitchell Defensive Rebound.,34,39
1:35,2750,Mark Alstork missed Three Point Jumper.,34,39
1:35,2649,Toledo Deadball Team Rebound.,34,39
1:32,2750,Foul on Parker Ernsthausen.,34,39
1:14,2649,Jonathan Williams made Layup.,36,39
0:52,2750,Justin Mitchell missed Layup.,36,39
0:52,2649,Steve Taylor Jr. Defensive Rebound.,36,39
0:44,2649,Jonathan Williams missed Layup.,36,39
0:44,2649,Steve Taylor Jr. Offensive Rebound.,36,39
0:41,2649,Steve Taylor Jr. made Jumper.,38,39
0:04,2750,Mike La Tulip missed Three Point Jumper.,38,39
0:04,2649,Toledo Defensive Rebound.,38,39
0:00,2750,End of 1st half,38,39
19:46,2649,Zach Garber missed Jumper.,38,39
19:46,2750,Mark Alstork Block.,38,39
19:44,2649,Jordan Lauf Offensive Rebound.,38,39
19:40,2750,Foul on Steven Davis.,38,39
19:40,2649,Jordan Lauf made Free Throw.,39,39
19:40,2649,Jordan Lauf made Free Throw.,40,39
19:27,2750,Steven Davis missed Jumper.,40,39
19:27,2649,Steve Taylor Jr. Defensive Rebound.,40,39
19:08,2750,Foul on Mike La Tulip.,40,39
19:08,2649,Zach Garber missed Free Throw.,40,39
19:08,2649,Toledo Deadball Team Rebound.,40,39
19:08,2649,Zach Garber made Free Throw.,41,39
18:51,2750,Grant Benzinger missed Three Point Jumper.,41,39
18:51,2649,Jonathan Williams Defensive Rebound.,41,39
18:38,2649,Zach Garber made Layup. Assisted by Steve Taylor Jr..,43,39
18:22,2750,Grant Benzinger missed Three Point Jumper.,43,39
18:22,2649,Jonathan Williams Defensive Rebound.,43,39
18:10,2649,Steve Taylor Jr. made Layup. Assisted by Jonathan Williams.,45,39
17:56,2649,Foul on Jordan Lauf.,45,39
17:55,2750,Mark Alstork Turnover.,45,39
17:54,2649,Jordan Lauf Steal.,45,39
17:36,2649,Steve Taylor Jr. Turnover.,45,39
17:36,2750,Parker Ernsthausen Steal.,45,39
17:21,2750,Mark Alstork made Jumper.,45,41
17:03,2649,Jonathan Williams missed Three Point Jumper.,45,41
17:03,2750,Justin Mitchell Defensive Rebound.,45,41
16:55,2750,Justin Mitchell made Jumper.,45,43
16:24,2649,Jaelan Sanford made Jumper.,47,43
16:04,2750,Steven Davis missed Three Point Jumper.,47,43
16:04,2649,Zach Garber Defensive Rebound.,47,43
15:49,2750,Official TV Timeout,47,43
15:38,2649,Steve Taylor Jr. missed Jumper.,47,43
15:38,2649,Nate Navigato Offensive Rebound.,47,43
15:34,2649,Daniel Dzierzawski missed Three Point Jumper.,47,43
15:34,2750,Grant Benzinger Defensive Rebound.,47,43
15:25,2750,Justin Mitchell Turnover.,47,43
15:23,2649,Steve Taylor Jr. Steal.,47,43
15:21,2649,Jonathan Williams missed Layup.,47,43
15:21,2649,Jonathan Williams Offensive Rebound.,47,43
15:18,2750,Foul on Steven Davis.,47,43
15:18,2649,Jonathan Williams missed Free Throw.,47,43
15:18,2649,Toledo Deadball Team Rebound.,47,43
15:18,2649,Jonathan Williams made Free Throw.,48,43
15:05,2750,Mark Alstork made Jumper.,48,45
14:49,2649,Luke Knapke made Three Point Jumper. Assisted by Daniel Dzierzawski.,51,45
14:35,2750,Grant Benzinger missed Three Point Jumper.,51,45
14:35,2649,Steve Taylor Jr. Defensive Rebound.,51,45
14:26,2649,Foul on Steve Taylor Jr..,51,45
14:26,2649,Steve Taylor Jr. Turnover.,51,45
14:15,2750,Mark Alstork missed Three Point Jumper.,51,45
14:15,2649,Nate Navigato Defensive Rebound.,51,45
13:55,2750,Foul on Mark Alstork.,51,45
13:37,2649,Luke Knapke missed Jumper.,51,45
13:37,2750,Parker Ernsthausen Defensive Rebound.,51,45
13:19,2750,Mark Alstork missed Jumper.,51,45
13:19,2750,Grant Benzinger Offensive Rebound.,51,45
13:12,2750,Mark Alstork made Jumper.,51,47
13:12,2649,Foul on Luke Knapke.,51,47
13:12,2750,Mark Alstork made Free Throw.,51,48
13:00,2649,Daniel Dzierzawski missed Jumper.,51,48
12:59,2649,Toledo Deadball Team Rebound.,51,48
12:59,2750,Foul on Ryan Custer.,51,48
12:59,2649,Foul on Taylor Adway.,51,48
12:59,2649,Taylor Adway Turnover.,51,48
12:31,2750,Grant Benzinger made Layup.,51,50
11:59,2649,Nate Navigato missed Three Point Jumper.,51,50
11:59,2750,Ryan Custer Defensive Rebound.,51,50
11:59,2649,Foul on Luke Knapke.,51,50
11:59,2750,Official TV Timeout,51,50
11:47,2750,Parker Ernsthausen made Jumper. Assisted by Justin Mitchell.,51,52
11:36,2750,Foul on Mark Alstork.,51,52
11:30,2649,Zach Garber made Jumper. Assisted by Jonathan Williams.,53,52
11:21,2750,Justin Mitchell made Layup.,53,54
11:00,2649,Jonathan Williams made Jumper.,55,54
10:42,2750,Mark Alstork Turnover.,55,54
10:29,2750,Foul on Justin Mitchell.,55,54
10:29,2649,Jonathan Williams missed Free Throw.,55,54
