Benedictine (AZ),3084,Utah Valley,110031
time,team_id,description,h_score,a_score
19:47,3084,Zach Nelson made Layup. Assisted by Conner Toolson.,0,2
19:27,-1,Jorge Cano Turnover.,0,2
19:26,3084,Conner Toolson Steal.,0,2
19:23,3084,Kenneth Ogbe made Three Point Jumper. Assisted by Conner Toolson.,0,5
19:10,-1,Carter Aby Turnover.,0,5
19:10,-1,Foul on Carter Aby.,0,5
19:03,3084,Kenneth Ogbe missed Three Point Jumper.,0,5
19:03,-1,Carter Aby Defensive Rebound.,0,5
18:53,-1,Joe Baldi missed Three Point Jumper.,0,5
18:53,3084,Brandon Randolph Defensive Rebound.,0,5
18:47,3084,Zach Nelson made Layup.,0,7
18:43,-1,Benedictine (AZ)  Timeout,0,7
18:29,-1,Carter Aby missed Jumper.,0,7
18:29,-1,Jorge Cano Offensive Rebound.,0,7
18:26,-1,Carter Aby Turnover.,0,7
18:26,-1,Foul on Carter Aby.,0,7
18:12,3084,Isaac Neilson missed Layup.,0,7
18:12,3084,Isaac Neilson Offensive Rebound.,0,7
18:10,3084,Isaac Neilson missed Two Point Tip Shot.,0,7
18:10,3084,Isaac Neilson Offensive Rebound.,0,7
18:08,3084,Isaac Neilson made Two Point Tip Shot.,0,9
17:48,-1,Richie Thornton V missed Three Point Jumper.,0,9
17:48,3084,Brandon Randolph Defensive Rebound.,0,9
17:38,-1,Foul on Richie Thornton V.,0,9
17:38,3084,Zach Nelson missed Free Throw.,0,9
17:38,3084,Utah Valley Deadball Team Rebound.,0,9
17:38,3084,Zach Nelson made Free Throw.,0,10
17:24,-1,Monnard Brown missed Layup.,0,10
17:24,3084,Isaac Neilson Defensive Rebound.,0,10
17:19,-1,Foul on Joe Baldi.,0,10
17:07,3084,Isaac Neilson missed Jumper.,0,10
17:07,-1,Devin White Defensive Rebound.,0,10
17:00,-1,Jorge Cano made Layup.,2,10
16:37,-1,Foul on Monnard Brown.,2,10
16:37,3084,Isaac Neilson made Free Throw.,2,11
16:37,3084,Isaac Neilson made Free Throw.,2,12
16:29,-1,Jorge Cano Turnover.,2,12
16:16,3084,Isaac Neilson Turnover.,2,12
16:16,3084,Foul on Isaac Neilson.,2,12
15:57,-1,Richie Thornton V made Jumper.,4,12
15:45,3084,Kenneth Ogbe missed Three Point Jumper.,4,12
15:45,3084,Isaac Neilson Offensive Rebound.,4,12
15:39,3084,Kenneth Ogbe made Three Point Jumper. Assisted by Isaac Neilson.,4,15
15:19,3084,Foul on Conner Toolson.,4,15
15:18,3084,Official TV Timeout,4,15
15:18,-1,Jorge Cano missed Free Throw.,4,15
15:18,-1,Benedictine (AZ) Deadball Team Rebound.,4,15
15:18,-1,Jorge Cano made Free Throw.,5,15
15:11,3084,Brandon Randolph missed Three Point Jumper.,5,15
15:11,3084,Conner Toolson Offensive Rebound.,5,15
14:52,3084,Isaac Neilson missed Layup.,5,15
14:48,-1,Devin White Defensive Rebound.,5,15
14:40,-1,Monnard Brown missed Layup.,5,15
14:40,3084,Brandon Randolph Defensive Rebound.,5,15
14:32,3084,Isaac Neilson Turnover.,5,15
14:30,-1,Technical Foul on Monnard Brown.,5,15
14:30,-1,Foul on Monnard Brown.,5,15
14:30,3084,Brandon Randolph missed Free Throw.,5,15
14:30,3084,Utah Valley Deadball Team Rebound.,5,15
14:30,3084,Brandon Randolph made Free Throw.,5,16
14:16,-1,Brandon Dixon Turnover.,5,16
14:16,-1,Foul on Brandon Dixon.,5,16
14:12,3084,Conner Toolson missed Three Point Jumper.,5,16
14:12,-1,Jorge Cano Defensive Rebound.,5,16
13:48,-1,Nate Mcanally missed Three Point Jumper.,5,16
13:48,3084,Kenneth Ogbe Defensive Rebound.,5,16
13:43,-1,Foul on Devin White.,5,16
13:43,3084,Kenneth Ogbe made Free Throw.,5,17
13:43,3084,Kenneth Ogbe made Free Throw.,5,18
13:34,-1,Nate Mcanally missed Jumper.,5,18
13:34,3084,Kenneth Ogbe Defensive Rebound.,5,18
13:26,3084,Brandon Randolph missed Layup.,5,18
13:26,-1,Brandon Dixon Defensive Rebound.,5,18
13:18,-1,Devin White made Jumper.,7,18
13:10,3084,Brandon Randolph Turnover.,7,18
13:10,3084,Foul on Brandon Randolph.,7,18
12:46,-1,Nate Mcanally missed Three Point Jumper.,7,18
12:46,3084,Conner Toolson Defensive Rebound.,7,18
12:43,-1,Foul on Brandon Dixon.,7,18
12:43,3084,Conner Toolson made Free Throw.,7,19
12:43,3084,Conner Toolson missed Free Throw.,7,19
12:43,-1,Brandon Dixon Defensive Rebound.,7,19
12:30,-1,Troy Conley Turnover.,7,19
12:30,3084,Joonas Tahvanainen Steal.,7,19
12:24,-1,Foul on Troy Conley.,7,19
12:24,3084,Jordan Poydras made Free Throw.,7,20
12:24,3084,Jordan Poydras missed Free Throw.,7,20
12:24,-1,Jorge Cano Defensive Rebound.,7,20
12:03,-1,Nate Mcanally Turnover.,7,20
11:54,3084,Joonas Tahvanainen made Jumper. Assisted by Conner Toolson.,7,22
11:44,-1,Troy Conley missed Three Point Jumper.,7,22
11:44,3084,Conner Toolson Block.,7,22
11:43,-1,Benedictine (AZ) Offensive Rebound.,7,22
11:43,3084,Official TV Timeout,7,22
11:13,-1,Richie Thornton V made Jumper.,9,22
11:05,3084,Jordan Poydras made Three Point Jumper.,9,25
10:52,-1,Richie Thornton V missed Jumper.,9,25
10:52,3084,Jordan Poydras Defensive Rebound.,9,25
10:46,3084,Jared Stutzman Turnover.,9,25
10:28,3084,Foul on Jared Stutzman.,9,25
10:19,-1,Joe Baldi missed Jumper.,9,25
10:19,-1,Jorge Cano Offensive Rebound.,9,25
10:16,-1,Richie Thornton V Turnover.,9,25
10:08,3084,Jared Stutzman missed Three Point Jumper.,9,25
10:08,3084,Jordan Poydras Offensive Rebound.,9,25
10:04,3084,Jordan Poydras missed Jumper.,9,25
10:04,-1,Carter Aby Defensive Rebound.,9,25
9:42,-1,Troy Conley Turnover.,9,25
9:42,3084,Joonas Tahvanainen Steal.,9,25
9:35,3084,Ivory Young missed Three Point Jumper.,9,25
9:35,-1,Troy Conley Defensive Rebound.,9,25
9:19,3084,Foul on Jordan Poydras.,9,25
9:13,-1,Jorge Cano made Dunk. Assisted by Richie Thornton V.,11,25
9:00,3084,Jordan Poydras Turnover.,11,25
9:00,3084,Foul on Jordan Poydras.,11,25
8:48,-1,Carter Aby missed Three Point Jumper.,11,25
8:48,-1,Benedictine (AZ) Offensive Rebound.,11,25
8:39,-1,Monnard Brown missed Layup.,11,25
8:39,3084,Jordan Poydras Defensive Rebound.,11,25
8:34,-1,Foul on Richie Thornton V.,11,25
8:34,3084,Jordan Poydras missed Free Throw.,11,25
8:34,3084,Utah Valley Deadball Team Rebound.,11,25
8:34,3084,Jordan Poydras made Free Throw.,11,26
8:18,-1,Devin White made Layup.,13,26
8:06,3084,Telly Davenport missed Three Point Jumper.,13,26
8:06,-1,Monnard Brown Defensive Rebound.,13,26
7:48,-1,Monnard Brown made Layup. Assisted by Carter Aby.,15,26
7:35,3084,Jordan Poydras missed Three Point Jumper.,15,26
7:35,-1,Monnard Brown Defensive Rebound.,15,26
7:32,3084,Foul on Joonas Tahvanainen.,15,26
7:32,3084,Official TV Timeout,15,26
7:32,-1,Joe Baldi made Free Throw.,16,26
7:32,-1,Joe Baldi made Free Throw.,17,26
7:13,3084,Telly Davenport missed Three Point Jumper.,17,26
7:13,-1,Joe Baldi Defensive Rebound.,17,26
7:03,-1,Joe Baldi Turnover.,17,26
7:02,3084,Telly Davenport Steal.,17,26
6:55,3084,Jordan Poydras missed Three Point Jumper.,17,26
6:55,3084,Utah Valley Offensive Rebound.,17,26
6:42,-1,Foul on Devin White.,17,26
6:42,3084,Hayden Schenck missed Free Throw.,17,26
6:42,3084,Utah Valley Deadball Team Rebound.,17,26
6:42,3084,Hayden Schenck made Free Throw.,17,27
