Florida Gulf Coast,127,Michigan State,526
time,team_id,description,h_score,a_score
19:42,526,Foul on Zach Johnson.,0,0
19:42,526,Zach Johnson Turnover.,0,0
19:23,127,Kenny Goins missed Layup.,0,0
19:23,526,Antravious Simmons Block.,0,0
19:22,526,Florida Gulf Coast Defensive Rebound.,0,0
19:06,526,Zach Johnson Turnover.,0,0
18:54,526,Foul on Zach Johnson.,0,0
18:54,127,Eron Harris made Jumper. Assisted by Matt McQuaid.,0,2
18:46,127,Foul on Kenny Goins.,0,2
18:46,526,Rayjon Tucker missed Free Throw.,0,2
18:46,526,Florida Gulf Coast Deadball Team Rebound.,0,2
18:46,526,Rayjon Tucker made Free Throw.,1,2
18:27,127,Matt McQuaid missed Three Point Jumper.,1,2
18:27,526,Rayjon Tucker Defensive Rebound.,1,2
18:10,526,Christian Terrell missed Jumper.,1,2
18:10,127,Nick Ward Defensive Rebound.,1,2
18:07,526,Foul on Christian Terrell.,1,2
17:50,127,Nick Ward made Layup. Assisted by Matt McQuaid.,1,4
17:50,526,Foul on Demetris Morant.,1,4
17:50,127,Nick Ward missed Free Throw.,1,4
17:50,526,Antravious Simmons Defensive Rebound.,1,4
17:30,526,Antravious Simmons Turnover.,1,4
17:14,127,Lourawls Nairn Jr. made Layup.,1,6
17:11,526,Florida Gulf Coast  Timeout,1,6
17:01,127,Foul on Eron Harris.,1,6
16:53,526,Rayjon Tucker missed Jumper.,1,6
16:53,127,Lourawls Nairn Jr. Defensive Rebound.,1,6
16:42,127,Miles Bridges missed Layup.,1,6
16:42,526,Antravious Simmons Defensive Rebound.,1,6
16:34,526,Brandon Goodwin missed Layup.,1,6
16:34,127,Nick Ward Defensive Rebound.,1,6
16:04,127,Matt McQuaid missed Jumper.,1,6
16:04,526,Brandon Goodwin Defensive Rebound.,1,6
15:46,526,Antravious Simmons missed Jumper.,1,6
15:46,127,Nick Ward Block.,1,6
15:45,127,Matt McQuaid Defensive Rebound.,1,6
15:39,127,Nick Ward missed Layup.,1,6
15:39,127,Nick Ward Offensive Rebound.,1,6
15:36,127,Nick Ward missed Layup.,1,6
15:36,526,Rayjon Tucker Defensive Rebound.,1,6
15:17,526,Kevin Mickle missed Jumper.,1,6
15:17,127,Matt McQuaid Defensive Rebound.,1,6
15:16,127,Official TV Timeout,1,6
15:12,127,Matt McQuaid Turnover.,1,6
15:11,526,Christian Terrell Steal.,1,6
15:10,127,Foul on Matt McQuaid.,1,6
15:03,526,Brandon Goodwin missed Jumper.,1,6
15:03,127,Kenny Goins Defensive Rebound.,1,6
14:58,127,Cassius Winston missed Three Point Jumper.,1,6
14:58,526,Florida Gulf Coast Defensive Rebound.,1,6
14:43,526,Foul on Demetris Morant.,1,6
14:43,526,Demetris Morant Turnover.,1,6
14:27,127,Cassius Winston missed Three Point Jumper.,1,6
14:27,526,Brandon Goodwin Defensive Rebound.,1,6
14:15,526,RaySean Scott Jr. missed Three Point Jumper.,1,6
14:15,127,Cassius Winston Defensive Rebound.,1,6
14:10,127,Alvin Ellis III Turnover.,1,6
14:10,127,Foul on Alvin Ellis III.,1,6
13:50,526,Antravious Simmons missed Jumper.,1,6
13:50,127,Joshua Langford Defensive Rebound.,1,6
13:40,127,Joshua Langford Turnover.,1,6
13:40,127,Foul on Joshua Langford.,1,6
13:23,526,Reggie Reid missed Jumper.,1,6
13:23,127,Eron Harris Defensive Rebound.,1,6
13:14,127,Alvin Ellis III made Three Point Jumper. Assisted by Cassius Winston.,1,9
13:01,526,Antravious Simmons made Layup. Assisted by Rayjon Tucker.,3,9
12:40,127,Kenny Goins Turnover.,3,9
12:39,526,Reggie Reid Steal.,3,9
12:39,127,Foul on Kenny Goins.,3,9
12:18,526,Antravious Simmons made Jumper.,5,9
12:11,127,Eron Harris made Three Point Jumper. Assisted by Lourawls Nairn Jr..,5,12
12:00,526,Rayjon Tucker made Layup.,7,12
12:00,127,Foul on Nick Ward.,7,12
12:00,526,Rayjon Tucker missed Free Throw.,7,12
12:00,127,Miles Bridges Defensive Rebound.,7,12
11:51,127,Official TV Timeout,7,12
11:48,127,Eron Harris made Layup. Assisted by Lourawls Nairn Jr..,7,14
11:21,526,Brandon Goodwin missed Three Point Jumper.,7,14
11:21,526,Antravious Simmons Offensive Rebound.,7,14
11:17,526,Antravious Simmons made Layup.,9,14
11:00,127,Alvin Ellis III Turnover.,9,14
10:59,526,Christian Carlyle Steal.,9,14
10:53,526,Christian Terrell made Layup.,11,14
10:44,127,Miles Bridges Turnover.,11,14
10:43,526,Kevin Mickle Steal.,11,14
