Navy,2430,UNC Greensboro,2426
time,team_id,description,h_score,a_score
19:45,2430,Jordy Kuiper missed Three Point Jumper.,0,0
19:45,2430,Marvin Smith Offensive Rebound.,0,0
19:28,2430,Diante Baldwin missed Three Point Jumper.,0,0
19:28,2430,Jordy Kuiper Offensive Rebound.,0,0
19:13,2430,Marvin Smith missed Three Point Jumper.,0,0
19:13,2426,Hasan Abdullah Defensive Rebound.,0,0
18:57,2426,Shawn Anderson missed Three Point Jumper.,0,0
18:57,2430,Marvin Smith Defensive Rebound.,0,0
18:47,2426,Foul on Tom Lacey.,0,0
18:35,2430,Diante Baldwin made Layup.,0,2
18:14,2426,Shawn Anderson made Jumper.,2,2
17:58,2430,Diante Baldwin Turnover.,2,2
17:58,2426,Ryan Pearson Steal.,2,2
17:39,2426,Shawn Anderson missed Layup.,2,2
17:39,2426,Shawn Anderson Offensive Rebound.,2,2
17:29,2426,Ryan Pearson missed Three Point Jumper.,2,2
17:29,2430,Marvin Smith Defensive Rebound.,2,2
17:14,2430,Francis Alonso missed Three Point Jumper.,2,2
17:14,2426,Shawn Anderson Defensive Rebound.,2,2
17:11,2430,Foul on Marvin Smith.,2,2
17:04,2426,Ryan Pearson missed Jumper.,2,2
17:04,2430,Diante Baldwin Defensive Rebound.,2,2
16:53,2430,Diante Baldwin made Jumper.,2,4
16:32,2426,Tom Lacey missed Layup.,2,4
16:32,2430,Jordy Kuiper Block.,2,4
16:32,2426,Navy Offensive Rebound.,2,4
16:21,2426,Tom Lacey missed Layup.,2,4
16:21,2430,R.J. White Block.,2,4
16:20,2430,Jordy Kuiper Defensive Rebound.,2,4
16:12,2426,Foul on Evan Wieck.,2,4
15:51,2430,Diante Baldwin missed Three Point Jumper.,2,4
15:51,2426,James Hemphill Defensive Rebound.,2,4
15:39,2426,Hasan Abdullah Turnover.,2,4
15:39,2430,Marvin Smith Steal.,2,4
15:18,2430,Francis Alonso missed Three Point Jumper.,2,4
15:18,2426,Zach Fong Defensive Rebound.,2,4
14:59,2426,James Hemphill made Jumper. Assisted by Hasan Abdullah.,4,4
