Edward Waters,Error,Florida Atlantic,2226
time,team_id,description,h_score,a_score
19:51,2226,Frank Booker Turnover.,0,0
19:51,-1,Keith Williams Jr. Steal.,0,0
19:37,-1,Charles-Eddie Smith missed Three Point Jumper.,0,0
19:37,2226,Nick Rutherford Defensive Rebound.,0,0
19:27,2226,Jeantal Cylla missed Three Point Jumper.,0,0
19:27,-1,Trumell McCrimmon II Defensive Rebound.,0,0
19:11,2226,Foul on Frank Booker.,0,0
18:54,-1,Keith Williams Jr. missed Three Point Jumper.,0,0
18:54,2226,Ronald Delph Defensive Rebound.,0,0
18:45,2226,Nick Rutherford missed Jumper.,0,0
18:45,2226,Ronald Delph Offensive Rebound.,0,0
18:41,2226,Ronald Delph missed Jumper.,0,0
18:41,2226,Jailyn Ingram Offensive Rebound.,0,0
18:37,2226,Jailyn Ingram made Layup.,0,2
18:18,-1,Oceaan Maddox missed Layup.,0,2
18:18,2226,Ronald Delph Block.,0,2
18:16,2226,Frank Booker Defensive Rebound.,0,2
18:00,2226,Ronald Delph missed Jumper.,0,2
18:00,-1,Trumell McCrimmon II Defensive Rebound.,0,2
17:46,-1,Keith Williams Jr. missed Jumper.,0,2
17:46,2226,Nick Rutherford Defensive Rebound.,0,2
17:39,2226,Frank Booker missed Three Point Jumper.,0,2
17:39,-1,Keith Williams Jr. Defensive Rebound.,0,2
17:28,-1,Alfred Jones Jr. made Layup.,2,2
17:17,2226,Nick Rutherford made Jumper.,2,4
17:11,-1,Alfred Jones Jr. Turnover.,2,4
17:09,2226,Jailyn Ingram Steal.,2,4
17:07,2226,Nick Rutherford made Jumper.,2,6
16:54,-1,Keith Williams Jr. missed Jumper.,2,6
16:54,2226,Frank Booker Defensive Rebound.,2,6
16:43,2226,Ronald Delph made Jumper.,2,8
16:30,-1,Charles-Eddie Smith made Jumper.,4,8
16:16,2226,Frank Booker made Three Point Jumper. Assisted by Nick Rutherford.,4,11
15:49,-1,Keith Williams Jr. missed Three Point Jumper.,4,11
15:49,2226,Ronald Delph Defensive Rebound.,4,11
15:37,2226,Frank Booker made Three Point Jumper. Assisted by Nick Rutherford.,4,14
15:26,-1,Charles-Eddie Smith missed Three Point Jumper.,4,14
15:26,2226,Ronald Delph Defensive Rebound.,4,14
15:16,2226,Jailyn Ingram missed Jumper.,4,14
15:16,2226,Florida Atlantic Offensive Rebound.,4,14
15:11,-1,Foul on Trumell McCrimmon II.,4,14
15:07,-1,Foul on Alfred Jones Jr..,4,14
14:49,2226,Frank Booker missed Three Point Jumper.,4,14
14:49,-1,Charles-Eddie Smith Defensive Rebound.,4,14
