Illinois State,2628,TCU,2287
time,team_id,description,h_score,a_score
19:41,2287,Paris Lee missed Layup.,0,0
19:41,2287,Phil Fayne Offensive Rebound.,0,0
19:38,2287,Phil Fayne made Layup.,2,0
19:24,2628,Jaylen Fisher missed Jumper.,2,0
19:24,2287,MiKyle McIntosh Defensive Rebound.,2,0
19:04,2287,MiKyle McIntosh missed Jumper.,2,0
19:04,2628,Karviar Shepherd Defensive Rebound.,2,0
18:45,2628,Jaylen Fisher Turnover.,2,0
18:44,2287,Paris Lee Steal.,2,0
18:42,2287,Paris Lee made Layup.,4,0
18:18,2628,Jaylen Fisher missed Three Point Jumper.,4,0
18:18,2628,JD Miller Offensive Rebound.,4,0
18:14,2628,JD Miller made Layup.,4,2
17:48,2287,MiKyle McIntosh made Three Point Jumper. Assisted by Paris Lee.,7,2
17:24,2628,Kenrich Williams made Jumper. Assisted by Jaylen Fisher.,7,4
17:11,2628,Foul on JD Miller.,7,4
17:08,2287,Paris Lee Turnover.,7,4
17:07,2628,Karviar Shepherd Steal.,7,4
16:51,2628,Kenrich Williams missed Jumper.,7,4
16:51,2628,Kenrich Williams Offensive Rebound.,7,4
16:31,2287,Foul on Deontae Hawkins.,7,4
16:15,2628,Karviar Shepherd made Jumper. Assisted by Desmond Bane.,7,6
15:53,2287,MiKyle McIntosh made Jumper.,9,6
15:26,2628,Brandon Parrish missed Jumper.,9,6
15:26,2287,Deontae Hawkins Block.,9,6
15:24,2287,MiKyle McIntosh Defensive Rebound.,9,6
15:19,2287,Tony Wills missed Three Point Jumper.,9,6
15:19,2628,TCU Defensive Rebound.,9,6
15:17,2628,Official TV Timeout,9,6
15:11,2287,Foul on Keyshawn Evans.,9,6
14:55,2628,Kenrich Williams missed Jumper.,9,6
14:55,2287,DJ Clayton Defensive Rebound.,9,6
14:38,2287,MiKyle McIntosh made Jumper. Assisted by Keyshawn Evans.,11,6
14:21,2628,Brandon Parrish missed Three Point Jumper.,11,6
14:21,2287,Tony Wills Defensive Rebound.,11,6
14:06,2287,MiKyle McIntosh missed Jumper.,11,6
14:06,2628,Desmond Bane Defensive Rebound.,11,6
13:58,2628,Alex Robinson made Layup.,11,8
13:58,2287,Foul on Phil Fayne.,11,8
13:58,2628,Alex Robinson missed Free Throw.,11,8
13:58,2287,Deontae Hawkins Defensive Rebound.,11,8
13:46,2287,Keyshawn Evans made Three Point Jumper. Assisted by Paris Lee.,14,8
13:20,2628,Desmond Bane missed Jumper.,14,8
13:20,2287,Deontae Hawkins Defensive Rebound.,14,8
13:15,2287,Keyshawn Evans Turnover.,14,8
12:47,2287,Foul on DJ Clayton.,14,8
12:32,2628,Malique Trent missed Jumper.,14,8
12:32,2287,MiKyle McIntosh Defensive Rebound.,14,8
12:25,2628,Foul on Desmond Bane.,14,8
12:25,2287,DJ Clayton missed Free Throw.,14,8
12:25,2287,Illinois St Deadball Team Rebound.,14,8
12:25,2287,DJ Clayton missed Free Throw.,14,8
12:25,2628,Malique Trent Defensive Rebound.,14,8
12:03,2628,Alex Robinson made Layup.,14,10
11:45,2287,MiKyle McIntosh missed Three Point Jumper.,14,10
11:45,2287,DJ Clayton Offensive Rebound.,14,10
11:42,2628,Foul on Desmond Bane.,14,10
11:42,2628,Official TV Timeout,14,10
11:36,2287,Deontae Hawkins missed Three Point Jumper.,14,10
11:36,2628,Jaylen Fisher Defensive Rebound.,14,10
11:24,2628,Vladimir Brodziansky Turnover.,14,10
11:23,2287,DJ Clayton Steal.,14,10
11:09,2628,Foul on Malique Trent.,14,10
11:06,2287,MiKyle McIntosh Turnover.,14,10
11:06,2628,Malique Trent Steal.,14,10
10:44,2287,Foul on Tony Wills.,14,10
10:44,2628,Alex Robinson made Free Throw.,14,11
10:44,2628,Alex Robinson missed Free Throw.,14,11
10:44,2628,TCU Offensive Rebound.,14,11
10:44,2287,Foul on Deontae Hawkins.,14,11
10:39,2628,Vladimir Brodziansky made Jumper. Assisted by Alex Robinson.,14,13
10:19,2287,Keyshawn Evans missed Three Point Jumper.,14,13
10:19,2287,Deontae Hawkins Offensive Rebound.,14,13
10:16,2287,Deontae Hawkins missed Jumper.,14,13
10:16,2628,Vladimir Brodziansky Defensive Rebound.,14,13
10:04,2628,Jaylen Fisher made Jumper. Assisted by Alex Robinson.,14,15
9:48,2287,Deontae Hawkins made Jumper. Assisted by Paris Lee.,16,15
9:25,2287,Foul on Deontae Hawkins.,16,15
9:25,2628,Vladimir Brodziansky missed Free Throw.,16,15
9:25,2628,TCU Deadball Team Rebound.,16,15
9:25,2628,Vladimir Brodziansky made Free Throw.,16,16
9:15,2628,Foul on Jaylen Fisher.,16,16
9:10,2628,Foul on Brandon Parrish.,16,16
9:08,2287,Keyshawn Evans missed Jumper.,16,16
9:08,2628,TCU Defensive Rebound.,16,16
8:55,2628,Jaylen Fisher missed Jumper.,16,16
8:55,2287,Phil Fayne Defensive Rebound.,16,16
8:35,2287,DJ Clayton missed Three Point Jumper.,16,16
8:35,2628,Karviar Shepherd Defensive Rebound.,16,16
8:25,2628,Jaylen Fisher Turnover.,16,16
8:25,2287,DJ Clayton Steal.,16,16
8:02,2287,MiKyle McIntosh missed Jumper.,16,16
8:02,2628,Alex Robinson Defensive Rebound.,16,16
7:45,2628,Karviar Shepherd missed Layup.,16,16
7:45,2287,MiKyle McIntosh Block.,16,16
7:44,2287,MiKyle McIntosh Defensive Rebound.,16,16
7:39,2287,MiKyle McIntosh missed Layup.,16,16
7:39,2628,Brandon Parrish Defensive Rebound.,16,16
7:16,2287,Foul on Phil Fayne.,16,16
7:16,2628,Official TV Timeout,16,16
7:16,2628,Karviar Shepherd missed Free Throw.,16,16
7:16,2628,TCU Deadball Team Rebound.,16,16
7:16,2628,Karviar Shepherd missed Free Throw.,16,16
7:16,2628,Kenrich Williams Offensive Rebound.,16,16
7:14,2287,Foul on Andre Washington.,16,16
7:14,2628,Kenrich Williams made Free Throw.,16,17
7:14,2628,Kenrich Williams made Free Throw.,16,18
7:00,2287,MiKyle McIntosh made Three Point Jumper. Assisted by DJ Clayton.,19,18
6:38,2628,Malique Trent Turnover.,19,18
6:38,2287,MiKyle McIntosh Steal.,19,18
6:26,2287,MiKyle McIntosh made Three Point Jumper. Assisted by Paris Lee.,22,18
6:10,2628,Kenrich Williams made Layup. Assisted by Malique Trent.,22,20
5:56,2287,DJ Clayton missed Three Point Jumper.,22,20
5:56,2628,JD Miller Defensive Rebound.,22,20
5:52,2287,Foul on Andre Washington.,22,20
5:52,2628,JD Miller made Free Throw.,22,21
5:52,2628,JD Miller missed Free Throw.,22,21
5:52,2287,DJ Clayton Defensive Rebound.,22,21
5:52,2628,Foul on Kenrich Williams.,22,21
5:52,2287,DJ Clayton made Free Throw.,23,21
5:52,2287,DJ Clayton made Free Throw.,24,21
5:29,2628,Kenrich Williams Turnover.,24,21
5:19,2628,Foul on Karviar Shepherd.,24,21
5:19,2287,Tony Wills made Free Throw.,25,21
5:19,2287,Tony Wills made Free Throw.,26,21
5:07,2628,JD Miller Turnover.,26,21
4:56,2287,DJ Clayton missed Layup.,26,21
4:56,2628,Kenrich Williams Defensive Rebound.,26,21
4:28,2628,Alex Robinson Turnover.,26,21
4:27,2287,MiKyle McIntosh Steal.,26,21
4:26,2287,MiKyle McIntosh Turnover.,26,21
4:25,2628,Kenrich Williams Steal.,26,21
4:22,2628,Alex Robinson made Three Point Jumper. Assisted by Kenrich Williams.,26,24
4:21,2628,Foul on Alex Robinson.,26,24
4:21,2628,Technical Foul on Alex Robinson.,26,24
4:21,2287,Paris Lee made Free Throw.,27,24
4:21,2287,Paris Lee made Free Throw.,28,24
3:58,2287,Paris Lee missed Three Point Jumper.,28,24
3:58,2628,Vladimir Brodziansky Defensive Rebound.,28,24
3:46,2287,Foul on Tony Wills.,28,24
3:46,2628,Official TV Timeout,28,24
3:46,2628,Vladimir Brodziansky missed Free Throw.,28,24
3:46,2628,TCU Deadball Team Rebound.,28,24
3:46,2628,Vladimir Brodziansky made Free Throw.,28,25
3:35,2287,DJ Clayton Turnover.,28,25
3:34,2628,Alex Robinson Steal.,28,25
3:30,2628,Jaylen Fisher missed Layup.,28,25
3:30,2287,MiKyle McIntosh Defensive Rebound.,28,25
3:13,2287,Phil Fayne made Layup. Assisted by Paris Lee.,30,25
2:54,2628,Vladimir Brodziansky made Layup. Assisted by Brandon Parrish.,30,27
2:31,2287,MiKyle McIntosh Turnover.,30,27
2:19,2628,Jaylen Fisher Turnover.,30,27
