Alabama A&amp;M,2572,Southern Miss,2010
time,team_id,description,h_score,a_score
19:37,2010,Tracy Burnett made Jumper. Assisted by Evan Wiley.,2,0
19:13,2572,Kevin Holland made Three Point Jumper. Assisted by Michael Ramey.,2,3
18:39,2010,De'Edrick Petty missed Three Point Jumper.,2,3
18:39,2572,Kevin Holland Defensive Rebound.,2,3
18:09,2572,Michael Ramey made Jumper. Assisted by Kevin Holland.,2,5
17:47,2010,Rakiya Battle missed Layup.,2,5
17:47,2010,Quinterian McConico Offensive Rebound.,2,5
17:44,2010,Quinterian McConico missed Jumper.,2,5
17:44,2572,Quinton Campbell Block.,2,5
17:43,2572,Michael Ramey Defensive Rebound.,2,5
17:35,2010,Foul on Evan Wiley.,2,5
17:35,2572,Raheem Watts missed Free Throw.,2,5
17:35,2572,Southern Miss Deadball Team Rebound.,2,5
17:35,2572,Raheem Watts made Free Throw.,2,6
17:19,2010,Foul on Evan Wiley.,2,6
17:19,2010,Evan Wiley Turnover.,2,6
17:02,2572,Michael Ramey missed Three Point Jumper.,2,6
17:02,2010,Christopher Thomas Defensive Rebound.,2,6
16:51,2010,Quinterian McConico made Jumper. Assisted by Tracy Burnett.,4,6
16:34,2572,Quinton Campbell missed Three Point Jumper.,4,6
16:34,2010,Quinterian McConico Defensive Rebound.,4,6
16:18,2572,Foul on Kevin Holland.,4,6
16:00,2010,Quinterian McConico Turnover.,4,6
15:58,2572,Quinton Campbell Steal.,4,6
15:55,2572,Quinton Campbell missed Layup.,4,6
15:55,2572,Quinton Campbell Offensive Rebound.,4,6
15:51,2572,Quinton Campbell made Jumper.,4,8
15:35,2010,Quinterian McConico made Jumper.,6,8
15:13,2572,Raheem Watts missed Jumper.,6,8
15:13,2010,Tracy Burnett Defensive Rebound.,6,8
15:04,2010,De'Edrick Petty missed Three Point Jumper.,6,8
15:04,2572,Raheem Watts Defensive Rebound.,6,8
14:35,2572,Kevin Holland Turnover.,6,8
14:35,2572,Official TV Timeout,6,8
14:26,2572,Foul on Quinton Campbell.,6,8
14:09,2010,De'Edrick Petty made Three Point Jumper. Assisted by Christopher Thomas.,9,8
13:37,2572,Eddie Davis III made Jumper. Assisted by Quinton Campbell.,9,10
13:13,2010,De'Edrick Petty missed Three Point Jumper.,9,10
13:13,2010,Alabama A&M Offensive Rebound.,9,10
12:57,2010,Tracy Burnett made Jumper. Assisted by De'Edrick Petty.,11,10
12:29,2572,Kevin Holland missed Layup.,11,10
12:29,2010,De'Edrick Petty Block.,11,10
12:29,2572,Southern Miss Offensive Rebound.,11,10
12:27,2010,Foul on Ariston Johnson.,11,10
12:25,2572,Eddie Davis III missed Jumper.,11,10
12:25,2010,Eugene Jones Jr. Defensive Rebound.,11,10
12:01,2010,Christopher Thomas made Three Point Jumper. Assisted by Ariston Johnson.,14,10
11:42,2572,Tim Rowe missed Jumper.,14,10
11:42,2572,Eddie Davis III Offensive Rebound.,14,10
11:39,2572,Eddie Davis III missed Jumper.,14,10
11:39,2010,Matthew Cotton Defensive Rebound.,14,10
11:35,2572,Official TV Timeout,14,10
11:12,2010,Marcus Merriweather missed Three Point Jumper.,14,10
11:12,2572,Quinton Campbell Defensive Rebound.,14,10
11:05,2010,Foul on Tracy Burnett.,14,10
10:56,2572,Cortez Edwards Turnover.,14,10
10:53,2010,Quinterian McConico Steal.,14,10
10:28,2010,Christopher Thomas made Three Point Jumper. Assisted by Matthew Cotton.,17,10
10:12,2572,Raheem Watts made Dunk. Assisted by Cortez Edwards.,17,12
9:53,2010,Quinterian McConico made Jumper. Assisted by Tracy Burnett.,19,12
9:32,2572,Cortez Edwards made Three Point Jumper. Assisted by Tim Rowe.,19,15
9:07,2010,Christopher Thomas missed Three Point Jumper.,19,15
9:07,2572,Robert Thomas III Defensive Rebound.,19,15
8:48,2572,Raheem Watts made Jumper. Assisted by D'Angelo Richardson.,19,17
8:33,2010,Foul on Christopher Thomas.,19,17
8:33,2010,Christopher Thomas Turnover.,19,17
8:15,2572,Foul on Cortez Edwards.,19,17
8:15,2572,Cortez Edwards Turnover.,19,17
8:05,2010,Rakiya Battle made Layup.,21,17
7:48,2010,Foul on Quinterian McConico.,21,17
7:48,2572,Official TV Timeout,21,17
7:48,2572,Tim Rowe made Free Throw.,21,18
7:48,2572,Tim Rowe made Free Throw.,21,19
7:17,2010,Rakiya Battle missed Jumper.,21,19
7:17,2572,Raheem Watts Defensive Rebound.,21,19
7:09,2572,Raheem Watts made Jumper. Assisted by D'Angelo Richardson.,21,21
6:53,2572,Foul on Robert Thomas III.,21,21
6:51,2010,Quinterian McConico missed Jumper.,21,21
6:51,2572,Tim Rowe Defensive Rebound.,21,21
6:50,2010,Foul on Eugene Jones Jr..,21,21
6:50,2572,Tim Rowe made Free Throw.,21,22
6:50,2572,Tim Rowe made Free Throw.,21,23
6:30,2572,Foul on Cortez Edwards.,21,23
6:30,2010,De'Edrick Petty made Free Throw.,22,23
6:30,2010,De'Edrick Petty made Free Throw.,23,23
6:08,2572,D'Angelo Richardson Turnover.,23,23
6:07,2010,Matthew Cotton Steal.,23,23
5:50,2010,Rakiya Battle missed Jumper.,23,23
5:50,2572,D'Angelo Richardson Defensive Rebound.,23,23
5:43,2010,Foul on Quinterian McConico.,23,23
5:43,2572,Raheem Watts made Free Throw.,23,24
5:43,2572,Raheem Watts made Free Throw.,23,25
5:21,2010,Christopher Thomas missed Jumper.,23,25
5:21,2572,Tim Rowe Defensive Rebound.,23,25
5:10,2010,Foul on Christopher Thomas.,23,25
5:10,2572,Raheem Watts made Free Throw.,23,26
5:10,2572,Raheem Watts made Free Throw.,23,27
4:45,2010,Eugene Jones Jr. made Jumper. Assisted by De'Edrick Petty.,25,27
4:39,2010,Foul on Eugene Jones Jr..,25,27
4:39,2572,Raheem Watts made Free Throw.,25,28
4:39,2572,Raheem Watts made Free Throw.,25,29
4:12,2010,Tracy Burnett missed Jumper.,25,29
4:12,2572,Quinton Campbell Defensive Rebound.,25,29
3:56,2572,Quinton Campbell missed Three Point Jumper.,25,29
3:56,2010,De'Edrick Petty Defensive Rebound.,25,29
3:50,2572,Foul on Michael Ramey.,25,29
3:49,2572,Official TV Timeout,25,29
3:42,2010,De'Edrick Petty missed Jumper.,25,29
3:42,2572,Eddie Davis III Defensive Rebound.,25,29
3:23,2572,Tim Rowe made Jumper. Assisted by Kevin Holland.,25,31
