UT Martin,96,Kentucky,2630
time,team_id,description,h_score,a_score
20:00,96,Jump Ball won by Kentucky,0,0
19:39,96,Dominique Hawkins missed Layup.,0,0
19:39,2630,Javier Martinez Defensive Rebound.,0,0
19:25,2630,Matthew Butler Turnover.,0,0
19:19,96,De'Aaron Fox Turnover.,0,0
18:54,2630,Matthew Butler made Three Point Jumper.,3,0
18:35,2630,Foul on Chandler Rowe.,3,0
18:30,96,Malik Monk missed Three Point Jumper.,3,0
18:30,96,Edrice Adebayo Offensive Rebound.,3,0
18:16,96,De'Aaron Fox made Layup. Assisted by Wenyen Gabriel.,3,2
18:00,2630,Chandler Rowe Turnover.,3,2
17:55,96,Malik Monk missed Three Point Jumper.,3,2
17:55,2630,Javier Martinez Defensive Rebound.,3,2
17:41,2630,Jacolby Mobley missed Three Point Jumper.,3,2
17:41,96,Kentucky Defensive Rebound.,3,2
17:23,96,De'Aaron Fox missed Three Point Jumper.,3,2
17:23,96,Wenyen Gabriel Offensive Rebound.,3,2
17:15,96,Wenyen Gabriel missed Layup.,3,2
17:15,2630,Kedar Edwards Block.,3,2
17:15,96,De'Aaron Fox Offensive Rebound.,3,2
17:05,96,Malik Monk made Three Point Jumper. Assisted by De'Aaron Fox.,3,5
16:56,2630,Matthew Butler missed Three Point Jumper.,3,5
16:56,96,Edrice Adebayo Defensive Rebound.,3,5
16:46,96,Dominique Hawkins made Jumper. Assisted by Malik Monk.,3,7
16:35,2630,Matthew Butler Turnover.,3,7
16:35,96,De'Aaron Fox Steal.,3,7
16:35,2630,Foul on Matthew Butler.,3,7
16:27,96,De'Aaron Fox made Layup.,3,9
16:10,2630,Javier Martinez missed Layup.,3,9
16:10,96,De'Aaron Fox Defensive Rebound.,3,9
16:04,96,Malik Monk Turnover.,3,9
16:04,2630,Javier Martinez Steal.,3,9
15:55,2630,Kedar Edwards made Three Point Jumper.,6,9
15:37,96,Edrice Adebayo missed Jumper.,6,9
15:37,96,Edrice Adebayo Offensive Rebound.,6,9
15:33,2630,Foul on Chandler Rowe.,6,9
15:33,96,Official TV Timeout,6,9
15:25,96,Malik Monk missed Three Point Jumper.,6,9
15:25,2630,Kedar Edwards Defensive Rebound.,6,9
15:11,2630,Kedar Edwards Turnover.,6,9
15:01,96,De'Aaron Fox made Jumper.,6,11
14:45,2630,Matthew Butler made Jumper. Assisted by Jacolby Mobley.,8,11
14:28,96,Isaac Humphries made Jumper. Assisted by Dominique Hawkins.,8,13
14:14,2630,Javier Martinez made Jumper. Assisted by Kedar Edwards.,10,13
13:56,96,Wenyen Gabriel made Jumper. Assisted by Dominique Hawkins.,10,15
13:39,2630,Javier Martinez made Layup. Assisted by Matthew Butler.,12,15
13:19,2630,Foul on Matthew Butler.,12,15
13:05,96,De'Aaron Fox missed Three Point Jumper.,12,15
13:05,2630,Fatodd Lewis Defensive Rebound.,12,15
12:48,2630,Fatodd Lewis missed Jumper.,12,15
12:48,2630,UT Martin Offensive Rebound.,12,15
12:31,2630,Jacolby Mobley made Layup. Assisted by Javier Martinez.,14,15
12:10,96,De'Aaron Fox Turnover.,14,15
12:10,2630,Javier Martinez Steal.,14,15
11:55,2630,Kedar Edwards missed Three Point Jumper.,14,15
11:55,2630,Jacolby Mobley Offensive Rebound.,14,15
11:50,2630,Jacolby Mobley missed Jumper.,14,15
11:50,96,De'Aaron Fox Defensive Rebound.,14,15
11:43,96,Foul on Malik Monk.,14,15
11:43,96,Malik Monk Turnover.,14,15
11:43,96,Official TV Timeout,14,15
11:35,2630,Kedar Edwards missed Dunk.,14,15
11:35,2630,Jacolby Mobley Offensive Rebound.,14,15
11:15,2630,Jacolby Mobley made Jumper.,16,15
10:52,96,Mychal Mulder made Three Point Jumper. Assisted by Malik Monk.,16,18
10:42,2630,Mike Fofana Turnover.,16,18
10:42,96,De'Aaron Fox Steal.,16,18
10:37,2630,Foul on Mike Fofana.,16,18
10:37,96,De'Aaron Fox made Free Throw.,16,19
10:37,96,De'Aaron Fox made Free Throw.,16,20
10:28,2630,Mike Fofana missed Three Point Jumper.,16,20
10:28,96,Wenyen Gabriel Defensive Rebound.,16,20
10:20,96,Edrice Adebayo made Dunk. Assisted by De'Aaron Fox.,16,22
10:10,2630,Kedar Edwards made Dunk. Assisted by Jacolby Mobley.,18,22
9:51,96,Wenyen Gabriel made Layup.,18,24
9:34,2630,Kedar Edwards Turnover.,18,24
9:23,2630,Foul on Kedar Edwards.,18,24
9:23,96,Wenyen Gabriel made Free Throw.,18,25
9:23,96,Wenyen Gabriel made Free Throw.,18,26
9:09,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,20,26
9:09,96,Foul on Wenyen Gabriel.,20,26
9:09,2630,Javier Martinez made Free Throw.,21,26
9:00,96,Derek Willis missed Three Point Jumper.,21,26
9:00,96,Edrice Adebayo Offensive Rebound.,21,26
8:54,96,Edrice Adebayo Turnover.,21,26
8:54,2630,Jacolby Mobley Steal.,21,26
8:48,2630,Fatodd Lewis Turnover.,21,26
8:40,96,Malik Monk made Three Point Jumper. Assisted by Dominique Hawkins.,21,29
8:14,2630,Matthew Butler missed Three Point Jumper.,21,29
8:14,96,Kentucky Defensive Rebound.,21,29
7:58,96,Edrice Adebayo missed Layup.,21,29
7:58,2630,Jacolby Mobley Defensive Rebound.,21,29
7:46,2630,Kedar Edwards made Layup.,23,29
7:46,96,Kentucky  Timeout,23,29
7:41,96,De'Aaron Fox missed Jumper.,23,29
7:41,96,Edrice Adebayo Offensive Rebound.,23,29
7:36,96,Edrice Adebayo made Layup.,23,31
7:22,2630,Jacolby Mobley made Jumper.,25,31
7:08,96,De'Aaron Fox Turnover.,25,31
6:54,2630,Jacolby Mobley missed Layup.,25,31
6:54,2630,UT Martin Offensive Rebound.,25,31
6:41,2630,Kedar Edwards Turnover.,25,31
6:37,2630,Foul on Jacolby Mobley.,25,31
6:37,96,Dominique Hawkins made Free Throw.,25,32
6:37,96,Dominique Hawkins made Free Throw.,25,33
6:17,2630,Kedar Edwards missed Jumper.,25,33
6:17,96,Derek Willis Block.,25,33
6:17,96,De'Aaron Fox Defensive Rebound.,25,33
6:11,96,Derek Willis made Layup. Assisted by Malik Monk.,25,35
5:56,96,Foul on Derek Willis.,25,35
5:46,2630,Jacolby Mobley Turnover.,25,35
5:46,96,Dominique Hawkins Steal.,25,35
5:41,2630,Foul on Jacolby Mobley.,25,35
5:41,96,Dominique Hawkins made Free Throw.,25,36
5:41,96,Dominique Hawkins made Free Throw.,25,37
5:21,2630,Javier Martinez missed Layup.,25,37
5:21,96,Isaac Humphries Defensive Rebound.,25,37
5:10,96,Malik Monk made Jumper.,25,39
4:47,2630,Matthew Butler made Jumper.,27,39
4:31,96,Malik Monk missed Three Point Jumper.,27,39
4:31,2630,Matthew Butler Defensive Rebound.,27,39
4:24,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,29,39
4:06,96,De'Aaron Fox made Layup. Assisted by Dominique Hawkins.,29,41
3:56,2630,Matthew Butler missed Jumper.,29,41
3:56,96,De'Aaron Fox Defensive Rebound.,29,41
3:47,96,Malik Monk missed Three Point Jumper.,29,41
3:47,96,Isaac Humphries Offensive Rebound.,29,41
3:43,96,Isaac Humphries made Layup.,29,43
3:43,2630,Foul on Jacolby Mobley.,29,43
3:43,96,Official TV Timeout,29,43
3:43,96,Isaac Humphries made Free Throw.,29,44
3:36,2630,Matthew Butler Turnover.,29,44
3:36,96,De'Aaron Fox Steal.,29,44
3:27,96,Edrice Adebayo missed Jumper.,29,44
3:27,2630,Kedar Edwards Defensive Rebound.,29,44
3:27,2630,Foul on Dante Bailey.,29,44
3:17,2630,Dante Bailey Turnover.,29,44
3:15,96,Wenyen Gabriel made Three Point Jumper. Assisted by De'Aaron Fox.,29,47
2:47,2630,Fatodd Lewis missed Jumper.,29,47
2:47,96,Kentucky Defensive Rebound.,29,47
2:34,96,Dominique Hawkins missed Three Point Jumper.,29,47
2:34,96,Dominique Hawkins Offensive Rebound.,29,47
2:17,96,De'Aaron Fox Turnover.,29,47
2:17,2630,Kahari Beaufort Steal.,29,47
2:06,2630,Kedar Edwards made Three Point Jumper. Assisted by Matthew Butler.,32,47
1:58,2630,Foul on Chandler Rowe.,32,47
1:58,96,Edrice Adebayo made Free Throw.,32,48
1:58,96,Edrice Adebayo made Free Throw.,32,49
1:49,2630,Kedar Edwards made Three Point Jumper. Assisted by Matthew Butler.,35,49
1:34,96,De'Aaron Fox made Dunk.,35,51
1:07,2630,Matthew Butler made Jumper.,37,51
1:07,96,Foul on De'Aaron Fox.,37,51
1:07,2630,Matthew Butler made Free Throw.,38,51
0:55,2630,Foul on Malik London.,38,51
0:55,96,Edrice Adebayo made Free Throw.,38,52
0:55,96,Edrice Adebayo made Free Throw.,38,53
0:41,2630,Matthew Butler missed Three Point Jumper.,38,53
0:41,2630,UT Martin Offensive Rebound.,38,53
0:35,2630,Kedar Edwards missed Three Point Jumper.,38,53
