Bryant,77,Northwestern,2803
time,team_id,description,h_score,a_score
19:39,77,Dererk Pardon missed Jumper.,0,0
19:39,2803,Adam Grant Defensive Rebound.,0,0
19:17,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Ikenna Ndugba.,3,0
19:00,77,Bryant McIntosh missed Three Point Jumper.,3,0
19:00,2803,Dan Garvin Defensive Rebound.,3,0
18:48,2803,Ikenna Ndugba missed Jumper.,3,0
18:48,77,Vic Law Block.,3,0
18:45,77,Vic Law Defensive Rebound.,3,0
18:31,77,Scottie Lindsey made Three Point Jumper. Assisted by Vic Law.,3,3
18:02,2803,Foul on Ikenna Ndugba.,3,3
18:02,2803,Ikenna Ndugba Turnover.,3,3
17:52,77,Scottie Lindsey made Jumper. Assisted by Vic Law.,3,5
17:34,2803,Adam Grant made Jumper. Assisted by Ikenna Ndugba.,5,5
17:17,77,Vic Law missed Three Point Jumper.,5,5
17:17,2803,Marcel Pettway Defensive Rebound.,5,5
17:06,2803,Foul on Marcel Pettway.,5,5
17:06,2803,Marcel Pettway Turnover.,5,5
16:48,77,Scottie Lindsey missed Three Point Jumper.,5,5
16:48,2803,Marcel Pettway Defensive Rebound.,5,5
16:34,2803,Adam Grant missed Three Point Jumper.,5,5
16:34,2803,Ikenna Ndugba Offensive Rebound.,5,5
16:25,2803,Nisre Zouzoua missed Three Point Jumper.,5,5
16:25,77,Dererk Pardon Defensive Rebound.,5,5
16:07,77,Vic Law made Three Point Jumper. Assisted by Bryant McIntosh.,5,8
15:46,2803,Ikenna Ndugba missed Three Point Jumper.,5,8
15:46,77,Vic Law Defensive Rebound.,5,8
15:35,77,Bryant McIntosh missed Three Point Jumper.,5,8
15:35,77,Dererk Pardon Offensive Rebound.,5,8
15:29,77,Vic Law made Three Point Jumper. Assisted by Scottie Lindsey.,5,11
15:00,2803,Dan Garvin Turnover.,5,11
15:00,77,Official TV Timeout,5,11
14:49,77,Vic Law made Layup. Assisted by Gavin Skelly.,5,13
14:20,2803,Marcel Pettway missed Layup.,5,13
14:20,77,Dererk Pardon Defensive Rebound.,5,13
14:05,2803,Foul on Dan Garvin.,5,13
14:05,77,Gavin Skelly made Free Throw.,5,14
14:05,77,Gavin Skelly made Free Throw.,5,15
13:39,2803,Marcel Pettway Turnover.,5,15
13:37,77,Isiah Brown Steal.,5,15
13:14,77,Dererk Pardon made Layup. Assisted by Isiah Brown.,5,17
12:57,2803,Hunter Ware made Jumper. Assisted by Sabastian Townes.,7,17
12:44,77,Gavin Skelly made Jumper. Assisted by Scottie Lindsey.,7,19
12:30,2803,Marcel Pettway made Layup. Assisted by Adam Grant.,9,19
12:15,77,Isiah Brown missed Jumper.,9,19
12:15,2803,Marcel Pettway Defensive Rebound.,9,19
12:01,2803,Nisre Zouzoua missed Three Point Jumper.,9,19
12:01,77,Vic Law Block.,9,19
11:59,77,Dererk Pardon Defensive Rebound.,9,19
11:57,77,Vic Law made Layup. Assisted by Isiah Brown.,9,21
11:43,2803,Sabastian Townes missed Three Point Jumper.,9,21
11:43,77,Dererk Pardon Defensive Rebound.,9,21
11:33,77,Scottie Lindsey missed Three Point Jumper.,9,21
11:33,2803,Bryant Defensive Rebound.,9,21
11:31,77,Official TV Timeout,9,21
11:13,2803,Hunter Ware Turnover.,9,21
