Oakland,Error,Alaska Anchorage,2473
time,team_id,description,h_score,a_score
19:45,2473,Sherron Dorsey-Walker missed Three Point Jumper.,0,0
19:45,1,Spencer Svejcar Defensive Rebound.,0,0
19:31,1,Diante Mitchell Turnover.,0,0
19:30,2473,Jalen Hayes Steal.,0,0
19:27,2473,Jalen Hayes made Dunk.,2,0
19:04,1,Connor Devine missed Layup.,2,0
19:04,2473,Jalen Hayes Block.,2,0
19:03,2473,Stevie Clark Defensive Rebound.,2,0
18:50,2473,Martez Walker made Layup. Assisted by Stevie Clark.,4,0
18:29,1,Sekou Wiggs missed Layup.,4,0
18:29,2473,Isaiah Brock Block.,4,0
18:28,2473,Isaiah Brock Defensive Rebound.,4,0
18:15,2473,Jalen Hayes missed Jumper.,4,0
18:15,1,Corey Hammell Defensive Rebound.,4,0
17:56,1,Spencer Svejcar missed Jumper.,4,0
17:56,2473,Martez Walker Block.,4,0
17:55,2473,Oakland Defensive Rebound.,4,0
17:35,2473,Jalen Hayes made Jumper. Assisted by Stevie Clark.,6,0
17:13,1,Corey Hammell missed Three Point Jumper.,6,0
17:13,1,Alaska Anchorage Offensive Rebound.,6,0
16:57,1,Corey Hammell missed Layup.,6,0
16:57,2473,Stevie Clark Defensive Rebound.,6,0
16:39,2473,Martez Walker missed Jumper.,6,0
16:39,1,Diante Mitchell Defensive Rebound.,6,0
16:27,2473,Foul on Jalen Hayes.,6,0
16:06,2473,Foul on Martez Walker.,6,0
16:01,1,Diante Mitchell made Three Point Jumper. Assisted by Sekou Wiggs.,6,3
15:44,2473,Stevie Clark Turnover.,6,3
15:44,1,Connor Devine Steal.,6,3
15:37,1,Diante Mitchell made Three Point Jumper. Assisted by Sekou Wiggs.,6,6
15:08,2473,Sherron Dorsey-Walker made Three Point Jumper.,9,6
14:54,1,Corey Hammell missed Jumper.,9,6
14:54,1,Spencer Svejcar Offensive Rebound.,9,6
14:50,2473,Foul on Martez Walker.,9,6
14:50,1,Official TV Timeout,9,6
14:50,1,Spencer Svejcar missed Free Throw.,9,6
14:50,1,Alaska Anchorage Deadball Team Rebound.,9,6
14:50,1,Spencer Svejcar made Free Throw.,9,7
14:28,2473,Jalen Hayes missed Layup.,9,7
14:28,1,Connor Devine Block.,9,7
14:27,1,Connor Devine Defensive Rebound.,9,7
14:23,1,Sekou Wiggs missed Three Point Jumper.,9,7
14:23,1,Connor Devine Offensive Rebound.,9,7
14:18,1,Connor Devine missed Layup.,9,7
14:18,2473,Xavier Hill-Mais Block.,9,7
14:15,2473,Sherron Dorsey-Walker Defensive Rebound.,9,7
14:11,2473,Jalen Hayes missed Layup.,9,7
14:11,1,Sekou Wiggs Defensive Rebound.,9,7
14:03,1,Sekou Wiggs missed Jumper.,9,7
14:03,2473,Sherron Dorsey-Walker Defensive Rebound.,9,7
13:55,1,Foul on Sekou Wiggs.,9,7
13:36,2473,Xavier Hill-Mais missed Layup.,9,7
13:36,1,Curtis Ryan Defensive Rebound.,9,7
13:30,1,Curtis Ryan missed Three Point Jumper.,9,7
13:30,1,Sekou Wiggs Offensive Rebound.,9,7
13:26,1,Sekou Wiggs missed Three Point Jumper.,9,7
13:26,2473,Oakland Defensive Rebound.,9,7
13:07,2473,Jalen Hayes made Layup. Assisted by Xavier Hill-Mais.,11,7
12:53,1,Spencer Svejcar missed Jumper.,11,7
12:53,2473,Xavier Hill-Mais Defensive Rebound.,11,7
12:42,2473,Xavier Hill-Mais Turnover.,11,7
12:28,1,Spencer Svejcar made Three Point Jumper. Assisted by Diante Mitchell.,11,10
12:12,2473,Nick Daniels made Three Point Jumper. Assisted by Brailen Neely.,14,10
11:58,1,Curtis Ryan missed Three Point Jumper.,14,10
11:58,2473,Jalen Hayes Defensive Rebound.,14,10
11:42,2473,Jalen Hayes missed Layup.,14,10
11:42,1,Spencer Svejcar Defensive Rebound.,14,10
11:34,1,Diante Mitchell missed Layup.,14,10
11:34,2473,Brad Brechting Defensive Rebound.,14,10
11:26,2473,Nick Daniels made Layup. Assisted by Brailen Neely.,16,10
10:59,1,Sekou Wiggs missed Layup.,16,10
10:59,2473,Brailen Neely Defensive Rebound.,16,10
10:53,2473,Chris Palombizio missed Three Point Jumper.,16,10
10:53,1,Travis Parrish Defensive Rebound.,16,10
10:38,1,Spencer Svejcar made Layup. Assisted by Travis Parrish.,16,12
10:16,1,Foul on Travis Parrish.,16,12
10:16,1,Official TV Timeout,16,12
10:16,2473,Jalen Hayes made Free Throw.,17,12
10:16,2473,Jalen Hayes missed Free Throw.,17,12
10:16,1,Corey Hammell Defensive Rebound.,17,12
10:02,1,Damien Fulp Turnover.,17,12
9:49,2473,Jalen Hayes missed Layup.,17,12
9:49,2473,Brad Brechting Offensive Rebound.,17,12
9:47,2473,Brad Brechting made Layup.,19,12
9:39,1,Damien Fulp Turnover.,19,12
9:38,2473,Brailen Neely Steal.,19,12
9:36,1,Foul on Damien Fulp.,19,12
9:36,2473,Brailen Neely made Free Throw.,20,12
9:36,2473,Brailen Neely made Free Throw.,21,12
9:15,1,Connor Devine missed Layup.,21,12
9:15,2473,Jalen Hayes Defensive Rebound.,21,12
9:14,1,Foul on Connor Devine.,21,12
8:50,2473,Brailen Neely missed Three Point Jumper.,21,12
8:50,2473,Brailen Neely Offensive Rebound.,21,12
8:43,2473,Foul on Jaevin Cumberland.,21,12
8:43,2473,Jaevin Cumberland Turnover.,21,12
8:38,1,Damien Fulp Turnover.,21,12
8:37,2473,Brailen Neely Steal.,21,12
8:34,2473,Brailen Neely made Layup.,23,12
8:12,2473,Foul on Xavier Hill-Mais.,23,12
8:12,1,Sekou Wiggs made Free Throw.,23,13
8:12,1,Sekou Wiggs made Free Throw.,23,14
7:58,2473,Foul on Isaiah Brock.,23,14
7:58,2473,Isaiah Brock Turnover.,23,14
7:58,1,Official TV Timeout,23,14
7:35,1,Spencer Svejcar Turnover.,23,14
7:34,2473,Isaiah Brock Steal.,23,14
7:28,2473,Xavier Hill-Mais missed Three Point Jumper.,23,14
7:28,1,Augustus Simmers Defensive Rebound.,23,14
7:06,1,Diante Mitchell made Jumper. Assisted by Connor Devine.,23,16
6:43,2473,Sherron Dorsey-Walker missed Jumper.,23,16
6:43,1,Spencer Svejcar Defensive Rebound.,23,16
6:22,1,Corey Hammell Turnover.,23,16
6:21,2473,Isaiah Brock Steal.,23,16
5:55,2473,Sherron Dorsey-Walker Turnover.,23,16
5:54,1,Diante Mitchell Steal.,23,16
5:50,1,Diante Mitchell missed Layup.,23,16
5:50,1,Spencer Svejcar Offensive Rebound.,23,16
5:47,1,Spencer Svejcar made Two Point Tip Shot.,23,18
5:28,2473,Isaiah Brock Turnover.,23,18
5:12,2473,Foul on Jalen Hayes.,23,18
5:12,1,Corey Hammell made Free Throw.,23,19
5:12,1,Corey Hammell missed Free Throw.,23,19
5:12,2473,Brad Brechting Defensive Rebound.,23,19
4:54,2473,Nick Daniels missed Jumper.,23,19
4:54,1,Corey Hammell Defensive Rebound.,23,19
4:44,1,Ashton Pomrehn missed Three Point Jumper.,23,19
4:44,2473,Jalen Hayes Defensive Rebound.,23,19
4:26,2473,Martez Walker made Three Point Jumper. Assisted by Nick Daniels.,26,19
3:52,1,Sjur Berg missed Jumper.,26,19
3:52,2473,Jalen Hayes Defensive Rebound.,26,19
3:45,2473,Martez Walker made Jumper. Assisted by Brailen Neely.,28,19
3:30,1,Diante Mitchell made Layup. Assisted by Sjur Berg.,28,21
3:14,2473,Nick Daniels made Three Point Jumper. Assisted by Brailen Neely.,31,21
2:53,1,Diante Mitchell made Jumper. Assisted by Sjur Berg.,31,23
2:33,2473,Jalen Hayes missed Jumper.,31,23
2:33,1,Sjur Berg Defensive Rebound.,31,23
2:28,2473,Foul on Brailen Neely.,31,23
2:28,1,Official TV Timeout,31,23
2:28,1,Diante Mitchell made Free Throw.,31,24
2:28,1,Diante Mitchell made Free Throw.,31,25
2:20,2473,Martez Walker made Layup.,33,25
2:04,2473,Foul on Brad Brechting.,33,25
2:04,1,Sekou Wiggs missed Free Throw.,33,25
2:04,1,Alaska Anchorage Deadball Team Rebound.,33,25
2:04,1,Sekou Wiggs missed Free Throw.,33,25
2:04,2473,Brad Brechting Defensive Rebound.,33,25
1:47,2473,Martez Walker made Three Point Jumper. Assisted by Brailen Neely.,36,25
1:31,2473,Foul on Jaevin Cumberland.,36,25
1:31,1,Sekou Wiggs made Free Throw.,36,26
1:31,1,Sekou Wiggs made Free Throw.,36,27
1:14,2473,Martez Walker missed Jumper.,36,27
1:14,1,Sjur Berg Defensive Rebound.,36,27
0:54,1,Foul on Curtis Ryan.,36,27
0:54,1,Curtis Ryan Turnover.,36,27
0:51,2473,Martez Walker missed Three Point Jumper.,36,27
0:51,2473,Sherron Dorsey-Walker Offensive Rebound.,36,27
0:38,1,Foul on Curtis Ryan.,36,27
0:38,2473,Chris Palombizio made Free Throw.,37,27
0:38,2473,Chris Palombizio made Free Throw.,38,27
0:35,1,Alaska Anchorage  Timeout,38,27
0:21,1,Sekou Wiggs Turnover.,38,27
0:20,2473,Brad Brechting Steal.,38,27
0:17,2473,Oakland  Timeout,38,27
0:01,2473,Martez Walker missed Three Point Jumper.,38,27
0:01,1,Alaska Anchorage Defensive Rebound.,38,27
0:01,1,Curtis Ryan Turnover.,38,27
0:01,2473,Nick Daniels Steal.,38,27
0:00,1,End of 1st half,38,27
19:50,1,Connor Devine made Layup. Assisted by Sekou Wiggs.,38,29
19:41,1,Foul on Diante Mitchell.,38,29
19:41,2473,Brailen Neely made Free Throw.,39,29
19:41,2473,Brailen Neely made Free Throw.,40,29
19:29,2473,Foul on Jalen Hayes.,40,29
19:29,1,Corey Hammell missed Free Throw.,40,29
19:29,1,Alaska Anchorage Deadball Team Rebound.,40,29
19:29,1,Corey Hammell made Free Throw.,40,30
19:02,2473,Sherron Dorsey-Walker missed Three Point Jumper.,40,30
19:02,2473,Jalen Hayes Offensive Rebound.,40,30
18:55,2473,Jalen Hayes missed Layup.,40,30
18:55,2473,Martez Walker Offensive Rebound.,40,30
18:51,2473,Martez Walker made Layup.,42,30
18:41,1,Sekou Wiggs missed Layup.,42,30
18:41,1,Corey Hammell Offensive Rebound.,42,30
18:39,1,Corey Hammell missed Two Point Tip Shot.,42,30
18:39,2473,Sherron Dorsey-Walker Defensive Rebound.,42,30
18:34,2473,Martez Walker missed Three Point Jumper.,42,30
18:34,1,Sekou Wiggs Defensive Rebound.,42,30
18:27,1,Diante Mitchell missed Three Point Jumper.,42,30
