Santa Clara,238,Vanderbilt,2541
time,team_id,description,h_score,a_score
19:43,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Riley LaChance.,0,3
19:28,2541,Nate Kratch missed Layup.,0,3
19:28,238,Vanderbilt Defensive Rebound.,0,3
19:10,238,Payton Willis missed Three Point Jumper.,0,3
19:10,2541,Jared Brownridge Defensive Rebound.,0,3
18:40,2541,Henrik Jadersten missed Three Point Jumper.,0,3
18:40,238,Jeff Roberson Defensive Rebound.,0,3
18:32,238,Riley LaChance made Three Point Jumper. Assisted by Payton Willis.,0,6
18:08,2541,Nate Kratch missed Layup.,0,6
18:08,238,Luke Kornet Block.,0,6
18:06,238,Luke Kornet Defensive Rebound.,0,6
17:59,238,Matthew Fisher-Davis made Jumper.,0,8
17:56,2541,Santa Clara  Timeout,0,8
17:38,2541,Jared Brownridge made Three Point Jumper. Assisted by Jarvis Pugh.,3,8
17:13,238,Jeff Roberson Turnover.,3,8
16:43,2541,Nate Kratch made Layup.,5,8
16:14,238,Payton Willis missed Three Point Jumper.,5,8
16:14,238,Vanderbilt Offensive Rebound.,5,8
16:12,2541,Foul on Nate Kratch.,5,8
16:02,238,Jeff Roberson Turnover.,5,8
15:59,238,Official TV Timeout,5,8
15:46,2541,Jarvis Pugh Turnover.,5,8
15:20,238,Luke Kornet missed Layup.,5,8
15:20,2541,Jarvis Pugh Defensive Rebound.,5,8
14:56,2541,Matt Hauser missed Three Point Jumper.,5,8
14:56,238,Jeff Roberson Defensive Rebound.,5,8
14:44,238,Luke Kornet Turnover.,5,8
14:34,2541,Jared Brownridge missed Three Point Jumper.,5,8
14:34,238,Matthew Fisher-Davis Defensive Rebound.,5,8
14:20,238,Joe Toye missed Layup.,5,8
14:20,2541,Nate Kratch Defensive Rebound.,5,8
14:09,2541,Nate Kratch Turnover.,5,8
13:52,238,Jeff Roberson missed Jumper.,5,8
13:52,2541,Santa Clara Defensive Rebound.,5,8
13:51,238,Foul on Djery Baptiste.,5,8
13:24,2541,Kai Healy missed Layup.,5,8
13:24,238,Jeff Roberson Defensive Rebound.,5,8
13:15,238,Riley LaChance made Three Point Jumper. Assisted by Joe Toye.,5,11
13:08,238,Foul on Jeff Roberson.,5,11
12:45,2541,Jared Brownridge Turnover.,5,11
12:15,238,Nolan Cressler missed Layup.,5,11
12:15,2541,Jared Brownridge Block.,5,11
12:13,2541,Henrik Jadersten Defensive Rebound.,5,11
12:07,2541,Henrik Jadersten missed Three Point Jumper.,5,11
12:07,238,Nolan Cressler Defensive Rebound.,5,11
11:53,2541,Foul on Nate Kratch.,5,11
11:53,238,Official TV Timeout,5,11
11:41,238,Nolan Cressler made Three Point Jumper. Assisted by Payton Willis.,5,14
11:26,2541,Matt Hauser missed Three Point Jumper.,5,14
