LIU Brooklyn,2349,UMass Lowell,2341
time,team_id,description,h_score,a_score
19:36,2341,Raul Frias missed Three Point Jumper.,0,0
19:36,2349,Isaac White Defensive Rebound.,0,0
19:25,2349,Tyler Livingston made Three Point Jumper. Assisted by Ryan Jones.,0,3
19:08,2341,Nura Zanna Turnover.,0,3
18:56,2349,Tyler Livingston made Three Point Jumper. Assisted by Stefan Borovac.,0,6
18:38,2341,Jerome Frink missed Jumper.,0,6
18:38,2341,Jerome Frink Offensive Rebound.,0,6
18:31,2341,Jerome Frink made Three Point Jumper. Assisted by Iverson Fleming.,3,6
18:06,2349,Jahad Thomas missed Jumper.,3,6
18:06,2341,Iverson Fleming Defensive Rebound.,3,6
17:47,2349,Foul on Stefan Borovac.,3,6
17:36,2341,Jashaun Agosto missed Jumper.,3,6
17:36,2349,Tyler Livingston Defensive Rebound.,3,6
17:23,2349,Isaac White made Jumper.,3,8
17:09,2341,Iverson Fleming made Three Point Jumper. Assisted by Nura Zanna.,6,8
16:46,2349,Isaac White Turnover.,6,8
16:45,2341,Jashaun Agosto Steal.,6,8
16:42,2341,Jashaun Agosto made Layup.,8,8
16:19,2349,Tyler Livingston made Three Point Jumper. Assisted by Ryan Jones.,8,11
16:04,2349,Foul on Stefan Borovac.,8,11
15:58,2341,Iverson Fleming made Layup.,10,11
15:35,2341,Foul on Iverson Fleming.,10,11
15:35,2349,Official TV Timeout,10,11
15:32,2349,Isaac White made Jumper. Assisted by Jahad Thomas.,10,13
15:20,2341,Julius van Sauers Turnover.,10,13
15:18,2349,Jahad Thomas Steal.,10,13
15:12,2349,Ryan Jones missed Layup.,10,13
15:12,2341,Jerome Frink Defensive Rebound.,10,13
15:07,2349,Foul on Ryan Jones.,10,13
15:07,2341,Iverson Fleming missed Free Throw.,10,13
15:07,2341,LIU Brooklyn Deadball Team Rebound.,10,13
15:07,2341,Iverson Fleming made Free Throw.,11,13
14:48,2349,Tyler Livingston made Layup. Assisted by Jahad Thomas.,11,15
14:25,2341,Jerome Frink Turnover.,11,15
14:25,2349,Matt Harris Steal.,11,15
14:02,2349,Ryan Jones Turnover.,11,15
13:49,2341,Julius van Sauers made Layup. Assisted by Jashaun Agosto.,13,15
13:38,2341,Foul on Julian Batts.,13,15
13:23,2341,Foul on Jashaun Agosto.,13,15
13:23,2349,Ryan Jones missed Free Throw.,13,15
13:23,2349,UMass Lowell Deadball Team Rebound.,13,15
13:23,2349,Ryan Jones made Free Throw.,13,16
13:02,2341,Jashaun Agosto missed Layup.,13,16
13:02,2341,Julius van Sauers Offensive Rebound.,13,16
13:00,2341,Julius van Sauers made Layup.,15,16
12:45,2341,Foul on Julius van Sauers.,15,16
12:30,2349,Logan Primerano missed Jumper.,15,16
12:30,2349,Cameron Wolter Offensive Rebound.,15,16
12:17,2349,Matt Harris missed Three Point Jumper.,15,16
12:17,2341,Nura Zanna Defensive Rebound.,15,16
12:02,2349,Foul on Matt Harris.,15,16
11:54,2341,Nura Zanna missed Layup.,15,16
11:54,2349,Cameron Wolter Block.,15,16
11:52,2341,Nura Zanna Offensive Rebound.,15,16
11:50,2349,Official TV Timeout,15,16
11:36,2349,Foul on Cameron Wolter.,15,16
11:24,2341,Raiquan Clark made Dunk. Assisted by Iverson Fleming.,17,16
11:12,2349,Cameron Wolter made Jumper. Assisted by Logan Primerano.,17,18
11:04,2349,Foul on Cameron Wolter.,17,18
11:00,2341,Jerome Frink made Jumper.,19,18
10:29,2349,Tyler Livingston missed Jumper.,19,18
10:29,2341,Raiquan Clark Defensive Rebound.,19,18
10:21,2341,Iverson Fleming missed Layup.,19,18
10:21,2349,Matt Harris Block.,19,18
10:19,2349,Tyler Livingston Defensive Rebound.,19,18
10:05,2349,Matt Harris missed Layup.,19,18
10:05,2349,UMass Lowell Offensive Rebound.,19,18
10:01,2349,Logan Primerano made Layup. Assisted by Matt Harris.,19,20
10:01,2341,Foul on Raul Frias.,19,20
10:01,2349,Logan Primerano made Free Throw.,19,21
9:51,2341,Jerome Frink made Three Point Jumper. Assisted by Iverson Fleming.,22,21
9:22,2349,Logan Primerano missed Layup.,22,21
9:22,2341,Raul Frias Defensive Rebound.,22,21
9:08,2341,Jerome Frink made Layup.,24,21
8:56,2349,Isaac White Turnover.,24,21
8:55,2341,Nura Zanna Steal.,24,21
8:51,2341,Nura Zanna made Dunk.,26,21
8:37,2349,Isaac White Turnover.,26,21
8:36,2341,Jashaun Agosto Steal.,26,21
8:36,2349,Foul on Isaac White.,26,21
8:36,2341,Jashaun Agosto made Free Throw.,27,21
8:36,2341,Jashaun Agosto made Free Throw.,28,21
8:14,2349,Matt Harris missed Three Point Jumper.,28,21
8:14,2349,Tyler Livingston Offensive Rebound.,28,21
8:07,2349,Tyler Livingston made Layup. Assisted by Isaac White.,28,23
7:50,2341,Nura Zanna made Dunk. Assisted by Jerome Frink.,30,23
7:30,2349,Matt Harris Turnover.,30,23
7:28,2341,Raul Frias Steal.,30,23
7:09,2341,Jashaun Agosto Turnover.,30,23
7:09,2349,Official TV Timeout,30,23
6:55,2349,Tyler Livingston made Three Point Jumper. Assisted by Ryan Jones.,30,26
6:24,2341,Iverson Fleming missed Jumper.,30,26
6:24,2349,Logan Primerano Defensive Rebound.,30,26
6:15,2349,Jahad Thomas made Layup. Assisted by Tyler Livingston.,30,28
5:52,2341,Foul on Raul Frias.,30,28
5:52,2341,Raul Frias Turnover.,30,28
5:35,2349,Isaac White Turnover.,30,28
5:33,2341,Julius van Sauers Steal.,30,28
5:31,2341,Julius van Sauers made Layup.,32,28
5:17,2349,Tyler Livingston made Three Point Jumper. Assisted by Isaac White.,32,31
4:53,2341,Jerome Frink missed Three Point Jumper.,32,31
4:53,2349,Jahad Thomas Defensive Rebound.,32,31
4:52,2341,Foul on Julius van Sauers.,32,31
4:52,2349,Jahad Thomas made Free Throw.,32,32
4:52,2349,Jahad Thomas made Free Throw.,32,33
4:36,2341,Jashaun Agosto made Jumper.,34,33
