Colgate,171,Columbia,2142
time,team_id,description,h_score,a_score
19:38,171,Nate Hickman Turnover.,0,0
19:17,2142,Foul on Tom Rivard.,0,0
19:17,2142,Tom Rivard Turnover.,0,0
19:07,171,Jake Killingsworth missed Jumper.,0,0
19:07,171,Lukas Meisner Offensive Rebound.,0,0
18:48,171,Lukas Meisner made Three Point Jumper. Assisted by Luke Petrasek.,0,3
18:30,2142,Jordan Swopshire missed Three Point Jumper.,0,3
18:30,171,Nate Hickman Defensive Rebound.,0,3
18:12,171,Luke Petrasek missed Layup.,0,3
18:12,2142,Jordan Swopshire Defensive Rebound.,0,3
18:06,2142,Jordan Robertson missed Three Point Jumper.,0,3
18:06,171,Lukas Meisner Defensive Rebound.,0,3
17:50,171,Nate Hickman missed Layup.,0,3
17:50,2142,Malcolm Regisford Defensive Rebound.,0,3
17:33,2142,Jordan Robertson made Three Point Jumper. Assisted by Tom Rivard.,3,3
17:19,171,Mike Smith made Three Point Jumper. Assisted by Luke Petrasek.,3,6
17:07,2142,Jordan Swopshire made Three Point Jumper. Assisted by Sean O'Brien.,6,6
16:53,2142,Foul on Jordan Robertson.,6,6
16:42,171,Luke Petrasek made Three Point Jumper. Assisted by Chris McComber.,6,9
16:20,2142,Jordan Robertson made Layup.,8,9
16:11,2142,Foul on Will Rayman.,8,9
16:01,171,Quinton Adlesh made Three Point Jumper. Assisted by CJ Davis.,8,12
15:39,2142,Will Rayman missed Three Point Jumper.,8,12
15:39,171,Columbia Defensive Rebound.,8,12
15:36,171,Official TV Timeout,8,12
15:20,171,Quinton Adlesh made Jumper.,8,14
15:06,2142,Jordan Swopshire Turnover.,8,14
15:04,171,Quinton Adlesh Steal.,8,14
15:01,171,Quinton Adlesh missed Layup.,8,14
15:01,171,Jeff Coby Offensive Rebound.,8,14
14:55,171,Jeff Coby made Layup.,8,16
14:45,171,Foul on Jeff Coby.,8,16
14:45,2142,Jordan Swopshire made Free Throw.,9,16
14:45,2142,Jordan Swopshire made Free Throw.,10,16
14:33,2142,Foul on Nathan Harries.,10,16
14:23,171,Quinton Adlesh missed Jumper.,10,16
14:23,171,Jeff Coby Offensive Rebound.,10,16
14:20,171,Jeff Coby Turnover.,10,16
14:07,171,Foul on Luke Petrasek.,10,16
14:07,2142,Will Rayman made Free Throw.,11,16
14:07,2142,Will Rayman missed Free Throw.,11,16
14:07,171,Nate Hickman Defensive Rebound.,11,16
13:46,171,Luke Petrasek made Jumper.,11,18
13:24,2142,Malcolm Regisford missed Jumper.,11,18
13:24,171,Lukas Meisner Defensive Rebound.,11,18
13:15,2142,Foul on Will Rayman.,11,18
13:03,171,Luke Petrasek made Three Point Jumper. Assisted by Mike Smith.,11,21
12:40,2142,Nathan Harries Turnover.,11,21
12:36,171,Jake Killingsworth Steal.,11,21
12:33,171,Nate Hickman made Layup.,11,23
12:32,2142,Colgate  Timeout,11,23
12:08,171,Foul on Lukas Meisner.,11,23
11:56,2142,Tom Rivard missed Layup.,11,23
11:56,171,Lukas Meisner Defensive Rebound.,11,23
11:48,171,Luke Petrasek Turnover.,11,23
11:46,2142,Nathan Harries Steal.,11,23
11:28,2142,Dana Batt made Jumper.,13,23
11:10,171,Nate Hickman missed Three Point Jumper.,13,23
11:10,2142,Francisco Amiel Defensive Rebound.,13,23
10:52,171,Foul on Jake Killingsworth.,13,23
10:52,171,Official TV Timeout,13,23
10:38,2142,Sean O'Brien missed Three Point Jumper.,13,23
10:38,171,Nate Hickman Defensive Rebound.,13,23
10:28,171,Chris McComber made Three Point Jumper. Assisted by Nate Hickman.,13,26
10:05,2142,Dana Batt missed Jumper.,13,26
10:05,171,Jeff Coby Defensive Rebound.,13,26
9:40,171,Quinton Adlesh missed Jumper.,13,26
9:40,2142,Tom Rivard Defensive Rebound.,13,26
9:29,2142,Nathan Harries missed Three Point Jumper.,13,26
9:29,171,Jeff Coby Defensive Rebound.,13,26
9:17,171,Chris McComber made Layup. Assisted by Quinton Adlesh.,13,28
8:55,2142,Nathan Harries made Three Point Jumper. Assisted by Sean O'Brien.,16,28
8:38,171,Jeff Coby missed Jumper.,16,28
8:38,2142,Nathan Harries Defensive Rebound.,16,28
8:14,171,Foul on CJ Davis.,16,28
8:00,2142,Sean O'Brien missed Jumper.,16,28
8:00,2142,Sean O'Brien Offensive Rebound.,16,28
7:54,2142,Sean O'Brien missed Layup.,16,28
7:54,2142,Jordan Robertson Offensive Rebound.,16,28
7:40,2142,Sean O'Brien made Three Point Jumper.,19,28
7:23,171,Lukas Meisner made Three Point Jumper. Assisted by Quinton Adlesh.,19,31
6:58,171,Foul on Quinton Adlesh.,19,31
6:58,171,Official TV Timeout,19,31
6:56,2142,Jordan Swopshire missed Three Point Jumper.,19,31
6:56,171,Columbia Defensive Rebound.,19,31
6:27,171,Luke Petrasek missed Three Point Jumper.,19,31
6:27,2142,Jordan Swopshire Defensive Rebound.,19,31
6:18,2142,Francisco Amiel missed Three Point Jumper.,19,31
6:18,171,Quinton Adlesh Defensive Rebound.,19,31
5:59,171,Nate Hickman made Layup. Assisted by Luke Petrasek.,19,33
5:36,2142,Jordan Swopshire missed Three Point Jumper.,19,33
5:36,2142,Malcolm Regisford Offensive Rebound.,19,33
5:34,2142,Foul on Malcolm Regisford.,19,33
5:34,2142,Malcolm Regisford Turnover.,19,33
5:34,171,Lukas Meisner made Layup. Assisted by Mike Smith.,19,35
5:31,2142,Colgate  Timeout,19,35
5:05,2142,Malcolm Regisford missed Layup.,19,35
5:05,171,Lukas Meisner Defensive Rebound.,19,35
4:53,2142,Foul on Malcolm Regisford.,19,35
4:53,171,Luke Petrasek made Free Throw.,19,36
4:53,171,Luke Petrasek made Free Throw.,19,37
4:41,171,Foul on Rodney Hunter.,19,37
4:41,2142,Jordan Robertson missed Free Throw.,19,37
4:41,171,Lukas Meisner Defensive Rebound.,19,37
4:28,2142,Foul on Nathan Harries.,19,37
4:28,171,CJ Davis made Free Throw.,19,38
4:28,171,CJ Davis made Free Throw.,19,39
4:21,2142,Will Rayman made Layup.,21,39
4:10,171,Quinton Adlesh missed Three Point Jumper.,21,39
4:10,2142,Jordan Robertson Defensive Rebound.,21,39
4:01,2142,Nathan Harries Turnover.,21,39
3:58,171,Quinton Adlesh Steal.,21,39
3:56,171,Quinton Adlesh made Layup.,21,41
3:46,2142,Will Rayman missed Three Point Jumper.,21,41
3:46,171,Nate Hickman Defensive Rebound.,21,41
3:18,171,Nate Hickman missed Three Point Jumper.,21,41
