Robert Morris,119,Towson,2523
time,team_id,description,h_score,a_score
19:28,2523,Aaron Tate made Layup. Assisted by Kavon Stewart.,2,0
19:08,119,Eddie Keith II made Three Point Jumper. Assisted by Arnaud William Adala Moto.,2,3
18:44,119,Foul on Alex Thomas.,2,3
18:44,2523,Roberto Mantovani missed Free Throw.,2,3
18:44,2523,Robert Morris Deadball Team Rebound.,2,3
18:44,2523,Roberto Mantovani made Free Throw.,3,3
18:36,119,Foul on Eddie Keith II.,3,3
18:36,119,Eddie Keith II Turnover.,3,3
18:08,2523,Matty McConnell missed Three Point Jumper.,3,3
18:08,119,Alex Thomas Defensive Rebound.,3,3
17:55,119,Mike Morsell made Jumper.,3,5
17:24,2523,Aaron Tate missed Jumper.,3,5
17:24,2523,Robert Morris Offensive Rebound.,3,5
17:04,2523,Kavon Stewart Turnover.,3,5
17:04,119,Arnaud William Adala Moto Steal.,3,5
16:50,119,Arnaud William Adala Moto missed Three Point Jumper.,3,5
16:50,2523,Robert Morris Defensive Rebound.,3,5
16:23,2523,Kavon Stewart Turnover.,3,5
16:23,119,Deshaun Morman Steal.,3,5
16:20,2523,Foul on Isaiah Still.,3,5
16:20,119,Deshaun Morman missed Free Throw.,3,5
16:20,119,Towson Deadball Team Rebound.,3,5
16:20,119,Deshaun Morman made Free Throw.,3,6
15:51,2523,Billy Giles made Layup. Assisted by Kavon Stewart.,5,6
15:46,119,John Davis Turnover.,5,6
15:45,2523,Kavon Stewart Steal.,5,6
15:43,2523,Kavon Stewart missed Layup.,5,6
15:43,119,John Davis Defensive Rebound.,5,6
15:39,2523,Foul on Kavon Stewart.,5,6
15:39,119,Official TV Timeout,5,6
15:31,2523,Foul on Isaiah Still.,5,6
15:23,119,John Davis made Jumper. Assisted by Eddie Keith II.,5,8
15:06,2523,Dachon Burke missed Jumper.,5,8
15:06,119,Eddie Keith II Defensive Rebound.,5,8
14:56,119,Alex Thomas missed Jumper.,5,8
14:56,119,Towson Offensive Rebound.,5,8
14:47,2523,Foul on Billy Giles.,5,8
14:46,119,John Davis Turnover.,5,8
14:24,2523,Clive Allen Turnover.,5,8
14:23,119,Arnaud William Adala Moto Steal.,5,8
14:20,119,Mike Morsell missed Layup.,5,8
14:20,2523,Dachon Burke Block.,5,8
14:19,2523,Billy Giles Defensive Rebound.,5,8
14:14,119,Foul on Brian Starr.,5,8
14:14,2523,Dachon Burke made Free Throw.,6,8
14:14,2523,Dachon Burke made Free Throw.,7,8
13:55,119,John Davis made Three Point Jumper. Assisted by Mike Morsell.,7,11
13:28,2523,Billy Giles missed Jumper.,7,11
13:28,119,Zane Martin Defensive Rebound.,7,11
13:23,2523,Foul on Clive Allen.,7,11
13:23,119,Mike Morsell made Free Throw.,7,12
13:23,119,Mike Morsell made Free Throw.,7,13
13:04,2523,Clive Allen made Layup.,9,13
12:53,2523,Foul on Billy Giles.,9,13
12:52,119,Zane Martin Turnover.,9,13
12:22,2523,Aaron Tate Turnover.,9,13
12:05,2523,Foul on Roberto Mantovani.,9,13
12:05,119,Arnaud William Adala Moto made Free Throw.,9,14
12:05,119,Arnaud William Adala Moto missed Free Throw.,9,14
12:05,2523,Aaron Tate Defensive Rebound.,9,14
11:47,2523,Dachon Burke missed Three Point Jumper.,9,14
11:47,119,Zane Martin Defensive Rebound.,9,14
11:37,119,Zane Martin missed Jumper.,9,14
11:37,2523,Roberto Mantovani Defensive Rebound.,9,14
11:23,2523,Dachon Burke missed Layup.,9,14
11:23,2523,Aaron Tate Offensive Rebound.,9,14
11:15,2523,Kavon Stewart missed Three Point Jumper.,9,14
11:15,119,Dennis Tunstall Defensive Rebound.,9,14
11:08,119,Deshaun Morman made Dunk. Assisted by Eddie Keith II.,9,16
10:56,119,Official TV Timeout,9,16
10:49,2523,Kavon Stewart Turnover.,9,16
10:47,119,Eddie Keith II Steal.,9,16
10:40,2523,Foul on Conrad Stephens.,9,16
10:40,119,John Davis missed Free Throw.,9,16
10:40,2523,Aaron Tate Defensive Rebound.,9,16
10:25,119,Foul on Deshaun Morman.,9,16
10:04,2523,Kavon Stewart missed Jumper.,9,16
10:04,119,John Davis Defensive Rebound.,9,16
9:53,119,John Davis Turnover.,9,16
9:52,2523,Kavon Stewart Steal.,9,16
9:47,119,Foul on Deshaun Morman.,9,16
9:47,2523,Lorenzen Wright Jr. missed Free Throw.,9,16
9:47,2523,Robert Morris Deadball Team Rebound.,9,16
9:47,2523,Lorenzen Wright Jr. made Free Throw.,10,16
