Denver,16,Sacramento State,2172
time,team_id,description,h_score,a_score
19:42,2172,Daniel Amigo missed Layup.,0,0
19:42,16,Eric Stuteville Defensive Rebound.,0,0
19:17,16,Justin Strings made Three Point Jumper.,0,3
18:58,2172,Daniel Amigo made Jumper. Assisted by Joe Rosga.,2,3
18:44,16,Eric Stuteville made Jumper.,2,5
18:24,16,Foul on Nick Hornsby.,2,5
18:04,2172,Daniel Amigo missed Jumper.,2,5
18:04,16,Nick Hornsby Defensive Rebound.,2,5
17:56,16,Marcus Graves missed Jumper.,2,5
17:56,2172,Joe Rosga Defensive Rebound.,2,5
17:32,2172,Daniel Amigo missed Jumper.,2,5
17:32,2172,C.J. Bobbitt Offensive Rebound.,2,5
17:30,2172,C.J. Bobbitt missed Layup.,2,5
17:30,16,Justin Strings Defensive Rebound.,2,5
17:23,16,Justin Strings missed Three Point Jumper.,2,5
17:23,2172,Joe Rosga Defensive Rebound.,2,5
17:10,2172,Jake Pemberton missed Jumper.,2,5
17:10,16,Marcus Graves Defensive Rebound.,2,5
16:51,16,Izayah Mauriohoohoo-Le'Afa missed Three Point Jumper.,2,5
16:51,2172,Daniel Amigo Defensive Rebound.,2,5
16:43,2172,Joe Rosga missed Jumper.,2,5
16:43,16,Justin Strings Defensive Rebound.,2,5
16:23,2172,Foul on C.J. Bobbitt.,2,5
16:23,16,Nick Hornsby made Free Throw.,2,6
16:23,16,Nick Hornsby made Free Throw.,2,7
16:04,2172,Daniel Amigo made Jumper. Assisted by Jake Pemberton.,4,7
15:59,16,Official TV Timeout,4,7
15:50,16,Nick Hornsby missed Jumper.,4,7
15:50,2172,Jake Pemberton Defensive Rebound.,4,7
15:19,2172,Joe Rosga missed Jumper.,4,7
15:19,16,Marcus Graves Defensive Rebound.,4,7
15:08,16,Grant Dressler missed Jumper.,4,7
15:08,2172,Jake Pemberton Defensive Rebound.,4,7
14:50,2172,Joe Rosga missed Jumper.,4,7
14:50,2172,Duke Douglas Offensive Rebound.,4,7
14:37,2172,C.J. Bobbitt missed Jumper.,4,7
14:37,16,Grant Dressler Defensive Rebound.,4,7
14:10,16,Marcus Graves made Layup.,4,9
14:10,2172,Foul on Joe Rosga.,4,9
14:10,16,Marcus Graves made Free Throw.,4,10
14:03,16,Foul on Justin Strings.,4,10
13:56,2172,Bradley George Turnover.,4,10
13:38,16,Justin Strings missed Layup.,4,10
13:38,2172,Duke Douglas Block.,4,10
13:37,2172,Christian Mackey Defensive Rebound.,4,10
13:33,2172,Duke Douglas missed Layup.,4,10
13:33,2172,Christian Mackey Offensive Rebound.,4,10
13:20,16,Foul on Joshua Patton.,4,10
13:20,2172,Christian Mackey missed Free Throw.,4,10
