Howard Payne,Error,Abilene Christian,2000
time,team_id,description,h_score,a_score
19:49,2000,Payten Ricks made Layup.,0,2
19:26,-1,J Bailey Turnover.,0,2
19:24,2000,Jaren Lewis Steal.,0,2
19:21,-1,Foul on J Bailey.,0,2
19:21,2000,Payten Ricks made Free Throw.,0,3
19:21,2000,Payten Ricks made Free Throw.,0,4
18:55,-1,Rickey Guillory missed Three Point Jumper.,0,4
18:55,2000,Hayden Howell Defensive Rebound.,0,4
18:42,2000,Drake Green missed Three Point Jumper.,0,4
18:42,-1,Khyce Randall Defensive Rebound.,0,4
18:32,-1,Khyce Randall Turnover.,0,4
18:31,2000,Jaren Lewis Steal.,0,4
18:28,-1,Foul on David Dingle.,0,4
18:28,2000,Jaren Lewis made Free Throw.,0,5
18:28,2000,Jaren Lewis made Free Throw.,0,6
18:07,-1,Rickey Guillory missed Three Point Jumper.,0,6
18:07,-1,Shadd Cole Offensive Rebound.,0,6
17:49,-1,David Dingle missed Jumper.,0,6
17:49,2000,Jovan Crnic Block.,0,6
17:46,2000,Payten Ricks Defensive Rebound.,0,6
17:35,2000,Payten Ricks Turnover.,0,6
17:34,-1,Rickey Guillory Steal.,0,6
17:28,-1,Shadd Cole missed Three Point Jumper.,0,6
17:28,2000,Payten Ricks Defensive Rebound.,0,6
17:25,2000,Foul on Payten Ricks.,0,6
17:25,2000,Payten Ricks Turnover.,0,6
16:59,-1,David Dingle made Three Point Jumper. Assisted by Khyce Randall.,3,6
16:46,-1,Foul on J Bailey.,3,6
16:41,2000,Jaren Lewis made Three Point Jumper. Assisted by Payten Ricks.,3,9
16:29,-1,Khyce Randall Turnover.,3,9
16:29,2000,Jovan Crnic Steal.,3,9
16:17,2000,Jaren Lewis missed Three Point Jumper.,3,9
16:17,-1,Thomas Bingham Defensive Rebound.,3,9
16:05,-1,Talen Davis-Rentfro made Layup. Assisted by Rickey Guillory.,5,9
15:48,-1,Foul on Thomas Bingham.,5,9
15:48,2000,Official TV Timeout,5,9
15:48,2000,Jaren Lewis made Free Throw.,5,10
15:48,2000,Jaren Lewis missed Free Throw.,5,10
15:48,-1,Thomas Bingham Defensive Rebound.,5,10
15:20,-1,Donovan Jenkins Turnover.,5,10
15:19,2000,Isaiah Tripp Steal.,5,10
15:15,2000,Isaiah Tripp made Layup.,5,12
14:45,-1,Foul on David Dingle.,5,12
14:45,-1,David Dingle Turnover.,5,12
14:26,2000,Isaiah Tripp made Three Point Jumper. Assisted by Diamante Langston.,5,15
14:04,-1,De'Marcus Hurd missed Three Point Jumper.,5,15
14:04,2000,Diamante Langston Defensive Rebound.,5,15
13:59,-1,Foul on De'Marcus Hurd.,5,15
13:34,2000,Jalone Friday made Jumper. Assisted by Trey Lenox.,5,17
13:17,2000,Foul on Jalone Friday.,5,17
13:17,-1,Talen Davis-Rentfro missed Free Throw.,5,17
13:17,-1,Howard Payne Deadball Team Rebound.,5,17
13:17,-1,Talen Davis-Rentfro missed Free Throw.,5,17
13:17,2000,Jovan Crnic Defensive Rebound.,5,17
13:00,2000,Drake Green made Three Point Jumper. Assisted by Diamante Langston.,5,20
12:29,-1,De'Marcus Hurd missed Jumper.,5,20
12:29,-1,Thomas Bingham Offensive Rebound.,5,20
12:25,-1,Thomas Bingham made Layup.,7,20
12:00,2000,Payten Ricks missed Three Point Jumper.,7,20
12:00,-1,Thomas Bingham Defensive Rebound.,7,20
11:45,-1,Khyce Randall missed Three Point Jumper.,7,20
11:45,-1,De'Marcus Hurd Offensive Rebound.,7,20
11:23,-1,Shadd Cole missed Three Point Jumper.,7,20
11:23,2000,Jovan Crnic Defensive Rebound.,7,20
11:15,2000,Hayden Farquhar missed Three Point Jumper.,7,20
11:15,-1,Thomas Bingham Defensive Rebound.,7,20
11:06,-1,Shadd Cole missed Layup.,7,20
11:06,2000,Hayden Howell Defensive Rebound.,7,20
10:51,2000,Hayden Farquhar missed Layup.,7,20
10:51,-1,Donovan Jenkins Defensive Rebound.,7,20
10:42,-1,Khyce Randall made Layup.,9,20
10:23,2000,Hayden Howell missed Layup.,9,20
10:23,-1,Shadd Cole Defensive Rebound.,9,20
10:16,-1,Khyce Randall made Three Point Jumper.,12,20
10:13,2000,Abilene Christian  Timeout,12,20
10:13,2000,Official TV Timeout,12,20
9:50,2000,Jovan Crnic Turnover.,12,20
9:48,-1,Khyce Randall Steal.,12,20
9:45,-1,Khyce Randall Turnover.,12,20
9:24,2000,Jalone Friday made Layup. Assisted by Jovan Crnic.,12,22
9:03,-1,J Bailey made Jumper. Assisted by Cole Bene'.,14,22
8:47,2000,Jalone Friday made Layup. Assisted by Jovan Crnic.,14,24
8:36,2000,Foul on Jovan Crnic.,14,24
8:03,-1,Jeremy Ayers missed Jumper.,14,24
8:03,2000,Abilene Christian Defensive Rebound.,14,24
7:46,2000,Jalone Friday made Layup. Assisted by Diamante Langston.,14,26
7:28,-1,Cole Bene' missed Jumper.,14,26
7:28,-1,J Bailey Offensive Rebound.,14,26
7:28,2000,Foul on Jalone Friday.,14,26
7:28,2000,Official TV Timeout,14,26
7:27,-1,Khyce Randall missed Three Point Jumper.,14,26
7:27,2000,Drake Green Defensive Rebound.,14,26
7:23,-1,Foul on Donovan Jenkins.,14,26
7:23,2000,Drake Green made Free Throw.,14,27
7:23,2000,Drake Green made Free Throw.,14,28
7:13,-1,Rickey Guillory missed Three Point Jumper.,14,28
7:13,2000,Jaren Lewis Defensive Rebound.,14,28
6:50,2000,Drake Green missed Three Point Jumper.,14,28
6:50,-1,Howard Payne Defensive Rebound.,14,28
6:50,2000,Foul on Hayden Howell.,14,28
6:36,2000,Foul on Hayden Howell.,14,28
6:36,-1,Rickey Guillory missed Free Throw.,14,28
6:36,-1,Howard Payne Deadball Team Rebound.,14,28
6:36,-1,Rickey Guillory made Free Throw.,15,28
6:19,2000,Hayden Farquhar missed Layup.,15,28
6:19,-1,Thomas Bingham Block.,15,28
6:17,-1,Donovan Jenkins Defensive Rebound.,15,28
6:16,2000,Foul on Jaren Lewis.,15,28
6:16,-1,Donovan Jenkins made Free Throw.,16,28
6:16,-1,Donovan Jenkins made Free Throw.,17,28
5:56,2000,Jovan Crnic Turnover.,17,28
5:55,-1,Khyce Randall Steal.,17,28
5:41,-1,Khyce Randall missed Jumper.,17,28
5:41,-1,Rickey Guillory Offensive Rebound.,17,28
5:40,2000,Foul on Payten Ricks.,17,28
5:40,-1,Rickey Guillory missed Free Throw.,17,28
5:40,2000,Hayden Farquhar Defensive Rebound.,17,28
5:16,2000,Jaren Lewis made Layup. Assisted by Isaiah Tripp.,17,30
5:01,2000,Foul on Hayden Farquhar.,17,30
5:01,-1,Thomas Bingham made Free Throw.,18,30
5:01,-1,Thomas Bingham made Free Throw.,19,30
4:35,2000,Hayden Farquhar made Layup.,19,32
4:06,-1,Shadd Cole Turnover.,19,32
4:04,2000,Isaiah Tripp Steal.,19,32
4:02,2000,Isaiah Tripp made Layup. Assisted by Jaren Lewis.,19,34
3:57,-1,Foul on Rickey Guillory.,19,34
3:57,2000,Official TV Timeout,19,34
3:57,2000,Isaiah Tripp made Free Throw.,19,35
3:41,-1,Donovan Jenkins Turnover.,19,35
3:26,2000,Diamante Langston Turnover.,19,35
3:25,-1,J Bailey Steal.,19,35
3:22,-1,Rickey Guillory made Layup. Assisted by J Bailey.,21,35
2:46,2000,Hayden Farquhar Turnover.,21,35
2:23,-1,Rickey Guillory missed Three Point Jumper.,21,35
2:23,2000,Trey Lenox Defensive Rebound.,21,35
2:13,2000,Payten Ricks Turnover.,21,35
2:13,-1,Shadd Cole Steal.,21,35
2:13,2000,Foul on Isaiah Tripp.,21,35
2:13,-1,Shadd Cole made Free Throw.,22,35
2:13,-1,Shadd Cole missed Free Throw.,22,35
2:13,2000,Hayden Farquhar Defensive Rebound.,22,35
2:06,-1,Foul on Rickey Guillory.,22,35
2:06,2000,Payten Ricks made Free Throw.,22,36
2:06,2000,Payten Ricks made Free Throw.,22,37
1:53,-1,Foul on Thomas Bingham.,22,37
1:53,-1,Thomas Bingham Turnover.,22,37
1:27,-1,Foul on Elijah Pruitt.,22,37
1:27,2000,Hayden Farquhar made Free Throw.,22,38
1:27,2000,Hayden Farquhar missed Free Throw.,22,38
1:27,2000,Isaiah Tripp Offensive Rebound.,22,38
