Davidson,2382,Mercer,2166
time,team_id,description,h_score,a_score
19:41,2166,Jon Axel Gudmundsson missed Three Point Jumper.,0,0
19:41,2382,Demetre Rivers Defensive Rebound.,0,0
19:19,2382,Stephon Jelks made Three Point Jumper. Assisted by Jordan Strawberry.,0,3
18:59,2166,Rusty Reigel missed Jumper.,0,3
18:59,2166,Rusty Reigel Offensive Rebound.,0,3
18:48,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Peyton Aldridge.,3,3
18:22,2382,Desmond Ringer made Layup. Assisted by Ria'n Holland.,3,5
18:00,2166,Rusty Reigel made Layup. Assisted by Peyton Aldridge.,5,5
17:40,2382,Stephon Jelks Turnover.,5,5
17:39,2166,Will Magarity Steal.,5,5
17:32,2166,Will Magarity made Layup. Assisted by Rusty Reigel.,7,5
17:10,2382,Ria'n Holland Turnover.,7,5
17:00,2166,Rusty Reigel made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,10,5
16:38,2382,Andrew Fishler made Layup. Assisted by Jordan Strawberry.,10,7
16:27,2166,Jack Gibbs missed Three Point Jumper.,10,7
16:27,2382,Andrew Fishler Defensive Rebound.,10,7
16:16,2382,Andrew Fishler missed Jumper.,10,7
16:16,2382,Andrew Fishler Offensive Rebound.,10,7
15:58,2382,Ria'n Holland Turnover.,10,7
15:56,2166,Peyton Aldridge Steal.,10,7
15:43,2166,Peyton Aldridge missed Three Point Jumper.,10,7
15:43,2166,Rusty Reigel Offensive Rebound.,10,7
15:39,2166,Jack Gibbs made Three Point Jumper. Assisted by Rusty Reigel.,13,7
15:19,2382,Ria'n Holland missed Jumper.,13,7
15:19,2166,Will Magarity Defensive Rebound.,13,7
15:11,2166,Will Magarity made Three Point Jumper. Assisted by Jack Gibbs.,16,7
14:38,2382,Jordan Strawberry made Layup.,16,9
14:33,2166,Peyton Aldridge made Layup. Assisted by Jack Gibbs.,18,9
14:18,2382,Demetre Rivers missed Three Point Jumper.,18,9
14:18,2166,Jack Gibbs Defensive Rebound.,18,9
14:03,2166,Jack Gibbs made Three Point Jumper. Assisted by Will Magarity.,21,9
14:00,2382,Mercer  Timeout,21,9
14:00,2382,Official TV Timeout,21,9
13:49,2382,Desmond Ringer made Layup. Assisted by Jordan Strawberry.,21,11
13:35,2166,Peyton Aldridge made Jumper. Assisted by Rusty Reigel.,23,11
13:15,2382,Desmond Ringer Turnover.,23,11
13:15,2382,Foul on Desmond Ringer.,23,11
12:56,2166,Rusty Reigel missed Layup.,23,11
12:56,2382,Stephon Jelks Defensive Rebound.,23,11
12:43,2382,Stephon Jelks missed Three Point Jumper.,23,11
12:43,2166,Peyton Aldridge Defensive Rebound.,23,11
12:29,2166,Jack Gibbs made Three Point Jumper. Assisted by Jordan Watkins.,26,11
12:08,2382,Stephon Jelks Turnover.,26,11
11:54,2166,Nathan Ekwu Turnover.,26,11
11:54,2382,Official TV Timeout,26,11
11:38,2382,Cory Kilby Turnover.,26,11
11:37,2166,Jon Axel Gudmundsson Steal.,26,11
11:27,2166,Jordan Watkins missed Three Point Jumper.,26,11
11:27,2382,Ria'n Holland Block.,26,11
11:25,2382,Stephon Jelks Defensive Rebound.,26,11
10:58,2382,Rashad Lewis missed Jumper.,26,11
10:58,2382,JJ N'Ganga Offensive Rebound.,26,11
10:32,2382,Demetre Rivers made Layup. Assisted by Rashad Lewis.,26,13
10:10,2166,Jon Axel Gudmundsson missed Layup.,26,13
10:10,2382,JJ N'Ganga Defensive Rebound.,26,13
9:47,2382,Foul on Demetre Rivers.,26,13
9:47,2382,Demetre Rivers Turnover.,26,13
9:28,2166,Peyton Aldridge missed Layup.,26,13
9:28,2382,JJ N'Ganga Block.,26,13
9:27,2382,Ryan Johnson Defensive Rebound.,26,13
9:10,2382,Ria'n Holland made Three Point Jumper. Assisted by Jordan Strawberry.,26,16
9:00,2166,Will Magarity missed Three Point Jumper.,26,16
9:00,2382,Jordan Strawberry Defensive Rebound.,26,16
8:49,2382,Demetre Rivers missed Three Point Jumper.,26,16
8:49,2382,JJ N'Ganga Offensive Rebound.,26,16
8:42,2382,Foul on JJ N'Ganga.,26,16
8:42,2382,JJ N'Ganga Turnover.,26,16
8:24,2166,Jack Gibbs missed Three Point Jumper.,26,16
8:24,2382,Desmond Ringer Defensive Rebound.,26,16
8:06,2166,Foul on Jack Gibbs.,26,16
8:06,2382,Demetre Rivers made Free Throw.,26,17
8:06,2382,Demetre Rivers made Free Throw.,26,18
7:49,2166,Jon Axel Gudmundsson missed Layup.,26,18
7:49,2382,Demetre Rivers Block.,26,18
7:48,2382,Desmond Ringer Defensive Rebound.,26,18
7:24,2382,Ria'n Holland missed Jumper.,26,18
7:24,2166,Will Magarity Block.,26,18
7:22,2166,Peyton Aldridge Defensive Rebound.,26,18
7:04,2166,Jon Axel Gudmundsson missed Three Point Jumper.,26,18
7:04,2382,Jordan Strawberry Defensive Rebound.,26,18
6:56,2166,Foul on Rusty Reigel.,26,18
6:56,2382,Official TV Timeout,26,18
6:42,2382,Ria'n Holland Turnover.,26,18
6:41,2166,Jack Gibbs Steal.,26,18
6:38,2166,Jack Gibbs made Layup.,28,18
6:23,2382,Ria'n Holland Turnover.,28,18
6:10,2166,Peyton Aldridge made Layup.,30,18
5:54,2382,Ryan Johnson missed Three Point Jumper.,30,18
5:54,2166,Peyton Aldridge Defensive Rebound.,30,18
5:43,2166,Peyton Aldridge missed Three Point Jumper.,30,18
5:43,2382,Desmond Ringer Defensive Rebound.,30,18
5:33,2382,Darius Roy missed Jumper.,30,18
5:33,2382,Mercer Offensive Rebound.,30,18
5:29,2382,Demetre Rivers made Layup. Assisted by Jordan Strawberry.,30,20
5:04,2166,Rusty Reigel made Jumper.,32,20
4:33,2382,Darius Roy missed Jumper.,32,20
4:33,2166,Davidson Defensive Rebound.,32,20
4:14,2166,Dusan Kovacevic Turnover.,32,20
3:56,2166,Foul on Dusan Kovacevic.,32,20
3:56,2382,Official TV Timeout,32,20
3:56,2382,Stephon Jelks made Free Throw.,32,21
3:56,2382,Stephon Jelks missed Free Throw.,32,21
3:56,2382,JJ N'Ganga Offensive Rebound.,32,21
3:40,2382,Stephon Jelks Turnover.,32,21
3:39,2166,Jon Axel Gudmundsson Steal.,32,21
3:21,2166,Peyton Aldridge missed Jumper.,32,21
3:21,2382,Jaylen Stowe Defensive Rebound.,32,21
3:02,2382,JJ N'Ganga missed Jumper.,32,21
3:02,2382,Jordan Strawberry Offensive Rebound.,32,21
2:58,2382,Jordan Strawberry made Two Point Tip Shot.,32,23
2:49,2166,Dusan Kovacevic made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,35,23
2:14,2382,Jordan Strawberry missed Layup.,35,23
2:14,2382,JJ N'Ganga Offensive Rebound.,35,23
2:07,2382,Ria'n Holland missed Layup.,35,23
2:07,2382,Ria'n Holland Offensive Rebound.,35,23
2:05,2166,Foul on Jon Axel Gudmundsson.,35,23
2:05,2382,Ria'n Holland made Free Throw.,35,24
2:05,2382,Ria'n Holland made Free Throw.,35,25
1:51,2166,Jack Gibbs missed Jumper.,35,25
1:51,2382,JJ N'Ganga Defensive Rebound.,35,25
1:33,2382,Stephon Jelks missed Three Point Jumper.,35,25
1:33,2166,Davidson Defensive Rebound.,35,25
1:18,2166,Rusty Reigel missed Three Point Jumper.,35,25
1:18,2382,Stephon Jelks Defensive Rebound.,35,25
1:00,2382,Demetre Rivers missed Layup.,35,25
1:00,2166,Davidson Defensive Rebound.,35,25
0:59,2382,Foul on Andrew Fishler.,35,25
0:59,2166,Peyton Aldridge Turnover.,35,25
0:58,2382,Ria'n Holland Steal.,35,25
0:53,2382,Ria'n Holland missed Layup.,35,25
0:53,2166,Jack Gibbs Defensive Rebound.,35,25
0:41,2166,Will Magarity made Three Point Jumper. Assisted by Jack Gibbs.,38,25
0:14,2382,Jordan Strawberry missed Three Point Jumper.,38,25
0:14,2382,Andrew Fishler Offensive Rebound.,38,25
0:08,2166,Foul on Will Magarity.,38,25
0:08,2166,Davidson  Timeout,38,25
0:08,2382,Ria'n Holland made Free Throw.,38,26
0:08,2382,Ria'n Holland made Free Throw.,38,27
0:07,2382,Foul on Jaylen Stowe.,38,27
0:05,2382,Foul on Jaylen Stowe.,38,27
0:01,2166,Jack Gibbs made Three Point Jumper.,41,27
0:00,2382,End of 1st half,41,27
19:59,2382,Demetre Rivers Turnover.,41,27
19:40,2166,Jack Gibbs missed Layup.,41,27
19:40,2382,Stephon Jelks Defensive Rebound.,41,27
19:25,2382,Jordan Strawberry Turnover.,41,27
19:12,2382,Foul on Desmond Ringer.,41,27
18:49,2166,Jack Gibbs made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,44,27
18:31,2382,Jordan Strawberry missed Three Point Jumper.,44,27
18:31,2166,Rusty Reigel Defensive Rebound.,44,27
18:24,2166,Peyton Aldridge made Dunk. Assisted by Jack Gibbs.,46,27
18:09,2382,Demetre Rivers Turnover.,46,27
17:53,2166,Peyton Aldridge made Jumper.,48,27
17:53,2382,Foul on Ryan Johnson.,48,27
17:53,2166,Peyton Aldridge made Free Throw.,49,27
17:43,2382,Darius Roy made Jumper.,49,29
17:33,2166,Will Magarity missed Three Point Jumper.,49,29
17:33,2382,Rashad Lewis Defensive Rebound.,49,29
17:16,2382,Ross Cummings missed Jumper.,49,29
