Buffalo,156,Creighton,2084
time,team_id,description,h_score,a_score
20:00,156,Jump Ball won by Creighton,0,0
19:51,156,Khyri Thomas missed Jumper.,0,0
19:51,2084,Dontay Caruthers Defensive Rebound.,0,0
19:12,2084,Foul on Dontay Caruthers.,0,0
19:12,2084,Dontay Caruthers Turnover.,0,0
19:01,156,Marcus Foster missed Layup.,0,0
19:01,2084,Nick Perkins Defensive Rebound.,0,0
18:51,2084,Nick Perkins Turnover.,0,0
18:51,156,Khyri Thomas Steal.,0,0
18:47,156,Khyri Thomas made Layup.,0,2
18:21,2084,Blake Hamilton missed Three Point Jumper.,0,2
18:21,2084,Ikenna Smart Offensive Rebound.,0,2
18:13,2084,Ikenna Smart made Jumper.,2,2
18:02,156,Justin Patton made Dunk. Assisted by Maurice Watson Jr..,2,4
17:35,2084,Dontay Caruthers made Jumper.,4,4
17:29,156,Marcus Foster missed Three Point Jumper.,4,4
17:29,2084,Ikenna Smart Defensive Rebound.,4,4
17:22,2084,Blake Hamilton Turnover.,4,4
17:22,156,Maurice Watson Jr. Steal.,4,4
17:13,156,Marcus Foster missed Layup.,4,4
17:13,156,Khyri Thomas Offensive Rebound.,4,4
17:08,156,Khyri Thomas made Layup.,4,6
16:39,2084,Willie Conner missed Three Point Jumper.,4,6
16:39,156,Maurice Watson Jr. Defensive Rebound.,4,6
16:31,2084,Foul on Dontay Caruthers.,4,6
16:19,156,Justin Patton missed Jumper.,4,6
16:19,2084,Nick Perkins Defensive Rebound.,4,6
16:01,2084,Willie Conner missed Three Point Jumper.,4,6
16:01,2084,Ikenna Smart Offensive Rebound.,4,6
15:55,2084,Ikenna Smart missed Layup.,4,6
15:55,156,Cole Huff Block.,4,6
15:55,2084,Willie Conner Offensive Rebound.,4,6
15:46,2084,Willie Conner made Layup.,6,6
15:39,2084,Foul on Ikenna Smart.,6,6
15:39,156,Official TV Timeout,6,6
15:39,156,Marcus Foster made Free Throw.,6,7
15:39,156,Marcus Foster made Free Throw.,6,8
15:29,2084,Davonta Jordan Turnover.,6,8
15:16,156,Marcus Foster missed Layup.,6,8
15:16,2084,Buffalo Defensive Rebound.,6,8
14:56,2084,Nick Perkins missed Three Point Jumper.,6,8
14:56,2084,Buffalo Offensive Rebound.,6,8
14:37,2084,Foul on Nick Perkins.,6,8
14:37,2084,Nick Perkins Turnover.,6,8
14:30,156,Maurice Watson Jr. made Three Point Jumper.,6,11
14:16,2084,Nick Perkins Turnover.,6,11
14:16,156,Khyri Thomas Steal.,6,11
14:07,156,Marcus Foster made Jumper.,6,13
13:47,2084,Nick Perkins Turnover.,6,13
13:47,156,Khyri Thomas Steal.,6,13
13:38,156,Marcus Foster missed Three Point Jumper.,6,13
13:38,156,Toby Hegner Offensive Rebound.,6,13
13:23,156,Maurice Watson Jr. made Jumper.,6,15
13:02,156,Foul on Khyri Thomas.,6,15
12:48,2084,Blake Hamilton missed Jumper.,6,15
12:48,156,Tyler Clement Defensive Rebound.,6,15
12:45,2084,Foul on David Kadiri.,6,15
12:40,156,Marcus Foster missed Dunk.,6,15
12:40,2084,Davonta Jordan Defensive Rebound.,6,15
12:21,2084,Buffalo  Timeout,6,15
12:08,156,Foul on Tyler Clement.,6,15
12:08,2084,Davonta Jordan missed Free Throw.,6,15
12:08,2084,Buffalo Deadball Team Rebound.,6,15
12:08,2084,Davonta Jordan missed Free Throw.,6,15
12:08,156,Martin Krampelj Defensive Rebound.,6,15
12:01,156,Isaiah Zierden missed Three Point Jumper.,6,15
12:01,2084,Ikenna Smart Defensive Rebound.,6,15
11:53,156,Foul on Martin Krampelj.,6,15
11:36,2084,Blake Hamilton made Three Point Jumper. Assisted by Davonta Jordan.,9,15
11:14,156,Maurice Watson Jr. missed Jumper.,9,15
11:14,2084,Buffalo Defensive Rebound.,9,15
10:52,156,Foul on Isaiah Zierden.,9,15
10:52,2084,Willie Conner made Free Throw.,10,15
10:52,2084,Willie Conner made Free Throw.,11,15
10:52,2084,Willie Conner made Free Throw.,12,15
10:37,156,Khyri Thomas missed Layup.,12,15
10:37,2084,Blake Hamilton Block.,12,15
10:37,156,Khyri Thomas Offensive Rebound.,12,15
10:26,156,Justin Patton made Jumper. Assisted by Khyri Thomas.,12,17
10:10,2084,Nick Perkins Turnover.,12,17
10:04,156,Khyri Thomas missed Layup.,12,17
10:04,2084,Blake Hamilton Defensive Rebound.,12,17
9:54,2084,Blake Hamilton made Jumper.,14,17
9:46,156,Maurice Watson Jr. Turnover.,14,17
9:37,2084,Foul on Nikola Rakicevic.,14,17
9:37,2084,Nikola Rakicevic Turnover.,14,17
9:23,2084,Foul on Ikenna Smart.,14,17
9:23,156,Justin Patton made Free Throw.,14,18
9:23,156,Justin Patton made Free Throw.,14,19
9:15,2084,Willie Conner made Three Point Jumper.,17,19
9:06,156,Maurice Watson Jr. made Jumper.,17,21
8:53,2084,Nick Perkins missed Three Point Jumper.,17,21
8:53,156,Khyri Thomas Defensive Rebound.,17,21
8:47,156,Maurice Watson Jr. missed Three Point Jumper.,17,21
8:47,2084,Nikola Rakicevic Defensive Rebound.,17,21
8:39,2084,Davonta Jordan Turnover.,17,21
8:39,156,Justin Patton Steal.,17,21
8:33,2084,Foul on Nick Perkins.,17,21
8:33,156,Justin Patton missed Free Throw.,17,21
8:33,2084,Nick Perkins Defensive Rebound.,17,21
8:15,2084,Raheem Johnson Turnover.,17,21
8:02,156,Khyri Thomas missed Three Point Jumper.,17,21
8:02,2084,Davonta Jordan Defensive Rebound.,17,21
7:46,156,Official TV Timeout,17,21
7:46,2084,Buffalo  Turnover.,17,21
7:39,156,Cole Huff made Three Point Jumper. Assisted by Maurice Watson Jr..,17,24
7:17,2084,Raheem Johnson made Jumper. Assisted by Willie Conner.,19,24
7:17,156,Foul on Cole Huff.,19,24
7:17,2084,Raheem Johnson missed Free Throw.,19,24
7:17,156,Khyri Thomas Defensive Rebound.,19,24
7:04,156,Maurice Watson Jr. made Layup.,19,26
6:43,156,Foul on Marcus Foster.,19,26
6:43,2084,Willie Conner made Free Throw.,20,26
6:43,2084,Willie Conner made Free Throw.,21,26
6:43,2084,Willie Conner made Free Throw.,22,26
6:31,2084,Foul on Davonta Jordan.,22,26
6:31,156,Maurice Watson Jr. made Free Throw.,22,27
6:31,156,Maurice Watson Jr. made Free Throw.,22,28
6:27,2084,Davonta Jordan Turnover.,22,28
6:27,156,Cole Huff Steal.,22,28
6:23,156,Maurice Watson Jr. Turnover.,22,28
6:23,2084,David Kadiri Steal.,22,28
6:19,2084,Blake Hamilton made Three Point Jumper. Assisted by Davonta Jordan.,25,28
6:00,156,Maurice Watson Jr. missed Jumper.,25,28
6:00,2084,Blake Hamilton Defensive Rebound.,25,28
5:49,2084,Blake Hamilton missed Layup.,25,28
5:49,2084,Raheem Johnson Offensive Rebound.,25,28
5:42,2084,Raheem Johnson made Layup.,27,28
5:33,156,Cole Huff missed Three Point Jumper.,27,28
5:33,2084,Raheem Johnson Defensive Rebound.,27,28
5:00,2084,Davonta Jordan missed Three Point Jumper.,27,28
5:00,156,Justin Patton Defensive Rebound.,27,28
4:53,156,Marcus Foster made Three Point Jumper.,27,31
4:25,2084,Foul on Dontay Caruthers.,27,31
4:25,2084,Dontay Caruthers Turnover.,27,31
4:16,156,Marcus Foster Turnover.,27,31
4:02,2084,Blake Hamilton made Jumper.,29,31
4:02,156,Foul on Tyler Clement.,29,31
4:02,2084,Blake Hamilton made Free Throw.,30,31
3:50,156,Tyler Clement made Layup. Assisted by Marcus Foster.,30,33
3:28,2084,David Kadiri made Jumper. Assisted by Davonta Jordan.,32,33
3:16,156,Ronnie Harrell Jr. missed Three Point Jumper.,32,33
3:16,2084,Blake Hamilton Defensive Rebound.,32,33
3:03,2084,Blake Hamilton made Jumper.,34,33
3:01,156,Creighton  Timeout,34,33
2:50,156,Justin Patton made Dunk. Assisted by Maurice Watson Jr..,34,35
2:25,2084,Willie Conner missed Jumper.,34,35
2:25,156,Justin Patton Defensive Rebound.,34,35
2:17,156,Justin Patton made Jumper.,34,37
2:10,2084,Foul on David Kadiri.,34,37
2:10,2084,David Kadiri Turnover.,34,37
2:10,156,Toby Hegner missed Free Throw.,34,37
2:10,156,Creighton Deadball Team Rebound.,34,37
2:10,156,Toby Hegner made Free Throw.,34,38
1:49,2084,Blake Hamilton missed Jumper.,34,38
1:49,156,Toby Hegner Defensive Rebound.,34,38
1:41,156,Toby Hegner missed Three Point Jumper.,34,38
1:41,2084,Ikenna Smart Defensive Rebound.,34,38
1:26,2084,Ikenna Smart made Layup.,36,38
1:19,156,Justin Patton made Three Point Jumper. Assisted by Maurice Watson Jr..,36,41
0:56,2084,Blake Hamilton missed Jumper.,36,41
0:56,156,Maurice Watson Jr. Defensive Rebound.,36,41
0:50,156,Isaiah Zierden missed Three Point Jumper.,36,41
0:50,2084,Ikenna Smart Defensive Rebound.,36,41
0:37,156,Foul on Toby Hegner.,36,41
0:37,2084,Davonta Jordan made Free Throw.,37,41
0:37,2084,Davonta Jordan missed Free Throw.,37,41
0:37,156,Toby Hegner Defensive Rebound.,37,41
0:21,156,Isaiah Zierden Turnover.,37,41
0:05,2084,Blake Hamilton made Layup.,39,41
0:00,156,End of 1st half,39,41
20:00,2084,Jump Ball won by Buffalo,39,41
19:54,2084,Nick Perkins missed Three Point Jumper.,39,41
19:54,156,Marcus Foster Defensive Rebound.,39,41
19:39,156,Khyri Thomas made Three Point Jumper. Assisted by Cole Huff.,39,44
19:21,2084,Nick Perkins Turnover.,39,44
19:21,156,Khyri Thomas Steal.,39,44
19:16,156,Khyri Thomas made Layup.,39,46
19:01,156,Foul on Cole Huff.,39,46
18:50,2084,Blake Hamilton made Three Point Jumper. Assisted by Davonta Jordan.,42,46
18:37,156,Cole Huff missed Jumper.,42,46
18:37,2084,Ikenna Smart Defensive Rebound.,42,46
18:27,2084,Blake Hamilton missed Jumper.,42,46
18:27,156,Marcus Foster Defensive Rebound.,42,46
18:19,156,Justin Patton made Layup. Assisted by Maurice Watson Jr..,42,48
17:59,2084,Davonta Jordan missed Layup.,42,48
17:59,156,Justin Patton Block.,42,48
17:59,156,Cole Huff Defensive Rebound.,42,48
17:52,156,Khyri Thomas missed Layup.,42,48
17:52,156,Creighton Offensive Rebound.,42,48
17:49,156,Marcus Foster made Dunk. Assisted by Maurice Watson Jr..,42,50
17:28,2084,Blake Hamilton missed Jumper.,42,50
17:28,156,Khyri Thomas Block.,42,50
17:28,2084,Buffalo Offensive Rebound.,42,50
17:25,2084,Willie Conner missed Three Point Jumper.,42,50
17:25,156,Khyri Thomas Defensive Rebound.,42,50
17:15,2084,Foul on Blake Hamilton.,42,50
17:08,156,Maurice Watson Jr. missed Layup.,42,50
17:08,2084,Nick Perkins Defensive Rebound.,42,50
17:01,2084,Willie Conner missed Layup.,42,50
17:01,156,Justin Patton Defensive Rebound.,42,50
16:55,156,Khyri Thomas missed Layup.,42,50
16:55,2084,Nick Perkins Block.,42,50
16:55,2084,Dontay Caruthers Defensive Rebound.,42,50
16:48,2084,Blake Hamilton missed Three Point Jumper.,42,50
16:48,2084,Willie Conner Offensive Rebound.,42,50
16:42,2084,Willie Conner made Layup.,44,50
16:30,2084,Foul on Dontay Caruthers.,44,50
16:27,156,Marcus Foster made Jumper.,44,52
16:04,2084,Willie Conner Turnover.,44,52
15:58,2084,Foul on Davonta Jordan.,44,52
15:58,156,Official TV Timeout,44,52
15:52,156,Cole Huff missed Three Point Jumper.,44,52
15:52,2084,David Kadiri Defensive Rebound.,44,52
