Union (NY),Error,Colgate,2142
time,team_id,description,h_score,a_score
19:57,2785,Deshon Burgess made Layup.,2,0
19:33,2142,Sean O'Brien missed Three Point Jumper.,2,0
19:33,2785,Zachary Bouton Defensive Rebound.,2,0
19:11,2785,Greg King missed Layup.,2,0
19:11,2785,Deshon Burgess Offensive Rebound.,2,0
19:08,2785,Deshon Burgess made Layup.,4,0
18:40,2142,Jordan Swopshire made Three Point Jumper. Assisted by Sean O'Brien.,4,3
18:24,2785,Wade McNamara Turnover.,4,3
18:23,2142,Andrew Bargmann Steal.,4,3
18:21,2785,Foul on Wade McNamara.,4,3
18:21,2142,Andrew Bargmann missed Free Throw.,4,3
18:21,2142,Colgate Deadball Team Rebound.,4,3
18:21,2142,Andrew Bargmann made Free Throw.,4,4
18:10,2785,Deshon Burgess missed Jumper.,4,4
18:10,2142,Sean O'Brien Defensive Rebound.,4,4
17:54,2142,Malcolm Regisford missed Layup.,4,4
17:54,2142,Malcolm Regisford Offensive Rebound.,4,4
17:52,2785,Foul on Brendan Laing.,4,4
17:52,2142,Malcolm Regisford made Free Throw.,4,5
17:52,2142,Malcolm Regisford made Free Throw.,4,6
17:35,2142,Foul on Andrew Bargmann.,4,6
17:26,2785,Deshon Burgess made Three Point Jumper. Assisted by Wade McNamara.,7,6
17:06,2142,Andrew Bargmann made Three Point Jumper. Assisted by Malcolm Regisford.,7,9
16:44,2785,Wade McNamara missed Three Point Jumper.,7,9
16:44,2142,Jordan Swopshire Defensive Rebound.,7,9
16:40,2785,Foul on Greg King.,7,9
16:28,2142,Jordan Swopshire made Three Point Jumper. Assisted by Malcolm Regisford.,7,12
16:15,2142,Foul on Will Rayman.,7,12
16:03,2785,Deshon Burgess made Jumper.,9,12
15:52,2142,Will Rayman made Three Point Jumper. Assisted by Sean O'Brien.,9,15
15:38,2785,Brendan Laing missed Layup.,9,15
15:38,2142,Andrew Bargmann Defensive Rebound.,9,15
15:32,2142,Jordan Swopshire Turnover.,9,15
15:32,2142,Official TV Timeout,9,15
15:18,2785,Union College (NY)  Timeout,9,15
15:08,2785,Deshon Burgess Turnover.,9,15
14:56,2785,Foul on Mike Palleschi.,9,15
14:48,2142,Francisco Amiel missed Layup.,9,15
