Furman,2737,Winthrop,231
time,team_id,description,h_score,a_score
19:38,2737,Tevin Prescott missed Jumper.,0,0
19:38,2737,Tevin Prescott Offensive Rebound.,0,0
19:33,2737,Tevin Prescott Turnover.,0,0
19:32,231,John Davis III Steal.,0,0
19:30,231,John Davis III made Layup.,2,0
19:18,2737,Roderick Perkins Turnover.,2,0
19:17,231,Devin Sibley Steal.,2,0
19:14,231,Devin Sibley made Layup.,4,0
18:48,2737,Roderick Perkins missed Three Point Jumper.,4,0
18:48,231,Devin Sibley Defensive Rebound.,4,0
18:32,231,Kris Acox Turnover.,4,0
18:30,2737,Xavier Cooks Steal.,4,0
18:21,2737,Xavier Cooks Turnover.,4,0
18:20,231,Kris Acox Steal.,4,0
18:09,231,John Davis III Turnover.,4,0
17:57,2737,Xavier Cooks missed Jumper.,4,0
17:57,231,Geoff Beans Defensive Rebound.,4,0
17:38,231,Geoff Beans missed Jumper.,4,0
17:38,231,Kris Acox Offensive Rebound.,4,0
17:34,231,Daniel Fowler missed Jumper.,4,0
17:34,2737,Xavier Cooks Defensive Rebound.,4,0
17:18,2737,Bjorn Broman missed Three Point Jumper.,4,0
17:18,231,Geoff Beans Defensive Rebound.,4,0
17:10,231,Devin Sibley Turnover.,4,0
16:55,2737,Roderick Perkins Turnover.,4,0
16:55,231,Daniel Fowler Steal.,4,0
16:41,231,Matt Rafferty missed Jumper.,4,0
16:41,231,Andrew Brown Offensive Rebound.,4,0
16:30,231,Matt Rafferty missed Jumper.,4,0
16:30,2737,Tevin Prescott Defensive Rebound.,4,0
16:22,2737,Keon Johnson missed Three Point Jumper.,4,0
16:22,231,Daniel Fowler Defensive Rebound.,4,0
16:08,2737,Foul on Keon Johnson.,4,0
15:42,231,Geoff Beans made Three Point Jumper. Assisted by Daniel Fowler.,7,0
15:25,2737,Official TV Timeout,7,0
15:07,2737,Bjorn Broman missed Three Point Jumper.,7,0
15:07,231,Kris Acox Defensive Rebound.,7,0
14:55,2737,Foul on Joshua Davenport.,7,0
14:34,231,Matt Rafferty missed Three Point Jumper.,7,0
14:34,2737,Keon Johnson Defensive Rebound.,7,0
14:21,2737,Keon Johnson missed Three Point Jumper.,7,0
14:21,2737,Joshua Davenport Offensive Rebound.,7,0
