Northern Kentucky,2413,Morehead State,94
time,team_id,description,h_score,a_score
19:33,2413,Xavier Moon made Three Point Jumper. Assisted by Miguel Dicent.,0,3
19:05,94,Carson Williams missed Layup.,0,3
19:05,94,Carson Williams Offensive Rebound.,0,3
19:00,94,Carson Williams missed Layup.,0,3
19:00,2413,Treshaad Williams Defensive Rebound.,0,3
18:49,94,Foul on Carson Williams.,0,3
18:49,2413,DeJuan Marrero missed Free Throw.,0,3
18:49,2413,Morehead St Deadball Team Rebound.,0,3
18:49,2413,DeJuan Marrero made Free Throw.,0,4
18:41,94,Carson Williams missed Layup.,0,4
18:41,2413,DeJuan Marrero Block.,0,4
18:39,94,Carson Williams Offensive Rebound.,0,4
18:35,94,Carson Williams made Layup.,2,4
18:23,2413,DeJuan Marrero Turnover.,2,4
18:04,94,Jeff Garrett Turnover.,2,4
17:46,2413,Miguel Dicent missed Jumper.,2,4
17:46,94,Drew McDonald Defensive Rebound.,2,4
17:33,94,Lavone Holland II missed Three Point Jumper.,2,4
17:33,94,Carson Williams Offensive Rebound.,2,4
17:26,94,Jalen Tate made Three Point Jumper. Assisted by Drew McDonald.,5,4
17:10,2413,DeJuan Marrero made Jumper. Assisted by Xavier Moon.,5,6
16:57,94,Jalen Tate missed Jumper.,5,6
16:57,94,Drew McDonald Offensive Rebound.,5,6
16:53,94,Carson Williams made Jumper.,7,6
16:53,2413,Foul on Xavier Moon.,7,6
16:53,94,Carson Williams made Free Throw.,8,6
16:31,2413,Malik Maitland Turnover.,8,6
16:29,94,Jeff Garrett Steal.,8,6
16:15,94,Drew McDonald Turnover.,8,6
16:05,2413,DeJuan Marrero missed Layup.,8,6
16:05,94,Drew McDonald Defensive Rebound.,8,6
15:56,94,Drew McDonald missed Three Point Jumper.,8,6
15:56,2413,Miguel Dicent Defensive Rebound.,8,6
15:42,2413,Malik Maitland made Jumper.,8,8
15:33,94,Jalen Tate made Layup. Assisted by Lavone Holland II.,10,8
15:17,2413,Official TV Timeout,10,8
15:11,2413,Xavier Moon missed Three Point Jumper.,10,8
15:11,94,Jeff Garrett Defensive Rebound.,10,8
15:01,94,Cole Murray missed Three Point Jumper.,10,8
15:01,94,Brennan Gillis Offensive Rebound.,10,8
14:56,94,Brennan Gillis made Layup.,12,8
14:33,2413,Miguel Dicent made Three Point Jumper. Assisted by DeJuan Marrero.,12,11
14:13,94,Brennan Gillis missed Layup.,12,11
14:13,2413,Ty'Quan Bitting Block.,12,11
14:11,2413,Ty'Quan Bitting Defensive Rebound.,12,11
14:05,2413,Miguel Dicent made Layup.,12,13
13:49,94,Lavone Holland II Turnover.,12,13
13:34,2413,Ty'Quan Bitting missed Layup.,12,13
13:34,94,Northern Kentucky Deadball Team Rebound.,12,13
13:32,2413,Foul on DeJuan Marrero.,12,13
13:21,94,Lavone Holland II missed Three Point Jumper.,12,13
13:21,2413,Miguel Dicent Defensive Rebound.,12,13
12:57,2413,Malik Maitland missed Jumper.,12,13
12:57,94,Jalen Tate Defensive Rebound.,12,13
12:44,94,Jalen Tate missed Layup.,12,13
12:44,2413,Xavier Moon Block.,12,13
12:43,94,Northern Kentucky Offensive Rebound.,12,13
12:27,94,Lavone Holland II missed Jumper.,12,13
12:27,94,Jordan Garnett Offensive Rebound.,12,13
12:16,2413,Foul on Miguel Dicent.,12,13
12:16,94,Lavone Holland II made Free Throw.,13,13
12:16,94,Lavone Holland II missed Free Throw.,13,13
12:16,94,Jordan Garnett Offensive Rebound.,13,13
12:10,94,Jordan Garnett missed Three Point Jumper.,13,13
12:10,94,Jordan Garnett Offensive Rebound.,13,13
12:04,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,16,13
11:49,94,Foul on Brennan Gillis.,16,13
11:49,2413,Official TV Timeout,16,13
11:39,2413,DeJuan Marrero missed Layup.,16,13
11:39,2413,Lamontray Harris Offensive Rebound.,16,13
11:32,2413,Miguel Dicent made Three Point Jumper. Assisted by Malik Maitland.,16,16
11:07,94,Drew McDonald made Layup.,18,16
10:41,2413,Lamontray Harris missed Jumper.,18,16
10:41,2413,DeJuan Marrero Offensive Rebound.,18,16
10:37,94,Foul on Drew McDonald.,18,16
10:37,2413,DeJuan Marrero made Free Throw.,18,17
10:37,2413,DeJuan Marrero missed Free Throw.,18,17
10:37,94,Jordan Garnett Defensive Rebound.,18,17
10:10,94,Drew McDonald made Layup.,20,17
9:53,2413,Miguel Dicent missed Three Point Jumper.,20,17
9:53,94,Jordan Garnett Defensive Rebound.,20,17
9:46,94,Jalen Tate missed Layup.,20,17
9:46,2413,Miguel Dicent Defensive Rebound.,20,17
9:27,2413,Malik Maitland made Layup.,20,19
9:01,94,Drew McDonald made Jumper. Assisted by Carson Williams.,22,19
8:45,2413,Lamontray Harris missed Jumper.,22,19
8:45,94,Jordan Garnett Defensive Rebound.,22,19
8:26,94,Lavone Holland II missed Layup.,22,19
8:26,2413,Ronnye Beamon Defensive Rebound.,22,19
8:18,2413,Lamontray Harris made Layup.,22,21
8:01,94,Blake Spellman missed Three Point Jumper.,22,21
8:01,2413,DeJuan Marrero Defensive Rebound.,22,21
7:52,2413,Lamontray Harris made Layup.,22,23
7:23,94,Carson Williams Turnover.,22,23
7:23,2413,Official TV Timeout,22,23
7:02,2413,Lamontray Harris made Jumper. Assisted by DeJuan Marrero.,22,25
6:35,94,Drew McDonald made Three Point Jumper. Assisted by Jalen Tate.,25,25
6:07,94,Foul on Carson Williams.,25,25
6:01,2413,Xavier Moon missed Jumper.,25,25
6:01,94,Jeff Garrett Defensive Rebound.,25,25
5:52,94,Cole Murray missed Three Point Jumper.,25,25
5:52,2413,DeJuan Marrero Defensive Rebound.,25,25
5:44,2413,Malik Maitland made Layup. Assisted by Xavier Moon.,25,27
5:40,94,Foul on Lavone Holland II.,25,27
5:40,94,Lavone Holland II Turnover.,25,27
5:17,2413,DeJuan Marrero missed Jumper.,25,27
5:17,94,Jalen Tate Defensive Rebound.,25,27
5:08,2413,Foul on Ronnye Beamon.,25,27
5:08,94,Lavone Holland II Turnover.,25,27
4:51,2413,Ronnye Beamon Turnover.,25,27
4:24,94,Lavone Holland II missed Jumper.,25,27
4:24,2413,Lamontray Harris Defensive Rebound.,25,27
3:58,2413,Malik Maitland missed Layup.,25,27
3:58,2413,Morehead St Offensive Rebound.,25,27
3:55,2413,Official TV Timeout,25,27
3:53,2413,Malik Maitland missed Three Point Jumper.,25,27
3:53,94,Drew McDonald Block.,25,27
3:51,94,Northern Kentucky Defensive Rebound.,25,27
3:42,94,Lavone Holland II missed Layup.,25,27
3:42,2413,Lamontray Harris Defensive Rebound.,25,27
3:35,2413,Miguel Dicent made Layup. Assisted by Xavier Moon.,25,29
3:21,94,Jalen Tate made Jumper.,27,29
3:01,2413,Miguel Dicent made Three Point Jumper. Assisted by Malik Maitland.,27,32
