Pacific Union,Error,CSU Bakersfield,2934
time,team_id,description,h_score,a_score
19:49,2934,Brent Wrapp missed Layup.,0,0
19:49,-1,Kwuan Guerrero Defensive Rebound.,0,0
19:26,-1,Brandon Franklin missed Three Point Jumper.,0,0
19:26,2934,Shon Briggs Defensive Rebound.,0,0
19:05,2934,Shon Briggs made Layup. Assisted by Jaylin Airington.,0,2
18:44,-1,Rae Hubbard Turnover.,0,2
18:43,2934,Shon Briggs Steal.,0,2
18:38,-1,Foul on Rae Hubbard.,0,2
18:14,-1,Foul on Kwuan Guerrero.,0,2
18:14,2934,Shon Briggs made Free Throw.,0,3
18:14,2934,Shon Briggs made Free Throw.,0,4
17:58,-1,Devon Pinnock missed Jumper.,0,4
17:58,-1,Chad Young Offensive Rebound.,0,4
17:49,-1,Rae Hubbard missed Three Point Jumper.,0,4
17:49,-1,Kwuan Guerrero Offensive Rebound.,0,4
17:41,-1,Brandon Franklin missed Jumper.,0,4
17:41,2934,Shon Briggs Defensive Rebound.,0,4
17:34,2934,Dedrick Basile missed Layup.,0,4
17:34,-1,Kwuan Guerrero Defensive Rebound.,0,4
17:27,-1,Devon Pinnock made Layup.,2,4
17:04,2934,Brent Wrapp missed Layup.,2,4
17:04,-1,Kwuan Guerrero Defensive Rebound.,2,4
16:58,-1,Rae Hubbard missed Three Point Jumper.,2,4
16:58,2934,Dedrick Basile Defensive Rebound.,2,4
16:42,2934,Matt Smith Turnover.,2,4
16:41,-1,Brandon Franklin Steal.,2,4
16:14,-1,Rae Hubbard Turnover.,2,4
16:13,2934,Matt Smith Steal.,2,4
16:08,2934,Shon Briggs Turnover.,2,4
16:08,2934,Foul on Shon Briggs.,2,4
16:03,-1,Brandon Franklin made Layup.,4,4
15:48,2934,Damiyne Durham missed Jumper.,4,4
15:48,2934,Matt Smith Offensive Rebound.,4,4
15:46,2934,Matt Smith made Two Point Tip Shot.,4,6
15:23,-1,Kwuan Guerrero missed Jumper.,4,6
15:23,2934,CSU Bakersfield Defensive Rebound.,4,6
15:19,2934,Official TV Timeout,4,6
14:52,-1,Foul on Kwuan Guerrero.,4,6
14:52,2934,James Suber missed Free Throw.,4,6
14:52,2934,CSU Bakersfield Deadball Team Rebound.,4,6
14:52,2934,James Suber missed Free Throw.,4,6
14:52,2934,Damiyne Durham Offensive Rebound.,4,6
14:52,2934,Damiyne Durham made Two Point Tip Shot.,4,8
14:36,-1,Chad Young Turnover.,4,8
14:07,2934,Matt Smith made Jumper. Assisted by Justin Pride.,4,10
13:54,-1,Ben Jazuk made Layup. Assisted by Chad Young.,6,10
13:44,2934,Damiyne Durham missed Three Point Jumper.,6,10
13:44,-1,Devon Pinnock Defensive Rebound.,6,10
13:38,-1,Devon Pinnock made Layup.,8,10
13:27,-1,Foul on Devon Pinnock.,8,10
13:11,2934,Damiyne Durham missed Layup.,8,10
13:11,-1,Ben Jazuk Block.,8,10
13:10,2934,Damiyne Durham Offensive Rebound.,8,10
13:08,2934,Damiyne Durham Turnover.,8,10
13:08,-1,Rae Hubbard Steal.,8,10
13:08,2934,Foul on Matt Smith.,8,10
12:50,-1,Ben Jazuk made Layup. Assisted by Brandon Franklin.,10,10
12:31,2934,Justin Pride Turnover.,10,10
12:14,-1,Rae Hubbard missed Layup.,10,10
12:14,-1,Rae Hubbard Offensive Rebound.,10,10
12:11,2934,Foul on Matt Smith.,10,10
12:11,-1,Brandon Franklin missed Layup.,10,10
12:11,2934,Damiyne Durham Defensive Rebound.,10,10
11:53,-1,Foul on Ben Jazuk.,10,10
11:53,2934,Official TV Timeout,10,10
11:50,2934,Jaylin Airington missed Layup.,10,10
11:50,2934,Jaylin Airington Offensive Rebound.,10,10
11:48,2934,Jaylin Airington made Two Point Tip Shot.,10,12
11:33,-1,Jayson Marquez made Layup.,12,12
11:24,2934,Justin Pride made Layup.,12,14
10:48,-1,Brandon Franklin Turnover.,12,14
10:47,2934,Justin Pride Steal.,12,14
10:45,2934,Taze Moore missed Dunk.,12,14
10:45,2934,CSU Bakersfield Offensive Rebound.,12,14
10:28,2934,Damiyne Durham missed Jumper.,12,14
10:28,-1,Ben Jazuk Defensive Rebound.,12,14
10:18,-1,Chad Young missed Three Point Jumper.,12,14
10:18,2934,Dedrick Basile Defensive Rebound.,12,14
10:07,2934,Taze Moore missed Three Point Jumper.,12,14
10:07,-1,Jayson Marquez Defensive Rebound.,12,14
9:44,-1,Jayson Marquez made Jumper.,14,14
9:23,2934,Taze Moore made Layup.,14,16
9:09,-1,Jayson Marquez missed Three Point Jumper.,14,16
9:09,2934,Taze Moore Defensive Rebound.,14,16
9:00,2934,Damiyne Durham missed Three Point Jumper.,14,16
9:00,-1,Jayson Marquez Defensive Rebound.,14,16
8:43,2934,Foul on Taze Moore.,14,16
8:43,-1,Chad Young missed Free Throw.,14,16
8:43,-1,Pacific Union Deadball Team Rebound.,14,16
8:43,-1,Chad Young missed Free Throw.,14,16
8:43,2934,James Suber Defensive Rebound.,14,16
8:29,2934,Jaylin Airington Turnover.,14,16
8:16,-1,Jayson Marquez missed Jumper.,14,16
8:16,2934,Taze Moore Defensive Rebound.,14,16
8:02,2934,Dedrick Basile missed Layup.,14,16
8:02,2934,Taze Moore Offensive Rebound.,14,16
7:59,2934,Taze Moore Turnover.,14,16
7:58,-1,Ben Jazuk Steal.,14,16
7:50,-1,Jayson Marquez missed Layup.,14,16
7:50,2934,James Suber Block.,14,16
7:48,2934,James Suber Defensive Rebound.,14,16
7:42,2934,Jaylin Airington missed Layup.,14,16
7:42,-1,Noel Briones Defensive Rebound.,14,16
7:27,-1,Ben Jazuk made Three Point Jumper. Assisted by Rae Hubbard.,17,16
7:06,2934,Taze Moore made Three Point Jumper. Assisted by Dedrick Basile.,17,19
6:39,-1,Jayson Marquez missed Three Point Jumper.,17,19
6:39,2934,James Suber Defensive Rebound.,17,19
6:23,2934,Taze Moore missed Three Point Jumper.,17,19
6:23,-1,Jayson Marquez Defensive Rebound.,17,19
6:17,-1,Rae Hubbard missed Three Point Jumper.,17,19
6:17,2934,Jaylin Airington Defensive Rebound.,17,19
6:06,2934,Jaylin Airington made Layup.,17,21
6:05,-1,Foul on Noel Briones.,17,21
6:05,2934,Official TV Timeout,17,21
6:05,2934,Jaylin Airington made Free Throw.,17,22
5:52,2934,Foul on Dedrick Basile.,17,22
5:52,-1,Jayson Marquez made Free Throw.,18,22
5:52,-1,Jayson Marquez made Free Throw.,19,22
5:39,2934,Dedrick Basile missed Three Point Jumper.,19,22
5:39,-1,Ben Jazuk Defensive Rebound.,19,22
5:35,-1,Brandon Franklin Turnover.,19,22
5:34,2934,Dedrick Basile Steal.,19,22
5:29,2934,Damiyne Durham missed Three Point Jumper.,19,22
5:29,-1,Noel Briones Defensive Rebound.,19,22
5:13,-1,Rae Hubbard Turnover.,19,22
5:13,2934,Dedrick Basile Steal.,19,22
5:10,2934,Dedrick Basile made Layup.,19,24
4:57,-1,Rae Hubbard Turnover.,19,24
4:56,2934,Damiyne Durham Steal.,19,24
4:55,2934,Dedrick Basile made Layup. Assisted by Damiyne Durham.,19,26
4:53,-1,Pacific Union  Timeout,19,26
4:30,-1,Brandon Franklin missed Three Point Jumper.,19,26
4:30,-1,Ben Jazuk Offensive Rebound.,19,26
4:26,-1,Ben Jazuk missed Two Point Tip Shot.,19,26
4:26,-1,Corey Fitzgerald Offensive Rebound.,19,26
4:22,-1,Ben Jazuk made Layup. Assisted by Corey Fitzgerald.,21,26
4:06,2934,Damiyne Durham made Three Point Jumper. Assisted by Dedrick Basile.,21,29
3:47,2934,Foul on Brent Wrapp.,21,29
3:47,2934,Official TV Timeout,21,29
3:39,-1,Ben Jazuk Turnover.,21,29
3:16,2934,Damiyne Durham Turnover.,21,29
3:16,2934,Foul on Damiyne Durham.,21,29
3:05,-1,Jayson Marquez missed Layup.,21,29
3:05,2934,Damiyne Durham Defensive Rebound.,21,29
2:58,2934,Dedrick Basile made Layup.,21,31
2:33,-1,Devon Pinnock Turnover.,21,31
2:33,-1,Foul on Devon Pinnock.,21,31
2:23,2934,Dedrick Basile missed Three Point Jumper.,21,31
2:23,2934,Shon Briggs Offensive Rebound.,21,31
2:09,2934,Shon Briggs Turnover.,21,31
2:09,-1,Ben Jazuk Steal.,21,31
1:58,-1,Ben Jazuk missed Three Point Jumper.,21,31
1:58,2934,Jaylin Airington Defensive Rebound.,21,31
1:58,-1,Foul on Devon Pinnock.,21,31
1:58,2934,Jaylin Airington made Free Throw.,21,32
1:58,2934,Jaylin Airington made Free Throw.,21,33
1:50,-1,Ben Jazuk missed Three Point Jumper.,21,33
1:50,-1,Brandon Franklin Offensive Rebound.,21,33
1:45,2934,Foul on Jaylin Airington.,21,33
1:45,-1,Brandon Franklin made Free Throw.,22,33
1:45,-1,Brandon Franklin made Free Throw.,23,33
1:28,2934,Jaylin Airington made Jumper. Assisted by Dedrick Basile.,23,35
1:12,-1,Jayson Marquez missed Three Point Jumper.,23,35
1:12,-1,Ben Jazuk Offensive Rebound.,23,35
1:07,2934,Foul on James Suber.,23,35
1:07,-1,Ben Jazuk made Free Throw.,24,35
1:07,-1,Ben Jazuk made Free Throw.,25,35
0:57,2934,Damiyne Durham made Layup.,25,37
0:41,-1,Corey Fitzgerald missed Layup.,25,37
0:41,-1,Corey Fitzgerald Offensive Rebound.,25,37
0:33,-1,Rae Hubbard missed Layup.,25,37
0:33,2934,Jaylin Airington Defensive Rebound.,25,37
0:23,2934,Jaylin Airington made Layup.,25,39
0:16,-1,Corey Fitzgerald Turnover.,25,39
0:14,2934,Damiyne Durham Steal.,25,39
0:05,2934,Brent Wrapp made Layup.,25,41
0:00,2934,End of 1st half,25,41
19:44,2934,Dedrick Basile Turnover.,25,41
19:43,-1,Jayson Marquez Steal.,25,41
19:37,2934,Foul on Brent Wrapp.,25,41
19:37,-1,Kwuan Guerrero missed Jumper.,25,41
19:37,2934,Brent Wrapp Defensive Rebound.,25,41
19:30,2934,Damiyne Durham missed Layup.,25,41
19:30,2934,Matt Smith Offensive Rebound.,25,41
19:21,2934,Damiyne Durham made Three Point Jumper. Assisted by Dedrick Basile.,25,44
18:59,-1,Brandon Franklin Turnover.,25,44
18:45,2934,Jaylin Airington Turnover.,25,44
18:44,-1,Rae Hubbard Steal.,25,44
18:43,-1,Jayson Marquez made Layup. Assisted by Rae Hubbard.,27,44
18:22,2934,Damiyne Durham missed Three Point Jumper.,27,44
18:22,2934,Brent Wrapp Offensive Rebound.,27,44
18:19,2934,Brent Wrapp missed Two Point Tip Shot.,27,44
18:19,-1,Kwuan Guerrero Defensive Rebound.,27,44
17:57,-1,Kwuan Guerrero Turnover.,27,44
17:57,-1,Foul on Kwuan Guerrero.,27,44
17:48,2934,Jaylin Airington made Dunk. Assisted by Brent Wrapp.,27,46
17:24,-1,Rae Hubbard missed Three Point Jumper.,27,46
17:24,-1,Jayson Marquez Offensive Rebound.,27,46
17:20,2934,Foul on Brent Wrapp.,27,46
17:19,-1,Brandon Franklin Turnover.,27,46
17:18,2934,Matt Smith Steal.,27,46
17:16,2934,Damiyne Durham made Three Point Jumper. Assisted by Justin Pride.,27,49
16:46,-1,Kwuan Guerrero made Layup. Assisted by Rae Hubbard.,29,49
16:29,2934,Justin Pride missed Layup.,29,49
16:29,-1,Brandon Franklin Defensive Rebound.,29,49
16:12,-1,Kwuan Guerrero Turnover.,29,49
16:03,2934,Taze Moore Turnover.,29,49
16:02,-1,Rae Hubbard Steal.,29,49
15:53,-1,Jayson Marquez Turnover.,29,49
15:53,2934,Damiyne Durham Steal.,29,49
15:51,2934,Damiyne Durham Turnover.,29,49
15:50,-1,Jayson Marquez Steal.,29,49
15:44,-1,Jayson Marquez made Layup.,31,49
15:17,2934,Matt Smith Turnover.,31,49
15:17,-1,Rae Hubbard Steal.,31,49
15:03,-1,Jayson Marquez Turnover.,31,49
15:03,2934,Justin Pride Steal.,31,49
14:59,2934,Justin Pride Turnover.,31,49
14:58,2934,Official TV Timeout,31,49
14:29,-1,Kwuan Guerrero missed Layup.,31,49
14:29,2934,Damiyne Durham Block.,31,49
14:28,-1,Pacific Union Offensive Rebound.,31,49
14:25,-1,Pacific Union  Turnover.,31,49
14:13,2934,Damiyne Durham missed Three Point Jumper.,31,49
14:13,2934,Jaylin Airington Offensive Rebound.,31,49
14:02,2934,Matt Smith made Layup. Assisted by Jaylin Airington.,31,51
13:45,2934,Foul on Taze Moore.,31,51
13:45,-1,Rae Hubbard missed Free Throw.,31,51
13:45,-1,Pacific Union Deadball Team Rebound.,31,51
13:45,-1,Rae Hubbard made Free Throw.,32,51
13:29,2934,Damiyne Durham missed Jumper.,32,51
13:29,2934,Matt Smith Offensive Rebound.,32,51
13:08,2934,Matt Smith missed Layup.,32,51
