Norfolk State,2350,Loyola-Chicago,2450
time,team_id,description,h_score,a_score
19:47,2450,Jonathan Wade made Layup.,2,0
19:21,2350,Milton Doyle made Jumper.,2,2
18:56,2450,Kyle Williams missed Three Point Jumper.,2,2
18:56,2350,Donte Ingram Defensive Rebound.,2,2
18:46,2350,Clayton Custer made Three Point Jumper. Assisted by Donte Ingram.,2,5
18:19,2450,Alex Long Turnover.,2,5
18:10,2350,Milton Doyle missed Layup.,2,5
18:10,2450,Alex Long Defensive Rebound.,2,5
17:59,2450,Jonathan Wade Turnover.,2,5
17:23,2350,Donte Ingram missed Three Point Jumper.,2,5
17:23,2450,Alex Long Defensive Rebound.,2,5
17:05,2450,Alex Long missed Layup.,2,5
17:05,2350,Maurice Kirby Defensive Rebound.,2,5
16:47,2350,Milton Doyle missed Layup.,2,5
16:47,2450,Alex Long Defensive Rebound.,2,5
16:35,2450,Jonathan Wade missed Three Point Jumper.,2,5
16:35,2450,Kyle Williams Offensive Rebound.,2,5
16:29,2450,Kyle Williams made Layup.,4,5
16:14,2350,Maurice Kirby missed Layup.,4,5
16:14,2450,Kyle Williams Defensive Rebound.,4,5
15:56,2450,Alex Long Turnover.,4,5
15:55,2350,Ben Richardson Steal.,4,5
15:52,2350,Ben Richardson missed Layup.,4,5
15:52,2450,Norfolk St Defensive Rebound.,4,5
15:47,2350,Official TV Timeout,4,5
15:38,2450,Jonathan Wade missed Jumper.,4,5
15:38,2350,Ben Richardson Block.,4,5
15:35,2350,Donte Ingram Defensive Rebound.,4,5
15:31,2350,Bruno Skokna missed Three Point Jumper.,4,5
15:31,2350,Donte Ingram Offensive Rebound.,4,5
15:24,2350,Aundre Jackson missed Jumper.,4,5
15:24,2450,Kyle Williams Defensive Rebound.,4,5
15:03,2450,Carrington Ward missed Three Point Jumper.,4,5
15:03,2350,Bruno Skokna Defensive Rebound.,4,5
14:43,2350,Aundre Jackson made Layup. Assisted by Donte Ingram.,4,7
14:24,2450,Jonathan Wade missed Jumper.,4,7
14:24,2350,Aundre Jackson Defensive Rebound.,4,7
14:06,2350,Clayton Custer missed Jumper.,4,7
14:06,2450,Carrington Ward Block.,4,7
14:04,2450,Stavian Allen Defensive Rebound.,4,7
13:49,2450,Kyle Williams missed Jumper.,4,7
13:49,2350,Loyola (CHI) Defensive Rebound.,4,7
13:18,2350,Aundre Jackson missed Jumper.,4,7
13:18,2350,Bruno Skokna Offensive Rebound.,4,7
13:03,2450,Foul on Dan Robinson.,4,7
13:03,2350,Aundre Jackson missed Free Throw.,4,7
13:03,2350,Loyola (CHI) Deadball Team Rebound.,4,7
13:03,2350,Aundre Jackson made Free Throw.,4,8
12:40,2450,Jonathan Wade made Layup.,6,8
12:28,2450,Foul on Alex Long.,6,8
12:15,2350,Cameron Satterwhite Turnover.,6,8
12:13,2450,Jonathan Wade Steal.,6,8
12:01,2450,Micah Goss missed Three Point Jumper.,6,8
12:01,2350,Ben Richardson Defensive Rebound.,6,8
11:53,2350,Aundre Jackson missed Layup.,6,8
11:53,2450,Alex Brown Defensive Rebound.,6,8
11:30,2450,Alex Brown made Three Point Jumper. Assisted by Micah Goss.,9,8
11:06,2350,Aundre Jackson made Layup. Assisted by Ben Richardson.,9,10
10:49,2350,Official TV Timeout,9,10
10:48,2450,Alex Brown Turnover.,9,10
10:24,2350,Milton Doyle missed Jumper.,9,10
10:24,2450,Jonathan Wade Defensive Rebound.,9,10
10:16,2450,Jonathan Wade missed Layup.,9,10
10:16,2350,Loyola (CHI) Defensive Rebound.,9,10
10:00,2350,Milton Doyle made Dunk. Assisted by Clayton Custer.,9,12
9:32,2450,Jonathan Wade missed Three Point Jumper.,9,12
9:32,2350,Clayton Custer Defensive Rebound.,9,12
9:26,2450,Foul on Jonathan Wade.,9,12
9:26,2350,Vlatko Granic made Free Throw.,9,13
9:26,2350,Vlatko Granic made Free Throw.,9,14
9:03,2450,Zaynah Robinson missed Three Point Jumper.,9,14
9:03,2350,Donte Ingram Defensive Rebound.,9,14
8:52,2350,Ben Richardson missed Three Point Jumper.,9,14
8:52,2450,Alex Long Defensive Rebound.,9,14
8:28,2450,Alex Brown missed Three Point Jumper.,9,14
8:28,2350,Donte Ingram Defensive Rebound.,9,14
8:20,2350,Donte Ingram made Layup.,9,16
8:01,2450,Kyle Williams made Layup. Assisted by Jordan Butler.,11,16
7:58,2450,Norfolk St  Timeout,11,16
7:43,2350,Aundre Jackson made Jumper. Assisted by Donte Ingram.,11,18
7:29,2450,Kyle Williams missed Three Point Jumper.,11,18
7:29,2450,Kyle Williams Offensive Rebound.,11,18
7:25,2450,Kyle Williams made Jumper.,13,18
7:11,2350,Donte Ingram missed Layup.,13,18
7:11,2450,Alex Long Defensive Rebound.,13,18
6:53,2450,Alex Long made Layup. Assisted by Kyle Williams.,15,18
6:32,2350,Clayton Custer made Layup.,15,20
6:13,2350,Foul on Donte Ingram.,15,20
6:13,2450,Norfolk St  Turnover.,15,20
6:04,2350,Ben Richardson missed Three Point Jumper.,15,20
6:04,2350,Clayton Custer Offensive Rebound.,15,20
5:35,2350,Cameron Satterwhite made Three Point Jumper. Assisted by Clayton Custer.,15,23
5:08,2450,Jordan Butler made Layup. Assisted by Dan Robinson.,17,23
4:45,2350,Donte Ingram made Layup. Assisted by Cameron Satterwhite.,17,25
4:23,2450,Zaynah Robinson missed Jumper.,17,25
4:23,2350,Ben Richardson Defensive Rebound.,17,25
4:15,2350,Clayton Custer made Three Point Jumper. Assisted by Ben Richardson.,17,28
3:43,2350,Aundre Jackson made Layup. Assisted by Ben Richardson.,17,30
3:14,2450,Carrington Ward Turnover.,17,30
3:14,2350,Official TV Timeout,17,30
3:06,2450,Foul on Zaynah Robinson.,17,30
3:06,2350,Aundre Jackson made Free Throw.,17,31
3:06,2350,Aundre Jackson made Free Throw.,17,32
2:47,2350,Foul on Cameron Satterwhite.,17,32
2:36,2450,Carrington Ward made Free Throw.,18,32
2:36,2450,Carrington Ward missed Free Throw.,18,32
2:36,2350,Donte Ingram Defensive Rebound.,18,32
2:11,2350,Donte Ingram missed Layup.,18,32
2:11,2450,Alex Long Block.,18,32
2:09,2450,Carrington Ward Defensive Rebound.,18,32
1:49,2450,Dan Robinson missed Layup.,18,32
1:49,2450,Dan Robinson Offensive Rebound.,18,32
1:45,2450,Dan Robinson made Two Point Tip Shot.,20,32
1:41,2450,Norfolk St  Timeout,20,32
1:26,2350,Aundre Jackson missed Layup.,20,32
1:26,2450,Dan Robinson Block.,20,32
1:24,2450,Dan Robinson Defensive Rebound.,20,32
1:09,2450,Carrington Ward missed Three Point Jumper.,20,32
1:09,2450,Dan Robinson Offensive Rebound.,20,32
0:48,2450,Zaynah Robinson made Jumper.,22,32
0:29,2350,Donte Ingram missed Jumper.,22,32
0:29,2450,Dan Robinson Defensive Rebound.,22,32
0:09,2450,Alex Long made Jumper.,24,32
0:00,2350,End of 1st half,24,32
19:43,2450,Foul on Dan Robinson.,24,32
19:43,2450,Dan Robinson Turnover.,24,32
19:20,2350,Aundre Jackson Turnover.,24,32
