Texas College,Error,North Texas,249
time,team_id,description,h_score,a_score
19:49,249,Allante Holston Turnover.,0,0
19:46,-1,Nathaniel Francis Steal.,0,0
19:33,-1,Nathaniel Francis missed Three Point Jumper.,0,0
19:33,249,A.J. Lawson Defensive Rebound.,0,0
19:15,249,Derail Green made Jumper.,0,2
18:56,-1,Darrelle Flowers missed Three Point Jumper.,0,2
18:56,249,Derail Green Defensive Rebound.,0,2
18:41,249,Derail Green made Jumper. Assisted by Deckie Johnson.,0,4
18:27,-1,Texas College  Timeout,0,4
18:14,-1,Myron Breshear missed Jumper.,0,4
18:14,249,North Texas Defensive Rebound.,0,4
18:06,249,Deckie Johnson Turnover.,0,4
17:45,-1,Demarcus Bowie missed Three Point Jumper.,0,4
17:45,249,Rickey Brice Jr. Defensive Rebound.,0,4
17:35,-1,Foul on Darrelle Flowers.,0,4
17:35,249,Rickey Brice Jr. made Free Throw.,0,5
17:35,249,Rickey Brice Jr. made Free Throw.,0,6
17:31,-1,Darrelle Flowers made Three Point Jumper. Assisted by Demarcus Bowie.,3,6
17:13,249,Rickey Brice Jr. made Jumper. Assisted by Deckie Johnson.,3,8
16:55,-1,Cameron Johnson missed Jumper.,3,8
16:55,249,Rickey Brice Jr. Block.,3,8
16:52,-1,Texas College Offensive Rebound.,3,8
16:38,-1,Demarcus Bowie made Jumper.,5,8
16:30,249,A.J. Lawson missed Three Point Jumper.,5,8
16:30,-1,Cameron Johnson Defensive Rebound.,5,8
16:15,-1,Darrelle Flowers missed Three Point Jumper.,5,8
16:15,249,Rickey Brice Jr. Defensive Rebound.,5,8
16:03,249,Deckie Johnson Turnover.,5,8
15:54,-1,Demarcus Bowie missed Jumper.,5,8
15:54,249,Rickey Brice Jr. Block.,5,8
15:54,-1,Texas College Offensive Rebound.,5,8
15:38,-1,Nathaniel Francis missed Jumper.,5,8
15:38,249,Allante Holston Block.,5,8
15:35,249,Allante Holston Defensive Rebound.,5,8
15:32,249,Allante Holston Turnover.,5,8
15:25,-1,Myron Breshear made Jumper. Assisted by Demarcus Bowie.,7,8
15:14,249,Derail Green missed Jumper.,7,8
15:14,-1,Cameron Johnson Block.,7,8
15:12,249,Derail Green Offensive Rebound.,7,8
15:10,249,Derail Green made Jumper.,7,10
14:44,-1,Myron Breshear missed Jumper.,7,10
14:44,249,Ja'Michael Brown Defensive Rebound.,7,10
14:37,249,Shane Temara Turnover.,7,10
14:33,-1,Nathaniel Francis Steal.,7,10
14:30,-1,Darrelle Flowers missed Three Point Jumper.,7,10
14:30,249,Ja'Michael Brown Defensive Rebound.,7,10
14:19,249,Deckie Johnson made Jumper.,7,12
14:00,-1,Demarcus Bowie missed Three Point Jumper.,7,12
14:00,249,Allante Holston Defensive Rebound.,7,12
13:53,249,Ja'Michael Brown missed Three Point Jumper.,7,12
13:53,249,Shane Temara Offensive Rebound.,7,12
13:46,249,Derail Green missed Three Point Jumper.,7,12
13:46,-1,Texas College Defensive Rebound.,7,12
13:39,-1,Cameron Johnson missed Jumper.,7,12
13:39,249,Shane Temara Block.,7,12
13:36,-1,Nathaniel Francis Offensive Rebound.,7,12
13:33,-1,Nathaniel Francis missed Jumper.,7,12
13:33,-1,Demarcus Bowie Offensive Rebound.,7,12
13:30,-1,Demarcus Bowie missed Jumper.,7,12
13:30,249,Shane Temara Defensive Rebound.,7,12
13:27,249,Shane Temara Turnover.,7,12
13:26,249,Foul on A.J. Lawson.,7,12
13:19,-1,Cameron Johnson Turnover.,7,12
13:17,249,Shane Temara Steal.,7,12
13:06,-1,Foul on Demarcus Bowie.,7,12
13:06,249,Shane Temara missed Free Throw.,7,12
13:06,249,North Texas Deadball Team Rebound.,7,12
13:06,249,Shane Temara made Free Throw.,7,13
13:00,-1,Jayson Saldana Turnover.,7,13
12:47,249,Shane Temara missed Jumper.,7,13
12:47,-1,Jayson Saldana Block.,7,13
12:45,-1,Demarcus Bowie Defensive Rebound.,7,13
12:42,-1,Nathaniel Francis missed Layup.,7,13
12:42,-1,Nicolas Castillon Offensive Rebound.,7,13
12:38,-1,Nicolas Castillon missed Jumper.,7,13
12:38,-1,Texas College Offensive Rebound.,7,13
12:37,-1,Nicolas Castillon Turnover.,7,13
12:29,249,Ja'Michael Brown Turnover.,7,13
12:28,-1,Demarcus Bowie Steal.,7,13
12:25,-1,Demarcus Bowie missed Jumper.,7,13
12:25,-1,Demarcus Bowie Offensive Rebound.,7,13
12:22,-1,Demarcus Bowie missed Jumper.,7,13
12:22,249,Shane Temara Block.,7,13
12:20,-1,Texas College Offensive Rebound.,7,13
12:11,-1,Nicolas Castillon missed Jumper.,7,13
12:11,-1,Johnathan Smith Offensive Rebound.,7,13
11:59,-1,Nathaniel Francis missed Jumper.,7,13
11:59,-1,Texas College Offensive Rebound.,7,13
11:56,-1,Texas College  Timeout,7,13
11:53,-1,Nathaniel Francis made Three Point Jumper.,10,13
11:42,249,Derail Green missed Jumper.,10,13
11:42,249,A.J. Lawson Offensive Rebound.,10,13
11:39,249,A.J. Lawson made Layup.,10,15
11:27,-1,Johnathan Smith Turnover.,10,15
11:27,-1,Foul on Johnathan Smith.,10,15
11:20,249,Deckie Johnson missed Three Point Jumper.,10,15
11:20,249,Rickey Brice Jr. Offensive Rebound.,10,15
11:16,249,Rickey Brice Jr. missed Jumper.,10,15
11:16,-1,Johnathan Smith Block.,10,15
11:14,249,Rickey Brice Jr. Offensive Rebound.,10,15
11:11,-1,Foul on Darrelle Flowers.,10,15
11:11,249,Rickey Brice Jr. missed Free Throw.,10,15
11:11,249,North Texas Deadball Team Rebound.,10,15
11:11,249,Rickey Brice Jr. missed Free Throw.,10,15
11:11,-1,Darrelle Flowers Defensive Rebound.,10,15
11:00,249,Foul on Deckie Johnson.,10,15
11:00,-1,Nathaniel Francis made Free Throw.,11,15
11:00,-1,Nathaniel Francis made Free Throw.,12,15
10:44,249,North Texas  Timeout,12,15
10:34,-1,Foul on Nicolas Castillon.,12,15
10:32,-1,Foul on Nicolas Castillon.,12,15
10:32,249,A.J. Lawson missed Jumper.,12,15
10:32,-1,Texas College Defensive Rebound.,12,15
10:09,-1,Demarcus Bowie missed Jumper.,12,15
10:09,249,A.J. Lawson Defensive Rebound.,12,15
10:05,-1,Foul on Jayson Saldana.,12,15
10:05,249,A.J. Lawson missed Free Throw.,12,15
10:05,-1,Nathaniel Francis Defensive Rebound.,12,15
9:37,-1,Jayson Saldana missed Three Point Jumper.,12,15
9:37,249,A.J. Lawson Defensive Rebound.,12,15
9:31,249,Shane Temara missed Jumper.,12,15
9:31,-1,Nathaniel Francis Defensive Rebound.,12,15
9:27,249,Foul on Allante Holston.,12,15
9:16,-1,Demarcus Bowie missed Three Point Jumper.,12,15
9:16,-1,Cameron Johnson Offensive Rebound.,12,15
9:12,-1,Cameron Johnson missed Jumper.,12,15
9:12,-1,Nathaniel Francis Offensive Rebound.,12,15
9:09,-1,Nathaniel Francis made Layup.,14,15
8:57,249,A.J. Lawson missed Jumper.,14,15
8:57,-1,Cameron Johnson Defensive Rebound.,14,15
8:31,249,Foul on Allante Holston.,14,15
8:15,-1,Demarcus Bowie made Jumper. Assisted by Nathaniel Francis.,16,15
7:56,249,Deckie Johnson made Jumper.,16,17
7:37,-1,Nathaniel Francis missed Three Point Jumper.,16,17
7:37,-1,Johnathan Smith Offensive Rebound.,16,17
7:20,-1,Nathaniel Francis missed Jumper.,16,17
7:20,249,Allante Holston Defensive Rebound.,16,17
7:10,249,Allante Holston Turnover.,16,17
7:08,-1,Jayson Saldana Steal.,16,17
7:06,-1,Cameron Johnson Turnover.,16,17
7:06,249,Official TV Timeout,16,17
7:01,249,Derail Green made Three Point Jumper. Assisted by Ja'Michael Brown.,16,20
6:48,-1,Johnathan Smith Turnover.,16,20
6:48,249,Ja'Michael Brown Steal.,16,20
6:48,-1,Foul on Demarcus Bowie.,16,20
6:35,249,Rickey Brice Jr. missed Jumper.,16,20
6:35,-1,Cameron Johnson Defensive Rebound.,16,20
6:23,-1,Demarcus Bowie Turnover.,16,20
6:21,249,Ja'Michael Brown Steal.,16,20
6:16,249,Deckie Johnson made Three Point Jumper. Assisted by Ja'Michael Brown.,16,23
5:44,-1,Cameron Johnson missed Jumper.,16,23
5:44,249,Derail Green Defensive Rebound.,16,23
5:35,249,Derail Green Turnover.,16,23
5:35,249,Foul on Derail Green.,16,23
5:17,-1,Nathaniel Francis made Three Point Jumper.,19,23
4:58,249,Rickey Brice Jr. missed Jumper.,19,23
4:58,249,Rickey Brice Jr. Offensive Rebound.,19,23
4:54,249,Rickey Brice Jr. made Jumper.,19,25
4:42,-1,Myron Breshear missed Jumper.,19,25
4:42,249,Rickey Brice Jr. Block.,19,25
4:42,-1,Texas College Offensive Rebound.,19,25
4:34,-1,Cameron Johnson Turnover.,19,25
4:34,249,Ja'Michael Brown Steal.,19,25
4:21,249,Ja'Michael Brown Turnover.,19,25
3:50,-1,Johnathan Smith missed Jumper.,19,25
3:50,249,Rickey Brice Jr. Block.,19,25
3:45,249,Derail Green Defensive Rebound.,19,25
3:43,249,Official TV Timeout,19,25
3:43,-1,Foul on Myron Breshear.,19,25
3:43,249,Deckie Johnson made Free Throw.,19,26
3:43,249,Deckie Johnson made Free Throw.,19,27
3:32,-1,Jayson Saldana missed Jumper.,19,27
3:32,249,Allante Holston Defensive Rebound.,19,27
3:05,249,Rickey Brice Jr. missed Jumper.,19,27
3:05,-1,Nathaniel Francis Defensive Rebound.,19,27
2:58,-1,Andrew Aguilar missed Three Point Jumper.,19,27
2:58,249,Allante Holston Defensive Rebound.,19,27
2:53,249,Allante Holston Turnover.,19,27
2:51,-1,Nathaniel Francis Steal.,19,27
2:49,-1,Nathaniel Francis missed Jumper.,19,27
2:49,249,Allante Holston Defensive Rebound.,19,27
2:31,-1,Foul on Johnathan Smith.,19,27
2:31,249,Rickey Brice Jr. made Free Throw.,19,28
2:31,249,Rickey Brice Jr. made Free Throw.,19,29
2:09,-1,Myron Breshear Turnover.,19,29
1:44,249,Foul on Deckie Johnson.,19,29
1:44,249,Deckie Johnson Turnover.,19,29
1:25,-1,Demarcus Bowie made Jumper.,21,29
1:11,-1,Foul on Johnathan Smith.,21,29
1:11,249,Allante Holston made Free Throw.,21,30
1:11,249,Allante Holston made Free Throw.,21,31
1:05,-1,Jayson Saldana missed Three Point Jumper.,21,31
1:05,-1,Johnathan Smith Offensive Rebound.,21,31
1:02,-1,Johnathan Smith missed Jumper.,21,31
1:02,-1,Johnathan Smith Offensive Rebound.,21,31
0:50,-1,Texas College  Timeout,21,31
0:47,249,Foul on A.J. Lawson.,21,31
0:47,-1,Johnathan Smith missed Free Throw.,21,31
0:47,249,Rickey Brice Jr. Defensive Rebound.,21,31
0:39,249,Shane Temara Turnover.,21,31
0:37,-1,Johnathan Smith Steal.,21,31
0:35,-1,Demarcus Bowie made Layup. Assisted by Johnathan Smith.,23,31
0:03,249,Ja'Michael Brown missed Three Point Jumper.,23,31
0:03,-1,Myron Breshear Defensive Rebound.,23,31
0:00,249,End of 1st half,23,31
19:36,-1,Cameron Johnson missed Jumper.,23,31
19:36,249,Rickey Brice Jr. Defensive Rebound.,23,31
