Campbell,2142,Colgate,2097
time,team_id,description,h_score,a_score
19:33,2142,Nathan Harries made Jumper.,0,2
19:10,2097,Chris Clemons missed Jumper.,0,2
19:10,2142,Malcolm Regisford Defensive Rebound.,0,2
18:48,2142,Malcolm Regisford Turnover.,0,2
18:34,2097,Shane Whitfield Turnover.,0,2
18:33,2142,Will Rayman Steal.,0,2
18:29,2142,Will Rayman missed Jumper.,0,2
18:29,2142,Malcolm Regisford Offensive Rebound.,0,2
18:24,2097,Foul on Andrew Eudy.,0,2
18:24,2142,Malcolm Regisford made Free Throw.,0,3
18:24,2142,Malcolm Regisford made Free Throw.,0,4
18:04,2097,Andrew Eudy missed Three Point Jumper.,0,4
18:04,2142,Nathan Harries Defensive Rebound.,0,4
17:36,2142,Malcolm Regisford Turnover.,0,4
17:26,2097,Foul on Andrew Eudy.,0,4
17:08,2097,Foul on Shane Whitfield.,0,4
16:53,2142,Nathan Harries made Jumper. Assisted by Sean O'Brien.,0,6
16:29,2097,Shane Whitfield made Jumper.,2,6
16:09,2142,Jordan Swopshire missed Jumper.,2,6
16:09,2097,Shane Whitfield Defensive Rebound.,2,6
16:01,2097,Shane Whitfield Turnover.,2,6
15:59,2142,Sean O'Brien Steal.,2,6
15:49,2142,Malcolm Regisford made Jumper. Assisted by Sean O'Brien.,2,8
15:49,2097,Foul on Shane Whitfield.,2,8
15:49,2142,Official TV Timeout,2,8
15:49,2142,Malcolm Regisford made Free Throw.,2,9
15:35,2097,Chris Clemons missed Three Point Jumper.,2,9
15:35,2142,Colgate Defensive Rebound.,2,9
15:19,2142,Nathan Harries missed Three Point Jumper.,2,9
15:19,2097,Mogga Lado Defensive Rebound.,2,9
15:08,2097,Austin Burnette missed Three Point Jumper.,2,9
15:08,2142,Jordan Swopshire Defensive Rebound.,2,9
14:45,2142,Jordan Swopshire missed Three Point Jumper.,2,9
14:45,2097,Austin Burnette Block.,2,9
14:42,2142,Nathan Harries Offensive Rebound.,2,9
14:37,2142,Nathan Harries missed Layup.,2,9
14:37,2097,Mogga Lado Defensive Rebound.,2,9
14:17,2097,Damontez Oliver missed Three Point Jumper.,2,9
14:17,2142,Malcolm Regisford Defensive Rebound.,2,9
14:01,2142,Nathan Harries Turnover.,2,9
14:00,2097,Chris Clemons Steal.,2,9
13:56,2097,Chris Clemons made Layup.,4,9
13:56,2142,Foul on Nathan Harries.,4,9
13:56,2097,Chris Clemons made Free Throw.,5,9
13:42,2142,Sean O'Brien made Jumper.,5,11
13:19,2097,Chris Clemons made Layup.,7,11
13:07,2142,Malcolm Regisford made Layup. Assisted by Jordan Swopshire.,7,13
12:51,2142,Foul on Will Rayman.,7,13
12:38,2097,Chris Clemons made Three Point Jumper.,10,13
12:22,2142,Jordan Swopshire Turnover.,10,13
12:09,2097,Chris Clemons missed Three Point Jumper.,10,13
12:09,2142,Francisco Amiel Defensive Rebound.,10,13
11:59,2142,Francisco Amiel Turnover.,10,13
11:43,2097,Kyre' Hamer missed Layup.,10,13
11:43,2097,Mogga Lado Offensive Rebound.,10,13
11:38,2097,Mogga Lado made Layup.,12,13
11:11,2142,Will Rayman made Layup. Assisted by Tom Rivard.,12,15
10:55,2097,Chris Clemons missed Three Point Jumper.,12,15
10:55,2097,Austin Burnette Offensive Rebound.,12,15
10:52,2097,Austin Burnette missed Jumper.,12,15
10:52,2097,Austin Burnette Offensive Rebound.,12,15
10:48,2142,Foul on Tom Rivard.,12,15
10:48,2142,Official TV Timeout,12,15
10:48,2097,Austin Burnette made Free Throw.,13,15
10:48,2097,Austin Burnette made Free Throw.,14,15
10:38,2142,Francisco Amiel Turnover.,14,15
10:32,2097,Marcus Burk made Three Point Jumper. Assisted by Quinton Ray.,17,15
10:09,2142,Dana Batt made Layup. Assisted by Tom Rivard.,17,17
9:45,2097,Marcus Burk missed Three Point Jumper.,17,17
9:45,2142,Will Rayman Defensive Rebound.,17,17
9:29,2097,Foul on Quinton Ray.,17,17
9:29,2142,Tom Rivard missed Free Throw.,17,17
9:29,2142,Colgate Deadball Team Rebound.,17,17
9:29,2142,Tom Rivard made Free Throw.,17,18
9:17,2142,Foul on Jordan Robertson.,17,18
9:04,2097,Austin Burnette missed Jumper.,17,18
9:04,2142,Sean O'Brien Defensive Rebound.,17,18
8:49,2142,Dana Batt missed Layup.,17,18
8:49,2097,Campbell Defensive Rebound.,17,18
8:35,2097,Austin Burnette missed Jumper.,17,18
8:35,2142,Tom Rivard Defensive Rebound.,17,18
8:22,2097,Foul on Austin Burnette.,17,18
8:12,2142,Francisco Amiel missed Jumper.,17,18
8:12,2097,Austin Burnette Defensive Rebound.,17,18
7:48,2097,Quinton Ray missed Jumper.,17,18
7:48,2142,Colgate Defensive Rebound.,17,18
7:32,2142,Tom Rivard made Layup.,17,20
7:12,2097,Chris Clemons missed Jumper.,17,20
7:12,2142,Malcolm Regisford Defensive Rebound.,17,20
6:47,2142,Francisco Amiel Turnover.,17,20
6:46,2097,Quinton Ray Steal.,17,20
6:41,2097,Chris Clemons made Three Point Jumper. Assisted by Quinton Ray.,20,20
6:10,2142,Francisco Amiel Turnover.,20,20
5:40,2097,Chris Clemons Turnover.,20,20
5:40,2142,Francisco Amiel Steal.,20,20
5:17,2142,Nathan Harries missed Layup.,20,20
5:17,2097,Cory Gensler Defensive Rebound.,20,20
4:50,2097,Chris Clemons made Three Point Jumper.,23,20
4:26,2142,Nathan Harries made Three Point Jumper. Assisted by Tom Rivard.,23,23
4:00,2097,Cory Gensler missed Jumper.,23,23
4:00,2097,Mogga Lado Offensive Rebound.,23,23
3:47,2097,Chris Clemons missed Jumper.,23,23
3:47,2142,Nathan Harries Defensive Rebound.,23,23
3:38,2142,Tom Rivard missed Three Point Jumper.,23,23
3:38,2097,Cory Gensler Defensive Rebound.,23,23
3:17,2097,Quinton Ray made Three Point Jumper. Assisted by Mogga Lado.,26,23
2:58,2142,Official TV Timeout,26,23
2:53,2142,Sean O'Brien missed Three Point Jumper.,26,23
2:53,2097,Cory Gensler Defensive Rebound.,26,23
2:35,2097,Damontez Oliver Turnover.,26,23
2:34,2142,Sean O'Brien Steal.,26,23
2:31,2142,Will Rayman missed Jumper.,26,23
2:31,2142,Malcolm Regisford Offensive Rebound.,26,23
2:25,2097,Foul on Cory Gensler.,26,23
2:25,2142,Malcolm Regisford missed Free Throw.,26,23
2:25,2142,Colgate Deadball Team Rebound.,26,23
2:25,2142,Malcolm Regisford made Free Throw.,26,24
2:10,2097,Marcus Burk missed Three Point Jumper.,26,24
2:10,2142,Jordan Swopshire Defensive Rebound.,26,24
1:55,2142,Andrew Bargmann made Layup. Assisted by Sean O'Brien.,26,26
1:34,2097,Marcus Burk missed Layup.,26,26
1:34,2142,Jordan Swopshire Defensive Rebound.,26,26
1:24,2097,Foul on Chris Clemons.,26,26
1:24,2142,Malcolm Regisford made Free Throw.,26,27
1:24,2142,Malcolm Regisford missed Free Throw.,26,27
1:24,2097,Marcus Burk Defensive Rebound.,26,27
1:11,2142,Foul on Andrew Bargmann.,26,27
1:05,2097,Kyre' Hamer made Free Throw.,27,27
1:05,2097,Kyre' Hamer made Free Throw.,28,27
0:57,2142,Will Rayman missed Jumper.,28,27
0:57,2142,Will Rayman Offensive Rebound.,28,27
0:54,2142,Will Rayman missed Jumper.,28,27
0:54,2142,Malcolm Regisford Offensive Rebound.,28,27
0:51,2142,Malcolm Regisford missed Jumper.,28,27
0:51,2097,Austin Burnette Block.,28,27
0:48,2097,Chris Clemons Defensive Rebound.,28,27
0:39,2097,Chris Clemons missed Jumper.,28,27
0:39,2142,Andrew Bargmann Defensive Rebound.,28,27
0:10,2142,Will Rayman missed Jumper.,28,27
0:10,2142,Will Rayman Offensive Rebound.,28,27
0:06,2142,Will Rayman made Jumper.,28,29
0:00,2097,Chris Clemons made Three Point Jumper.,31,29
0:00,2142,End of 1st half,31,29
19:52,2142,Foul on Will Rayman.,31,29
19:34,2097,Andrew Eudy made Jumper.,33,29
19:23,2097,Foul on Cory Gensler.,33,29
19:06,2142,Malcolm Regisford missed Jumper.,33,29
19:06,2142,Will Rayman Offensive Rebound.,33,29
19:02,2142,Sean O'Brien missed Three Point Jumper.,33,29
19:02,2097,Campbell Defensive Rebound.,33,29
18:42,2097,Chris Clemons missed Jumper.,33,29
18:42,2142,Malcolm Regisford Defensive Rebound.,33,29
18:34,2142,Sean O'Brien Turnover.,33,29
18:24,2097,Andrew Eudy made Jumper.,35,29
18:06,2097,Foul on Andrew Eudy.,35,29
18:06,2142,Jordan Swopshire missed Free Throw.,35,29
18:06,2142,Colgate Deadball Team Rebound.,35,29
18:06,2142,Jordan Swopshire made Free Throw.,35,30
17:56,2142,Foul on Sean O'Brien.,35,30
17:56,2097,Mogga Lado missed Free Throw.,35,30
17:56,2097,Campbell Deadball Team Rebound.,35,30
17:56,2097,Mogga Lado made Free Throw.,36,30
17:28,2142,Sean O'Brien missed Three Point Jumper.,36,30
17:28,2097,Cory Gensler Defensive Rebound.,36,30
17:10,2097,Chris Clemons Turnover.,36,30
17:08,2142,Andrew Bargmann Steal.,36,30
17:01,2097,Foul on Shane Whitfield.,36,30
16:54,2142,Will Rayman made Jumper.,36,32
16:35,2097,Kyre' Hamer Turnover.,36,32
16:35,2142,Andrew Bargmann Steal.,36,32
16:35,2097,Foul on Kyre' Hamer.,36,32
16:09,2142,Francisco Amiel made Layup.,36,34
15:52,2142,Foul on Andrew Bargmann.,36,34
15:52,2142,Official TV Timeout,36,34
15:52,2097,Damontez Oliver missed Free Throw.,36,34
15:52,2097,Campbell Deadball Team Rebound.,36,34
15:52,2097,Damontez Oliver made Free Throw.,37,34
15:52,2142,Andrew Bargmann made Three Point Jumper. Assisted by Jordan Swopshire.,37,37
15:44,2142,Foul on Andrew Bargmann.,37,37
15:25,2097,Chris Clemons Turnover.,37,37
15:03,2142,Andrew Bargmann Turnover.,37,37
