Drexel,2272,High Point,2182
time,team_id,description,h_score,a_score
19:40,2182,Sammy Mojica Turnover.,0,0
19:30,2272,Ricky Madison Turnover.,0,0
19:28,2182,Sammy Mojica Steal.,0,0
19:19,2182,Kurk Lee made Three Point Jumper. Assisted by Rodney Williams.,3,0
19:03,2272,Ricky Madison made Three Point Jumper. Assisted by Andre Fox.,3,3
18:54,2182,Kari Jonsson missed Three Point Jumper.,3,3
18:54,2182,Rodney Williams Offensive Rebound.,3,3
18:27,2182,Kurk Lee made Jumper.,5,3
18:03,2272,Anthony Lindauer Turnover.,5,3
18:01,2182,Sammy Mojica Steal.,5,3
17:53,2182,Rodney Williams missed Layup.,5,3
17:53,2272,Ricky Madison Defensive Rebound.,5,3
17:43,2272,Andre Fox Turnover.,5,3
17:41,2182,Austin Williams Steal.,5,3
17:37,2182,Austin Williams made Dunk. Assisted by Kurk Lee.,7,3
17:37,2272,Foul on Ricky Madison.,7,3
17:37,2182,Austin Williams made Free Throw.,8,3
17:22,2272,Andre Fox Turnover.,8,3
17:21,2182,Sammy Mojica Steal.,8,3
17:12,2182,Kari Jonsson made Three Point Jumper. Assisted by Sammy Mojica.,11,3
16:47,2272,Jamal Wright made Three Point Jumper. Assisted by Tarique Thompson.,11,6
16:38,2182,Kurk Lee Turnover.,11,6
16:36,2272,Miles Bowman Jr. Steal.,11,6
16:33,2272,Andre Fox missed Layup.,11,6
16:33,2182,Austin Williams Block.,11,6
16:30,2182,Kurk Lee Defensive Rebound.,11,6
16:25,2182,Kurk Lee made Layup.,13,6
16:09,2272,Jamal Wright missed Three Point Jumper.,13,6
16:09,2182,Austin Williams Defensive Rebound.,13,6
15:59,2182,Kari Jonsson made Three Point Jumper. Assisted by Kurk Lee.,16,6
15:38,2272,Miles Bowman Jr. missed Three Point Jumper.,16,6
15:38,2182,Austin Williams Defensive Rebound.,16,6
15:16,2182,Austin Williams Turnover.,16,6
15:14,2272,Jamal Wright Steal.,16,6
15:08,2272,Jamal Wright Turnover.,16,6
15:07,2182,Kurk Lee Steal.,16,6
15:01,2182,Kari Jonsson missed Three Point Jumper.,16,6
15:01,2272,Miles Bowman Jr. Defensive Rebound.,16,6
14:59,2272,Official TV Timeout,16,6
14:48,2272,Foul on Tarique Thompson.,16,6
14:48,2272,Tarique Thompson Turnover.,16,6
14:30,2182,John Moran missed Three Point Jumper.,16,6
14:30,2272,Tarique Thompson Defensive Rebound.,16,6
14:14,2182,Foul on Miles Overton.,16,6
14:14,2272,Anthony Lindauer missed Free Throw.,16,6
14:14,2272,High Point Deadball Team Rebound.,16,6
14:14,2272,Anthony Lindauer made Free Throw.,16,7
14:11,2182,John Moran Turnover.,16,7
14:08,2272,Tarique Thompson made Dunk.,16,9
14:04,2182,John Moran Turnover.,16,9
14:00,2272,Anthony Lindauer made Three Point Jumper.,16,12
13:34,2182,Sammy Mojica missed Three Point Jumper.,16,12
13:34,2272,Anthony Lindauer Defensive Rebound.,16,12
13:29,2272,Anthony Lindauer Turnover.,16,12
13:28,2182,Austin Williams Steal.,16,12
13:22,2182,Rodney Williams made Layup. Assisted by Kurk Lee.,18,12
13:08,2272,Anthony Lindauer missed Three Point Jumper.,18,12
13:08,2182,Kurk Lee Defensive Rebound.,18,12
13:00,2182,Miles Overton missed Dunk.,18,12
13:00,2272,Ricky Madison Block.,18,12
12:58,2272,Ricky Madison Defensive Rebound.,18,12
12:53,2272,Austin White missed Jumper.,18,12
12:53,2272,Ricky Madison Offensive Rebound.,18,12
12:53,2182,Foul on Rodney Williams.,18,12
12:41,2272,Ricky Madison missed Jumper.,18,12
12:41,2182,Austin Williams Defensive Rebound.,18,12
12:37,2272,Foul on Jalen Williams.,18,12
12:16,2182,Sammy Mojica Turnover.,18,12
12:14,2272,Jalen Williams Steal.,18,12
12:12,2272,Jalen Williams made Layup. Assisted by Austin White.,18,14
11:54,2182,Kari Jonsson made Three Point Jumper. Assisted by Kurk Lee.,21,14
11:30,2272,Miles Bowman Jr. made Layup. Assisted by Jalen Williams.,21,16
11:21,2182,Sammy Mojica missed Three Point Jumper.,21,16
11:21,2272,Miles Bowman Jr. Defensive Rebound.,21,16
10:59,2272,Andre Fox missed Jumper.,21,16
10:59,2182,Rodney Williams Block.,21,16
10:56,2272,Miles Bowman Jr. Offensive Rebound.,21,16
10:54,2272,Miles Bowman Jr. missed Layup.,21,16
10:54,2182,Austin Williams Block.,21,16
10:52,2182,Kurk Lee Defensive Rebound.,21,16
10:48,2182,Rodney Williams missed Jumper.,21,16
10:48,2272,Jalen Williams Defensive Rebound.,21,16
10:22,2272,Miles Bowman Jr. missed Three Point Jumper.,21,16
10:22,2182,Sammy Mojica Defensive Rebound.,21,16
10:01,2182,Rodney Williams made Layup. Assisted by Kari Jonsson.,23,16
10:01,2272,Foul on Ricky Madison.,23,16
10:01,2272,Official TV Timeout,23,16
10:00,2182,Rodney Williams missed Free Throw.,23,16
10:00,2272,Tarique Thompson Defensive Rebound.,23,16
9:30,2272,Jamal Wright missed Jumper.,23,16
9:30,2182,Tyshawn Myles Block.,23,16
9:27,2182,Kurk Lee Defensive Rebound.,23,16
9:24,2182,Kari Jonsson missed Three Point Jumper.,23,16
9:24,2272,Miles Bowman Jr. Defensive Rebound.,23,16
9:15,2272,Andre Fox missed Jumper.,23,16
9:15,2182,Tyshawn Myles Block.,23,16
9:13,2272,Andre Fox Offensive Rebound.,23,16
9:10,2272,Tarique Thompson made Three Point Jumper. Assisted by Andre Fox.,23,19
8:56,2182,Rodney Williams missed Jumper.,23,19
8:56,2272,Tarique Thompson Defensive Rebound.,23,19
8:54,2182,Foul on Tyshawn Myles.,23,19
8:34,2182,Foul on John Moran.,23,19
8:34,2272,Andre Fox missed Free Throw.,23,19
8:34,2272,High Point Deadball Team Rebound.,23,19
8:34,2272,Andre Fox made Free Throw.,23,20
8:13,2182,Miles Overton made Jumper.,25,20
8:03,2182,Foul on Austin Williams.,25,20
8:03,2272,Miles Bowman Jr. made Free Throw.,25,21
8:03,2272,Miles Bowman Jr. missed Free Throw.,25,21
8:03,2182,Austin Williams Defensive Rebound.,25,21
7:50,2272,Official TV Timeout,25,21
7:32,2182,Kari Jonsson made Jumper.,27,21
7:06,2272,Tarique Thompson Turnover.,27,21
7:05,2182,Kurk Lee Steal.,27,21
7:03,2182,Kurk Lee made Layup.,29,21
6:52,2182,Foul on Mohamed Bah.,29,21
6:51,2272,Andre Fox missed Three Point Jumper.,29,21
6:51,2182,Mohamed Bah Defensive Rebound.,29,21
6:43,2182,Mohamed Bah missed Jumper.,29,21
6:43,2272,High Point Defensive Rebound.,29,21
6:28,2182,Foul on Kari Jonsson.,29,21
6:28,2272,Jamal Wright made Free Throw.,29,22
6:28,2272,Jamal Wright made Free Throw.,29,23
6:16,2272,Foul on Luke Vargo.,29,23
6:16,2182,Rodney Williams made Free Throw.,30,23
6:16,2182,Rodney Williams missed Free Throw.,30,23
6:16,2272,Austin White Defensive Rebound.,30,23
5:50,2272,Tarique Thompson Turnover.,30,23
5:48,2182,Rodney Williams Steal.,30,23
5:31,2182,Rodney Williams Turnover.,30,23
5:18,2272,Austin White missed Three Point Jumper.,30,23
5:18,2272,Tarique Thompson Offensive Rebound.,30,23
5:15,2272,Tarique Thompson made Layup.,30,25
5:07,2182,Foul on Kurk Lee.,30,25
5:07,2182,Kurk Lee Turnover.,30,25
4:56,2272,Jalen Williams missed Layup.,30,25
4:56,2182,Austin Williams Defensive Rebound.,30,25
4:50,2272,Foul on Luke Vargo.,30,25
4:50,2182,Miles Overton made Free Throw.,31,25
4:50,2182,Miles Overton made Free Throw.,32,25
4:34,2182,Foul on Tyshawn Myles.,32,25
4:34,2272,Miles Bowman Jr. made Free Throw.,32,26
4:34,2272,Miles Bowman Jr. made Free Throw.,32,27
4:31,2182,Kurk Lee missed Jumper.,32,27
4:31,2272,Miles Bowman Jr. Defensive Rebound.,32,27
3:54,2272,Jamal Wright missed Three Point Jumper.,32,27
3:54,2272,Miles Bowman Jr. Offensive Rebound.,32,27
3:50,2272,Miles Bowman Jr. missed Layup.,32,27
3:50,2182,Austin Williams Defensive Rebound.,32,27
3:45,2182,Miles Overton missed Three Point Jumper.,32,27
3:45,2182,Austin Williams Offensive Rebound.,32,27
3:38,2182,Austin Williams Turnover.,32,27
3:36,2272,Miles Bowman Jr. Steal.,32,27
3:16,2272,Miles Bowman Jr. missed Layup.,32,27
3:16,2182,Austin Williams Defensive Rebound.,32,27
3:14,2272,Technical Foul on Miles Bowman Jr..,32,27
3:14,2272,Foul on Miles Bowman Jr..,32,27
3:14,2272,Official TV Timeout,32,27
3:14,2182,Miles Overton made Free Throw.,33,27
3:14,2182,Miles Overton missed Free Throw.,33,27
