Green Bay,2649,Toledo,2739
time,team_id,description,h_score,a_score
19:36,2649,Jonathan Williams made Three Point Jumper. Assisted by Steve Taylor Jr..,0,3
19:14,2739,Kenneth Lowe made Jumper.,2,3
19:01,2649,Jaelan Sanford made Layup. Assisted by Steve Taylor Jr..,2,5
18:43,2739,Kenneth Lowe Turnover.,2,5
18:28,2739,Foul on Khalil Small.,2,5
18:28,2649,Jaelan Sanford made Free Throw.,2,6
18:28,2649,Jaelan Sanford made Free Throw.,2,7
18:22,2739,Charles Cooper made Jumper. Assisted by Trevor Anderson.,4,7
18:13,2739,Foul on Trevor Anderson.,4,7
18:01,2649,Steve Taylor Jr. missed Jumper.,4,7
18:01,2739,Kenneth Lowe Defensive Rebound.,4,7
17:55,2739,Charles Cooper made Jumper. Assisted by Kenneth Lowe.,6,7
17:48,2649,Jonathan Williams missed Three Point Jumper.,6,7
17:48,2649,Jonathan Williams Offensive Rebound.,6,7
17:41,2649,Steve Taylor Jr. made Three Point Jumper. Assisted by Jaelan Sanford.,6,10
17:23,2739,Jamar Hurdle made Jumper.,8,10
16:50,2739,Foul on Jamar Hurdle.,8,10
16:50,2649,Jonathan Williams made Free Throw.,8,11
16:50,2649,Jonathan Williams made Free Throw.,8,12
16:42,2739,Jamar Hurdle Turnover.,8,12
16:27,2649,Jonathan Williams made Layup. Assisted by Steve Taylor Jr..,8,14
16:17,2739,Charles Cooper made Jumper.,10,14
15:43,2649,Jonathan Williams made Three Point Jumper. Assisted by Jaelan Sanford.,10,17
15:26,2739,Jamar Hurdle made Jumper.,12,17
15:07,2649,Jordan Lauf made Layup.,12,19
15:06,2739,Foul on Jamar Hurdle.,12,19
15:06,2649,Jordan Lauf missed Free Throw.,12,19
15:06,2739,Tevin Findlay Defensive Rebound.,12,19
14:58,2739,Khalil Small made Three Point Jumper. Assisted by Turner Botz.,15,19
14:33,2649,Jonathan Williams missed Three Point Jumper.,15,19
14:33,2649,Zach Garber Offensive Rebound.,15,19
14:27,2649,Jordan Lauf Turnover.,15,19
14:14,2739,Turner Botz Turnover.,15,19
14:14,2649,Nate Navigato Steal.,15,19
14:14,2739,Foul on Tevin Findlay.,15,19
13:55,2649,Steve Taylor Jr. made Layup.,15,21
13:35,2739,Khalil Small missed Three Point Jumper.,15,21
13:35,2649,Steve Taylor Jr. Defensive Rebound.,15,21
13:15,2649,Zach Garber missed Layup.,15,21
13:15,2739,Turner Botz Defensive Rebound.,15,21
13:03,2739,Charles Cooper missed Three Point Jumper.,15,21
13:03,2649,Jonathan Williams Defensive Rebound.,15,21
12:36,2649,Jaelan Sanford missed Layup.,15,21
12:36,2739,Turner Botz Defensive Rebound.,15,21
12:28,2739,Tevin Findlay Turnover.,15,21
12:02,2739,Foul on Turner Botz.,15,21
11:57,2649,Jaelan Sanford missed Jumper.,15,21
11:57,2739,Trevor Anderson Defensive Rebound.,15,21
11:37,2739,Kerem Kanter made Jumper.,17,21
11:20,2649,Steve Taylor Jr. Turnover.,17,21
11:20,2649,Official TV Timeout,17,21
11:02,2739,Kerem Kanter made Layup. Assisted by Trevor Anderson.,19,21
10:36,2649,Taylor Adway made Layup.,19,23
10:22,2739,Turner Botz missed Three Point Jumper.,19,23
10:22,2649,Jordan Lauf Defensive Rebound.,19,23
10:04,2649,Luke Knapke missed Jumper.,19,23
10:04,2739,Turner Botz Defensive Rebound.,19,23
9:54,2739,Trevor Anderson missed Jumper.,19,23
9:54,2649,Taylor Adway Defensive Rebound.,19,23
9:45,2649,Luke Knapke Turnover.,19,23
9:29,2649,Foul on Luke Knapke.,19,23
9:18,2739,Turner Botz Turnover.,19,23
9:16,2649,Jordan Lauf Steal.,19,23
9:13,2649,Lucas Antunez missed Layup.,19,23
9:13,2739,David Jesperson Defensive Rebound.,19,23
8:58,2739,Trevor Anderson made Three Point Jumper.,22,23
8:43,2649,Nate Navigato made Three Point Jumper. Assisted by Jordan Lauf.,22,26
8:29,2739,Kenneth Lowe missed Jumper.,22,26
