Coppin State,228,Clemson,2154
time,team_id,description,h_score,a_score
19:31,2154,Joshua Treadwell missed Layup.,0,0
19:31,228,Jaron Blossomgame Defensive Rebound.,0,0
19:10,228,Donte Grantham missed Three Point Jumper.,0,0
19:10,2154,Joshua Treadwell Defensive Rebound.,0,0
18:57,2154,Tre' Thomas missed Three Point Jumper.,0,0
18:57,228,Jaron Blossomgame Defensive Rebound.,0,0
18:38,2154,Foul on Blake Simpson.,0,0
18:28,228,Jaron Blossomgame Turnover.,0,0
18:27,2154,Keith Shivers Steal.,0,0
18:25,228,Foul on Avry Holmes.,0,0
18:25,2154,Dejuan Clayton missed Free Throw.,0,0
18:25,2154,Coppin St Deadball Team Rebound.,0,0
18:25,2154,Dejuan Clayton made Free Throw.,1,0
18:08,228,Avry Holmes missed Three Point Jumper.,1,0
18:08,228,Jaron Blossomgame Offensive Rebound.,1,0
18:04,228,Jaron Blossomgame made Dunk.,1,2
17:48,2154,Joshua Treadwell Turnover.,1,2
17:33,228,Donte Grantham made Three Point Jumper. Assisted by Jaron Blossomgame.,1,5
17:21,2154,Juwan Davenport missed Jumper.,1,5
17:21,228,Avry Holmes Defensive Rebound.,1,5
17:13,228,Donte Grantham Turnover.,1,5
17:11,2154,Blake Simpson Steal.,1,5
17:07,2154,Dejuan Clayton missed Three Point Jumper.,1,5
17:07,2154,Blake Simpson Offensive Rebound.,1,5
17:05,2154,Blake Simpson missed Two Point Tip Shot.,1,5
17:05,228,Sidy Djitte Defensive Rebound.,1,5
16:59,228,Donte Grantham made Three Point Jumper. Assisted by Jaron Blossomgame.,1,8
16:24,2154,Coppin St  Turnover.,1,8
16:13,228,Marcquise Reed missed Three Point Jumper.,1,8
16:13,2154,Tre' Thomas Defensive Rebound.,1,8
15:57,2154,Keith Shivers made Three Point Jumper. Assisted by Tre' Thomas.,4,8
15:48,228,Shelton Mitchell made Layup.,4,10
15:15,2154,Keith Shivers missed Jumper.,4,10
15:15,2154,Juwan Davenport Offensive Rebound.,4,10
14:50,228,Foul on Gabe DeVoe.,4,10
14:50,228,Official TV Timeout,4,10
14:35,2154,Tre' Thomas missed Jumper.,4,10
14:35,228,Sidy Djitte Defensive Rebound.,4,10
14:26,228,Shelton Mitchell missed Three Point Jumper.,4,10
14:26,2154,Blake Simpson Defensive Rebound.,4,10
14:08,2154,Tre' Thomas missed Three Point Jumper.,4,10
14:08,228,Jaron Blossomgame Defensive Rebound.,4,10
13:45,228,Jaron Blossomgame made Layup. Assisted by Gabe DeVoe.,4,12
13:33,2154,Terry Harris Jr. made Layup.,6,12
13:32,228,Foul on Sidy Djitte.,6,12
13:31,2154,Terry Harris Jr. made Free Throw.,7,12
13:27,2154,Foul on Juwan Davenport.,7,12
13:21,228,Donte Grantham Turnover.,7,12
13:16,2154,Dejuan Clayton Turnover.,7,12
13:16,228,Marcquise Reed Steal.,7,12
13:14,228,Marcquise Reed made Layup.,7,14
13:14,2154,Foul on Dejuan Clayton.,7,14
13:14,228,Marcquise Reed made Free Throw.,7,15
13:02,2154,Juwan Davenport Turnover.,7,15
13:02,2154,Foul on Juwan Davenport.,7,15
12:52,228,Gabe DeVoe made Jumper.,7,17
12:31,2154,Joseph Gripper Turnover.,7,17
12:08,228,Gabe DeVoe made Three Point Jumper. Assisted by Marcquise Reed.,7,20
12:04,2154,Coppin St  Timeout,7,20
11:54,2154,Joseph Gripper Turnover.,7,20
11:43,228,Marcquise Reed missed Three Point Jumper.,7,20
11:43,2154,Terry Harris Jr. Defensive Rebound.,7,20
11:24,2154,Terry Harris Jr. made Layup.,9,20
11:09,228,Avry Holmes made Three Point Jumper. Assisted by Donte Grantham.,9,23
10:58,228,Foul on Donte Grantham.,9,23
10:58,2154,Terry Harris Jr. made Free Throw.,10,23
10:40,228,Jaron Blossomgame made Jumper.,10,25
10:20,2154,Dejuan Clayton Turnover.,10,25
10:19,228,Shelton Mitchell Steal.,10,25
10:13,228,Shelton Mitchell made Layup.,10,27
9:53,2154,Lucian Brownlee Turnover.,10,27
9:52,228,Marcquise Reed Steal.,10,27
9:49,2154,Foul on Keith Shivers.,10,27
9:49,228,Marcquise Reed made Free Throw.,10,28
9:49,228,Marcquise Reed missed Free Throw.,10,28
9:49,2154,Terry Harris Jr. Defensive Rebound.,10,28
9:31,2154,Terry Harris Jr. Turnover.,10,28
9:30,228,Shelton Mitchell Steal.,10,28
9:29,228,Shelton Mitchell made Dunk.,10,30
9:15,2154,Keith Shivers missed Jumper.,10,30
9:15,228,Donte Grantham Defensive Rebound.,10,30
9:02,228,Jaron Blossomgame missed Three Point Jumper.,10,30
9:02,2154,Lucian Brownlee Defensive Rebound.,10,30
8:44,2154,Terry Harris Jr. made Layup.,12,30
8:14,228,Shelton Mitchell missed Layup.,12,30
8:14,228,Sidy Djitte Offensive Rebound.,12,30
8:13,2154,Foul on Blake Simpson.,12,30
8:04,228,Jaron Blossomgame made Jumper.,12,32
7:45,2154,Terry Harris Jr. missed Layup.,12,32
7:45,228,Sidy Djitte Block.,12,32
7:44,2154,Joshua Treadwell Offensive Rebound.,12,32
7:42,2154,Joshua Treadwell missed Jumper.,12,32
7:42,228,Jaron Blossomgame Defensive Rebound.,12,32
7:29,228,Jaron Blossomgame missed Layup.,12,32
7:29,228,Sidy Djitte Offensive Rebound.,12,32
7:27,228,Sidy Djitte made Two Point Tip Shot.,12,34
7:03,2154,Joshua Treadwell missed Jumper.,12,34
7:03,228,Jaron Blossomgame Defensive Rebound.,12,34
6:53,228,Ty Hudson made Layup.,12,36
6:34,2154,Tre' Thomas missed Three Point Jumper.,12,36
6:34,228,Sidy Djitte Defensive Rebound.,12,36
6:20,228,Jaron Blossomgame Turnover.,12,36
6:19,2154,Dejuan Clayton Steal.,12,36
6:16,2154,Tre' Thomas made Layup. Assisted by Dejuan Clayton.,14,36
5:56,228,Sidy Djitte missed Jumper.,14,36
5:56,228,Jaron Blossomgame Offensive Rebound.,14,36
5:53,228,Jaron Blossomgame missed Two Point Tip Shot.,14,36
5:53,228,Jaron Blossomgame Offensive Rebound.,14,36
5:51,228,Jaron Blossomgame made Two Point Tip Shot.,14,38
5:19,2154,Joshua Treadwell Turnover.,14,38
5:19,228,Official TV Timeout,14,38
4:50,228,Marcquise Reed missed Jumper.,14,38
4:50,228,Sidy Djitte Offensive Rebound.,14,38
4:48,2154,Foul on Terry Harris Jr..,14,38
4:48,228,Sidy Djitte made Free Throw.,14,39
4:48,228,Sidy Djitte made Free Throw.,14,40
4:26,2154,Joshua Treadwell Turnover.,14,40
4:26,228,Avry Holmes made Three Point Jumper. Assisted by Ty Hudson.,14,43
4:26,2154,Dejuan Clayton Turnover.,14,43
4:26,228,Sidy Djitte Steal.,14,43
4:26,228,Marcquise Reed made Three Point Jumper. Assisted by Ty Hudson.,14,46
4:26,2154,Terry Harris Jr. missed Jumper.,14,46
4:26,228,Sidy Djitte Defensive Rebound.,14,46
4:26,228,Avry Holmes Turnover.,14,46
4:26,2154,Terry Harris Jr. Steal.,14,46
4:26,2154,Tre' Thomas made Jumper.,16,46
3:02,228,Clemson  Timeout,16,46
2:42,228,Ty Hudson made Three Point Jumper. Assisted by Shelton Mitchell.,16,49
2:33,2154,Terry Harris Jr. Turnover.,16,49
2:13,228,Ty Hudson missed Three Point Jumper.,16,49
2:13,2154,Terry Harris Jr. Defensive Rebound.,16,49
2:10,228,Foul on Donte Grantham.,16,49
1:45,2154,Dejuan Clayton made Three Point Jumper. Assisted by Keith Shivers.,19,49
1:27,2154,Foul on Izais Hicks.,19,49
1:27,228,Legend Robertin missed Free Throw.,19,49
1:27,228,Clemson Deadball Team Rebound.,19,49
1:27,228,Legend Robertin missed Free Throw.,19,49
1:27,2154,Izais Hicks Defensive Rebound.,19,49
1:16,2154,Dejuan Clayton Turnover.,19,49
1:15,228,Ty Hudson Steal.,19,49
1:12,228,Gabe DeVoe missed Three Point Jumper.,19,49
1:12,2154,Tre' Thomas Defensive Rebound.,19,49
0:54,2154,Dejuan Clayton missed Layup.,19,49
0:54,228,Legend Robertin Block.,19,49
0:54,2154,Coppin St Offensive Rebound.,19,49
0:53,2154,Coppin St  Timeout,19,49
0:44,2154,Dejuan Clayton missed Three Point Jumper.,19,49
0:44,228,Donte Grantham Defensive Rebound.,19,49
0:21,228,Legend Robertin missed Jumper.,19,49
0:21,2154,Tre' Thomas Defensive Rebound.,19,49
0:10,2154,Terry Harris Jr. made Three Point Jumper. Assisted by Keith Shivers.,22,49
0:01,228,Shelton Mitchell made Jumper.,22,51
0:01,2154,Foul on Izais Hicks.,22,51
0:01,228,Shelton Mitchell missed Free Throw.,22,51
0:01,2154,Keith Shivers Defensive Rebound.,22,51
0:00,228,End of 1st half,22,51
19:38,228,Donte Grantham missed Three Point Jumper.,22,51
19:34,228,Jaron Blossomgame Offensive Rebound.,22,51
19:34,2154,Foul on Terry Harris Jr..,22,51
19:26,228,Avry Holmes made Three Point Jumper. Assisted by Donte Grantham.,22,54
18:55,2154,Tre' Thomas missed Three Point Jumper.,22,54
18:55,228,Avry Holmes Block.,22,54
18:54,228,Jaron Blossomgame Defensive Rebound.,22,54
18:48,228,Jaron Blossomgame missed Three Point Jumper.,22,54
18:48,2154,Terry Harris Jr. Defensive Rebound.,22,54
18:36,2154,Terry Harris Jr. missed Layup.,22,54
18:36,228,Sidy Djitte Defensive Rebound.,22,54
18:35,2154,Foul on Blake Simpson.,22,54
18:20,228,Sidy Djitte missed Layup.,22,54
18:20,2154,Blake Simpson Block.,22,54
18:18,2154,Blake Simpson Defensive Rebound.,22,54
18:11,2154,Tre' Thomas missed Three Point Jumper.,22,54
18:11,2154,Blake Simpson Offensive Rebound.,22,54
18:06,2154,Blake Simpson missed Layup.,22,54
18:06,228,Jaron Blossomgame Block.,22,54
18:05,2154,Blake Simpson Offensive Rebound.,22,54
18:01,2154,Tre' Thomas missed Layup.,22,54
18:01,2154,Terry Harris Jr. Offensive Rebound.,22,54
17:58,2154,Terry Harris Jr. missed Dunk.,22,54
17:58,228,Avry Holmes Defensive Rebound.,22,54
17:55,2154,Foul on Keith Shivers.,22,54
17:39,228,Gabe DeVoe missed Three Point Jumper.,22,54
17:39,228,Donte Grantham Offensive Rebound.,22,54
17:35,228,Jaron Blossomgame missed Three Point Jumper.,22,54
17:35,2154,Keith Shivers Defensive Rebound.,22,54
17:05,2154,Dejuan Clayton made Layup.,24,54
16:44,228,Jaron Blossomgame made Layup.,24,56
16:31,2154,Keith Shivers made Three Point Jumper. Assisted by Blake Simpson.,27,56
16:16,228,Gabe DeVoe made Layup.,27,58
16:03,2154,Terry Harris Jr. missed Jumper.,27,58
16:03,228,Sidy Djitte Defensive Rebound.,27,58
15:54,228,Avry Holmes missed Three Point Jumper.,27,58
15:54,228,Jaron Blossomgame Offensive Rebound.,27,58
15:49,228,Jaron Blossomgame missed Layup.,27,58
15:49,228,Sidy Djitte Offensive Rebound.,27,58
15:48,2154,Foul on Blake Simpson.,27,58
15:46,228,Official TV Timeout,27,58
15:32,228,Sidy Djitte Turnover.,27,58
15:32,228,Foul on Sidy Djitte.,27,58
15:04,2154,Tre' Thomas missed Jumper.,27,58
15:04,228,Avry Holmes Defensive Rebound.,27,58
14:52,228,Sidy Djitte made Layup.,27,60
14:36,2154,Terry Harris Jr. Turnover.,27,60
14:35,228,Gabe DeVoe Steal.,27,60
14:29,228,Donte Grantham made Dunk.,27,62
14:01,228,Foul on Gabe DeVoe.,27,62
13:55,2154,Joshua Treadwell Turnover.,27,62
13:55,228,Marcquise Reed Steal.,27,62
13:51,228,Marcquise Reed missed Layup.,27,62
13:51,228,Gabe DeVoe Offensive Rebound.,27,62
13:47,2154,Foul on Juwan Davenport.,27,62
13:47,228,Marcquise Reed made Free Throw.,27,63
13:47,228,Marcquise Reed made Free Throw.,27,64
13:32,2154,Tre' Thomas missed Three Point Jumper.,27,64
13:32,2154,Izais Hicks Offensive Rebound.,27,64
13:27,2154,Tre' Thomas missed Layup.,27,64
13:27,228,Legend Robertin Block.,27,64
13:24,2154,Izais Hicks Offensive Rebound.,27,64
13:23,2154,Izais Hicks made Layup.,29,64
13:06,2154,Foul on Izais Hicks.,29,64
13:06,228,Legend Robertin missed Free Throw.,29,64
13:06,228,Clemson Deadball Team Rebound.,29,64
13:06,228,Legend Robertin missed Free Throw.,29,64
13:06,2154,Izais Hicks Defensive Rebound.,29,64
12:37,2154,Joshua Treadwell missed Three Point Jumper.,29,64
12:37,228,Gabe DeVoe Defensive Rebound.,29,64
12:30,228,Gabe DeVoe Turnover.,29,64
12:29,2154,Joshua Treadwell Steal.,29,64
12:02,2154,Joseph Gripper Turnover.,29,64
12:02,228,Marcquise Reed Steal.,29,64
12:02,2154,Foul on Joseph Gripper.,29,64
12:01,228,Marcquise Reed missed Free Throw.,29,64
12:01,2154,Juwan Davenport Defensive Rebound.,29,64
11:55,2154,Tre' Thomas made Jumper.,31,64
11:35,228,Shelton Mitchell made Layup.,31,66
11:02,2154,Joshua Treadwell missed Three Point Jumper.,31,66
11:02,2154,Tre' Thomas Offensive Rebound.,31,66
10:50,2154,Joshua Treadwell missed Layup.,31,66
10:50,228,Legend Robertin Block.,31,66
10:49,228,Gabe DeVoe Defensive Rebound.,31,66
10:43,228,Jaron Blossomgame made Dunk. Assisted by Shelton Mitchell.,31,68
10:22,2154,Joshua Treadwell missed Layup.,31,68
10:22,228,Legend Robertin Block.,31,68
10:22,2154,Coppin St Offensive Rebound.,31,68
10:21,228,Official TV Timeout,31,68
10:11,2154,Joshua Treadwell missed Jumper.,31,68
10:11,228,Jaron Blossomgame Block.,31,68
10:10,2154,Joshua Treadwell Offensive Rebound.,31,68
10:10,2154,Coppin St  Turnover.,31,68
9:53,228,Marcquise Reed missed Three Point Jumper.,31,68
9:53,2154,Coppin St Defensive Rebound.,31,68
9:48,2154,Juwan Davenport made Layup. Assisted by Joseph Gripper.,33,68
9:48,228,Shelton Mitchell made Jumper.,33,70
9:48,2154,Lucian Brownlee made Three Point Jumper. Assisted by Joseph Gripper.,36,70
8:32,2154,Foul on Izais Hicks.,36,70
8:32,228,Jaron Blossomgame made Free Throw.,36,71
8:32,228,Jaron Blossomgame missed Free Throw.,36,71
8:32,2154,Joshua Treadwell Defensive Rebound.,36,71
8:05,228,Foul on Legend Robertin.,36,71
7:41,228,Official TV Timeout,36,71
7:35,2154,Lucian Brownlee Turnover.,36,71
7:34,228,Avry Holmes Steal.,36,71
7:33,2154,Foul on Lucian Brownlee.,36,71
7:33,228,Avry Holmes made Free Throw.,36,72
7:33,228,Avry Holmes made Free Throw.,36,73
7:17,2154,Lucian Brownlee missed Three Point Jumper.,36,73
7:17,228,Marcquise Reed Defensive Rebound.,36,73
6:56,228,Donte Grantham missed Layup.,36,73
6:56,2154,Joshua Treadwell Defensive Rebound.,36,73
6:48,2154,Izais Hicks made Jumper.,38,73
6:33,228,Avry Holmes made Jumper.,38,75
6:20,228,Foul on Ty Hudson.,38,75
5:50,2154,Joseph Gripper missed Jumper.,38,75
5:50,228,Sidy Djitte Defensive Rebound.,38,75
5:39,228,Marcquise Reed missed Layup.,38,75
5:39,228,Marcquise Reed Offensive Rebound.,38,75
5:38,2154,Foul on Joshua Treadwell.,38,75
5:38,228,Marcquise Reed made Free Throw.,38,76
5:38,228,Marcquise Reed made Free Throw.,38,77
5:23,2154,Keith Shivers missed Three Point Jumper.,38,77
5:23,228,Gabe DeVoe Defensive Rebound.,38,77
5:13,228,Gabe DeVoe made Layup.,38,79
4:39,2154,Dejuan Clayton missed Jumper.,38,79
4:39,228,Donte Grantham Defensive Rebound.,38,79
4:25,228,Gabe DeVoe missed Three Point Jumper.,38,79
4:25,2154,Terry Harris Jr. Defensive Rebound.,38,79
4:07,2154,Keith Shivers missed Jumper.,38,79
4:07,228,Gabe DeVoe Block.,38,79
4:06,228,Sidy Djitte Defensive Rebound.,38,79
4:06,2154,Foul on Blake Simpson.,38,79
4:05,228,Sidy Djitte missed Free Throw.,38,79
4:05,228,Clemson Deadball Team Rebound.,38,79
4:05,228,Sidy Djitte missed Free Throw.,38,79
4:05,2154,Izais Hicks Defensive Rebound.,38,79
3:43,2154,Keith Shivers Turnover.,38,79
3:41,228,Ty Hudson Steal.,38,79
3:39,228,Riley McGillan missed Three Point Jumper.,38,79
3:39,2154,Izais Hicks Defensive Rebound.,38,79
3:30,2154,Terry Harris Jr. missed Three Point Jumper.,38,79
3:30,228,Sidy Djitte Defensive Rebound.,38,79
3:09,228,Riley McGillan Turnover.,38,79
3:09,228,Official TV Timeout,38,79
2:39,2154,Coppin St  Turnover.,38,79
2:28,228,Lyles Davis made Jumper.,38,81
2:07,2154,Mufaro Murinda missed Three Point Jumper.,38,81
2:07,2154,Izais Hicks Offensive Rebound.,38,81
1:58,2154,Izais Hicks Turnover.,38,81
1:57,228,Lyles Davis Steal.,38,81
1:54,228,Isaac Fields made Layup. Assisted by Lyles Davis.,38,83
1:38,2154,Terry Harris Jr. made Three Point Jumper. Assisted by Rasool Hinson.,41,83
1:21,228,Riley McGillan made Jumper.,41,85
1:11,228,Foul on Ty Hudson.,41,85
1:00,228,Foul on Riley McGillan.,41,85
0:53,2154,Izais Hicks made Dunk. Assisted by Joshua Treadwell.,43,85
0:32,228,Isaac Fields missed Three Point Jumper.,43,85
0:32,2154,Joshua Treadwell Defensive Rebound.,43,85
0:00,228,End of Game,43,85
