Eastern Washington,2547,Seattle,331
time,team_id,description,h_score,a_score
19:41,331,Bogdan Bliznyuk made Jumper.,2,0
19:25,2547,Aaron Menzies made Layup. Assisted by Morgan Means.,2,2
19:08,331,Jacob Wiley missed Jumper.,2,2
19:08,2547,Aaron Menzies Defensive Rebound.,2,2
18:45,2547,Brendan Westendorf made Three Point Jumper. Assisted by Aaron Menzies.,2,5
18:14,331,Cody Benzel made Three Point Jumper.,5,5
17:58,2547,Brendan Westendorf missed Three Point Jumper.,5,5
17:58,331,Jacob Wiley Defensive Rebound.,5,5
17:32,331,Bogdan Bliznyuk made Layup.,7,5
17:29,331,Eastern Washington  Timeout,7,5
17:19,2547,William Powell missed Layup.,7,5
17:19,331,Bogdan Bliznyuk Defensive Rebound.,7,5
17:00,331,Cody Benzel Turnover.,7,5
16:59,2547,Brendan Westendorf Steal.,7,5
16:57,331,Foul on Cody Benzel.,7,5
16:45,2547,Emmanuel Chibuogwu missed Three Point Jumper.,7,5
16:45,331,Bogdan Bliznyuk Defensive Rebound.,7,5
16:24,331,Bogdan Bliznyuk made Jumper.,9,5
16:05,2547,Morgan Means missed Three Point Jumper.,9,5
16:05,2547,Aaron Menzies Offensive Rebound.,9,5
15:55,2547,Brendan Westendorf Turnover.,9,5
15:55,2547,Official TV Timeout,9,5
15:28,331,Felix Von Hofe missed Jumper.,9,5
15:28,331,Jacob Wiley Offensive Rebound.,9,5
14:59,331,Felix Von Hofe missed Three Point Jumper.,9,5
14:59,2547,Zack Moore Defensive Rebound.,9,5
14:44,2547,Emmanuel Chibuogwu missed Jumper.,9,5
14:44,331,Jacob Wiley Defensive Rebound.,9,5
14:30,331,Cody Benzel missed Three Point Jumper.,9,5
14:30,2547,William Powell Defensive Rebound.,9,5
14:16,331,Foul on Bogdan Bliznyuk.,9,5
14:05,2547,Brendan Westendorf missed Three Point Jumper.,9,5
14:05,2547,William Powell Offensive Rebound.,9,5
14:02,2547,William Powell missed Layup.,9,5
14:02,331,Felix Von Hofe Defensive Rebound.,9,5
13:48,331,Jacob Wiley missed Jumper.,9,5
13:48,2547,Brendan Westendorf Defensive Rebound.,9,5
13:30,2547,Scott Ulaneo made Layup. Assisted by Emmanuel Chibuogwu.,9,7
13:16,331,Jacob Wiley Turnover.,9,7
13:15,2547,Zack Moore Steal.,9,7
13:13,331,Foul on Cody Benzel.,9,7
13:13,331,Foul on Mason Peatling.,9,7
13:12,2547,Scott Ulaneo made Layup. Assisted by Brendan Westendorf.,9,9
12:55,331,Sir Washington Turnover.,9,9
