Milwaukee,147,Montana State,270
time,team_id,description,h_score,a_score
19:36,147,Quinton Everett made Layup.,0,2
19:15,270,Cameron Harvey made Three Point Jumper. Assisted by Cody Wichmann.,3,2
18:43,147,Zach Green missed Jumper.,3,2
18:43,147,Zach Green Offensive Rebound.,3,2
18:37,147,Zach Green missed Jumper.,3,2
18:37,270,Brett Prahl Defensive Rebound.,3,2
18:13,270,Cody Wichmann missed Three Point Jumper.,3,2
18:13,147,Sam Neumann Defensive Rebound.,3,2
18:03,147,Harald Frey missed Layup.,3,2
18:03,270,Brett Prahl Defensive Rebound.,3,2
17:49,270,Cameron Harvey made Three Point Jumper.,6,2
17:37,270,Foul on August Haas.,6,2
17:30,147,Tyler Hall made Layup. Assisted by Harald Frey.,6,4
17:05,147,Foul on Zach Green.,6,4
16:54,270,Cameron Harvey made Three Point Jumper.,9,4
16:33,147,Zach Green made Layup. Assisted by Harald Frey.,9,6
16:07,270,Bryce Nze made Dunk. Assisted by Jeremiah Bell.,11,6
15:47,147,Quinton Everett missed Jumper.,11,6
15:47,270,Brock Stull Defensive Rebound.,11,6
15:41,270,Foul on Brock Stull.,11,6
15:41,270,Brock Stull Turnover.,11,6
15:41,147,Official TV Timeout,11,6
15:27,147,Tyler Hall made Three Point Jumper. Assisted by Sam Neumann.,11,9
15:07,270,Jeremy Johnson missed Layup.,11,9
15:07,270,Bryce Nze Offensive Rebound.,11,9
14:38,270,Derek Rongstad made Three Point Jumper. Assisted by Jeremy Johnson.,14,9
14:23,270,Foul on Jeremy Johnson.,14,9
14:14,147,Tyler Hall made Jumper.,14,11
13:45,270,Bryce Nze made Layup.,16,11
13:28,147,Tyler Hall made Three Point Jumper. Assisted by Joe Mvuezolo Jr..,16,14
13:05,270,Derek Rongstad missed Three Point Jumper.,16,14
13:05,147,Montana St Defensive Rebound.,16,14
13:03,270,Foul on Bryce Nze.,16,14
12:54,147,Sarp Gobeloglu missed Three Point Jumper.,16,14
12:54,270,Cody Wichmann Defensive Rebound.,16,14
12:47,270,Cody Wichmann missed Three Point Jumper.,16,14
12:47,147,Montana St Defensive Rebound.,16,14
12:31,147,Tyler Hall made Three Point Jumper.,16,17
12:14,270,Bryce Barnes Turnover.,16,17
12:03,270,Jeremy Johnson Steal.,16,17
12:00,147,Joe Mvuezolo Jr. Turnover.,16,17
11:42,147,Joe Mvuezolo Jr. Steal.,16,17
11:40,270,Jeremiah Bell Turnover.,16,17
11:38,147,Joe Mvuezolo Jr. made Dunk.,16,19
11:21,270,Bryce Barnes missed Jumper.,16,19
11:21,147,Devonte Klines Defensive Rebound.,16,19
11:12,270,Foul on Jeremiah Bell.,16,19
11:12,147,Official TV Timeout,16,19
11:12,147,Tyler Hall made Free Throw.,16,20
11:12,147,Tyler Hall made Free Throw.,16,21
11:12,147,Tyler Hall made Free Throw.,16,22
10:58,147,Foul on Devonte Klines.,16,22
10:49,270,August Haas made Three Point Jumper.,19,22
10:31,147,Zach Green missed Three Point Jumper.,19,22
10:31,270,Cody Wichmann Defensive Rebound.,19,22
10:13,270,Brett Prahl missed Jumper.,19,22
10:13,270,Brett Prahl Offensive Rebound.,19,22
10:12,147,Foul on Zach Green.,19,22
10:11,270,Brock Stull made Three Point Jumper. Assisted by August Haas.,22,22
9:56,147,Devonte Klines made Jumper.,22,24
9:33,270,Cody Wichmann made Three Point Jumper. Assisted by August Haas.,25,24
9:19,147,Quinton Everett missed Three Point Jumper.,25,24
9:19,270,Brett Prahl Defensive Rebound.,25,24
9:03,270,Cameron Harvey made Three Point Jumper. Assisted by Brett Prahl.,28,24
9:00,147,Montana St  Timeout,28,24
8:45,147,Tyler Hall missed Jumper.,28,24
8:45,270,Milwaukee Defensive Rebound.,28,24
8:43,147,Foul on Joe Mvuezolo Jr..,28,24
8:13,270,August Haas made Layup.,30,24
7:45,147,Joe Mvuezolo Jr. missed Jumper.,30,24
7:45,270,Brock Stull Defensive Rebound.,30,24
7:39,270,Brock Stull Turnover.,30,24
7:39,147,Official TV Timeout,30,24
7:28,147,Sarp Gobeloglu made Three Point Jumper. Assisted by Harald Frey.,30,27
7:11,147,Foul on Tyler Hall.,30,27
7:02,270,Bryce Nze Turnover.,30,27
6:49,147,Tyler Hall missed Three Point Jumper.,30,27
6:49,147,Sam Neumann Offensive Rebound.,30,27
6:48,270,Foul on Cameron Harvey.,30,27
6:42,270,Foul on Jeremy Johnson.,30,27
6:42,147,Tyler Hall made Free Throw.,30,28
6:42,147,Tyler Hall missed Free Throw.,30,28
6:42,270,Bryce Nze Defensive Rebound.,30,28
6:18,270,Jeremiah Bell Turnover.,30,28
6:12,147,Sarp Gobeloglu made Three Point Jumper. Assisted by Tyler Hall.,30,31
5:46,270,Bryce Barnes missed Layup.,30,31
5:46,270,August Haas Offensive Rebound.,30,31
5:38,270,August Haas Turnover.,30,31
5:23,270,Cody Wichmann Steal.,30,31
5:22,147,Sarp Gobeloglu Turnover.,30,31
5:19,270,Brock Stull missed Layup.,30,31
5:19,147,Devonte Klines Defensive Rebound.,30,31
5:05,147,Sam Neumann Turnover.,30,31
5:04,270,Bryce Barnes Steal.,30,31
5:01,270,Brock Stull made Layup.,32,31
4:37,147,Devonte Klines made Jumper.,32,33
4:17,270,Cody Wichmann missed Three Point Jumper.,32,33
4:17,147,Tyler Hall Defensive Rebound.,32,33
4:06,147,Tyler Hall missed Jumper.,32,33
4:06,270,Brock Stull Defensive Rebound.,32,33
3:56,147,Foul on Tyler Hall.,32,33
3:56,147,Official TV Timeout,32,33
3:56,270,Foul on Cody Wichmann.,32,33
3:56,270,Bryce Nze made Free Throw.,33,33
3:56,270,Bryce Nze made Free Throw.,34,33
3:56,147,Sam Neumann made Free Throw.,34,34
3:56,147,Sam Neumann made Free Throw.,34,35
3:33,147,Joe Mvuezolo Jr. missed Three Point Jumper.,34,35
3:33,270,Brett Prahl Defensive Rebound.,34,35
3:02,270,Jeremiah Bell made Three Point Jumper.,37,35
2:54,147,Foul on Joe Mvuezolo Jr..,37,35
2:54,147,Joe Mvuezolo Jr. Turnover.,37,35
2:32,270,Cody Wichmann missed Layup.,37,35
2:31,147,Devin Kirby Block.,37,35
2:30,270,Brett Prahl Offensive Rebound.,37,35
2:27,270,Brett Prahl made Layup.,39,35
2:17,147,Joe Mvuezolo Jr. missed Layup.,39,35
2:17,270,Cody Wichmann Defensive Rebound.,39,35
1:54,270,Bryce Barnes Turnover.,39,35
1:32,147,Quinton Everett missed Jumper.,39,35
1:32,147,Sarp Gobeloglu Offensive Rebound.,39,35
1:27,147,Devin Kirby missed Jumper.,39,35
1:27,147,Sarp Gobeloglu Offensive Rebound.,39,35
1:17,147,Harald Frey missed Three Point Jumper.,39,35
1:17,270,Bryce Nze Defensive Rebound.,39,35
1:16,147,Foul on Devin Kirby.,39,35
1:16,270,Bryce Nze made Free Throw.,40,35
1:16,270,Bryce Nze missed Free Throw.,40,35
1:16,270,Milwaukee Deadball Team Rebound.,40,35
1:02,147,Sarp Gobeloglu missed Three Point Jumper.,40,35
1:02,270,August Haas Defensive Rebound.,40,35
0:52,270,Jeremiah Bell made Jumper.,42,35
0:35,147,Harald Frey made Three Point Jumper. Assisted by Sarp Gobeloglu.,42,38
0:25,147,Harald Frey missed Jumper.,42,38
0:25,270,Cameron Harvey Block.,42,38
0:25,270,Milwaukee  Timeout,42,38
0:25,147,Harald Frey missed Jumper.,42,38
0:25,270,Cameron Harvey Block.,42,38
0:25,147,Joe Mvuezolo Jr. Offensive Rebound.,42,38
0:08,270,Cody Wichmann missed Three Point Jumper.,42,38
0:08,270,Brock Stull Offensive Rebound.,42,38
0:03,270,Brock Stull made Layup.,44,38
0:00,147,End of 1st half,44,38
19:44,147,Zach Green made Jumper.,44,40
19:25,270,Cody Wichmann made Three Point Jumper. Assisted by Brock Stull.,47,40
19:05,147,Zach Green Turnover.,47,40
18:46,270,Brett Prahl made Layup.,49,40
18:19,147,Sam Neumann made Jumper. Assisted by Harald Frey.,49,42
18:07,270,Brett Prahl missed Jumper.,49,42
18:07,147,Tyler Hall Block.,49,42
18:07,270,Milwaukee Offensive Rebound.,49,42
17:51,147,Foul on Sarp Gobeloglu.,49,42
17:51,270,Brett Prahl made Free Throw.,50,42
17:51,270,Brett Prahl made Free Throw.,51,42
17:39,147,Quinton Everett made Layup.,51,44
17:20,270,Brett Prahl made Layup.,53,44
17:11,147,Tyler Hall missed Jumper.,53,44
17:11,270,Cody Wichmann Defensive Rebound.,53,44
16:59,270,Cameron Harvey made Three Point Jumper.,56,44
16:36,270,Foul on August Haas.,56,44
16:31,147,Zach Green made Dunk.,56,46
16:10,270,Cameron Harvey made Jumper. Assisted by Brock Stull.,58,46
15:51,147,Harald Frey missed Three Point Jumper.,58,46
15:51,270,Bryce Nze Defensive Rebound.,58,46
15:21,270,Brock Stull missed Jumper.,58,46
15:21,147,Harald Frey Defensive Rebound.,58,46
15:09,270,Foul on Bryce Nze.,58,46
15:09,147,Official TV Timeout,58,46
15:09,147,Quinton Everett missed Free Throw.,58,46
