Lafayette,2597,St. Francis (BKN),322
time,team_id,description,h_score,a_score
19:41,2597,Yunus Hopkinson missed Three Point Jumper.,0,0
19:41,322,Kyle Stout Defensive Rebound.,0,0
19:38,2597,Foul on Joshua Nurse.,0,0
19:11,322,Paulius Zalys missed Jumper.,0,0
19:11,2597,Gunnar Olafsson Defensive Rebound.,0,0
18:59,2597,Joshua Nurse Turnover.,0,0
18:59,2597,Foul on Joshua Nurse.,0,0
18:39,322,Kyle Stout missed Jumper.,0,0
18:39,322,Paulius Zalys Offensive Rebound.,0,0
18:32,322,Nick Lindner missed Three Point Jumper.,0,0
18:32,322,Matt Klinewski Offensive Rebound.,0,0
18:19,322,Paulius Zalys missed Layup.,0,0
18:19,2597,Keon Williams Defensive Rebound.,0,0
18:00,2597,Jahmel Bodrick Turnover.,0,0
17:59,322,Eric Stafford Steal.,0,0
17:49,322,Paulius Zalys missed Three Point Jumper.,0,0
17:49,2597,Keon Williams Defensive Rebound.,0,0
17:32,2597,Yunus Hopkinson Turnover.,0,0
17:18,322,Eric Stafford made Three Point Jumper. Assisted by Matt Klinewski.,3,0
17:01,2597,Glenn Sanabria missed Three Point Jumper.,3,0
17:01,2597,Gunnar Olafsson Offensive Rebound.,3,0
16:52,2597,Keon Williams made Three Point Jumper. Assisted by Glenn Sanabria.,3,3
16:33,322,Matt Klinewski Turnover.,3,3
16:22,2597,Gunnar Olafsson missed Layup.,3,3
16:22,322,Nick Lindner Defensive Rebound.,3,3
16:08,322,Matt Klinewski made Layup. Assisted by Eric Stafford.,5,3
16:07,2597,Foul on Jahmel Bodrick.,5,3
15:52,2597,Glenn Sanabria made Three Point Jumper.,5,6
15:33,322,Eric Stafford missed Layup.,5,6
15:33,2597,Jagos Lasic Defensive Rebound.,5,6
15:23,2597,Gunnar Olafsson missed Layup.,5,6
15:23,322,Kyle Stout Block.,5,6
15:23,2597,Gunnar Olafsson Offensive Rebound.,5,6
15:23,2597,Official TV Timeout,5,6
15:22,2597,Glenn Sanabria made Three Point Jumper. Assisted by Rasheem Dunn.,5,9
14:51,322,Kyle Stout missed Jumper.,5,9
14:51,2597,Jagos Lasic Defensive Rebound.,5,9
14:42,2597,Jagos Lasic Turnover.,5,9
14:23,322,Hunter Janacek missed Three Point Jumper.,5,9
14:23,2597,Keon Williams Defensive Rebound.,5,9
14:15,2597,Glenn Sanabria made Three Point Jumper.,5,12
13:52,322,Kyle Stout Turnover.,5,12
13:30,2597,Darelle Porter missed Three Point Jumper.,5,12
13:30,322,Myles Cherry Defensive Rebound.,5,12
13:23,322,Hunter Janacek missed Three Point Jumper.,5,12
13:23,2597,Keon Williams Defensive Rebound.,5,12
13:15,2597,Glenn Sanabria missed Three Point Jumper.,5,12
13:15,322,Myles Cherry Defensive Rebound.,5,12
13:00,322,Matt Klinewski made Layup.,7,12
12:39,2597,Rasheem Dunn missed Three Point Jumper.,7,12
12:39,2597,Darelle Porter Offensive Rebound.,7,12
12:36,2597,Darelle Porter made Layup.,7,14
12:15,322,Myles Cherry Turnover.,7,14
12:15,322,Foul on Myles Cherry.,7,14
11:50,2597,Darelle Porter missed Layup.,7,14
11:50,322,Lukas Jarrett Block.,7,14
11:50,322,Myles Cherry Defensive Rebound.,7,14
11:40,322,Myles Cherry Turnover.,7,14
11:40,322,Foul on Myles Cherry.,7,14
11:40,2597,Official TV Timeout,7,14
11:24,2597,Rasheem Dunn made Layup.,7,16
11:06,322,Matt Klinewski Turnover.,7,16
11:06,2597,Keon Williams Steal.,7,16
11:06,322,Foul on Auston Evans.,7,16
10:48,2597,Yunus Hopkinson made Three Point Jumper.,7,19
10:31,322,Auston Evans made Layup.,9,19
10:21,2597,Darelle Porter made Three Point Jumper. Assisted by Yunus Hopkinson.,9,22
9:56,322,Lukas Jarrett made Jumper.,11,22
9:35,2597,Keon Williams missed Jumper.,11,22
9:35,322,Lukas Jarrett Block.,11,22
9:34,2597,Yunus Hopkinson Offensive Rebound.,11,22
9:29,2597,Darelle Porter missed Three Point Jumper.,11,22
9:29,322,Matt Klinewski Defensive Rebound.,11,22
9:26,2597,Foul on Yunus Hopkinson.,11,22
9:16,2597,Foul on Jagos Lasic.,11,22
9:16,322,Matt Klinewski made Free Throw.,12,22
9:16,322,Matt Klinewski made Free Throw.,13,22
8:52,2597,Yunus Hopkinson missed Layup.,13,22
8:52,322,Matt Klinewski Defensive Rebound.,13,22
8:38,2597,Foul on Yunus Hopkinson.,13,22
8:35,322,Matt Klinewski made Jumper. Assisted by Eric Stafford.,15,22
8:18,2597,Jagos Lasic Turnover.,15,22
8:06,322,Matt Klinewski missed Jumper.,15,22
8:06,2597,Rasheem Dunn Defensive Rebound.,15,22
7:51,2597,Rasheem Dunn missed Jumper.,15,22
7:51,322,Matt Klinewski Defensive Rebound.,15,22
