Florida Atlantic,194,Ohio State,2226
time,team_id,description,h_score,a_score
19:42,194,JaQuan Lyle missed Jumper.,0,0
19:42,2226,Ronald Delph Defensive Rebound.,0,0
19:24,2226,Frank Booker missed Jumper.,0,0
19:24,194,Jae'Sean Tate Defensive Rebound.,0,0
19:16,194,Jae'Sean Tate missed Layup.,0,0
19:16,2226,Ronald Delph Block.,0,0
19:16,194,Ohio State Offensive Rebound.,0,0
19:12,194,Micah Potter made Three Point Jumper. Assisted by Jae'Sean Tate.,0,3
18:57,2226,Jeantal Cylla missed Three Point Jumper.,0,3
18:57,194,JaQuan Lyle Defensive Rebound.,0,3
18:48,194,Kam Williams missed Three Point Jumper.,0,3
18:48,194,Micah Potter Offensive Rebound.,0,3
18:44,194,Micah Potter missed Layup.,0,3
18:44,2226,Frank Booker Defensive Rebound.,0,3
18:23,194,Foul on Micah Potter.,0,3
18:23,2226,Ronald Delph made Free Throw.,1,3
18:23,2226,Ronald Delph made Free Throw.,2,3
18:12,194,Jae'Sean Tate missed Layup.,2,3
18:12,194,Micah Potter Offensive Rebound.,2,3
18:11,2226,Foul on Nick Rutherford.,2,3
18:11,194,Micah Potter made Free Throw.,2,4
18:11,194,Micah Potter made Free Throw.,2,5
17:54,2226,Frank Booker made Three Point Jumper.,5,5
17:35,194,Micah Potter missed Three Point Jumper.,5,5
17:35,2226,Nick Rutherford Defensive Rebound.,5,5
17:29,2226,Frank Booker made Three Point Jumper. Assisted by Nick Rutherford.,8,5
17:09,194,Marc Loving missed Three Point Jumper.,8,5
17:09,2226,Nick Rutherford Defensive Rebound.,8,5
16:58,2226,Jeantal Cylla made Three Point Jumper. Assisted by Jailyn Ingram.,11,5
16:30,194,Kam Williams missed Layup.,11,5
16:30,194,Ohio State Offensive Rebound.,11,5
16:26,194,Kam Williams missed Jumper.,11,5
16:26,2226,Ronald Delph Defensive Rebound.,11,5
16:07,2226,Jailyn Ingram made Jumper.,13,5
15:45,194,JaQuan Lyle missed Three Point Jumper.,13,5
15:45,194,Marc Loving Offensive Rebound.,13,5
15:40,2226,Foul on Jeantal Cylla.,13,5
15:40,194,Official TV Timeout,13,5
15:38,194,Trevor Thompson made Jumper. Assisted by JaQuan Lyle.,13,7
15:24,2226,Frank Booker missed Three Point Jumper.,13,7
15:24,194,Trevor Thompson Defensive Rebound.,13,7
14:58,194,Jae'Sean Tate missed Layup.,13,7
14:58,2226,William Pfister Defensive Rebound.,13,7
14:40,2226,Nick Rutherford Turnover.,13,7
14:14,194,Keita Bates-Diop made Three Point Jumper. Assisted by JaQuan Lyle.,13,10
13:57,2226,William Pfister Turnover.,13,10
13:46,194,Keita Bates-Diop made Jumper. Assisted by Marc Loving.,13,12
13:14,2226,Adonis Filer missed Three Point Jumper.,13,12
13:14,194,Ohio State Defensive Rebound.,13,12
12:59,2226,Foul on Jailyn Ingram.,13,12
12:53,194,Marc Loving made Three Point Jumper. Assisted by Keita Bates-Diop.,13,15
12:34,2226,Adonis Filer Turnover.,13,15
12:11,194,Keita Bates-Diop missed Three Point Jumper.,13,15
12:11,2226,Adonis Filer Defensive Rebound.,13,15
12:03,2226,Jailyn Ingram Turnover.,13,15
11:49,2226,Foul on Ronald Delph.,13,15
11:49,194,Official TV Timeout,13,15
11:49,194,Marc Loving Turnover.,13,15
11:49,194,Foul on Marc Loving.,13,15
11:33,2226,Gerdarius Troutman missed Three Point Jumper.,13,15
11:33,2226,Marcus Neely Offensive Rebound.,13,15
11:22,2226,Adonis Filer made Three Point Jumper.,16,15
11:04,2226,Foul on Marcus Neely.,16,15
10:58,194,Kam Williams Turnover.,16,15
10:43,194,Foul on Trevor Thompson.,16,15
10:43,2226,Jeantal Cylla made Free Throw.,17,15
10:43,2226,Jeantal Cylla made Free Throw.,18,15
10:43,2226,Jeantal Cylla missed Free Throw.,18,15
10:43,194,Jae'Sean Tate Defensive Rebound.,18,15
10:25,194,Kam Williams made Jumper. Assisted by JaQuan Lyle.,18,17
10:07,2226,Frank Booker missed Three Point Jumper.,18,17
10:07,194,JaQuan Lyle Defensive Rebound.,18,17
9:56,2226,Foul on Marcus Neely.,18,17
9:51,194,JaQuan Lyle made Jumper.,18,19
9:51,2226,Foul on Adonis Filer.,18,19
9:51,194,JaQuan Lyle made Free Throw.,18,20
9:36,2226,Adonis Filer made Jumper.,20,20
9:17,194,JaQuan Lyle made Layup.,20,22
9:00,2226,Ronald Delph missed Layup.,20,22
9:00,194,Micah Potter Defensive Rebound.,20,22
8:50,194,JaQuan Lyle missed Three Point Jumper.,20,22
8:50,2226,Frank Booker Defensive Rebound.,20,22
8:42,2226,Adonis Filer made Three Point Jumper.,23,22
8:20,194,JaQuan Lyle made Layup.,23,24
8:01,2226,Frank Booker missed Three Point Jumper.,23,24
8:01,194,Micah Potter Defensive Rebound.,23,24
7:53,194,Micah Potter Turnover.,23,24
7:53,194,Official TV Timeout,23,24
7:34,2226,Jeantal Cylla missed Three Point Jumper.,23,24
7:34,194,JaQuan Lyle Defensive Rebound.,23,24
7:15,194,Jae'Sean Tate made Layup. Assisted by JaQuan Lyle.,23,26
6:55,2226,Nick Rutherford missed Jumper.,23,26
6:55,194,Micah Potter Defensive Rebound.,23,26
6:48,2226,Foul on William Pfister.,23,26
6:48,194,Jae'Sean Tate made Free Throw.,23,27
6:48,194,Jae'Sean Tate made Free Throw.,23,28
6:22,2226,Nick Rutherford missed Jumper.,23,28
6:22,194,Marc Loving Defensive Rebound.,23,28
6:07,2226,Foul on Nick Rutherford.,23,28
6:07,194,Jae'Sean Tate made Free Throw.,23,29
6:07,194,Jae'Sean Tate made Free Throw.,23,30
5:53,2226,Adonis Filer missed Three Point Jumper.,23,30
5:53,2226,Jeantal Cylla Offensive Rebound.,23,30
5:45,194,Foul on Kam Williams.,23,30
5:39,2226,Frank Booker missed Three Point Jumper.,23,30
5:39,2226,Jailyn Ingram Offensive Rebound.,23,30
5:19,2226,Jailyn Ingram made Jumper. Assisted by Adonis Filer.,25,30
4:57,194,Jae'Sean Tate missed Jumper.,25,30
4:57,2226,Jailyn Ingram Defensive Rebound.,25,30
4:37,194,Foul on JaQuan Lyle.,25,30
4:11,2226,Adonis Filer made Layup.,27,30
3:54,194,Trevor Thompson made Dunk. Assisted by JaQuan Lyle.,27,32
3:38,2226,Jailyn Ingram made Layup.,29,32
3:22,194,JaQuan Lyle missed Jumper.,29,32
