Lehigh,2619,Stony Brook,2329
time,team_id,description,h_score,a_score
19:43,2619,Tyrell Sturdivant missed Layup.,0,0
19:43,2329,Matt Holba Defensive Rebound.,0,0
19:22,2329,Tim Kempton missed Layup.,0,0
19:22,2619,UC Iroegbu Defensive Rebound.,0,0
18:59,2619,Tyrell Sturdivant missed Jumper.,0,0
18:59,2329,Austin Price Defensive Rebound.,0,0
18:44,2329,Austin Price made Three Point Jumper. Assisted by Tim Kempton.,3,0
18:13,2619,Lucas Woodhouse missed Jumper.,3,0
18:13,2329,Lehigh Defensive Rebound.,3,0
18:02,2329,Austin Price missed Three Point Jumper.,3,0
18:02,2619,UC Iroegbu Defensive Rebound.,3,0
17:54,2619,UC Iroegbu missed Three Point Jumper.,3,0
17:54,2329,Tim Kempton Defensive Rebound.,3,0
17:32,2329,Kyle Leufroy missed Three Point Jumper.,3,0
17:32,2619,Tyrell Sturdivant Defensive Rebound.,3,0
17:09,2329,Foul on Tim Kempton.,3,0
17:09,2619,Tyrell Sturdivant missed Free Throw.,3,0
17:09,2619,Stony Brook Deadball Team Rebound.,3,0
17:09,2619,Tyrell Sturdivant made Free Throw.,3,1
16:52,2329,Kahron Ross missed Jumper.,3,1
16:52,2619,Lucas Woodhouse Defensive Rebound.,3,1
16:44,2329,Foul on Kyle Leufroy.,3,1
16:29,2619,Tyrell Sturdivant missed Jumper.,3,1
16:29,2329,Matt Holba Defensive Rebound.,3,1
16:21,2329,Tim Kempton made Jumper. Assisted by Kyle Leufroy.,5,1
16:06,2619,Roland Nyama missed Three Point Jumper.,5,1
16:06,2619,Akwasi Yeboah Offensive Rebound.,5,1
16:02,2619,Roland Nyama missed Three Point Jumper.,5,1
16:02,2329,Tim Kempton Defensive Rebound.,5,1
15:46,2329,Tim Kempton Turnover.,5,1
15:46,2619,Official TV Timeout,5,1
15:18,2619,Roland Nyama missed Jumper.,5,1
15:18,2619,Roland Nyama Offensive Rebound.,5,1
15:14,2619,Roland Nyama missed Layup.,5,1
15:14,2329,Tim Kempton Defensive Rebound.,5,1
15:00,2329,Tim Kempton Turnover.,5,1
15:00,2329,Foul on Tim Kempton.,5,1
14:34,2619,Bryan Sekunda made Three Point Jumper. Assisted by Roland Nyama.,5,4
14:18,2329,Matt Holba made Three Point Jumper. Assisted by Kahron Ross.,8,4
14:04,2329,Foul on Matt Holba.,8,4
13:56,2619,Bryan Sekunda made Three Point Jumper. Assisted by Lucas Woodhouse.,8,7
