Brown,2507,Providence,225
time,team_id,description,h_score,a_score
19:48,2507,Jalen Lindsey Turnover.,0,0
19:19,225,Brandon Anderson made Three Point Jumper. Assisted by Tavon Blackmon.,3,0
18:53,2507,Isaiah Jackson Turnover.,3,0
18:52,225,Joshua Howard Steal.,3,0
18:28,225,Tavon Blackmon missed Layup.,3,0
18:28,2507,Isaiah Jackson Block.,3,0
18:26,2507,Rodney Bullock Defensive Rebound.,3,0
18:16,2507,Rodney Bullock made Three Point Jumper. Assisted by Kyron Cartwright.,3,3
17:51,225,Steven Spieth missed Three Point Jumper.,3,3
17:51,225,Obi Okolie Offensive Rebound.,3,3
17:45,225,Brandon Anderson Turnover.,3,3
17:43,2507,Rodney Bullock Steal.,3,3
17:40,2507,Jalen Lindsey made Three Point Jumper. Assisted by Rodney Bullock.,3,6
17:24,225,Obi Okolie missed Jumper.,3,6
17:24,2507,Rodney Bullock Defensive Rebound.,3,6
17:14,2507,Rodney Bullock missed Three Point Jumper.,3,6
17:14,225,Steven Spieth Defensive Rebound.,3,6
17:04,2507,Foul on Isaiah Jackson.,3,6
16:50,225,Steven Spieth missed Three Point Jumper.,3,6
16:50,2507,Rodney Bullock Defensive Rebound.,3,6
16:37,2507,Jalen Lindsey missed Three Point Jumper.,3,6
16:37,2507,Emmitt Holt Offensive Rebound.,3,6
16:32,2507,Emmitt Holt made Layup.,3,8
16:10,225,Joshua Howard missed Layup.,3,8
16:10,2507,Rodney Bullock Defensive Rebound.,3,8
16:01,2507,Isaiah Jackson missed Jumper.,3,8
16:01,225,Obi Okolie Defensive Rebound.,3,8
15:37,225,Steven Spieth Turnover.,3,8
15:37,2507,Official TV Timeout,3,8
15:17,225,Foul on Steven Spieth.,3,8
15:12,2507,Kyron Cartwright missed Three Point Jumper.,3,8
15:12,2507,Rodney Bullock Offensive Rebound.,3,8
15:06,2507,Rodney Bullock made Layup.,3,10
14:47,225,Obi Okolie missed Three Point Jumper.,3,10
14:47,2507,Jalen Lindsey Defensive Rebound.,3,10
14:39,2507,Kyron Cartwright made Layup.,3,12
14:26,225,Travis Fuller missed Layup.,3,12
14:26,2507,Emmitt Holt Defensive Rebound.,3,12
14:20,2507,Rodney Bullock made Layup. Assisted by Emmitt Holt.,3,14
14:19,225,Brown  Timeout,3,14
14:11,2507,Foul on Ryan Fazekas.,3,14
14:04,225,Obi Okolie missed Jumper.,3,14
14:04,2507,Rodney Bullock Block.,3,14
14:01,2507,Emmitt Holt Defensive Rebound.,3,14
13:51,2507,Jalen Lindsey made Three Point Jumper. Assisted by Emmitt Holt.,3,17
13:33,225,Tavon Blackmon missed Jumper.,3,17
13:33,2507,Rodney Bullock Defensive Rebound.,3,17
13:21,2507,Rodney Bullock Turnover.,3,17
13:20,225,Travis Fuller Steal.,3,17
13:17,225,Travis Fuller Turnover.,3,17
13:15,2507,Emmitt Holt Steal.,3,17
13:12,2507,Jalen Lindsey made Three Point Jumper. Assisted by Kyron Cartwright.,3,20
13:11,225,Brown  Timeout,3,20
12:58,225,Obi Okolie made Layup. Assisted by Travis Fuller.,5,20
12:33,2507,Kyron Cartwright Turnover.,5,20
12:32,225,Steven Spieth Steal.,5,20
12:30,225,Steven Spieth made Layup.,7,20
