Washington,2250,Gonzaga,264
time,team_id,description,h_score,a_score
20:00,2250,Jump Ball won by Gonzaga,0,0
19:45,2250,Nigel Williams-Goss missed Three Point Jumper.,0,0
19:45,264,Noah Dickerson Defensive Rebound.,0,0
19:25,264,Markelle Fultz missed Jumper.,0,0
19:25,2250,Johnathan Williams Block.,0,0
19:25,264,Noah Dickerson Offensive Rebound.,0,0
19:18,264,Noah Dickerson missed Layup.,0,0
19:18,2250,Przemek Karnowski Defensive Rebound.,0,0
19:10,2250,Jordan Mathews missed Three Point Jumper.,0,0
19:10,264,Noah Dickerson Defensive Rebound.,0,0
18:57,264,Matisse Thybulle Turnover.,0,0
18:40,2250,Johnathan Williams made Jumper.,0,2
18:39,264,Foul on Sam Timmins.,0,2
18:39,2250,Johnathan Williams missed Free Throw.,0,2
18:39,264,Noah Dickerson Defensive Rebound.,0,2
18:21,2250,Foul on Johnathan Williams.,0,2
18:21,264,Noah Dickerson made Free Throw.,1,2
18:21,264,Noah Dickerson made Free Throw.,2,2
18:13,264,Foul on Sam Timmins.,2,2
18:03,2250,Johnathan Williams made Layup.,2,4
18:02,264,Foul on Noah Dickerson.,2,4
18:02,2250,Johnathan Williams made Free Throw.,2,5
17:51,264,Markelle Fultz made Layup.,4,5
17:37,2250,Przemek Karnowski Turnover.,4,5
17:23,264,Malik Dime Turnover.,4,5
17:14,2250,Johnathan Williams made Dunk. Assisted by Josh Perkins.,4,7
17:02,264,David Crisp missed Jumper.,4,7
17:02,264,Noah Dickerson Offensive Rebound.,4,7
16:55,264,Jump Ball won by Washington,4,7
16:44,264,Markelle Fultz missed Jumper.,4,7
16:44,2250,Johnathan Williams Defensive Rebound.,4,7
16:27,2250,Jordan Mathews made Jumper. Assisted by Nigel Williams-Goss.,4,9
16:01,2250,Foul on Johnathan Williams.,4,9
15:44,264,Markelle Fultz missed Jumper.,4,9
15:44,264,Markelle Fultz Offensive Rebound.,4,9
15:42,264,Markelle Fultz missed Layup.,4,9
15:42,264,Malik Dime Offensive Rebound.,4,9
15:42,264,Malik Dime missed Two Point Tip Shot.,4,9
15:42,2250,Przemek Karnowski Defensive Rebound.,4,9
15:34,2250,Jordan Mathews made Three Point Jumper. Assisted by Nigel Williams-Goss.,4,12
15:16,264,David Crisp missed Three Point Jumper.,4,12
15:16,264,Markelle Fultz Offensive Rebound.,4,12
15:05,264,Noah Dickerson Turnover.,4,12
15:05,2250,Josh Perkins Steal.,4,12
14:56,2250,Jordan Mathews made Three Point Jumper. Assisted by Przemek Karnowski.,4,15
14:55,264,Foul on David Crisp.,4,15
14:55,2250,Official TV Timeout,4,15
14:55,2250,Jordan Mathews made Free Throw.,4,16
14:39,264,Markelle Fultz made Layup.,6,16
14:25,2250,Nigel Williams-Goss made Jumper.,6,18
14:02,264,Carlos Johnson missed Jumper.,6,18
14:02,264,Malik Dime Offensive Rebound.,6,18
14:00,264,Malik Dime missed Layup.,6,18
14:00,264,Carlos Johnson Offensive Rebound.,6,18
13:58,264,Carlos Johnson missed Layup.,6,18
13:58,264,Noah Dickerson Offensive Rebound.,6,18
13:57,264,Noah Dickerson missed Free Throw.,6,18
13:57,264,Malik Dime Offensive Rebound.,6,18
13:57,2250,Foul on Nigel Williams-Goss.,6,18
13:57,264,Noah Dickerson missed Free Throw.,6,18
13:57,264,Washington Deadball Team Rebound.,6,18
13:52,264,Dominic Green missed Three Point Jumper.,6,18
13:52,2250,Gonzaga Deadball Team Rebound.,6,18
13:50,264,Foul on Malik Dime.,6,18
13:31,2250,Josh Perkins made Layup.,6,20
13:10,264,Markelle Fultz Turnover.,6,20
12:42,2250,Jordan Mathews made Three Point Jumper. Assisted by Silas Melson.,6,23
12:23,264,Noah Dickerson missed Jumper.,6,23
12:23,2250,Jordan Mathews Defensive Rebound.,6,23
12:19,2250,Killian Tillie made Dunk. Assisted by Josh Perkins.,6,25
12:18,264,Foul on Dominic Green.,6,25
12:18,2250,Killian Tillie missed Free Throw.,6,25
12:18,264,Noah Dickerson Defensive Rebound.,6,25
12:02,264,Foul on Malik Dime.,6,25
12:02,264,Malik Dime Turnover.,6,25
11:40,2250,Zach Collins made Dunk. Assisted by Josh Perkins.,6,27
11:23,264,Markelle Fultz missed Three Point Jumper.,6,27
11:23,2250,Josh Perkins Defensive Rebound.,6,27
11:12,2250,Jordan Mathews missed Three Point Jumper.,6,27
11:12,264,David Crisp Defensive Rebound.,6,27
10:54,2250,Foul on Killian Tillie.,6,27
10:54,2250,Official TV Timeout,6,27
10:40,264,Sam Timmins missed Jumper.,6,27
10:40,2250,Zach Collins Block.,6,27
10:40,264,Markelle Fultz Offensive Rebound.,6,27
10:27,264,Sam Timmins missed Jumper.,6,27
10:27,264,Noah Dickerson Offensive Rebound.,6,27
10:19,264,Noah Dickerson made Layup.,8,27
10:09,2250,Przemek Karnowski Turnover.,8,27
10:09,264,Matisse Thybulle Steal.,8,27
10:03,264,Matisse Thybulle made Dunk.,10,27
9:46,2250,Nigel Williams-Goss made Layup. Assisted by Silas Melson.,10,29
9:27,264,David Crisp missed Jumper.,10,29
9:27,2250,Jordan Mathews Defensive Rebound.,10,29
9:17,2250,Zach Collins missed Three Point Jumper.,10,29
9:17,264,Matisse Thybulle Defensive Rebound.,10,29
8:56,264,Noah Dickerson missed Jumper.,10,29
8:56,2250,Nigel Williams-Goss Defensive Rebound.,10,29
8:51,264,Foul on Markelle Fultz.,10,29
8:51,2250,Silas Melson made Free Throw.,10,30
8:51,2250,Silas Melson made Free Throw.,10,31
8:36,264,Markelle Fultz missed Jumper.,10,31
8:36,2250,Silas Melson Defensive Rebound.,10,31
8:29,2250,Josh Perkins missed Layup.,10,31
8:29,264,Markelle Fultz Block.,10,31
8:29,264,David Crisp Defensive Rebound.,10,31
8:16,264,Sam Timmins missed Layup.,10,31
8:16,2250,Przemek Karnowski Block.,10,31
8:16,2250,Zach Collins Defensive Rebound.,10,31
8:02,2250,Przemek Karnowski made Layup. Assisted by Zach Collins.,10,33
7:52,264,Noah Dickerson missed Three Point Jumper.,10,33
7:52,2250,Josh Perkins Defensive Rebound.,10,33
7:41,2250,Nigel Williams-Goss made Jumper.,10,35
7:27,2250,Foul on Przemek Karnowski.,10,35
7:27,2250,Official TV Timeout,10,35
7:27,264,Noah Dickerson made Free Throw.,11,35
7:27,264,Noah Dickerson made Free Throw.,12,35
7:11,2250,Silas Melson missed Jumper.,12,35
7:11,264,Markelle Fultz Defensive Rebound.,12,35
6:50,264,Devenir Duruisseau missed Jumper.,12,35
6:50,2250,Nigel Williams-Goss Defensive Rebound.,12,35
6:33,2250,Przemek Karnowski missed Jumper.,12,35
6:33,264,Markelle Fultz Defensive Rebound.,12,35
6:23,264,Markelle Fultz made Jumper.,14,35
6:13,264,Foul on Matisse Thybulle.,14,35
6:13,2250,Josh Perkins missed Free Throw.,14,35
6:11,264,Sam Timmins Defensive Rebound.,14,35
6:03,264,Markelle Fultz missed Three Point Jumper.,14,35
6:03,2250,Nigel Williams-Goss Defensive Rebound.,14,35
5:55,2250,Nigel Williams-Goss Turnover.,14,35
5:55,264,Markelle Fultz Steal.,14,35
5:46,264,Markelle Fultz missed Layup.,14,35
5:46,264,Sam Timmins Offensive Rebound.,14,35
5:46,264,Sam Timmins made Two Point Tip Shot.,16,35
5:23,2250,Nigel Williams-Goss made Jumper.,16,37
