Seton Hall,25,California,2550
time,team_id,description,h_score,a_score
20:00,25,Jump Ball won by California,0,0
19:38,2550,Foul on Desi Rodriguez.,0,0
19:38,25,Ivan Rabb made Free Throw.,0,1
19:38,25,Ivan Rabb made Free Throw.,0,2
19:22,2550,Angel Delgado Turnover.,0,2
19:22,25,Kingsley Okoroh Steal.,0,2
19:09,25,Sam Singer made Jumper.,0,4
18:48,2550,Angel Delgado made Jumper.,2,4
18:22,25,Charlie Moore missed Layup.,2,4
18:22,2550,Ismael Sanogo Defensive Rebound.,2,4
18:08,2550,Khadeen Carrington made Jumper.,4,4
17:48,25,Kingsley Okoroh made Dunk. Assisted by Ivan Rabb.,4,6
17:26,2550,Khadeen Carrington missed Layup.,4,6
17:26,25,Kingsley Okoroh Block.,4,6
17:26,25,Kingsley Okoroh Defensive Rebound.,4,6
17:18,25,Charlie Moore made Three Point Jumper. Assisted by Sam Singer.,4,9
16:48,2550,Khadeen Carrington made Three Point Jumper.,7,9
16:31,25,Kingsley Okoroh missed Layup.,7,9
16:31,2550,Seton Hall Defensive Rebound.,7,9
16:15,2550,Desi Rodriguez made Jumper.,9,9
15:52,25,Jabari Bird Turnover.,9,9
15:52,25,Official TV Timeout,9,9
15:43,2550,Desi Rodriguez made Jumper.,11,9
15:12,25,Charlie Moore made Three Point Jumper.,11,12
14:53,25,Foul on Sam Singer.,11,12
14:47,2550,Desi Rodriguez made Jumper.,13,12
14:34,25,Grant Mullins Turnover.,13,12
14:20,2550,Angel Delgado made Jumper.,15,12
14:09,2550,Foul on Myles Powell.,15,12
13:58,25,Grant Mullins missed Three Point Jumper.,15,12
13:58,2550,Veer Singh Defensive Rebound.,15,12
13:48,2550,Khadeen Carrington missed Jumper.,15,12
13:48,25,Jabari Bird Defensive Rebound.,15,12
13:36,25,Charlie Moore made Layup.,15,14
13:22,2550,Myles Powell missed Jumper.,15,14
13:22,25,Kingsley Okoroh Defensive Rebound.,15,14
13:09,2550,Foul on Michael Nzei.,15,14
13:09,25,Ivan Rabb missed Free Throw.,15,14
13:09,25,California Deadball Team Rebound.,15,14
13:09,25,Ivan Rabb missed Free Throw.,15,14
13:09,2550,Veer Singh Defensive Rebound.,15,14
12:56,2550,Myles Powell made Jumper.,17,14
12:12,25,California  Turnover.,17,14
12:05,2550,Michael Nzei Turnover.,17,14
12:05,25,Charlie Moore Steal.,17,14
11:53,2550,Foul on Myles Powell.,17,14
11:53,25,Official TV Timeout,17,14
11:53,25,Charlie Moore missed Free Throw.,17,14
11:53,25,California Deadball Team Rebound.,17,14
11:53,25,Charlie Moore missed Free Throw.,17,14
11:53,2550,Angel Delgado Defensive Rebound.,17,14
11:28,25,Foul on Grant Mullins.,17,14
11:27,2550,Khadeen Carrington missed Jumper.,17,14
11:27,25,Jabari Bird Defensive Rebound.,17,14
11:15,25,Ivan Rabb missed Jumper.,17,14
11:15,2550,Angel Delgado Defensive Rebound.,17,14
10:54,2550,Madison Jones missed Jumper.,17,14
10:54,25,Ivan Rabb Defensive Rebound.,17,14
10:40,25,Jabari Bird made Jumper. Assisted by Kingsley Okoroh.,17,16
10:15,2550,Khadeen Carrington made Jumper.,19,16
10:03,25,Charlie Moore missed Jumper.,19,16
10:03,2550,Ismael Sanogo Defensive Rebound.,19,16
9:47,2550,Desi Rodriguez made Jumper.,21,16
9:28,25,Jabari Bird made Layup. Assisted by Kingsley Okoroh.,21,18
9:28,2550,Foul on Desi Rodriguez.,21,18
9:28,25,Jabari Bird made Free Throw.,21,19
9:22,25,Foul on Sam Singer.,21,19
9:18,2550,Angel Delgado missed Jumper.,21,19
9:18,25,Grant Mullins Defensive Rebound.,21,19
9:01,25,Ivan Rabb made Jumper. Assisted by Sam Singer.,21,21
8:42,2550,Angel Delgado made Jumper. Assisted by Khadeen Carrington.,23,21
8:27,25,Jabari Bird missed Three Point Jumper.,23,21
8:27,2550,Ismael Sanogo Defensive Rebound.,23,21
