Arkansas-Pine Bluff,2031,Little Rock,2029
time,team_id,description,h_score,a_score
19:57,2031,Maurius Hill made Jumper. Assisted by Lis Shoshi.,0,2
19:19,2029,Charles Jackson missed Jumper.,0,2
19:19,2031,Jalen Jackson Defensive Rebound.,0,2
19:04,2029,Foul on Joe'Randle Toliver.,0,2
18:36,2031,Jalen Jackson Turnover.,0,2
18:34,2029,Joe'Randle Toliver Steal.,0,2
18:27,2031,Foul on Jalen Jackson.,0,2
18:27,2029,Trent Steen made Free Throw.,1,2
18:27,2029,Trent Steen missed Free Throw.,1,2
18:27,2031,Maurius Hill Defensive Rebound.,1,2
18:27,2031,Jalen Jackson made Jumper.,1,4
18:26,2029,Foul on Travon Harper.,1,4
18:20,2029,Travon Harper Turnover.,1,4
17:51,2031,Maurius Hill Turnover.,1,4
17:50,2029,Joe'Randle Toliver Steal.,1,4
17:44,2029,Trent Steen made Jumper.,3,4
17:27,2031,Jalen Jackson made Layup. Assisted by Oliver Black.,3,6
17:03,2029,Travon Harper missed Layup.,3,6
17:03,2029,Travon Harper Offensive Rebound.,3,6
16:42,2029,Travon Harper made Jumper. Assisted by Joe'Randle Toliver.,5,6
16:34,2031,Marcus Johnson Jr. Turnover.,5,6
16:19,2029,Marcus Wallace made Three Point Jumper.,8,6
15:54,2031,Jalen Jackson made Jumper.,8,8
15:35,2029,Marcus Wallace Turnover.,8,8
15:34,2031,Jalen Jackson Steal.,8,8
15:32,2031,Kemy Osse Turnover.,8,8
15:32,2031,Official TV Timeout,8,8
15:07,2029,Trent Steen missed Jumper.,8,8
15:07,2031,Jalen Jackson Defensive Rebound.,8,8
14:55,2031,Jalen Jackson Turnover.,8,8
14:53,2029,Kennedy McKinney Steal.,8,8
14:27,2029,Charles Jackson made Three Point Jumper. Assisted by Joe'Randle Toliver.,11,8
14:14,2029,Foul on Trent Steen.,11,8
14:00,2031,Marcus Johnson Jr. missed Three Point Jumper.,11,8
14:00,2029,Charles Jackson Defensive Rebound.,11,8
13:39,2029,Jaquan Lynch made Three Point Jumper. Assisted by Charles Jackson.,14,8
13:27,2031,Oliver Black missed Jumper.,14,8
13:27,2031,Andre Jones Offensive Rebound.,14,8
13:21,2031,Andre Jones missed Layup.,14,8
13:21,2029,Trent Steen Defensive Rebound.,14,8
13:06,2029,Jaquan Lynch missed Three Point Jumper.,14,8
13:06,2031,Jalen Jackson Defensive Rebound.,14,8
12:59,2029,Foul on Jaquan Lynch.,14,8
12:45,2031,Deondre Burns Turnover.,14,8
12:26,2029,Marquis Cunningham missed Jumper.,14,8
