Eastern Illinois,2710,Western Illinois,2197
time,team_id,description,h_score,a_score
19:48,2710,Jabari Sandifer Turnover.,0,0
19:45,2197,Cornell Johnston Steal.,0,0
19:43,2197,Cornell Johnston made Three Point Jumper.,3,0
19:22,2710,Jabari Sandifer made Layup.,3,2
19:22,2197,Foul on Muusa Dama.,3,2
19:22,2710,Jabari Sandifer made Free Throw.,3,3
18:59,2197,Muusa Dama missed Jumper.,3,3
18:59,2197,Muusa Dama Offensive Rebound.,3,3
18:53,2197,Muusa Dama Turnover.,3,3
18:51,2710,Jabari Sandifer Steal.,3,3
18:37,2710,Jabari Sandifer missed Three Point Jumper.,3,3
18:37,2197,Eastern Illinois Defensive Rebound.,3,3
18:18,2197,Demetrius McReynolds Turnover.,3,3
17:52,2710,Mike Miklusak missed Three Point Jumper.,3,3
17:52,2197,Ray Crossland Defensive Rebound.,3,3
17:48,2197,Montell Goodwin Turnover.,3,3
17:35,2710,Garret Covington Turnover.,3,3
17:34,2197,Demetrius McReynolds Steal.,3,3
17:30,2197,Ray Crossland missed Jumper.,3,3
17:30,2197,Patrick Muldoon Offensive Rebound.,3,3
17:29,2197,Patrick Muldoon made Jumper.,5,3
17:29,2710,Foul on Jabari Sandifer.,5,3
17:29,2197,Patrick Muldoon made Free Throw.,6,3
17:13,2710,C.J. Duff made Three Point Jumper. Assisted by Jabari Sandifer.,6,6
17:03,2710,Foul on Brandon Gilbeck.,6,6
16:58,2197,Montell Goodwin made Jumper. Assisted by Patrick Muldoon.,8,6
16:37,2710,Garret Covington made Jumper. Assisted by Mike Miklusak.,8,8
16:15,2197,Muusa Dama made Jumper. Assisted by Patrick Muldoon.,10,8
16:12,2710,Jalen Morgan Turnover.,10,8
16:04,2197,Montell Goodwin missed Jumper.,10,8
16:04,2197,Patrick Muldoon Offensive Rebound.,10,8
16:01,2197,Patrick Muldoon missed Jumper.,10,8
16:01,2710,Mike Miklusak Defensive Rebound.,10,8
15:50,2710,Mike Miklusak Turnover.,10,8
15:50,2710,Foul on Mike Miklusak.,10,8
15:50,2710,Official TV Timeout,10,8
15:39,2197,Ray Crossland missed Jumper.,10,8
15:39,2710,Mike Miklusak Defensive Rebound.,10,8
15:21,2710,Delo Bruster made Jumper. Assisted by Mike Miklusak.,10,10
14:59,2197,Ray Crossland made Jumper. Assisted by Montell Goodwin.,12,10
