UMBC,257,Richmond,2378
time,team_id,description,h_score,a_score
19:52,257,Khwan Fore Turnover.,0,0
19:51,2378,Jairus Lyles Steal.,0,0
19:24,2378,UMBC  Turnover.,0,0
19:02,257,ShawnDre' Jones missed Three Point Jumper.,0,0
19:02,2378,Will Darley Defensive Rebound.,0,0
18:55,2378,Jairus Lyles Turnover.,0,0
18:54,257,ShawnDre' Jones Steal.,0,0
18:49,257,Marshall Wood made Jumper. Assisted by ShawnDre' Jones.,0,2
18:27,2378,Will Darley missed Jumper.,0,2
18:27,2378,Nolan Gerrity Offensive Rebound.,0,2
18:07,2378,Jairus Lyles made Jumper.,2,2
17:45,2378,Foul on Joe Sherburne.,2,2
17:45,257,Khwan Fore made Free Throw.,2,3
17:45,257,Khwan Fore made Free Throw.,2,4
17:21,2378,Jairus Lyles missed Jumper.,2,4
17:21,257,De'Monte Buckingham Defensive Rebound.,2,4
17:13,257,Marshall Wood made Three Point Jumper. Assisted by ShawnDre' Jones.,2,7
16:55,2378,Will Darley Turnover.,2,7
16:41,257,De'Monte Buckingham Turnover.,2,7
16:22,2378,Jairus Lyles Turnover.,2,7
16:21,257,Khwan Fore Steal.,2,7
16:20,257,De'Monte Buckingham Turnover.,2,7
16:13,2378,Jairus Lyles missed Three Point Jumper.,2,7
16:13,257,T.J. Cline Defensive Rebound.,2,7
16:02,2378,Foul on Nolan Gerrity.,2,7
16:02,257,T.J. Cline made Free Throw.,2,8
16:02,257,T.J. Cline made Free Throw.,2,9
15:56,257,Foul on Khwan Fore.,2,9
15:56,257,Official TV Timeout,2,9
15:38,2378,K.J. Maura missed Jumper.,2,9
15:38,257,Julius Johnson Defensive Rebound.,2,9
15:18,257,De'Monte Buckingham made Jumper.,2,11
14:53,2378,Joe Sherburne missed Three Point Jumper.,2,11
14:53,2378,K.J. Maura Offensive Rebound.,2,11
14:51,2378,K.J. Maura made Jumper.,4,11
14:33,257,Julius Johnson made Layup. Assisted by ShawnDre' Jones.,4,13
14:11,2378,Jairus Lyles made Jumper.,6,13
13:58,257,ShawnDre' Jones missed Layup.,6,13
13:58,2378,Joe Sherburne Block.,6,13
13:57,2378,Joe Sherburne Defensive Rebound.,6,13
13:55,257,Foul on Julius Johnson.,6,13
13:55,2378,Jairus Lyles missed Free Throw.,6,13
13:55,2378,UMBC Deadball Team Rebound.,6,13
13:55,2378,Jairus Lyles made Free Throw.,7,13
13:42,257,Nick Sherod missed Three Point Jumper.,7,13
13:42,257,Julius Johnson Offensive Rebound.,7,13
13:34,2378,Foul on K.J. Maura.,7,13
13:13,257,ShawnDre' Jones made Jumper.,7,15
13:00,2378,Jairus Lyles missed Jumper.,7,15
13:00,257,Julius Johnson Block.,7,15
13:00,2378,UMBC Offensive Rebound.,7,15
12:46,257,Foul on Marshall Wood.,7,15
12:46,2378,Joe Sherburne made Free Throw.,8,15
12:46,2378,Joe Sherburne made Free Throw.,9,15
12:36,257,Khwan Fore missed Jumper.,9,15
