Chicago State,77,Northwestern,2130
time,team_id,description,h_score,a_score
19:30,2130,Trayvon Palmer missed Jumper.,0,0
19:30,77,Sanjay Lumpkin Defensive Rebound.,0,0
19:26,77,Vic Law made Layup. Assisted by Bryant McIntosh.,0,2
19:05,2130,Patrick Szpir Turnover.,0,2
18:42,77,Bryant McIntosh missed Three Point Jumper.,0,2
18:42,2130,Brian Greene Jr. Defensive Rebound.,0,2
18:24,2130,Fred Sims Jr. made Three Point Jumper.,3,2
18:10,77,Sanjay Lumpkin missed Three Point Jumper.,3,2
18:10,77,Scottie Lindsey Offensive Rebound.,3,2
18:07,77,Scottie Lindsey made Three Point Jumper.,3,5
17:55,2130,Trayvon Palmer missed Layup.,3,5
17:55,77,Barret Benson Block.,3,5
17:55,77,Vic Law Defensive Rebound.,3,5
17:36,77,Vic Law missed Layup.,3,5
17:36,2130,Brian Greene Jr. Defensive Rebound.,3,5
17:19,77,Scottie Lindsey Defensive Rebound.,3,5
17:19,2130,Patrick Szpir missed Layup.,3,5
17:19,77,Barret Benson Block.,3,5
17:18,2130,Foul on Brian Greene Jr..,3,5
17:12,2130,Foul on Patrick Szpir.,3,5
17:12,77,Barret Benson made Free Throw.,3,6
17:12,77,Barret Benson made Free Throw.,3,7
16:42,2130,Brian Greene Jr. missed Three Point Jumper.,3,7
16:42,2130,Chicago St Offensive Rebound.,3,7
16:41,2130,Chicago St  Turnover.,3,7
16:26,77,Vic Law missed Three Point Jumper.,3,7
16:26,2130,Chicago St Defensive Rebound.,3,7
15:51,2130,Brian Greene Jr. missed Jumper.,3,7
15:51,2130,Brian Greene Jr. Offensive Rebound.,3,7
15:47,2130,Fred Sims Jr. Turnover.,3,7
15:47,77,Official TV Timeout,3,7
15:22,77,Bryant McIntosh missed Jumper.,3,7
15:22,2130,Anthony Eaves Block.,3,7
15:20,2130,Trayvon Palmer Defensive Rebound.,3,7
14:52,2130,Trayvon Palmer Turnover.,3,7
14:51,77,Sanjay Lumpkin Steal.,3,7
14:44,77,Sanjay Lumpkin missed Three Point Jumper.,3,7
14:44,77,Sanjay Lumpkin Offensive Rebound.,3,7
14:32,77,Scottie Lindsey missed Jumper.,3,7
14:32,2130,Patrick Szpir Defensive Rebound.,3,7
14:09,2130,Trayvon Palmer made Three Point Jumper. Assisted by Brian Greene Jr..,6,7
13:42,77,Vic Law missed Layup.,6,7
13:42,2130,Anthony Eaves Defensive Rebound.,6,7
13:31,2130,Patrick Szpir Turnover.,6,7
13:18,77,Scottie Lindsey missed Three Point Jumper.,6,7
13:18,77,Sanjay Lumpkin Offensive Rebound.,6,7
13:16,2130,Foul on Clemmye Owens V.,6,7
13:09,77,Isiah Brown missed Jumper.,6,7
13:09,2130,Clemmye Owens V Defensive Rebound.,6,7
12:55,77,Foul on Gavin Skelly.,6,7
12:45,2130,Anthony Eaves missed Jumper.,6,7
12:45,77,Scottie Lindsey Block.,6,7
12:42,77,Scottie Lindsey Defensive Rebound.,6,7
12:40,77,Sanjay Lumpkin made Layup. Assisted by Scottie Lindsey.,6,9
12:22,2130,Foul on Deionte Simmons.,6,9
12:22,2130,Deionte Simmons Turnover.,6,9
12:07,77,Vic Law missed Layup.,6,9
12:07,2130,Trayvon Palmer Block.,6,9
12:06,2130,Trayvon Palmer Defensive Rebound.,6,9
12:01,2130,Fred Sims Jr. made Three Point Jumper.,9,9
11:35,77,Scottie Lindsey made Jumper.,9,11
11:16,2130,Fred Sims Jr. missed Jumper.,9,11
11:16,2130,Clemmye Owens V Offensive Rebound.,9,11
10:56,77,Foul on Scottie Lindsey.,9,11
10:56,77,Official TV Timeout,9,11
10:42,2130,Trayvon Palmer missed Jumper.,9,11
10:42,77,Isiah Brown Defensive Rebound.,9,11
10:35,77,Nathan Taphorn made Three Point Jumper. Assisted by Isiah Brown.,9,14
10:15,2130,Fred Sims Jr. missed Jumper.,9,14
10:15,77,Sanjay Lumpkin Defensive Rebound.,9,14
10:05,77,Isiah Brown missed Layup.,9,14
10:05,77,Gavin Skelly Offensive Rebound.,9,14
10:04,77,Gavin Skelly missed Two Point Tip Shot.,9,14
10:04,77,Gavin Skelly Offensive Rebound.,9,14
10:03,77,Gavin Skelly made Two Point Tip Shot.,9,16
10:03,2130,Chicago St  Timeout,9,16
9:46,2130,Clemmye Owens V made Three Point Jumper. Assisted by Trayvon Palmer.,12,16
9:31,77,Gavin Skelly missed Three Point Jumper.,12,16
