McNeese,2567,SMU,2377
time,team_id,description,h_score,a_score
19:37,2377,LaBarrius Hill missed Jumper.,0,0
19:37,2567,Shake Milton Defensive Rebound.,0,0
19:27,2567,Semi Ojeleye made Three Point Jumper.,0,3
19:14,2377,Lance Potier Turnover.,0,3
18:53,2567,Jarrey Foster missed Layup.,0,3
18:53,2567,Ben Moore Offensive Rebound.,0,3
18:51,2567,Ben Moore missed Two Point Tip Shot.,0,3
18:51,2377,LaBarrius Hill Defensive Rebound.,0,3
18:44,2377,Lance Potier missed Jumper.,0,3
18:44,2567,Sterling Brown Defensive Rebound.,0,3
18:31,2567,Sterling Brown missed Three Point Jumper.,0,3
18:31,2567,Jarrey Foster Offensive Rebound.,0,3
18:16,2567,Semi Ojeleye Turnover.,0,3
18:16,2567,Foul on Semi Ojeleye.,0,3
18:06,2377,Jarren Greenwood missed Jumper.,0,3
18:06,2567,Ben Moore Defensive Rebound.,0,3
17:53,2567,Sterling Brown missed Jumper.,0,3
17:53,2377,James Harvey Defensive Rebound.,0,3
17:22,2377,Lance Potier missed Jumper.,0,3
17:22,2567,Sterling Brown Defensive Rebound.,0,3
17:09,2567,Semi Ojeleye missed Three Point Jumper.,0,3
17:09,2377,LaBarrius Hill Defensive Rebound.,0,3
16:59,2377,James Harvey missed Three Point Jumper.,0,3
16:59,2567,Shake Milton Defensive Rebound.,0,3
16:52,2567,Shake Milton missed Layup.,0,3
16:52,2377,Lance Potier Defensive Rebound.,0,3
16:30,2377,Lance Potier Turnover.,0,3
16:13,2567,Semi Ojeleye made Three Point Jumper. Assisted by Ben Moore.,0,6
15:46,2377,James Harvey missed Three Point Jumper.,0,6
15:46,2567,Sterling Brown Defensive Rebound.,0,6
15:40,2567,Semi Ojeleye made Three Point Jumper. Assisted by Sterling Brown.,0,9
15:37,2377,McNeese  Timeout,0,9
15:37,2567,Official TV Timeout,0,9
15:09,2377,Jamaya Burr missed Jumper.,0,9
15:09,2377,Lance Potier Offensive Rebound.,0,9
15:04,2377,Jamaya Burr made Three Point Jumper. Assisted by Lance Potier.,3,9
14:47,2567,Semi Ojeleye missed Jumper.,3,9
14:47,2567,Sterling Brown Offensive Rebound.,3,9
14:44,2567,Sterling Brown made Three Point Jumper.,3,12
14:29,2377,Stephen Ugochukwu missed Jumper.,3,12
14:29,2567,Sterling Brown Defensive Rebound.,3,12
