Austin Peay,2747,Wofford,2046
time,team_id,description,h_score,a_score
19:37,2046,Kenny Jones missed Jumper.,0,0
19:37,2747,Eric Garcia Defensive Rebound.,0,0
19:07,2747,Cameron Jackson missed Jumper.,0,0
19:07,2747,Cameron Jackson Offensive Rebound.,0,0
18:57,2747,Cameron Jackson made Layup.,0,2
18:44,2046,John Murry Turnover.,0,2
18:44,2046,Foul on Kenny Jones.,0,2
18:38,2747,Fletcher Magee made Three Point Jumper. Assisted by Jaylen Allen.,0,5
18:13,2046,Dre'Kalo Clayton made Three Point Jumper. Assisted by Josh Robinson.,3,5
17:59,2747,Eric Garcia missed Three Point Jumper.,3,5
17:59,2046,John Murry Defensive Rebound.,3,5
17:52,2046,Josh Robinson made Layup.,5,5
17:36,2747,Fletcher Magee made Three Point Jumper. Assisted by Ryan Sawvell.,5,8
17:13,2046,Kenny Jones Turnover.,5,8
17:09,2747,Cameron Jackson Steal.,5,8
17:04,2747,Ryan Sawvell made Layup. Assisted by Eric Garcia.,5,10
16:54,2046,Foul on Josh Robinson.,5,10
16:54,2747,Ryan Sawvell made Free Throw.,5,11
16:48,2747,Foul on Matthew Pegram.,5,11
16:48,2046,Dre'Kalo Clayton missed Free Throw.,5,11
16:48,2046,Austin Peay Deadball Team Rebound.,5,11
16:48,2046,Dre'Kalo Clayton missed Free Throw.,5,11
16:48,2747,Dishon Lowery Defensive Rebound.,5,11
16:45,2747,Jaylen Allen made Layup.,5,13
16:10,2747,Foul on Dishon Lowery.,5,13
15:57,2747,Foul on Eric Garcia.,5,13
15:57,2747,Official TV Timeout,5,13
15:55,2046,Kenny Jones missed Layup.,5,13
15:55,2747,Dishon Lowery Defensive Rebound.,5,13
15:43,2046,Foul on Dre'Kalo Clayton.,5,13
15:43,2747,Derrick Brooks missed Free Throw.,5,13
15:43,2747,Wofford Deadball Team Rebound.,5,13
15:43,2747,Derrick Brooks made Free Throw.,5,14
15:19,2046,Dre'Kalo Clayton made Layup.,7,14
14:58,2747,Dishon Lowery Turnover.,7,14
14:55,2046,Kenny Jones Steal.,7,14
14:53,2046,Chris Porter-Bunton Turnover.,7,14
14:33,2747,Nathan Hoover missed Three Point Jumper.,7,14
14:33,2046,Josh Robinson Defensive Rebound.,7,14
14:27,2046,Kenny Jones made Dunk. Assisted by Josh Robinson.,9,14
14:02,2747,Ryan Sawvell made Layup. Assisted by Eric Garcia.,9,16
13:43,2046,John Murry Turnover.,9,16
13:27,2747,Ryan Sawvell made Layup. Assisted by Cameron Jackson.,9,18
13:07,2046,Kenny Jones made Layup.,11,18
12:57,2747,Nathan Hoover Turnover.,11,18
12:57,2046,Josh Robinson Steal.,11,18
12:56,2046,Josh Robinson made Dunk.,13,18
12:27,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Nathan Hoover.,13,21
12:06,2046,Chris Porter-Bunton Turnover.,13,21
12:05,2747,Ryan Sawvell Steal.,13,21
12:01,2747,Cameron Jackson made Dunk. Assisted by Derrick Brooks.,13,23
11:55,2046,Austin Peay  Timeout,13,23
11:55,2747,Official TV Timeout,13,23
11:45,2046,Josh Robinson made Layup.,15,23
11:21,2747,Ryan Sawvell made Three Point Jumper. Assisted by Fletcher Magee.,15,26
11:01,2046,Josh Robinson made Jumper.,17,26
10:40,2747,Fletcher Magee made Three Point Jumper. Assisted by Ryan Sawvell.,17,29
10:21,2747,Foul on Fletcher Magee.,17,29
10:16,2046,John Murry missed Three Point Jumper.,17,29
10:16,2747,Justin Tucker Defensive Rebound.,17,29
10:14,2046,Foul on Kenny Jones.,17,29
10:05,2747,Cameron Jackson Turnover.,17,29
10:05,2747,Foul on Cameron Jackson.,17,29
9:47,2046,John Murry Turnover.,17,29
9:46,2747,Justin Tucker Steal.,17,29
9:36,2747,Eric Garcia missed Layup.,17,29
9:36,2046,Assane Diop Block.,17,29
9:35,2046,Josh Robinson Defensive Rebound.,17,29
9:26,2046,Josh Robinson missed Three Point Jumper.,17,29
9:26,2747,Fletcher Magee Defensive Rebound.,17,29
9:07,2747,Cameron Jackson made Jumper.,17,31
9:07,2046,Foul on Dre'Kalo Clayton.,17,31
9:07,2747,Cameron Jackson made Free Throw.,17,32
8:50,2046,Josh Robinson missed Three Point Jumper.,17,32
8:50,2046,Chris Porter-Bunton Offensive Rebound.,17,32
8:41,2046,John Murry missed Three Point Jumper.,17,32
8:41,2747,Justin Tucker Defensive Rebound.,17,32
8:29,2747,Matthew Pegram made Layup. Assisted by Eric Garcia.,17,34
8:29,2046,Foul on Assane Diop.,17,34
8:29,2747,Matthew Pegram missed Free Throw.,17,34
8:29,2747,Derrick Brooks Offensive Rebound.,17,34
8:23,2046,Foul on Zach Glotta.,17,34
8:23,2747,Derrick Brooks made Free Throw.,17,35
8:23,2747,Derrick Brooks missed Free Throw.,17,35
8:23,2046,Chris Porter-Bunton Defensive Rebound.,17,35
8:07,2046,Assane Diop Turnover.,17,35
8:06,2747,Matthew Pegram Steal.,17,35
7:53,2747,Jaylen Allen missed Three Point Jumper.,17,35
7:53,2046,Austin Peay Defensive Rebound.,17,35
7:48,2747,Official TV Timeout,17,35
7:35,2046,John Murry made Jumper.,19,35
7:07,2046,Foul on Assane Diop.,19,35
7:07,2747,Jaylen Allen made Free Throw.,19,36
7:07,2747,Jaylen Allen made Free Throw.,19,37
6:48,2046,Josh Robinson Turnover.,19,37
6:48,2747,Jaylen Allen Steal.,19,37
6:37,2747,Jaylen Allen made Three Point Jumper. Assisted by Eric Garcia.,19,40
6:09,2046,John Murry missed Jumper.,19,40
6:09,2046,Austin Peay Offensive Rebound.,19,40
5:58,2747,Foul on Eric Garcia.,19,40
5:51,2046,Chris Porter-Bunton made Three Point Jumper. Assisted by Josh Robinson.,22,40
5:25,2747,Cameron Jackson missed Layup.,22,40
5:25,2046,Tre' Ivory Defensive Rebound.,22,40
5:18,2747,Foul on Cameron Jackson.,22,40
5:18,2046,Chris Porter-Bunton missed Free Throw.,22,40
5:18,2046,Austin Peay Deadball Team Rebound.,22,40
5:18,2046,Chris Porter-Bunton made Free Throw.,23,40
5:18,2046,Chris Porter-Bunton missed Free Throw.,23,40
5:18,2747,Fletcher Magee Defensive Rebound.,23,40
5:01,2747,Matthew Pegram missed Jumper.,23,40
5:01,2046,Josh Robinson Defensive Rebound.,23,40
4:53,2046,Josh Robinson missed Jumper.,23,40
4:53,2747,Jaylen Allen Defensive Rebound.,23,40
4:47,2747,Fletcher Magee made Jumper. Assisted by Donovan Theme-Love.,23,42
4:22,2046,Tre' Ivory made Layup.,25,42
4:04,2747,Ryan Sawvell made Jumper.,25,44
3:50,2046,John Murry missed Three Point Jumper.,25,44
3:50,2747,Ryan Sawvell Defensive Rebound.,25,44
