Lamar,292,UT Rio Grande Valley,2320
time,team_id,description,h_score,a_score
19:42,2320,Josh Nzeakor Turnover.,0,0
19:36,2320,Foul on Josh Nzeakor.,0,0
19:22,292,Nick Dixon missed Three Point Jumper.,0,0
19:22,2320,Colton Weisbrod Defensive Rebound.,0,0
19:09,2320,Marcus Owens missed Three Point Jumper.,0,0
19:09,292,Dan Kimasa Defensive Rebound.,0,0
19:03,292,Gage Loy made Layup. Assisted by Dan Kimasa.,0,2
18:50,2320,Colton Weisbrod missed Layup.,0,2
18:50,2320,Lamar Offensive Rebound.,0,2
18:48,292,Foul on Dan Kimasa.,0,2
18:19,292,Foul on Antonio Green.,0,2
18:19,2320,Torey Noel missed Free Throw.,0,2
18:19,2320,Lamar Deadball Team Rebound.,0,2
18:19,2320,Torey Noel made Free Throw.,1,2
18:08,292,Antonio Green missed Three Point Jumper.,1,2
18:08,2320,Torey Noel Defensive Rebound.,1,2
18:02,2320,Torey Noel Turnover.,1,2
17:38,292,Gage Loy missed Jumper.,1,2
17:38,2320,Dorian Chatman Defensive Rebound.,1,2
17:29,2320,Torey Noel missed Layup.,1,2
17:29,2320,Colton Weisbrod Offensive Rebound.,1,2
17:26,2320,Colton Weisbrod missed Layup.,1,2
17:26,292,Dan Kimasa Block.,1,2
17:24,292,Antonio Green Defensive Rebound.,1,2
17:07,292,Gage Loy Turnover.,1,2
16:59,292,Foul on Dan Kimasa.,1,2
16:59,2320,Colton Weisbrod missed Free Throw.,1,2
16:59,2320,Lamar Deadball Team Rebound.,1,2
16:59,2320,Colton Weisbrod made Free Throw.,2,2
16:52,292,Nick Dixon missed Layup.,2,2
16:52,2320,Colton Weisbrod Defensive Rebound.,2,2
16:46,2320,Marcus Owens missed Three Point Jumper.,2,2
16:46,292,Antonio Green Defensive Rebound.,2,2
16:39,292,Xavier McDaniel Jr. made Layup. Assisted by Nick Dixon.,2,4
16:14,2320,Dorian Chatman missed Layup.,2,4
16:14,292,Mike Hoffman Defensive Rebound.,2,4
16:06,292,Mike Hoffman made Jumper. Assisted by Antonio Green.,2,6
15:50,2320,Dorian Chatman missed Jumper.,2,6
15:50,292,UT Rio Grande Valley Defensive Rebound.,2,6
15:42,292,Official TV Timeout,2,6
15:34,292,Mike Hoffman made Three Point Jumper. Assisted by Nick Dixon.,2,9
15:21,2320,Marcus Owens missed Jumper.,2,9
15:21,2320,Colton Weisbrod Offensive Rebound.,2,9
15:15,2320,Colton Weisbrod Turnover.,2,9
15:13,292,Lesley Varner Jr. Steal.,2,9
15:08,292,Xavier McDaniel Jr. missed Three Point Jumper.,2,9
15:08,292,Lesley Varner Jr. Offensive Rebound.,2,9
15:04,292,Lesley Varner Jr. Turnover.,2,9
15:01,2320,Dorian Chatman Steal.,2,9
14:36,2320,Colton Weisbrod made Layup. Assisted by Nick Garth.,4,9
14:11,292,Antonio Green Turnover.,4,9
14:08,2320,Nick Garth Steal.,4,9
14:07,2320,Nick Garth made Layup.,6,9
14:07,292,Foul on Mike Hoffman.,6,9
14:07,2320,Nick Garth missed Free Throw.,6,9
14:07,292,Xavier McDaniel Jr. Defensive Rebound.,6,9
13:48,292,Lesley Varner Jr. made Jumper.,6,11
13:41,2320,Colton Weisbrod Turnover.,6,11
13:30,292,Mike Hoffman missed Layup.,6,11
13:30,2320,Josh Nzeakor Defensive Rebound.,6,11
13:17,2320,Lamar  Timeout,6,11
13:06,2320,Joey Frenchwood made Layup.,8,11
12:44,292,Lesley Varner Jr. Turnover.,8,11
12:28,292,Foul on Mike Hoffman.,8,11
12:28,2320,Dorian Chatman made Free Throw.,9,11
12:28,2320,Dorian Chatman made Free Throw.,10,11
12:07,292,Lew Stallworth missed Jumper.,10,11
12:07,292,Lesley Varner Jr. Offensive Rebound.,10,11
12:02,292,Lesley Varner Jr. made Layup.,10,13
11:56,2320,Zjori Bosha made Layup.,12,13
11:49,2320,Foul on Nick Garth.,12,13
11:49,292,Official TV Timeout,12,13
11:49,292,Moe McDonald made Free Throw.,12,14
11:49,292,Moe McDonald made Free Throw.,12,15
11:43,292,Foul on Walter Jones.,12,15
11:43,2320,Dorian Chatman made Free Throw.,13,15
11:43,2320,Dorian Chatman missed Free Throw.,13,15
11:43,292,UT Rio Grande Valley Defensive Rebound.,13,15
11:36,2320,Foul on Joey Frenchwood.,13,15
11:21,292,Lesley Varner Jr. Turnover.,13,15
