Notre Dame,2509,Purdue,87
time,team_id,description,h_score,a_score
20:00,87,Jump Ball won by Notre Dame,0,0
19:39,87,Steve Vasturia missed Layup.,0,0
19:39,2509,P.J. Thompson Defensive Rebound.,0,0
19:12,2509,Caleb Swanigan Turnover.,0,0
19:12,2509,Foul on Caleb Swanigan.,0,0
18:49,87,V.J. Beachem made Three Point Jumper. Assisted by Matt Farrell.,3,0
18:27,2509,Caleb Swanigan made Three Point Jumper. Assisted by P.J. Thompson.,3,3
18:09,87,Bonzie Colson made Jumper. Assisted by V.J. Beachem.,5,3
17:52,2509,Caleb Swanigan missed Layup.,5,3
17:52,87,Bonzie Colson Block.,5,3
17:52,87,Bonzie Colson Defensive Rebound.,5,3
17:45,87,Matt Farrell missed Three Point Jumper.,5,3
17:45,87,Bonzie Colson Offensive Rebound.,5,3
17:30,87,Matt Farrell missed Layup.,5,3
17:30,87,Bonzie Colson Offensive Rebound.,5,3
17:30,87,Bonzie Colson made Two Point Tip Shot.,7,3
17:07,2509,Isaac Haas Turnover.,7,3
16:57,87,V.J. Beachem made Jumper.,9,3
16:39,2509,Isaac Haas missed Jumper.,9,3
16:39,2509,P.J. Thompson Offensive Rebound.,9,3
16:34,2509,P.J. Thompson missed Jumper.,9,3
16:34,2509,Carsen Edwards Offensive Rebound.,9,3
16:31,2509,Carsen Edwards missed Jumper.,9,3
16:31,87,Bonzie Colson Defensive Rebound.,9,3
16:14,87,Bonzie Colson missed Three Point Jumper.,9,3
16:14,2509,Isaac Haas Defensive Rebound.,9,3
16:04,2509,P.J. Thompson made Layup.,9,5
15:41,87,Bonzie Colson Turnover.,9,5
15:41,2509,Carsen Edwards Steal.,9,5
15:34,2509,Caleb Swanigan made Dunk. Assisted by Carsen Edwards.,9,7
15:25,87,Steve Vasturia Turnover.,9,7
15:25,2509,Carsen Edwards Steal.,9,7
15:19,2509,Carsen Edwards made Layup.,9,9
15:00,87,Steve Vasturia missed Jumper.,9,9
15:00,2509,Carsen Edwards Defensive Rebound.,9,9
14:54,2509,Dakota Mathias missed Jumper.,9,9
14:54,2509,Isaac Haas Offensive Rebound.,9,9
14:51,2509,Isaac Haas missed Layup.,9,9
14:51,87,Martinas Geben Defensive Rebound.,9,9
14:43,87,Bonzie Colson made Dunk. Assisted by Matt Farrell.,11,9
14:20,87,Foul on Martinas Geben.,11,9
14:20,2509,Official TV Timeout,11,9
14:12,2509,Caleb Swanigan missed Jumper.,11,9
14:12,87,Steve Vasturia Defensive Rebound.,11,9
13:55,87,Matt Farrell made Layup.,13,9
13:38,2509,Vince Edwards Turnover.,13,9
13:38,87,Bonzie Colson Steal.,13,9
13:33,87,V.J. Beachem missed Three Point Jumper.,13,9
13:33,2509,Caleb Swanigan Defensive Rebound.,13,9
13:22,2509,Dakota Mathias missed Three Point Jumper.,13,9
13:22,2509,Vince Edwards Offensive Rebound.,13,9
13:18,2509,Vince Edwards made Layup.,13,11
13:00,87,Matt Farrell missed Jumper.,13,11
13:00,2509,Vince Edwards Defensive Rebound.,13,11
12:51,2509,Carsen Edwards missed Three Point Jumper.,13,11
12:51,87,Notre Dame Deadball Team Rebound.,13,11
12:48,2509,Foul on Caleb Swanigan.,13,11
12:27,87,Bonzie Colson missed Jumper.,13,11
12:27,2509,Dakota Mathias Defensive Rebound.,13,11
12:12,87,Foul on Austin Torres.,13,11
12:12,2509,Isaac Haas made Free Throw.,13,12
12:12,2509,Isaac Haas made Free Throw.,13,13
11:50,87,Temple Gibbs made Three Point Jumper. Assisted by Matt Farrell.,16,13
11:35,2509,Isaac Haas missed Jumper.,16,13
11:35,87,V.J. Beachem Defensive Rebound.,16,13
11:25,87,V.J. Beachem missed Jumper.,16,13
11:25,2509,Vince Edwards Defensive Rebound.,16,13
11:14,2509,Carsen Edwards missed Three Point Jumper.,16,13
11:14,87,V.J. Beachem Defensive Rebound.,16,13
11:02,2509,Foul on Dakota Mathias.,16,13
11:02,2509,Official TV Timeout,16,13
11:02,87,Matt Farrell made Free Throw.,17,13
11:02,87,Matt Farrell made Free Throw.,18,13
10:54,2509,Ryan Cline missed Three Point Jumper.,18,13
10:54,87,Temple Gibbs Defensive Rebound.,18,13
10:45,87,Martinas Geben made Dunk. Assisted by Matt Farrell.,20,13
10:20,2509,Isaac Haas missed Jumper.,20,13
10:20,87,Martinas Geben Defensive Rebound.,20,13
10:06,2509,Foul on Isaac Haas.,20,13
10:06,2509,Purdue  Timeout,20,13
10:06,87,Martinas Geben missed Free Throw.,20,13
10:06,87,Notre Dame Deadball Team Rebound.,20,13
10:06,87,Martinas Geben made Free Throw.,21,13
9:53,2509,Isaac Haas made Dunk. Assisted by Ryan Cline.,21,15
9:42,87,Temple Gibbs missed Three Point Jumper.,21,15
9:42,2509,Basil Smotherman Defensive Rebound.,21,15
9:33,2509,Basil Smotherman missed Layup.,21,15
9:33,87,Bonzie Colson Block.,21,15
9:33,87,V.J. Beachem Defensive Rebound.,21,15
9:14,87,Matt Farrell made Layup.,23,15
9:03,2509,Isaac Haas missed Jumper.,23,15
9:03,2509,Basil Smotherman Offensive Rebound.,23,15
8:59,2509,Basil Smotherman missed Layup.,23,15
8:59,2509,Basil Smotherman Offensive Rebound.,23,15
8:53,2509,Basil Smotherman made Layup.,23,17
8:38,87,Bonzie Colson missed Jumper.,23,17
