Bethesda,Error,San Diego,301
time,team_id,description,h_score,a_score
19:37,-1,Jarrell Tate Turnover.,0,0
19:37,-1,Foul on Jarrell Tate.,0,0
19:28,301,Cameron Neubauer made Three Point Jumper. Assisted by Tyler Williams.,0,3
19:07,-1,Buddha Boyd missed Jumper.,0,3
19:07,301,Olin Carter III Defensive Rebound.,0,3
18:55,301,Brett Bailey made Jumper.,0,5
18:40,-1,Michael Walker Turnover.,0,5
18:38,301,Olin Carter III Steal.,0,5
18:36,301,Tyler Williams Turnover.,0,5
18:27,-1,Jarrell Tate missed Three Point Jumper.,0,5
18:27,301,Olin Carter III Defensive Rebound.,0,5
18:13,301,Brett Bailey missed Layup.,0,5
18:13,-1,Khalfani Williams Defensive Rebound.,0,5
18:07,-1,Jarrell Tate missed Jumper.,0,5
18:07,-1,Bethesda University Offensive Rebound.,0,5
17:51,-1,Khalfani Williams missed Jumper.,0,5
17:51,301,Juwan Gray Defensive Rebound.,0,5
17:42,301,Juwan Gray made Layup. Assisted by Olin Carter III.,0,7
17:36,-1,Bethesda University  Timeout,0,7
17:13,-1,Jarrell Tate made Jumper.,2,7
16:56,301,Tyler Williams missed Three Point Jumper.,2,7
16:56,301,Juwan Gray Offensive Rebound.,2,7
16:45,301,Olin Carter III made Three Point Jumper. Assisted by Brett Bailey.,2,10
16:34,-1,Jarrell Tate made Layup.,4,10
16:14,301,Cameron Neubauer missed Three Point Jumper.,4,10
16:14,-1,Alex Smith Defensive Rebound.,4,10
16:06,-1,Buddha Boyd made Three Point Jumper.,7,10
15:47,301,Brett Bailey made Three Point Jumper. Assisted by Olin Carter III.,7,13
15:27,-1,Alex Smith missed Three Point Jumper.,7,13
15:27,301,Brett Bailey Defensive Rebound.,7,13
15:10,301,Juwan Gray made Jumper. Assisted by Olin Carter III.,7,15
14:48,-1,Jarrell Tate made Layup. Assisted by Michael Walker.,9,15
14:34,301,Juwan Gray made Jumper.,9,17
14:34,-1,Foul on Khalfani Williams.,9,17
14:34,301,Official TV Timeout,9,17
14:34,301,Juwan Gray made Free Throw.,9,18
14:24,-1,Michael Walker Turnover.,9,18
14:22,301,Cameron Neubauer Steal.,9,18
14:18,301,Mark Carbone Turnover.,9,18
14:06,-1,Michael Walker made Three Point Jumper. Assisted by Jarrell Tate.,12,18
13:57,301,Mark Carbone missed Three Point Jumper.,12,18
13:57,301,Cameron Neubauer Offensive Rebound.,12,18
13:43,301,Mark Carbone missed Three Point Jumper.,12,18
13:43,-1,Khalfani Williams Defensive Rebound.,12,18
13:24,-1,Buddha Boyd Turnover.,12,18
13:22,301,Olin Carter III Steal.,12,18
13:15,301,Cameron Neubauer missed Three Point Jumper.,12,18
13:15,301,Brett Bailey Offensive Rebound.,12,18
13:04,301,Brett Bailey made Jumper.,12,20
12:39,301,Foul on Olin Carter III.,12,20
12:39,-1,Khalfani Williams missed Free Throw.,12,20
12:39,-1,Bethesda University Deadball Team Rebound.,12,20
12:39,-1,Khalfani Williams missed Free Throw.,12,20
12:39,301,Tyler Williams Defensive Rebound.,12,20
12:29,-1,Foul on Alex Smith.,12,20
12:29,301,Frank Ryder missed Free Throw.,12,20
12:29,301,San Diego Deadball Team Rebound.,12,20
12:29,301,Frank Ryder made Free Throw.,12,21
12:18,-1,Michael Walker Turnover.,12,21
12:16,301,Brett Bailey Steal.,12,21
12:03,301,Mark Carbone missed Three Point Jumper.,12,21
12:03,301,Frank Ryder Offensive Rebound.,12,21
11:55,301,Frank Ryder made Layup.,12,23
11:40,-1,Michael Walker missed Three Point Jumper.,12,23
11:40,-1,Bethesda University Offensive Rebound.,12,23
11:39,301,Foul on Frank Ryder.,12,23
11:39,301,Official TV Timeout,12,23
11:32,-1,Jarrell Tate made Layup.,14,23
11:10,301,Mark Carbone made Jumper.,14,25
10:54,-1,Jarrell Tate Turnover.,14,25
10:54,301,Olin Carter III Steal.,14,25
10:51,301,Olin Carter III Turnover.,14,25
10:50,-1,Eddie LaTorre Steal.,14,25
10:48,-1,Buddha Boyd made Layup. Assisted by Jarrell Tate.,16,25
10:36,301,Brett Bailey missed Three Point Jumper.,16,25
10:36,301,Olin Carter III Offensive Rebound.,16,25
10:31,-1,Foul on Eddie LaTorre.,16,25
10:31,301,Olin Carter III made Free Throw.,16,26
10:31,301,Olin Carter III made Free Throw.,16,27
10:27,-1,Dock Gooch missed Jumper.,16,27
10:27,301,Frank Ryder Defensive Rebound.,16,27
10:13,301,Foul on Frank Ryder.,16,27
10:13,301,Frank Ryder Turnover.,16,27
10:02,-1,Jarrell Tate missed Jumper.,16,27
10:02,-1,Gabriel Adersteg Offensive Rebound.,16,27
9:58,-1,Gabriel Adersteg missed Layup.,16,27
9:58,301,Frank Ryder Defensive Rebound.,16,27
9:43,301,Mark Carbone missed Three Point Jumper.,16,27
9:43,-1,Dock Gooch Defensive Rebound.,16,27
9:33,-1,Buddha Boyd made Three Point Jumper. Assisted by Jarrell Tate.,19,27
9:15,301,Nassir Barrino Turnover.,19,27
9:03,-1,Dock Gooch missed Three Point Jumper.,19,27
9:03,301,Cameron Neubauer Defensive Rebound.,19,27
8:54,301,Olin Carter III made Three Point Jumper. Assisted by Jose Martinez.,19,30
8:38,301,Foul on Olin Carter III.,19,30
8:38,-1,Bethesda University  Timeout,19,30
8:33,301,Foul on Cameron Neubauer.,19,30
8:33,-1,Dock Gooch made Free Throw.,20,30
8:33,-1,Dock Gooch missed Free Throw.,20,30
8:33,301,Jose Martinez Defensive Rebound.,20,30
