Fairleigh Dickinson,2132,Cincinnati,161
time,team_id,description,h_score,a_score
19:45,2132,Kevin Johnson made Three Point Jumper. Assisted by Troy Caupain.,0,3
19:15,161,Stephan Jiggetts missed Layup.,0,3
19:15,2132,Gary Clark Defensive Rebound.,0,3
19:04,161,Foul on Earl Potts Jr.,0,3
19:04,2132,Jacob Evans made Free Throw.,0,4
19:04,2132,Jacob Evans missed Free Throw.,0,4
19:04,161,Darian Anderson Defensive Rebound.,0,4
18:45,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggetts.,3,4
18:34,2132,Troy Caupain Turnover.,3,4
18:33,161,Mike Holloway Steal.,3,4
18:31,161,Darian Anderson missed Three Point Jumper.,3,4
18:31,2132,Gary Clark Defensive Rebound.,3,4
18:28,161,Foul on Kaleb Bishop.,3,4
18:19,2132,Jacob Evans missed Three Point Jumper.,3,4
18:19,161,Earl Potts Jr Defensive Rebound.,3,4
18:07,161,Earl Potts Jr made Three Point Jumper. Assisted by Darian Anderson.,6,4
17:43,2132,Kyle Washington made Jumper.,6,6
17:11,161,Earl Potts Jr missed Three Point Jumper.,6,6
17:11,2132,Gary Clark Defensive Rebound.,6,6
17:02,161,Foul on Mike Holloway.,6,6
17:02,2132,Jacob Evans made Free Throw.,6,7
17:02,2132,Jacob Evans made Free Throw.,6,8
17:02,161,Mike Holloway Turnover.,6,8
16:57,2132,Troy Caupain made Jumper.,6,10
16:42,2132,Foul on Troy Caupain.,6,10
16:42,161,Kaleb Bishop made Free Throw.,7,10
16:42,161,Kaleb Bishop made Free Throw.,8,10
16:24,2132,Kyle Washington made Dunk. Assisted by Tre Scott.,8,12
16:05,161,Earl Potts Jr missed Three Point Jumper.,8,12
16:05,2132,Tre Scott Defensive Rebound.,8,12
15:52,2132,Kyle Washington Turnover.,8,12
15:51,161,Mike Holloway Steal.,8,12
15:39,161,Stephan Jiggetts made Three Point Jumper. Assisted by Darian Anderson.,11,12
15:19,2132,Kyle Washington made Jumper. Assisted by Troy Caupain.,11,14
15:09,161,Earl Potts Jr missed Layup.,11,14
15:09,2132,Kyle Washington Defensive Rebound.,11,14
15:02,2132,Kevin Johnson missed Three Point Jumper.,11,14
15:02,161,Earl Potts Jr Defensive Rebound.,11,14
14:49,161,Mike Holloway Turnover.,11,14
14:49,2132,Official TV Timeout,11,14
14:30,2132,Tre Scott made Jumper. Assisted by Jacob Evans.,11,16
14:08,161,Stephan Jiggetts missed Jumper.,11,16
14:08,161,Darian Anderson Offensive Rebound.,11,16
13:57,161,Earl Potts Jr Turnover.,11,16
13:56,2132,Troy Caupain Steal.,11,16
13:53,161,Foul on Stephan Jiggetts.,11,16
13:53,2132,Tre Scott missed Free Throw.,11,16
13:53,2132,Cincinnati Deadball Team Rebound.,11,16
13:53,2132,Tre Scott missed Free Throw.,11,16
13:53,2132,Jarron Cumberland Offensive Rebound.,11,16
13:39,2132,Tre Scott made Jumper.,11,18
13:17,161,Tyrone O'Garro missed Layup.,11,18
13:17,2132,Kyle Washington Defensive Rebound.,11,18
13:11,2132,Jacob Evans made Dunk. Assisted by Justin Jenifer.,11,20
13:02,161,Fairleigh Dickinson  Timeout,11,20
12:47,2132,Foul on Justin Jenifer.,11,20
12:24,161,Foul on Darnell Edge.,11,20
12:24,161,Darnell Edge Turnover.,11,20
12:17,161,Foul on Tyrone O'Garro.,11,20
12:17,2132,Jacob Evans missed Free Throw.,11,20
12:17,2132,Cincinnati Deadball Team Rebound.,11,20
12:17,2132,Jacob Evans missed Free Throw.,11,20
12:17,2132,Jacob Evans Offensive Rebound.,11,20
12:15,2132,Jacob Evans made Jumper.,11,22
12:01,2132,Foul on Tre Scott.,11,22
12:01,161,Tyrone O'Garro missed Free Throw.,11,22
12:01,161,Fairleigh Dickinson Deadball Team Rebound.,11,22
12:01,161,Tyrone O'Garro made Free Throw.,12,22
11:50,2132,Justin Jenifer made Three Point Jumper. Assisted by Jarron Cumberland.,12,25
11:34,161,Stephan Jiggetts Turnover.,12,25
11:34,2132,Official TV Timeout,12,25
11:21,2132,Jarron Cumberland missed Three Point Jumper.,12,25
11:21,161,Malik Miller Defensive Rebound.,12,25
10:57,161,Tyrone O'Garro made Jumper. Assisted by Darian Anderson.,14,25
10:46,2132,Tre Scott made Jumper.,14,27
10:21,161,Stephan Jiggetts Turnover.,14,27
10:20,2132,Jarron Cumberland Steal.,14,27
10:18,2132,Justin Jenifer made Layup. Assisted by Jarron Cumberland.,14,29
10:10,161,Darian Anderson missed Jumper.,14,29
10:10,2132,Jarron Cumberland Defensive Rebound.,14,29
10:03,161,Foul on Earl Potts Jr.,14,29
10:03,2132,Jacob Evans made Free Throw.,14,30
10:03,2132,Jacob Evans made Free Throw.,14,31
9:44,161,Mike Holloway Turnover.,14,31
9:32,2132,Nysier Brooks missed Layup.,14,31
9:32,161,Mike Holloway Defensive Rebound.,14,31
9:28,2132,Foul on Nysier Brooks.,14,31
9:06,161,Darnell Edge Turnover.,14,31
9:02,2132,Jarron Cumberland missed Jumper.,14,31
9:02,161,Earl Potts Jr Block.,14,31
8:59,2132,Kevin Johnson Offensive Rebound.,14,31
8:57,2132,Kevin Johnson Turnover.,14,31
8:44,161,Stephan Jiggetts missed Jumper.,14,31
8:44,2132,Gary Clark Defensive Rebound.,14,31
8:42,161,Foul on Mike Holloway.,14,31
8:42,2132,Gary Clark made Free Throw.,14,32
8:42,2132,Gary Clark made Free Throw.,14,33
8:22,161,Earl Potts Jr missed Layup.,14,33
8:22,161,Fairleigh Dickinson Offensive Rebound.,14,33
8:14,161,Stephan Jiggetts Turnover.,14,33
8:13,2132,Gary Clark Steal.,14,33
8:11,2132,Kevin Johnson made Layup. Assisted by Gary Clark.,14,35
7:53,161,Earl Potts Jr missed Three Point Jumper.,14,35
7:53,2132,Gary Clark Defensive Rebound.,14,35
7:43,2132,Kevin Johnson made Three Point Jumper. Assisted by Gary Clark.,14,38
7:25,161,Earl Potts Jr Turnover.,14,38
7:23,2132,Troy Caupain Steal.,14,38
7:21,161,Foul on Darnell Edge.,14,38
7:21,2132,Official TV Timeout,14,38
7:21,2132,Troy Caupain missed Free Throw.,14,38
7:21,2132,Cincinnati Deadball Team Rebound.,14,38
7:21,2132,Troy Caupain made Free Throw.,14,39
7:03,161,Kaleb Bishop Turnover.,14,39
7:01,2132,Kevin Johnson Steal.,14,39
7:00,2132,Kevin Johnson made Dunk.,14,41
6:54,161,Kaleb Bishop Turnover.,14,41
