NJIT,218,Temple,2885
time,team_id,description,h_score,a_score
19:47,2885,Damon Lynn missed Three Point Jumper.,0,0
19:47,2885,Abdul Lewis Offensive Rebound.,0,0
19:45,218,Foul on Ernest Aflakpui.,0,0
19:36,2885,Rob Ukawuba made Jumper.,2,0
19:06,218,Daniel Dingle made Three Point Jumper.,2,3
18:47,2885,Tim Coleman made Layup.,4,3
18:18,218,Ernest Aflakpui missed Layup.,4,3
18:18,2885,Abdul Lewis Defensive Rebound.,4,3
18:08,2885,Rob Ukawuba missed Three Point Jumper.,4,3
18:08,218,Alani Moore II Defensive Rebound.,4,3
18:01,218,Obi Enechionyia missed Three Point Jumper.,4,3
18:01,2885,Abdul Lewis Defensive Rebound.,4,3
17:32,2885,Osa Izevbuwa missed Jumper.,4,3
17:32,218,Ernest Aflakpui Defensive Rebound.,4,3
17:22,218,Alani Moore II made Layup.,4,5
17:01,2885,Tim Coleman missed Jumper.,4,5
17:01,218,Obi Enechionyia Defensive Rebound.,4,5
16:42,218,Daniel Dingle missed Jumper.,4,5
16:42,2885,NJIT Defensive Rebound.,4,5
16:29,2885,Abdul Lewis missed Layup.,4,5
16:29,218,Daniel Dingle Defensive Rebound.,4,5
16:00,218,Ernest Aflakpui made Layup. Assisted by Daniel Dingle.,4,7
15:43,2885,Abdul Lewis Turnover.,4,7
15:42,218,Shizz Alston Jr. Steal.,4,7
15:39,218,Shizz Alston Jr. made Layup.,4,9
15:14,2885,Abdul Lewis Turnover.,4,9
15:14,218,Official TV Timeout,4,9
14:57,2885,Abdul Lewis missed Three Point Jumper.,4,9
14:57,2885,Damon Lynn Offensive Rebound.,4,9
14:44,2885,Damon Lynn missed Layup.,4,9
14:44,218,Ernest Aflakpui Defensive Rebound.,4,9
14:34,218,Shizz Alston Jr. missed Jumper.,4,9
14:34,2885,Abdul Lewis Defensive Rebound.,4,9
14:16,2885,Anthony Tarke missed Three Point Jumper.,4,9
14:16,2885,NJIT Offensive Rebound.,4,9
14:05,2885,Damon Lynn Turnover.,4,9
13:53,218,Daniel Dingle Turnover.,4,9
13:51,2885,Damon Lynn Steal.,4,9
13:37,2885,Chris Jenkins made Three Point Jumper. Assisted by Damon Lynn.,7,9
13:16,218,Ernest Aflakpui missed Jumper.,7,9
13:16,218,Ernest Aflakpui Offensive Rebound.,7,9
13:12,218,Daniel Dingle made Three Point Jumper. Assisted by Shizz Alston Jr..,7,12
12:46,2885,Damon Lynn made Jumper.,9,12
12:28,218,Daniel Dingle missed Three Point Jumper.,9,12
12:28,2885,Abdul Lewis Defensive Rebound.,9,12
12:08,2885,Chris Jenkins missed Three Point Jumper.,9,12
12:08,218,Ernest Aflakpui Defensive Rebound.,9,12
11:49,218,Obi Enechionyia Turnover.,9,12
11:37,2885,Chris Jenkins made Three Point Jumper. Assisted by Rob Ukawuba.,12,12
11:13,218,Damion Moore missed Jumper.,12,12
11:13,2885,Damon Lynn Defensive Rebound.,12,12
10:58,2885,Tim Coleman missed Jumper.,12,12
10:58,218,Shizz Alston Jr. Defensive Rebound.,12,12
10:44,218,Obi Enechionyia missed Layup.,12,12
10:44,2885,Tim Coleman Defensive Rebound.,12,12
10:18,2885,Anthony Tarke made Layup.,14,12
10:00,218,Obi Enechionyia missed Three Point Jumper.,14,12
10:00,2885,Rob Ukawuba Defensive Rebound.,14,12
9:55,2885,Damon Lynn made Three Point Jumper.,17,12
9:39,2885,Foul on Damon Lynn.,17,12
9:39,218,Quinton Rose missed Free Throw.,17,12
9:39,218,Temple Deadball Team Rebound.,17,12
9:39,218,Quinton Rose made Free Throw.,17,13
9:28,218,Foul on Quinton Rose.,17,13
9:09,2885,Anthony Tarke made Dunk. Assisted by Damon Lynn.,19,13
9:01,218,Quinton Rose made Jumper.,19,15
8:35,218,Damion Moore missed Layup.,19,15
8:35,2885,Chris Jenkins Defensive Rebound.,19,15
8:28,218,Obi Enechionyia made Dunk. Assisted by Shizz Alston Jr..,19,17
8:28,2885,Foul on Tim Coleman.,19,17
8:28,218,Obi Enechionyia made Free Throw.,19,18
8:13,218,Damion Moore Block.,19,18
8:13,2885,Damon Lynn missed Layup.,19,18
8:13,218,Shizz Alston Jr. Defensive Rebound.,19,18
8:07,218,Obi Enechionyia made Dunk. Assisted by Shizz Alston Jr..,19,20
7:57,2885,NJIT  Timeout,19,20
7:36,2885,NJIT  Turnover.,19,20
7:26,218,Damion Moore made Dunk. Assisted by Alani Moore II.,19,22
7:26,2885,Foul on Abdul Lewis.,19,22
7:26,218,Damion Moore made Free Throw.,19,23
7:06,2885,Damon Lynn missed Jumper.,19,23
7:06,2885,NJIT Deadball Team Rebound.,19,23
7:06,218,Foul on Damion Moore.,19,23
6:50,2885,Tim Coleman missed Jumper.,19,23
6:50,218,Mark Williams Defensive Rebound.,19,23
6:32,218,Mark Williams made Jumper.,19,25
6:19,2885,Abdul Lewis missed Jumper.,19,25
6:19,218,Damion Moore Defensive Rebound.,19,25
6:00,218,Mark Williams missed Three Point Jumper.,19,25
6:00,2885,Abdul Lewis Defensive Rebound.,19,25
5:52,2885,Tim Coleman missed Three Point Jumper.,19,25
5:52,218,Daniel Dingle Defensive Rebound.,19,25
5:29,218,Quinton Rose missed Three Point Jumper.,19,25
5:29,2885,Tim Coleman Defensive Rebound.,19,25
5:12,2885,Anthony Tarke made Three Point Jumper.,22,25
4:47,2885,Foul on Damon Lynn.,22,25
4:45,218,Alani Moore II missed Three Point Jumper.,22,25
4:45,2885,Tim Coleman Defensive Rebound.,22,25
4:29,2885,Tim Coleman made Three Point Jumper. Assisted by Abdul Lewis.,25,25
4:12,218,Quinton Rose missed Layup.,25,25
4:12,2885,Anthony Tarke Defensive Rebound.,25,25
3:51,2885,Damon Lynn missed Jumper.,25,25
3:51,218,Damion Moore Defensive Rebound.,25,25
3:38,218,Mark Williams made Jumper.,25,27
