College of Coastal Georgia,Error,Presbyterian College,2506
time,team_id,description,h_score,a_score
19:48,2506,Reggie Dillard missed Three Point Jumper.,0,0
19:48,2506,Ruben Arroyo Offensive Rebound.,0,0
19:36,2506,Ruben Arroyo missed Layup.,0,0
19:36,2506,Jo'Vontae Millner Offensive Rebound.,0,0
19:07,2506,Darius Moore missed Three Point Jumper.,0,0
19:07,-1,Jordan Lewis Defensive Rebound.,0,0
18:44,-1,Jordan Lewis missed Three Point Jumper.,0,0
18:44,-1,Isaiah Gibson Offensive Rebound.,0,0
18:20,-1,Jordan Lewis Turnover.,0,0
18:06,2506,Ruben Arroyo missed Jumper.,0,0
18:06,-1,Brandon Martin Defensive Rebound.,0,0
17:52,-1,Haylen Washington missed Jumper.,0,0
17:52,2506,Jo'Vontae Millner Defensive Rebound.,0,0
17:46,2506,Ruben Arroyo missed Three Point Jumper.,0,0
17:46,-1,Isaiah Gibson Defensive Rebound.,0,0
17:18,-1,Haylen Washington Turnover.,0,0
17:17,2506,Darius Moore Steal.,0,0
17:04,2506,Ed Drew missed Layup.,0,0
17:04,-1,Isaiah Gibson Defensive Rebound.,0,0
16:40,-1,Brandon Martin Turnover.,0,0
16:39,2506,Darius Moore Steal.,0,0
16:36,-1,Foul on Brandon Martin.,0,0
16:36,2506,Jo'Vontae Millner made Free Throw.,0,1
16:36,2506,Jo'Vontae Millner made Free Throw.,0,2
16:17,-1,Haylen Washington missed Three Point Jumper.,0,2
16:17,2506,Darius Moore Defensive Rebound.,0,2
16:08,2506,Darius Moore missed Three Point Jumper.,0,2
16:08,-1,Haylen Washington Defensive Rebound.,0,2
15:59,-1,Jordan Lewis made Layup. Assisted by Haylen Washington.,2,2
15:44,2506,Reggie Dillard made Layup. Assisted by Ruben Arroyo.,2,4
15:26,-1,Isaiah Gibson missed Jumper.,2,4
15:26,2506,Jo'Vontae Millner Defensive Rebound.,2,4
15:05,2506,Armel TeTe Turnover.,2,4
15:05,2506,Official TV Timeout,2,4
14:44,-1,Jaylen Smallwood made Jumper.,4,4
14:19,2506,Will Adams missed Layup.,4,4
14:19,2506,Will Adams Offensive Rebound.,4,4
14:15,2506,JC Younger missed Three Point Jumper.,4,4
14:15,-1,Isaiah Gibson Defensive Rebound.,4,4
13:51,-1,Jaylen Smallwood missed Jumper.,4,4
13:51,-1,Jaylen Smallwood Offensive Rebound.,4,4
13:49,-1,Jaylen Smallwood made Layup.,6,4
13:30,2506,Jo'Vontae Millner made Layup.,6,6
13:05,-1,Jaylen Smallwood missed Jumper.,6,6
13:05,2506,Darius Moore Defensive Rebound.,6,6
12:50,2506,Armel TeTe made Layup. Assisted by Will Adams.,6,8
12:26,-1,Jordan Lewis missed Layup.,6,8
12:26,2506,Jo'Vontae Millner Block.,6,8
12:25,-1,Coastal Georgia Offensive Rebound.,6,8
12:21,-1,Jaylen Smallwood missed Jumper.,6,8
12:21,2506,JC Younger Defensive Rebound.,6,8
12:16,-1,Foul on Momodou Senghore.,6,8
12:14,2506,Ed Drew missed Layup.,6,8
12:14,-1,Momodou Senghore Block.,6,8
12:13,-1,Jonathan Canada Defensive Rebound.,6,8
12:09,-1,Jordan Lewis Turnover.,6,8
12:09,-1,Foul on Jordan Lewis.,6,8
11:59,-1,Foul on Landon Sarazine.,6,8
11:59,2506,Official TV Timeout,6,8
11:59,2506,Reggie Dillard made Free Throw.,6,9
11:59,2506,Reggie Dillard made Free Throw.,6,10
11:56,-1,Jaylen Smallwood Turnover.,6,10
11:35,2506,Will Adams missed Jumper.,6,10
11:35,-1,Coastal Georgia Defensive Rebound.,6,10
11:34,2506,Foul on Ed Drew.,6,10
11:15,-1,Jordan Lewis Turnover.,6,10
11:02,2506,Ruben Arroyo made Layup. Assisted by Will Adams.,6,12
10:36,-1,Jonathan Canada missed Jumper.,6,12
10:36,2506,Reggie Dillard Block.,6,12
10:35,2506,Reggie Dillard Defensive Rebound.,6,12
10:26,2506,Ruben Arroyo missed Layup.,6,12
10:26,-1,Jaylen Smallwood Defensive Rebound.,6,12
10:00,-1,Brandon Martin missed Three Point Jumper.,6,12
10:00,2506,Reggie Dillard Defensive Rebound.,6,12
9:51,2506,Reggie Dillard Turnover.,6,12
9:50,-1,Brandon Martin Steal.,6,12
9:43,-1,Jonathan Canada Turnover.,6,12
9:42,2506,Ed Drew Steal.,6,12
9:34,2506,Will Adams made Three Point Jumper. Assisted by Reggie Dillard.,6,15
9:11,-1,Jonathan Canada Turnover.,6,15
8:51,2506,JC Younger missed Three Point Jumper.,6,15
8:51,-1,Isaiah Gibson Defensive Rebound.,6,15
8:38,-1,Brandon Martin made Jumper.,8,15
8:38,2506,Foul on JC Younger.,8,15
8:38,-1,Brandon Martin made Free Throw.,9,15
8:22,2506,Darius Moore missed Three Point Jumper.,9,15
8:22,2506,Jo'Vontae Millner Offensive Rebound.,9,15
8:15,2506,Jo'Vontae Millner missed Two Point Tip Shot.,9,15
8:15,-1,Mabor Gabriel Defensive Rebound.,9,15
8:03,-1,Isaiah Gibson missed Three Point Jumper.,9,15
8:03,2506,Will Adams Defensive Rebound.,9,15
7:55,2506,Will Adams made Three Point Jumper. Assisted by Jo'Vontae Millner.,9,18
7:39,-1,Jaylen Smallwood missed Three Point Jumper.,9,18
7:39,2506,Jo'Vontae Millner Defensive Rebound.,9,18
7:26,2506,Jo'Vontae Millner made Jumper.,9,20
7:00,2506,Jaron Withers Defensive Rebound.,9,20
6:56,2506,Will Adams made Jumper. Assisted by Jaron Withers.,9,22
6:53,-1,Coastal Georgia  Timeout,9,22
6:33,2506,Foul on Jo'Vontae Millner.,9,22
6:32,-1,Isaiah Gibson Turnover.,9,22
6:29,2506,Jo'Vontae Millner Steal.,9,22
6:28,2506,Jo'Vontae Millner made Dunk.,9,24
6:11,-1,Mabor Gabriel missed Layup.,9,24
6:11,2506,Armel TeTe Block.,9,24
6:11,-1,Coastal Georgia Offensive Rebound.,9,24
5:58,-1,Jordan Lewis missed Jumper.,9,24
5:58,-1,Brandon Martin Offensive Rebound.,9,24
5:50,-1,Brandon Martin Turnover.,9,24
5:36,2506,Jo'Vontae Millner missed Jumper.,9,24
5:36,-1,Jaylen Smallwood Defensive Rebound.,9,24
5:22,-1,Jordan Lewis missed Jumper.,9,24
5:22,-1,Brandon Martin Offensive Rebound.,9,24
5:18,-1,Brandon Martin missed Layup.,9,24
5:18,2506,Armel TeTe Defensive Rebound.,9,24
5:11,2506,Will Adams made Three Point Jumper. Assisted by Darius Moore.,9,27
4:57,-1,Isaiah Gibson missed Three Point Jumper.,9,27
4:57,2506,Armel TeTe Defensive Rebound.,9,27
4:49,2506,Jaron Withers missed Layup.,9,27
4:49,2506,Jo'Vontae Millner Offensive Rebound.,9,27
4:47,2506,Jo'Vontae Millner made Layup.,9,29
4:46,-1,Coastal Georgia  Timeout,9,29
4:33,2506,Foul on Ruben Arroyo.,9,29
4:26,-1,Landon Sarazine missed Free Throw.,9,29
4:26,-1,Coastal Georgia Deadball Team Rebound.,9,29
4:26,-1,Landon Sarazine made Free Throw.,10,29
3:47,-1,Foul on Momodou Senghore.,10,29
3:47,2506,Official TV Timeout,10,29
3:47,2506,Ruben Arroyo made Free Throw.,10,30
3:47,2506,Ruben Arroyo made Free Throw.,10,31
3:26,-1,Isaiah Gibson missed Jumper.,10,31
3:26,2506,Armel TeTe Defensive Rebound.,10,31
3:10,2506,Ruben Arroyo made Layup.,10,33
2:58,2506,Foul on Ruben Arroyo.,10,33
2:51,-1,Mabor Gabriel missed Jumper.,10,33
2:51,-1,Brandon Martin Offensive Rebound.,10,33
2:28,-1,Jordan Lewis missed Jumper.,10,33
2:28,2506,Will Adams Block.,10,33
2:25,-1,Mabor Gabriel Offensive Rebound.,10,33
2:24,-1,Mabor Gabriel missed Layup.,10,33
2:24,2506,Darius Moore Defensive Rebound.,10,33
2:18,2506,Will Adams made Jumper.,10,35
2:00,-1,Mabor Gabriel missed Layup.,10,35
2:00,2506,Jo'Vontae Millner Defensive Rebound.,10,35
1:46,2506,Austin Venable made Layup. Assisted by Will Adams.,10,37
1:21,-1,Brandon Martin missed Three Point Jumper.,10,37
1:21,-1,Mabor Gabriel Offensive Rebound.,10,37
1:19,-1,Mabor Gabriel missed Layup.,10,37
1:19,-1,Mabor Gabriel Offensive Rebound.,10,37
1:19,2506,Foul on Austin Venable.,10,37
